,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
10,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Вступила до декількох іноземних університетів, планую розпочати навчання у вересні або наступного року.

Досвід роботи:

Маркетинг:
- Розробка стратегій комунікації з клієнтами.
- Створення дистанційної системи управління для засновника проекту.
- Планування акцій та індивідуальних оферів.
- Ведення переговорів та обробка негативних відгуків.
- Структуризація співпраці між людьми з різними поглядами на проект.

Бізнес-аналітика:
- Помічник-асистент бізнес-аналітика протягом півроку.
- Проведення порівнювального аналізу конкурентів.
- Розробка статусної моделі замовлення для маркетплейсу.
- Створення схем у Miro та Idroo.

Додатковий досвід:
- Репетитор з математики, допомога студентам у підготовці до іспитів для вступу до університетів та шкіл України та Європи.

Навички:
- Комунікаційні навички
- Аналітичне мислення
- Вміння працювати в команді
- Навички ведення переговорів

[Дата]."
11,"Досвід роботи: 4 роки на посаді бізнес-аналітика (BA). Працював у компаніях: ПриватБанк, АЛЛО, ВАРУС, БАДМ.

ПриватБанк: Виконував обов'язки бізнес-аналітика з акцентом на банківську сферу та обслуговування клієнтів.

АЛЛО: Займався питаннями, пов'язаними з IT та маркетплейсом.

ВАРУС: Основна діяльність була зосереджена на логістиці та системі управління складом (WMS).

БАДМ: Працював над IT-проєктами та налаштуванням системи управління складом (WMS).

Навички: Вміння ефективно знаходити та отримувати необхідну інформацію для виконання робочих завдань."
12,"[Ваше ім'я]

[Контактна інформація]

Професійний профіль:
Досвідчений професіонал у сфері IT з багаторічним досвідом, спеціалізуюсь на впровадженні та налаштуванні CRM-системи OneBox. Маю значний досвід у розробці та оптимізації процесів для ефективного вирішення завдань клієнтів. Відзначаюсь здатністю навчати співробітників та впроваджувати інноваційні рішення для покращення робочих процесів.

Досвід роботи:

Account Administrator
- Адміністрування команди з шести менеджерів
- Контроль виконання завдань та успішності проектів
- Комунікація з клієнтами та вирішення їх проблем
- Самостійне ведення та адміністрування 4-5 проектів

Senior Account Manager
- Перший співробітник на новій посаді
- Збір вимог від клієнтів та написання технічних завдань
- Аналіз даних та розробка рішень для клієнтів
- Впровадження проектів, включаючи планування, тестування та налаштування інтеграцій

Junior Account Manager
- Першопроходець на новій посаді
- Досягнення високих результатів у команді

Customer Support Manager
- Початок кар'єри в IT
- Відзначений за одні з найкращих результатів у команді

Навички:
- Впровадження та налаштування CRM-системи OneBox
- Розробка та оптимізація бізнес-процесів
- Робота з API, HTML, CSS, PHP preg match
- Використання Google сервісів
- Здатність швидко вивчати нові системи та технології

Освіта:
[Ваша освіта]

Мотивація:
Націлений на максимальний результат та впровадження нових рішень. Зацікавлений у розвитку та кар'єрному зростанні, прагну брати активну участь у житті компанії. Не зацікавлений у продажах."
13,"Участь у плануванні та реалізації проєкту з перенесення даних у нову CRM-систему, адаптація команди до нових процесів. Перегляд та автоматизація наявних бізнес-процесів.

Останні 2 роки працювала як проєктний менеджер у Ed-tech компанії, отримала досвід супроводу організаційних та продуктових змін, системного аналізу бізнес-процесів компанії."
14,"20 років досвіду на посаді CEO. Працював у 6 компаніях, з яких у 5 був співзасновником. Основні обов'язки: формування команди, управління, маркетинг, розробка нових продуктів та послуг, фінансовий менеджмент, реклама, управління продажами. Досвід у B2B та B2C секторах, у сфері послуг та виробництва. Війна внесла корективи, вирішив спробувати себе в ІТ. Закінчив курси з управління проєктами, наразі проходжу ще одні. Систематизую свій досвід."
15,"15+ років досвіду в інтеграції промислових систем управління IIoT та корпоративних ІТ-рішень, управлінні продуктивністю активів, промислових сервісних рішеннях IoT. Впровадження комплексних проектів автоматизації підприємства, включаючи IT-Enterprise, EPR, CRM, WMS, системи закупівель, рішення Microsoft Azure і Google, Project Software, а також системи управління промисловою автоматизацією (DCS, PLC, SCADA/HMI, MES, ICS, SIS, CMS/AMS, APM та управління активами). Виконання ролей архітектора та менеджера проекту з дотриманням стандартів ISA/IEC, ATEX, SIL, IEEE/ANSI, API, CISA, ISO, Achilles/ACCP.

Досвід роботи в Pre-Sales та After-Sales, менеджменті підтримки та управлінні ризиками.

Маю досвід впровадження рішень ОТ/ІТ в нафтогазовій, хімічній, металургійній та харчовій галузях. Спеціалізуюсь на побудові архітектури ОТ/ІТ для вибухонебезпечних зон та критичної інфраструктури, а також на аудиті об’єктів впровадження ОТ/ІТ рішень для критичного обладнання."
16,"Професійний досвід та навички:

- SMM, PR, Copywriting, Customer and User Experience, Trade Marketing, Digital Marketing

Досягнення:

- Запуск національних рекламних кампаній
- Кооперація з бренд-амбасадорами
- Вивід нових брендів на ринок
- Оновлення концепту фірмових магазинів та відкриття нових
- Реалізація щорічних маркетингових планів, національних рекламних кампаній та промоакцій (знижки, подарункові акції, іміджеві, накопичувальні, з промокодами та ін.)
- Проведення маркетингових активностей (ATL, BTL, Digital, SMM, Email, Viber)
- Управління крос-функціональною командою (дизайнери, копірайтери, підрядники, трейд-маркетологи, категорійні менеджери, SMM менеджери)
- PR: співпраця з журналами, приватними клініками, спортивними школами, лідерами думок, блогерами та селебретіз
- SMM: розробка контент-планів, просування акаунтів, копірайтинг
- Репутаційний маркетинг (робота з соціальними мережами, відстеження відгуків), покращення іміджу та репутації
- Реалізація стратегії утримання старих та приваблення нових клієнтів
- Постійне спілкування з клієнтами, подальша обробка інформації для створення рекламних кампаній і збільшення ефективності продажів

Особисті якості:

- Відданість справі, знання, досвід, уміння та навички
- Дружній колектив, який йде до спільної мети
- Зрозумілі цілі, які хочеться досягати

Обмеження:

- Не працюю з казино, іграми і т.ін."
17,"[Ваше ім'я]  
[Контактна інформація]  

**Освіта**  
- Філологічна освіта  

**Досвід роботи**  

**Український процесінговий центр (2020)**  
PR-менеджер  
- Написання та редагування новин компанії  
- Переклад новин на англійську  
- Створення новинних бюлетенів для українських та іноземних клієнтів, включаючи дизайн  
- Комунікації з медіа та моніторинг діяльності компанії у ЗМІ  
- Листування з іноземними клієнтами  
- Замовлення корпоративної продукції та спілкування з виконавцями  

**Перекладач (фріланс) (2020)**  
- Переклад наукових текстів із російської чи української на англійську мову  

**Міністерство освіти і науки України (2017-2020)**  
Фахівець у пресслужбі  
- Написання та редагування пресрелізів  
- Комунікація з медіа, зокрема, іноземними  
- Організація брифінгів, пресконференцій, конференцій  
- Ведення сторінок міністерства у соцмережах  
- Брифінг спікерів перед ефірами, створення презентацій та тез  
- Моніторинг діяльності міністерства у ЗМІ через спеціальні моніторингові системи (LOOQME, SoMO)  
- Адміністрування сайту міністерства  
- Куратор напряму інклюзивної освіти у міністерстві від пресслужби  

**Рерайтер (фріланс) (2016-2017)**  
- Написання текстів українською, російською та англійською мовами  

**Київський годинниковий завод (2016-2017)**  
Офіс-менеджер  
- Забезпечення життєдіяльності офісу  
- Прийом вхідних дзвінків, листів  
- Організація трансферів для гостей та працівників офісу  
- Прийом гостей на ресепшині  

**Delta Medical (2016)**  
Асистент відділу логістики  
- Подача вантажно-митних декларацій до бухгалтерії  
- Переклад із англійської рекламацій, листів  
- Внесення даних до бази 1С  
- Складання, підписування кредит-нот  
- Документообіг  

**Delta Medical (2015-2016)**  
Офіс-менеджер  
- Забезпечення життєдіяльності офісу  
- Прийом вхідних дзвінків, листів  
- Організація трансферів для гостей та працівників офісу  
- Прийом гостей на ресепшині  

**Досягнення**  
- Куратор онлайн-курсу з протидії булінгу у школах у Міністерстві освіти і науки  
- Запуск курсу із залученням відомих громадських активістів та представників адміністрації Президента  
- Підвищення уваги медіа до проблеми цькування у школах  
- Навчання українських університетів та департаментів освіти писати новини про їхню діяльність  
- Написання новини в Українському процесінговому центрі, яка вперше потрапила на Укрінформ та Економічну правду.  "
18,"Запуск власних продуктів та проєктів

Досвідчений менеджер проєктів з акцентом на управління командами, планування та контроль виконання завдань у різних сферах, включаючи ІТ.

Реалізував успішні самостійні проєкти та співпрацював з командами над запуском веб-сайтів, мобільних додатків, чатботів.

Зацікавлений у напрямках Blockchain/Crypto та Artificial Intelligence/Machine Learning, відкритий до нових можливостей."
19,"За 9 місяців роботи перейшла на другий рівень підтримки в технічній сфері

**March 2020 - July 2020**  
*Technical Support Advisor in Phillips*  
- Основне усунення несправностей  
- Оновлення програмного забезпечення  
- Створення запитів на виправлення помилок  

**September 2020 - June 2021**  
*T1 Technical Support Engineer in Ciklum*  
- Управління CMS  
- Первинна обробка заявок  
- Оновлення та калібрування систем  
- Перевірка налаштувань POE  
- Базове читання логів та пошук помилок  
- Первинна перевірка живих подій та графіки  

**June 2021 - September 2021**  
*T2 Technical Support Engineer in Ciklum*  
- Глибока перевірка/активація конфігурацій систем  
- Розширене читання логів та пошук кореня проблем  
- Швидке розуміння, як виправити складні проблеми  
- Grafana/Postman/Papertrail  
- Дослідження помилок Windows та їх впливу на системи  
- Створення запитів на виправлення помилок у JIRA/Confluence  

**November 2021 - March 2022**  
*Technical Support Engineer in Blackthorn Vision (SciChart Project)*  
- Встановлення ефективних каналів комунікації між клієнтами та командою розробників  
- Відтворення повідомлених проблем та створення звітів про помилки  
- Інформування клієнтів про статус їхніх запитів  
- Щоденна комунікація з командою розробників  
- Допомога у створенні та підтримці документації  
- Розуміння продукту та базові технічні навички (Github, базові навички IDE тощо)  
- Робота з CRM системами (Freshdesk, Zendesk, Jira)  
- Створення базових запитів у KayakoQL для статистики заявок  

**August 2022 - February 2023**  
*Thomas Cook Tourism Service Desk position*  

**More in my CV**  
- Баланс між роботою та особистим життям  
- Кар'єрний технічний ріст у компанії  
- Немає нічних змін, вечірні зміни можливі."
20,"Теперішній час (фармацевтичний ринок, більше 10 років)
- Організація та проведення дослідження ринку
- Розробка нових методик розрахунків та ТЗ
- Постановка задач програмістам
- Управління підготовкою звітності для клієнтів
- Організація взаємодії різних підрозділів
- Автоматизація процесів обробки даних, перевірок
- Організація роботи департаменту, навчання співробітників
- Прогнозування показників ринку

Професійні навички
- Excel: досвідчений користувач, застосування складних формул, зведених таблиць, діаграм, автоматизація підготовки звітів, написання макросів VBA. Використання Power Query, Power Pivot.
- PowerBI: завантаження даних, відображення зведеної інформації
- Access: досвідчений користувач, створення, заповнення та оновлення таблиць, написання запитів, обробка даних з використанням макросів.
- PowerPoint: досвідчений користувач, побудова діаграм, використання анімації у презентаціях.
- SQL: написання запитів на отримання даних з використанням умов, поєднання різних таблиць у запитах.
- MapInfo: редагування шарів, об’єднання та розділення полігонів, геокодування точкових об’єктів, оновлення характеристик по входженню в полігон.
- QlikView: написання скриптів для забору даних із різних джерел, завантаження та обробка даних (ETL), реалізація логіки розрахунку та відображення зведеної інформації."
21,"Самостійне створення з ""0"" відділу підтримки користувачів для продуктової gamedev компанії. Шукаю можливість реалізувати свій досвід у delivery та PjM, а також прагну отримати нові навички та знання в цій галузі.

I am looking for an opportunity to implement my experience in the field of delivering value to users. I also want to gain new skills and knowledge in this area.

Останнім часом займався:
- Оптимізацією бізнес-процесів та потоку створення продукту від функції до фінального інкременту
- Координацією та допомогою у вирішенні операційних питань продуктових команд
- Координацією між функціями з питань, пов'язаних з бізнесом
- Аналізом втрат та відхилень
- Агрегацією, формалізацією та підтримкою агрегованих вимог до релізу (розробка та впровадження паспорту релізу)
- Управлінням персоналом відділу технічної підтримки
- Створенням та контролем сторінки продукту в магазинах (AppStore, GooglePlay, Amazon)
- Відправкою релізів на модерацію та їх підтримкою під час перегляду для повного випуску у виробництво
- Комунікацією з командою рецензентів та відповідальністю за вирішення блокерів та відхилень під час модерації
- Звітуванням про доставку функцій до бізнесу

Мої навички:
- Agile (Scrum, Kanban), Waterfall, RUP (Basic)
- SAFE (Basic)
- BPMN
- Управління ризиками
- Управління персоналом
- Вирішення проблем
- Англійська - A2

Інструменти:
- Jira, Confluence, Asana
- AppStore connect, Google play console
- MS Office, Google Services, Slack, Zoom."
22,"Досвід успішного запуску проектів «з нуля»: від формування команди та визначення функціоналу продукту до його впровадження в продакшн і подальшого супроводу. Понад 4 роки управління ІТ-командами та запуску IT-проектів, а також 2 роки управління проектами в інших сферах. Співпраця з дизайнерами, маркетологами та media-buyer'ами, координація роботи різних команд. Розробка та визначення основного функціоналу продукту з нуля, створення базової документації, розробка прототипів, координація розробки дизайну продукту та його реалізації технічною командою. Шукаю цікавий проект, де зможу ефективно застосувати свої здібності та навички, навчаючись новому від колег і вирішуючи нетривіальні завдання."
23,"- Оптимізував процес передачі проектів підряднику, що заощадило час команди та виключило непорозуміння між співробітниками.
- Ввів систему звітності для клієнтів, що дозволило презентувати виконану роботу прозоро для замовника та ефективніше комунікувати з клієнтами.

Cyborg Studio (digital-агенція)
02.2021 -
- Проводив зустрічі та узгоджував план робіт із замовником.
- Формував, заповнював та затверджував ТЗ відповідно до вимог замовника.
- Брав участь у формуванні маркетингової стратегії.
- Вирішував проблеми та складнощі, що виникали під час роботи над проектом.
- Організовував роботу команди та її формування.
- Відстежував завантаженість і прогрес виконання завдання кожного члена команди (управління ресурсами).
- Допомагав у підтриманні прозорого середовища спілкування між усіма зацікавленими сторонами.
- Організовував фотосесії (створення контенту).
- Формував «дорожню карту» (Roadmap) проекту.
- Моніторив виконання основних етапів проекту.
- Контролював дотримання дедлайнів.
- Комунікував з замовником.
- Формував звітність за результатами виконаної роботи для замовника.

Whaleapp
01.2019-09.2019
- Писав тестову документацію.
- Виконував ручне тестування.
- Працював в Jira, Asana, Android Studio.

ТОВ ""ЮОнлайн""
02.2020 - 08.2020
- Проводив зустрічі, переговори з клієнтами.
- Віддалено налаштовував навігаційні пристрої і системи, усував несправності.
- Підтримував користувачів.
- Перевіряв працездатність пристрою.
- Вів технічну документацію."
