Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
9028,"**Summary**
Results-driven BI/DWH professional with over 10 years of experience in reporting and development, utilizing expertise in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes to drive business insights across Financial, Trading, Accounting, and other banking departments.

**Technical Expertise**
- Oracle BI
- SAP WEBI
- Oracle PL/SQL
- SQL
- XML
- Visual Basic (VB)
- SAP BO
- Tableau
- Jira
- SVN
- Crucible
- Agile
- Scrum
- Pixel Perfect reporting

**Professional Experience**
Results-driven BI/DWH professional with over 10 years of experience in developing and implementing BI/DWH solutions. Proven leadership experience with 4+ years in Team Lead and Tech Lead roles, driving team performance and technical strategy. Experienced in Data Architecture, Data Modeling, and Data Analysis with 9+ years of delivering data-driven insights.

**Skills and Abilities**
- Strong understanding of business objectives and priorities in financial and product domains
- Proven ability to craft comprehensive Tech Design and Requirements documents
- In-depth knowledge of agile development methodologies, including Scrum and Kanban
- Effective communication and leadership skills, with experience in team collaboration and stakeholder management
- Adept at prioritizing requirements with customers and stakeholders

**Domain Knowledge**
- Expertise in financial and management banking reports, with a deep understanding of banking operations
- Strong knowledge of Bank Accounting principles and practices
- Familiarity with Siebel, B2, iFobs, and isCard data structures and their applications in banking contexts."
9066,"**Summary**
Results-driven professional with experience in public procurement processes, tender procedures, and proposal management.

**Professional Experience**

* Managed the full cycle of tender procedures, ensuring quality and compliance of proposals within deadlines, and overseeing technical and commercial aspects.
* Coordinated service proposals, bid logistics, and team schedules, collaborating with internal and external parties to gather necessary information.
* Collaborated with account directors on proposal development and client communications to optimize proposal process effectiveness and improve submission document quality.
* Provided consulting services for public procurement processes, developing and coordinating service proposals that included technical and commercial aspects.
* Ensured quality and compliance by managing bid logistics, schedules, and team responsibilities, and coordinating the drafting of documents.
* Served as the primary contact for technical, commercial, and contractual submissions, gathering necessary information from internal and external parties.

**Key Skills**

* Public procurement processes
* Tender procedure management
* Proposal development and coordination
* Team management and scheduling
* Quality assurance and compliance
* Cost management and deadline coordination
* Collaboration and communication with internal and external parties
* Process optimization and improvement"
9445,"Recent Projects:
- Developed a comprehensive ""Legal management system"" for full-cycle multi-attorney workflow management, encompassing claim filing to executive proceedings
- Designed and implemented a CRM system for a leading wholesale supplier of tourism products, supporting hundreds of customers, tens of thousands of products, and multiple warehouses across different cities
- Created a SaaS management platform for fitness, dance clubs, and similar small businesses
- Built several online stores of varying complexity

Summary:
Results-driven Branch Manager and Project Manager with over 15 years of experience in the IT industry, boasting a proven track record in managing businesses and development teams of 5-50 staff members, and 15+ years of development experience.

Skills:
- Project Management
- Product Management
- Agile (SCRUM) methodologies
- Requirements Management
- Branch Management

Technical Background:
- Proficient in Atlassian Jira
- LAMP stack
- CSS
- HTML
- PHP (versions 4-5)
- SQL
- jQuery
- AJAX
- Bootstrap
- PostgreSQL
- AWS
- CVS
- Mercurial
- Git
- Nginx
- CMS
- CRM

Career Objective:
Seeking a challenging Branch Manager or Senior Project Management position in a well-established company where I can leverage my expertise to drive success."
9542,"Summary: Results-driven marketing professional with experience in project management, team coordination, and content creation. Proven track record of successful project execution and budget management.

Experience:
Volunteer Project
- Created content for website and social media
- Coordinated 8-member core team
- Established cooperation between companies, universities, and students
- Sought partners and maintained communication
- Evaluated and tracked event success

Brand Manager, Red Bull
- Developed social media strategy
- Assisted in event organization
- Conducted marketing research

Marketing Project Manager, Silpo
- Planned, executed, and monitored projects
- Coordinated IT, Designer, and Operational Departments
- Created content for website, social media, Viber, and email lists
- Managed video production

Digital Marketing Manager, Genesis, Keiki
- Created and scaled Facebook advertising campaigns
- Managed $50,000 monthly budget with positive ROI
- Collaborated with content manager to develop engaging content
- Analyzed key metrics and made data-driven decisions

Achievements:
- Realized 1 project at Silpo
- Produced 2 successful video productions
- Created content for 170+ recipe database
- Coordinated ""Recipes Silpo"" product development
- Completed full copywriting for Lynksen website
- Applied to 437 Red Bull Basement 2021 projects"
9546,"Results-driven Project Manager and Event Manager with experience in leading cross-functional teams, developing and executing project strategies, and delivering results in fast-paced environments. Proven track record of success in managing projects with zero budgets, attracting investors, and fundraising.

Key Strengths:
- Building and managing high-performing teams
- Developing and implementing effective project management systems
- Excellent public speaking and communication skills
- Strong problem-solving and conflict resolution abilities
- Empathetic and able to find common ground with team members and clients

Professional Experience:
Project Manager & Event Manager
- Business Assistant for CEO (07/2022-09/2022)
  - Developed company strategy and communication plans
  - Created and managed processes
  - Managed a sales team of 5 people
  - Created and managed marketing strategies
  - Coordinated with designer, development, and HR teams
- Event Project Manager, Ant Hill Event Agency, Kyiv, Ukraine (03/2020 - 10/2021)
  - Managed projects for clients such as Metro Cash & Carry, Kyivstar, Metinvest, and Intersport
  - Directed BTL, marketing, and technology projects
  - Responsibilities included full project management, client communication, budgeting, and turnkey implementation
  - Achievements include:
    - Developed and led an online production project for Metro Cash & Carry
    - Managed a conference for 500+ guests during the quarantine period
    - Managed a sports olympiad for Metinvest in 5 different cities
    - Brought in projects worth over 5 million UAH through successful tenders
- Co-Owner & COO, Event agency ""Believe in you"", Kyiv, Ukraine (03/2019 - 09/2019)
  - Searched for and communicated with clients, partners, and investors
  - Managed budgeting, documentation, and website development
  - Supported events and managed teams
- Project Manager & COO, TAG (Ukrainian start-up) (03/2016 - 12/2018)
  - Recruited and adapted employees
  - Managed teams and tasks
  - Managed project and product development
  - Budgeted and maintained project documentation
  - Presented the project at international exhibitions and roadshows

Education and Skills:
- Continuously updates skills through self-education, completing 2-3 educational programs per year in psychology, marketing, brand and product management, philosophy, and technologies
- Knowledge of conflictology, mediation, and psychology
- Strong analytical and critical thinking skills
- Flexible and inquisitive mind

Career Goals:
Looking for a challenging project in IT development as a Project Manager or Event Manager. Seeking a team of like-minded individuals who share a positive outlook and strive to create something useful and innovative. Open to starting in a junior position to update IT PM skills and grow within the company. Prefer remote work opportunities and am currently based in Lodz, Poland. Will not work with companies that cooperate with Russia or have Russian employees."
9547,"Results-driven professional with a proven track record of launching and managing successful projects, driving business growth, and leading cross-functional teams.

Key Achievements:
- Launched a nationwide internship program, achieving a 70% graduate retention rate, a 20% increase from previous results
- Successfully launched a global internship program, resulting in an 80% graduate retention rate
- Developed and rolled out the Philip Morris Business Academy nationwide, receiving a 90% Net Promoter Score (NPS)
- Launched new product L&M Double Mix, meeting sales targets
- Adapted the Global EVP to local market demands and implemented the Employee Ambassador program
- Led the Hostess Project twice, generating 20,000 contacts per month
- Provided continuous support for the Parliament brand

Professional Experience:
Project Manager Specialist in HR, Philip Morris Ukraine (2 years)
Brand Executive in Marketing, Philip Morris Ukraine (2 years)
Customer Care in Sales, Philip Morris Ukraine (8 months)
Purchasing Department, Nestle Ukraine (6 months)

Seeking a challenging project with ownership opportunities and a collaborative, open-minded team."
9583,"Results-Driven Professional

Summary:
Highly motivated and experienced professional with a strong background in project management, team leadership, and operational management, with a proven track record of successfully developing and implementing projects from inception to national scale.

Professional Experience:

Project Manager
- Spearheaded the development of a distance selling system, scaling it from inception to national reach
- Successfully managed procurement systems as Department Head for a network of construction supermarkets
- Directed the private business project ""Electronic Diary"" in Kharkiv schools, driving its implementation and growth
- Served as Director of a scientific institution, overseeing operational management and ensuring its effective functioning

Key Skills:

- Project organization and development
- Team leadership and collaboration
- Financial management
- Budgeting and planning
- Human Resources and recruitment management
- Information analysis and structuring
- Distance management
- Purchasing and sales
- Transaction support and document preparation

Personal Qualities:
- Committed to continuous skill improvement and personal development
- Flexible approach to problem-solving
- Strong focus on company growth and development"
9587,"Results-driven Project Manager with over 40 successful projects delivered, leveraging expertise in project management, business analytics, and IT administration.

Key Experience:
• Managed internal, national, and international projects and project portfolios as a Project Manager
• Delivered over 40 successful projects, demonstrating a proven track record of achievement

Methodologies:
• Waterfall
• Agile (XP, Scrum)

Technical Skills:
• Analysis, design, implementation, and optimization of business processes and IT services
• Deployment and implementation of production automated systems
• Microsoft product implementation and support (Exchange, AD, SystemCenter, SharePoint, SQL)
• ITIL, CobIT, and ISO standards deployment and adaptation
• Telecoms network planning and organization

Leadership Skills:
• Effective team leadership and collaboration with good management skills

Professional Development:
• Ongoing improvement of professional knowledge and skills in project management, business analytics, QA, and IT administration

Certifications:
• PMP
• IPMA Level C
• ITIL Foundation
• Microsoft Certified Technology Specialist (MCTS)"
12037,"Dynamic, entrepreneurial, and goal-oriented IT professional with 10+ years of experience in various web, mobile, and desktop applications development.

Key Achievements:
- Analyst role at a MS Dynamics CRM project for an advertisement company, resulting in a 30% increase in productivity and customer loyalty, as part of the largest CRM project in Siberia in 2011, featured by Microsoft.
- First Prize winner at the ""Startup Business Ideas"" Competition in Istanbul, 2019.

Skills:
- Eliciting and developing software requirements
- Team management and leadership
- Collaboration across multiple disciplines and departments
- Analysis of complex data and report preparation
- Willingness to learn new skills and self-improvement
- Familiarity with eCommerce, social media management, Google Ads, SEO, and game development

Quality Assurance:
- Utilization of various software testing methods, including functional, access control, cross-browser layout, load and performance, installation, database-driven, and operating system testing
- Preparation of testing scenarios and plans

Deployment:
- Experience with test and production environments

Customer Trainings:
- Development of curriculums and training materials
- Provision of customer trainings

Technical Skills:
- Programming languages: C, C++, Python
- Database management: MySQL, Oracle SQL
- Data analysis: IBM SPSS
- Virtualization: VMWare virtual machines
- Operating System: Linux
- Microsoft Office: advanced skills
- Project tracking tools: Jira, Asana, Trello, Trac"
12116,"Results-driven professional with over 8 years of experience in business analysis and administration of IT systems and services in top international banks. Proven track record of delivering successful implementations and providing high-quality support.

Key Experience:
- Successfully implemented Oracle Hyperion Planning in 2 Ukrainian banks (TOP 10), leveraging expertise in business analysis, project management, and technical documentation.
- Managed complex projects and collaborated with cross-functional teams to drive results.
- Utilized Agile methodologies and tools such as Redmine and Jira to ensure efficient project execution.

Technical Skills:
- Oracle Hyperion Planning (OHP)
- SAP ERP system (HR, LSO, TMC, Portal, Performance)
- IT-Enterprise ERP-system (HR: Performance and Payroll, E-Documentation)
- MDX

Professional Responsibilities:
- Business analysis and administration of budgeting process and financial reporting
- Technical documentation preparation (business/functional requirements, user guides)
- Project management and implementation of Oracle Hyperion and IT-Enterprise ERP-systems
- Test cases, testing, bug tracking, and fixing
- Development and support of SAP ERP system

Methodologies and Tools:
- Agile
- Redmine
- Jira
- Business analysis and project management best practices

Education and Certifications: 
None specified 

Note: Since no education or certification information was provided, this section is included to indicate that this information is not available."
12122,"Business Process Engineer Lead
2022-02 – 2022-09
- Led a team of 17.5 FTE in implementation projects
- Planned and allocated resources according to project timelines and business needs
- Monitored and controlled project progress and timelines with internal stakeholders
- Prepared and submitted reports to internal stakeholders
- Ensured high-quality services to internal and external parties
- Organized and delivered internal training sessions
- Initiated and implemented internal process improvements
- Created and maintained internal documentation

Solution Engineer for EMEA, APAC, LATAM, and NA
2019-09 – 2022-01
- Defined, analyzed, and interpreted data and system requirements for clients
- Designed and proposed solutions based on client demands and system functionalities
- Collaborated with Business Analysts to interpret business rules and requirements
- Initiated and supported internal projects and initiatives
- Developed project documentation for internal and external users
- Organized, led, and participated in webinars

Project Manager for EMEA, APAC, and NA
2018-02 – 2019-08
- Managed and coordinated multiple implementation projects for multi-national clients
- Planned, aligned, and executed projects with internal and external parties
- Provided regular project updates to internal and external stakeholders
- Ensured timely project delivery and met deadlines
- Created and maintained project documentation for internal and external users
- Organized, led, and participated in webinars

Implementation Specialist
2014-07 – 2018-01
- Analyzed and processed requests and data for new carrier implementations
- Implemented and integrated new providers into the online platform
- Organized, led, and participated in webinars
- Led the final testing and quality assurance stage of implemented logics
- Created and maintained internal documentation for IT departments
- Prepared and submitted reports to external users
- Collaborated with Operations and IT departments
- Optimized and improved existing processes
- Delivered internal training sessions

Data Analyst
2012-10 – 2014-06
- Prepared and submitted reports to external users
- Led the final testing and quality assurance stage
- Analyzed and implemented rate cards into the online platform
- Updated and maintained internal and external documentation"
12124,"**Summary**
Results-driven business analyst and project manager with over 20 years of experience in business analysis, project management, and process automation for international companies across various business domains, including payment technologies, finance, B2B sales, and IT service management.

**Technical Experience**

* **Banking:**
  + Implemented SWIFT payments in a mobile banking application, collecting requirements and developing Camunda processes, ESB, and OKD services.
  + Automated mortgage loan processes, including customer form development and integration with the Diia API.
  + Developed and certified POS-terminal software for international payment systems (VISA and MasterCard).
  + Implemented and administered a local payment card system.
* **B2B Sales:**
  + Automated sales and delivery processes, defining business processes and implementing them in Bitrix24 CRM.
  + Defined and implemented HR processes for onboarding, dismissal, and vacation in Bitrix24 CRM.
* **IT Service Management:**
  + Automated service delivery processes, creating and implementing processes in the Service Desk system based on Microsoft Dynamic CRM.
  + Integrated the Service Desk system with customer issue tracking systems, developing an API integration protocol.

**Business Analysis and Project Management**

* Utilized business analysis skills to organize effective communication between IT and business units for system development, implementation, and support.
* Gathered business needs and objectives to evaluate new or enhanced functionality.
* Participated in business development and project discovery phases.
* Defined and optimized business process workflows, creating automated processes from scratch.
* Developed project artifacts, including BRD, Vision, Project Profile, and Software Requirement Specification.
* Managed projects according to PMBOOK and Agile best practices, leading teams of up to 15 employees and departments of up to 100 employees.

**Preferred Role**
Business Analyst, with potential for combination with Project Management responsibilities."
12141,"**Summary**
Results-driven professional with experience in team management, marketing, and IT project development, seeking to leverage technical background and managerial expertise in an IT Business Analyst or Project Manager role.

**Experience**
Team Leader, Promotion of Professional Exchanges, AIESEC
- Led a team to achieve twice the number of LEADs within a month
Marketing Team Manager, AIESEC
- Successfully managed the marketing team while balancing university responsibilities and personal life
Head of Outgoing Volunteer Exchanges, AIESEC in Kharkiv
- Managed a department of 13 people and worked in the Executive Board team
- Analyzed the current state, created a strategy, and adapted it to war realities
IT Project Experience, Kharkiv Polytechnic University
- Contributed to two IT projects, including generating realistic interference patterns and developing an application prototype
- Responsibilities included technical task creation, studying working areas, writing documentation, and algorithm adaptation and coding
- Worked as a Business Analyst, communicating with customers and professors, and creating technical tasks and prototypes

**Skills**
- Team management and leadership
- Marketing and promotion
- Time management and self-organization
- IT project development and management
- Business analysis and communication
- Adaptability and strategy development

**Education**
Currently studying at Kharkiv Polytechnic University

**Personal Growth**
- Developed skills in marketing, team management, product management, and soft skills through AIESEC experiences
- Gained experience in IT project development and management through university projects"
12143,"Summary: 
Results-driven business analyst with 5 years of experience in e-services, skilled in system analysis, entity relationship diagrams, and data flow diagrams, driving business growth through detailed analysis and strategic decision-making.

Experience: 
- Conducted in-depth analysis of requirements, user cases, and data flow diagrams for multiple projects, enhancing project efficiency and effectiveness
- Performed comprehensive system analyses and created entity relationship diagrams to optimize system performance
- Conducted thorough business analysis of the apps market and Apple Wallet service for Android and Windows Phone, identifying key trends and opportunities
- Participated in strategic decision-making for creating own service and assisted in the sales process, driving business expansion and revenue growth
- Researched and developed innovative concepts in ""E-government"", ""E-citizen"", and ""E-democracy"", promoting digital transformation and citizen engagement
- Authored the framework for ""E-vote"" in cooperation with Bank ""PrivatBank"" and local government, facilitating seamless interaction among government, business, and citizens
- Utilized CRM systems and managed projects using MS Project manager, ensuring timely project delivery and customer satisfaction

Skills: 
- Business analysis and system analysis
- Data flow diagrams (DFD) and entity relationship diagrams (ERD)
- BABOK, PMBOK, Agile, and Scrum methodologies
- MantisBT and Redmine tools
- CRM systems (AMO, ZOHO)
- Professional writing of scientific articles, guides, and handbooks
- Language proficiency: French (Advanced), Bulgarian (reading and verbal)

Publications: 
- Authored approximately 20 scientific articles on e-government

Career Interests: 
- Full utilization of skills
- Interesting challenges
- Career growth opportunities
- Professional training and development programs"
12149,"Results-driven IT professional with over 15 years of experience in Insurance and Investment Banking domains, seeking a Managing, Product Owner, or BA Lead position in a software company.

Key Achievements:
- Successfully implemented a complex system in 4 large companies as a key employee on a major project.

Skills and Expertise:
- Proven leading and managing abilities
- Ability to work to rigorous deadlines and stay within quoted budgets
- Strong understanding of customer needs with the ability to prioritize them effectively
- Attention to detail with the capacity to work in pressurized, time-sensitive environments
- Comprehensive requirement gathering and documentation skills
- Developer background with an understanding of the software development life-cycle
- In-depth knowledge of Insurance and Investment Banking subject areas

Career Highlights:
- Over 15 years of experience in IT, primarily in Insurance and Investment Banking
- Demonstrated ability to work effectively in fast-paced environments, ensuring timely and budget-friendly project completion."
12161,"Business Analysis Laboratory Educational Program Graduate

Key Skills:
- Self-organization and time management
- Business, functional, and non-fictional writing
- Strong written, verbal, and interpersonal communication
- Negotiation, presentation, and facilitation
- Business Analysis theory and practice
- BPMN and wireframe creation

Experience:
Business Analysis Laboratory Educational Program
- Gained practical experience in writing business, functional, and non-fictional requirements
- Created BPMN and wireframes
- Developed strong communication, negotiation, presentation, and facilitation skills through program completion"
12252,"Results-driven professional with a proven track record of delivering successful web projects and mobile applications, including 2 projects that paid off completely within 3 months of launch.

Key accomplishments:
- Created a High-Load Big Data sports analytics system and mobile apps from scratch
- Developed the first AR/VR E-commerce marketplace for Persian Gulf Countries from scratch
- Launched websites under 100+ domains, now operating globally

Occupied positions:
- Project Manager
- Business Analyst
- Product Manager

Technical expertise:
- Development of websites, web apps, mobile apps, and AR/VR apps
- Experience with Stock Markets, Equities, Trading platforms
- High-load e-commerce marketplace and e-commerce platforms
- Gambling, Sports betting, and sports analytics

Leadership experience:
- Managed PM/BA teams, consisting of 5 separate teams: Back-end, Front-end, Mobile app, Design, and QA
- Team composition:
  - Back-end: 6 developers
  - Front-end: 4 developers
  - Mobile app: 4 developers (iOS/Android)
  - Design: 2 designers
  - QA: 4 engineers
  - Additional support: 1 DevOps engineer, 1 Technical Writer

Technology stack:
- Backend: Microservices Architecture, Kubernetes, PHP Symfony, API, GraphQL, PostgreSQL DB, Redis, RabbitMQ, ElasticSearch
- Frontend: React.js, Redux, React-Router, NPM, Webpack3
- Mobile app: Kotlin, Swift, Augmented & Virtual Reality (AR/VR)"
12408,"**Summary**
Results-driven banking and finance professional with 12+ years of experience, including 5+ years in business analysis and 2+ years in project management, offering expertise in project management, business analysis, financial analysis, risk management, and related fields.

**Professional Experience**
* Launched a telecom project for a US state customer, driving successful implementation
* Enhanced a new ecommerce platform solution, delivering improved functionality
* Developed and enriched a Treasury management system solution for large corporates and SMEs, meeting diverse client needs
* Contributed to the development of new banking software, specifically the Treasury module
* Implemented the financial estimation information system for CIS banks, enhancing operational efficiency

**Skills**
* Project management
* Business analysis
* Financial analysis
* Risk management
* Banking
* Insurance
* Treasury and cash management systems
* Ecommerce
* Telecom expense management
* Advanced English and French language proficiency
* Excellent presentation and communication skills

**Certifications**
* IREB Certificate for Requirements Engineering Foundation Level (2018, No 18-CPREFL-137936-20)

**Technical Skills**
* SQL
* VBA
* Jira
* Confluence
* ServiceNow
* TFS
* SAP Hybris
* TeamWork
* Ms Project
* Modeling tools (Ms Visio, Balsamiq, Draw io)

**Career Interests**
Challenging and interesting projects utilizing modern technologies."
