,resume
2555,"Will be provided during the interview
• 5 years as a Sales Assistant in international companies within Chemical raw materials distribution industry. 
• 5 years as a Customer Support/Account Manager being promoted to Support Team Lead in EdTech company providing services to Western Market (Western Europe and USA)
• 1 year as an EdTech project manager (lead generation, outbound sales, support) within secondary and higher education sphere on the Western Market 
- advanced user of IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, Canva);
- general knowledge of programming concepts (Java)
Stability of income 
Growth 
Healthy atmosphere"
2556,"
As an Account Manager, I was communicating with the clients via emails, cold and hot calling, participating in demos, testing the application, creating the company profiles and updating the application accordingly, helping clients with any questions and inquiries regarding the application that they may have. I found my ways to make the clients interested in the product and help them make the most of it. I also was creating content for the website (blogs and tutorials) on a regular basis. Examples to be provided upon request. 
As a Sales Support Agent, I performed Ukrainian and Russian market investigation and research, and helped British company to expand to Estern European market, communicating with business owners and representatives, B2B sales, filling all the necessary reports.
As a Customer Support Agent, I found the solutions to thousands customer service issues by was communicating with customers from USA, Canada and Great Britain via telephone and emails, providing solutions to the customer service issues, making adjustments to the customers profiles and subscriptions, making the refunds if necessary, ensuring the customer is satisfied with the outcome, working with CRM, quality assurance – analyzing the calls taken by the outsource company, correcting the mistakes in the system if needed, calling the customers back to ensure customer satisfaction, filling all the necessary reports.
"
2577,"Workflow and standard operation processes optimization, successfully managing and making sure my team’s tasks are completed and met. Successfully maintaining and administrating a Salesforce lead/records database. Running and administrating 2 e-commerce businesses at the same time.
Job Title: Project Coordinator

Tasks: 

My tasks as Project Coordinator in Upwork Premium Services team included:
* Measuring the efficiency of the services our team provided by means of contrastive analysis & reporting
* Delivering overall administrative support of the program
* Importing & maintaining lead data in Salesforce
* Monitoring & reporting team's activity on overdue tasks/tickets
* Handling high-value escalations sent by internal teams 
* Revising current processes and making improvements/amendments


Job Title: Online Store Project Manager (remote)

When working on this project I managed to optimize the workflow by delivering high-quality customer service, handling a big volume of time-sensitive tasks and being result-oriented.

My tasks included:
- Managing backend admin panel
- Working with hosting infrastructure (managing dedicated servers and businesses, 1-st line support)
- Dispatch management
- Resolving support tickets

Job Title: Talent Agent Admin & Talent Specialist

My role as the Admin & Talent Specialist included:
* Sourcing high caliber talent for Upwork internal teams and Upwork Clients
* Conducting video interviews with Upwork Freelancers from Americas, Europe & Asia
* Creating & handling Jira tickets
* Optimizing operations and looking for ways to improve both the efficiency and quality of the program
* Creating, maintaining and improving SOP documentation

Job Title: Magento E-Commerce Project Manager

My key responsibilities as Project Manager and Business Manager included:

- Creating and assigning tasks to the dev team, improving UI optimization
- Cooperation with SEO and marketing team
- Conducting performance review meetings
- Establishing cooperation with manufacturers/suppliers worldwide and setting them up as vendors
- Managing stock, configuring payment, shipping methods and shipping rates in Magento
- Managing orders, dispatch, and refunds
- Dealing with customer inquiries and resolving complaints
Big project, with a well-structured team, standardized operational procedures, yet with room for improvement. It can be both an outsourcing or a product project."
2582,"I have a PhD degree in Economics (Candidate of Economic Sciences), 2018.

Key achievements at Kyiv-Mohyla Business School [kmbs]:
• I suggested improvements to the logic of the medium-term program that enabled participants to introduce changes in their businesses easier than before; they also demonstrated better understanding of the content.
• I was selected to the team focused on implementation of the new CRM system. I was responsible for testing it, bug reporting and designing the interface based on processes and needs of our department.
• I was appointed to the commission that evaluated the participants’ graduation projects on the medium-term program. 

Additionaly:
• I scored 7.0 at IELTS Academic test (International English Language Testing System) - 2011, 2014
• I was Participant of the Internship Program at the Presidential Administration of Ukraine (USAID Rada Program and Interns' League)
• I have accomplished 6 online courses at Coursera: “An Introduction to Marketing”; “Critical Perspectives on Management”; “Critical Thinking in Global Challenges”; “A Beginner's Guide to Irrational Behavior”; “Games without Chance: Combinatorial Game Theory”; “Fundamentals of Global Energy Business”.
1. Project Manager at Ukrainian Social Academy.  Jul 2019 – March 2020.
• Conducted analysis of competitors, their products and promotion;
• Formulated logics and questions for depth interview, conducted depth interview, analysed and interpreted the results;
• Outlined portrait of a client (Target Audience), client segments, their characteristics and behavior, needs, “pains” and gains, value we create for them;
• Created the concept of the product (educational program): structure, objectives, sequence of topics, expected outcomes and experts involved;
• Produced requirements regarding experts’ (lecturers’) focus and objectives, analysed their proposals and negotiated updates to the program;
• Created the promotion plan for the product, coordinated its realisation and responsibilities regarding it;
• Formulated draft texts and messages for Facebook posts;
• Produced provisional budget for the product;
• Communicated with clients, defined their needs and analysed them;
• Tested new company website.
--------
2. Project Manager at EdEra. April 2019 - May 2019.
--------
3. Account & Project Manager at Kyiv Mohyla Business School [kmbs]. May 2016 - July 2018.
• Managing the Executive Development Programs (the Projects) at all stages (from scheduling and promotion to retrospective and development of suggestions);
• Managing multiple projects at the same time;
• Identifying key expectations, needs and goals of clients and their businesses; advising them;
• Managing client relationships and providing clients with excellent service and support;
• Coordination with Marketing and Finance departments;
• Developing marketing plans for the Programs;
• Representing the school at external events to support business development efforts, communication with prospective clients;
• Interacting with clients to collect feedback for product improvement and for advising clients’;
• Suggesting Program improvements and providing senior staff with retrospective on Program results;
• Coaching new team members and familiarising them with processes;
• Coordination & preparation of texts and concepts for promotional materials and mailings;
• Company website administration;
• Working with CRM & analytics, development of the CRM system;
• Working with LMS (Learning Management System).
--------
4. Internship at Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv (Ліга Інтернів). Nov 2014 - Jul 2015
I dream about being a part of a company that has a meaningful mission and that creates new opportunities for our life. I am passionate about ideas and solutions that have positive impact on both social and business processes."
2583,"Genesis - Sendios.io 
 - rebuilt the account flow for managing clients' tasks for the whole team;  

Coreteka
- as product manager launched the updated version of website of the company 

BitMedia - sales and account manager
 - growth of advertiser cost through the whole network on 20%; 
 - set up the Pipedrive CRM system; 

MGID -  user acquisition manager
- closed 2 times more clients for 3 months in a row in comparison with colleagues; 
 - team education: presentations, delivering
I am an experienced account and digital marketing professional with over 4-years of experience in B2B/B2C working 
with AdTech and Crypto products. 
Skilled in E-mail marketing, Communications, Digital Marketing Project Management. 
Mostly motivated by the fast-paced environment, the strong team of professionals and challenging tasks. 
I’m eager to make my way in direction of retention of users and product development. 

My current work is in Genesis company on Sendios.io project as an Account Project manager. 

I want to continue my journey working as a Project Manager or Retention Manager.
"
2584,"- Multi-tasker with the ability to juggle many projects (56 simultaneously)
- Hands-on experience of working on Project Management tools (Teamwork, Asana, Notion)
- 143 projects completed 
- Total managed projects budget - 310 000 USD 
- Created and conducted training on negotiation techniques and troubleshooting for company employees
- Mentoring 3 jPMs (raised 1 project manager to middle level)
Proactive self-starter who understands business in general. I have an enviable track record of projects and extensive experience building, maintaining, and running digital marketing campaigns.
Adept in all aspects of project management including planning, budget management, and coordinating all working parts of the project. Experienced in working directly with clients to ensure all the goals of a project are achieved and met within scope and budget.


My responsibilities as a Lead Account Executive:

 - Establish, develop and lead strong partnerships and collaborations by influencing and advocating for company strategic priorities
- Creating techniques to attract prospective customers and keeping the current ones
- Conducting market research and analysis to create detailed business plans on sales opportunities

My responsibilities as a Middle Project Manager: 

- Coordinating and managing multi-functional project teams (of 10-15 people) to ensure the success of marketing campaigns
- Overseeing strategic goals and tactical decisions with weekly cross-functional meetings 
- Mentoring Junior Project managers
"
2585,"Completed my bachelor and master studies in Germany. Holding an international master degree with a ""very good"" grade and a multilingual certification German/English.
Managing a team of sales and account managers as the head of business development department. Increased the revenue growth in the respective market by 50%. Managing a big integration project with third software supplier (Top European ECM Software Solution).
Result-oriented PM, marketing and sales professional with a proven track record of managing highly successful projects and increasing revenue growth in competitive markets. 

I am experienced with business process expertise around Marketing, Sales and IT and have professional experience collaborating in an Agile / Scrum environment and working in international teams. On the other side I keep developing my technical background following my natural born curiosity for new information technologies and attend workshops and courses on Online-Marketing, Scrum, Agile Project Management, Lean Project Management etc.
Working for a company that has a good reputation, that one can be proud of working for;
Want to progress in my job, having the chance to advance in the company;
Having coworkers who are competent, congenial and are good team-players;
Possibility to travel and to improve my skills."
2586,"
More details in CV 

7 years of experience in client service and project management



Account Project Manager
Media Agency Vizeum (Dentsu)  - (1,6 years) 

•	Organization and coordination of interaction between the Agency and the Client in the process of development, approval, and implementation of projects/products;
•	Daily communication and client service for the local and global client and customer teams;
•	Complex client management in the media: Planning media strategy in all types of media: TV (+TV Sp-p), ООН, Radio, Digital;

Senior Account Manager
Marketing Services Agency Adsapience – (3.1 years) 

•	Account Management: development of concepts for brand/product promotion; building the structure of operational processes; daily customer support, processing customer requests; preparation of project budgets.
•	IT Project Management: coordination of web developers team - web-sites&App development; supervising Nationalteleconferences;
•	Operations Management: continuous communication with 4-5 other teams of the specific area (product development, creative, digital, production, legal. logistics, etc.); Managing and participating in all procedural processes.
•	Team Leading: leading mass BTL, B2B, B2C events; partner integrations; coordination of a team of more than 20+ people; training and quality control of middle managers.
•	Customer support: coordination of the implementation of services for the client; handling problems and providing better solutions.
.

Account Manager
Marketing Agency TMA Ukraine – (1,9 years) 

•	Development and integration of marketing promotion for the shopping and entertainment center (Kyiv); 318 projects with an attendance of up to 55,000 people a day.
•	Coordination of the different types of trade-marketing projects, full-cycle management of all processes;
"
2587,"
Account and project management for Dutch SAAS company, we build software that helps companies map their supply chains and obtain verified data about the risks in the supply chain. 
Target market: Europe. 
Supply management: Worldwide. 
Software: besides in-house, Teamleader, MS Office, Tableau.
Tasks: advise international clients on our solutions and market developments, prepare budgets, manage ongoing projects and coordinate IT team, main contact point for any questions/problems, responsible for client satisfaction.
"
2588,"Launched large projects in different shopping centers all over Ukraine (e.g. Vodafone, Davidoff, Mary Key, Glo, Lays, OPPO, Vitto Rossi, Fellini, Vivo etc)
Account manager
ProfiAds ( Advertising & Event agency) (June 2015 – present time)
Key Qualifications & Responsibilities:
- Led documentation (negotiation with clients, signed contracts, customer communication,corresponded with the shopping center,budgeted)
- Held meetings on location, placement agreement, supervision of the launch in differentcities
- Coordinated teamwork (communication with the designer to createa layout, approved of the layout with client) 
- Created advertising placement (printed layout, found contractors, installation, solving organization problems (import/export equipment), made permissions,controlled of the installation/dismantling
"
2589,"- 5+ years of experience in product and outsource companies
- 19 commercially launched projects
Hello there,

I'm a result-oriented Account Manager/Project Manager with 5+ years’ experience of working in product and outsource companies. Organized and diligent with written, oral, and interpersonal communication skills. Stress resistant, able to work under pressure, and manage several projects simultaneously.

My regular tasks are:
- Facilitating Scrum events in different teams;
- Planning and managing internal and external project communications;
- Controlling staffing process;
- Managing project, financial, and invoicing documentation and processes;
- Managing internal delivery teams to ensure successful delivery;
- Estimating requests for software implementation (goals, cost, scope of work, efficiency);
- Planning software development process, controlling the execution of software development plans;
- People management. Building effective and collaborative project teams. Promoting effective individual and team performance.

I'm a positive and open-minded team player interested in the project's success and personal growth.

I'm looking for a company with a strong team spirit where I will be able to continue increasing my experience and skills.
I'm looking for a company with a strong team spirit where I will be able to continue increasing my experience and skills."
2590,"What I'm most proud of is my long-term relationships of rapport with the customers I've built within the last 4 years.
I have been working as a Sales Account Manager for over 4 years now. 
My main responsibilities comprise the following: 
- processing of verified leads, 
- getting to understand customers' needs and being able to respond effectively with a plan of how to meet these;
- gathering project requirements and coming up with project quotes;
- negotiating and closing deals;
- running accounts upon the project start;
- moderating business meetings with prospects/customers and the team;
- issuing invoices.
I feel really comfortable communicating with the customers and bridging the gaps between customers and development teams. So, I would love to develop in the sphere of Account/Project management.
What I value most is an informal and friendly team spirit, well-established business processes and having an advisor during the initial stage."
2591,"
My work experience as an account/project manager is one and a half years.
 
Communication is one of the vital features of my character that helps me notch up better work results. Due to my skills and the ability to interact with people, I can easily find common ground with the team and customers. I am proficient at making contracts and agreements, preparing a budget for a client, and testing websites. I know how to prioritize tasks and to perform them efficiently.
 
Moreover, I am experienced in managing a few projects at the same time, I am accurate and very responsible. I also always evaluate the results and analyze the difficulties that have occurred during the process to avoid them in the future.
I am committed and determined, and the thing I most relish is the quality of work.
"
2592,"- As I am working in an international company, at age 21 I am the only Account Manger for the whole region and coordinate the team of 10 people. 
- I was managed to sell B2B functionalities of the company for more than 4000 euros.
- As an Account Manager I was managed to double my top 10 partners' revenue in 2-3 months 
- I am proud of my PM experience as one of my biggest projects has 400 participants with a revenue of 27 000$ quarterly  
- I am a proud Alumna of Study US Institutions program for Women Leaders and was selected for my projects among 200 candidates in the USA where I presented my country, 2019
- I am a winner of the International Case championship in Almaty, 2018
- My story was published in the popular local internet resource))
Key Account Manager - Glovo

In the fastest-growing delivery player in Europe, Africa, and Asia, as the only AM of the country, I was:

- Selling in-app instruments and prom campaigns to partners in order to increase their GMV and CPO of the company for 4 000 euros monthly
- Developing and managing partner relationships for all the accounts in the portfolio.

- Own strategic partner relationships end to end, including understanding P&L tracking, managing deep product integrations, leading co-marketing efforts to drive awareness and activation, and ensuring operational excellence

- Delivering day to day campaign execution, optimization, and analysis across multiple clients
- Being responsible for our partner's business performance, analyzing their main KPIs, and ensuring growth MoM. Track and reporting of performance metrics
- Getting feedback from our partners and translating it into a product, marketing, and operations improvement. 
- Being the main POC between Glovo's different areas and the Partner.



Project  Coordinator/ Founder 


The aim of the project is to help students to learn the basics of business with the  opportunity to enter the best university with a big discount 
Working on inbound and outbound leads 
Conducting training for Bishkek and region coordinators
Mentoring and preparing teams to participate in the project 
Managing technical and administrative teams of 60 people
Working with the vision and scope of the team. 

Key Customer Manager, Dubai

Promoting vendor’s products and increasing sales
Designing and implementing a strategic sales plan 
Being the lead point of contact for all customer account matters
Building and maintaining long-lasting relationships 
The testing hypothesis to successful customer relationships
Negotiating contracts and closing agreements with new leads
Onboarding of new customers ( first meetings, training)
Creating showcases of vendors on the backend panel of the website

Assets Sales Manager 

Sold assets worth more than 20000$  in 3 months 
Ensures that product and sales materials are always updated and focused for the applicable presentation, conference, or opportunity.
Preparing a franchise for sale
Financial reporting
Excuse my long storytime))

Being an individual who always radiates contagious positivity and sincere passion around people's development, I enjoy transforming something strong into something superb. It is easy for me to put my thoughts into words and naturally interact smoothly with individuals at different levels within the organization. 
Throughout my journey of PM and AM, I explored various fields of this function including planning and developing the project ideas, ensuring stakeholder satisfaction, evaluating project performance, developing strong relationships with customers, and identifying new business opportunities.
Making a positive difference in people's journeys truly reflects my beliefs and values.


Therefore I believe I can work most effectively with a team where we care and support each other. The driven gas and ambitions of the company are what motivates me to work and grow as a professional. 

Values that I care about in a company: 
Ownership, drive, healthy atmosphere, and growth"
2594,"As an Event Sales Manager at hotel and restaurant complex successfully sold and implemented 300+ projects.
showed upsales up to 200% from primary cost. 
Built long-term relationship with clients (2-8 projects with good and excellent feedback).

I hired, trained and managed team of 8 people, engaged 20+ partners for startup

Being an Account Manager (btl), chose and trained personnel that showed 30% higher results than expected
10+ years of successful account and project management, including sales for B2B and B2C.

Hire, train, motivate and manage efficient teams. Developed startup from scratch.
Have deep marketing knowledge. Creative, goal-oriented and strong negotiator.

3+ years of Event Sales Management (hotel and restaurant complex),
5+ years of  Account Management and Event Coordination
Looking for opportunities to use previous experience and to get new  professional challenges.
Most preferable positions - Event Manager / Account Manager / Project Manager.

No cold sales"
2595,"
I am willing to push the envelope of my professional expertise withing international sales and business development. Have an experience in key international global accounts management. Good communication skills, analytical abilities and strong desire of self-perfection

Started from Sales Manager (2 years), became a Head of Sales Department (1,5 year) and then moved to Global Account Management (2 years).
Looking for Account management rather than primary sales;
not interested in sales team management"
2597,"As a Product Manager, I successfully opened a new sales direction in one of the most popular educational platforms in the USA (to Australia)

As a Project Manager, I managed from 2 to 20 FTE, up to 10 projects simultaneously, I have experience in various fields such as Finance, Logistics, Mobile games, Services, E-commerce and E-learning, CRM / ERP, Sports, and Entertainment, etc.

As a Scrum Master, I successfully set up processes according to the Scrum methodology, worked with the Agile mindset of team members, created road maps, and conducted annual evaluations

Hobby:

Speaker at A-Level School
April 2019 – Present

Digital Drawing
Last three places:

Senior Projecct Manager, Scrum Master, Business Analyst, some Product Management responsibilities 
September 2022 – August 2023 (the project is over)

- mentoring and coaching team on Agile ceremonies, practices, roles, and artifacts; 
- facilitation of Scrum ceremonies and adaptation them to the team needs (make sure the team adheres to Scrum values);
- helping the team not to lose focus on priorities and achieve Sprint and product goals;
- identify the customer needs, define a vision, and align Stakeholders behind a specific vision; 
- prioritize product features and capabilities; 
- establish and monitor timelines in association with the product launch.

Areas of competence:
Product backlog management;
Annual planning and OK (Objectives and Key Results) methodology;
People management and coordination;
Able to balancing critical issue resolution and competing priorities;
Project progress and metrics reporting for project teams and customers.

Senior Project Manager, Scrum Master
August 2019 – August 2022

- manage web, desktop, and mobile applications development processes; 
- manage several projects in parallel;
- manage project issues and risks;
- facilitate Scrum events and adapt them to the team needs (make sure the team adheres to Scrum values);
- monitor progress (to deliver the milestones according to demo plan);
- help the team not to lose focus on priorities and achieve sprint and product goals;
- hold One2One meetings with team members;
- support the team in emerging issues and react immediately if something happens.

Areas of competence:
Project management;
People management and coordination;
Management of co-located and distributed teams;
Product backlog management and planning iterations.

Appus Studio, Kharkov, Ukraine
Team Lead Project Manager
May 2019 – August 2019

- assistance in the development of the project. In particular:
	 implementation of tasks of increased complexity;
	 elimination of critical or complex errors.
- setting clear goals and priorities;
- experience in providing technical advice to employees of the company;
- participation in calls and meetings with customers, also at the request of other managers;
- participation in the process of adaptation and motivation of employees of their department;
- participation in interviews at the request of the personnel manager;
- the choice of technologies for project development, as well as project architecture planning.
"
2645,"Created absolutely new workspace from the scratch for the project in Monday CRM to keep the team members updated on a daily basis;
Trained 5 interns that eventually became strong part of the team.
Helped more than 200 clients to get their accounts approved in the US banks.
 Developed an external e-learning course on grant writing from scratch, leveraging the LearnWorlds.com platform.
Project Manager at non-profits.
- Convert all existing spreadsheets of the business to the Monday CRM system, streamlining data management and improving efficiency in the organization's workflows.
- Leed the integration and training process to ensure a seamless transition for all team members to the new CRM system.
- Prepare comprehensive monthly and quarterly reports for existing clients, highlighting key performance metrics and achievements.
- Establish a standardized reporting process, leading to improved client satisfaction and retention.
- E-Learning Course Developing. 
- Develope an external e-learning course on grant writing from scratch, leveraging the LearnWorlds.com platform.

Underwriting Manager:
-Receiving and evaluating the application package received from the clients, ISOs and etc. Reviewed more than 600 applications packages, and gave my feedback; 
-Analyse statistical data using specialised computer programs. (Jarvis CRM, etc.) 
-Boarding the approved merchants’ application in the system. In total 95 applications have been created and boarded;
Keeping in touch with new and existing clients on a daily basis;

Account Manager:
- Pre-filling the application package based on the provided clients’ supporting documents. 
-Submitting the application package to the banks , keeping in touch with the representatives of the bank in order to be to updated about the status of all our clients’ accounts;
-Training new employees, informing them about the company’s customer management policies . 
-Keeping the workflow in the CRM updated.
"
2654,"
07/2022 - present time - Account Manager at Sparkybit (Germany)

Key responsibilities:
• Building and maintaining strong, long-lasting customer relationships 
• Resolving complaints and preventing potential issues 
• Carrying out client satisfaction surveys and reviews 
• Engage in consistent customer meetings to positively impact client loyalty and revenue growth 
• Managing existing accounts, solving business and technical issues in collaboration with the team


01/2022 – 06/2022 – Account Manager at DevPals AB (Sweden)

Key responsibilities:
• Communication with clients and ensuring customer success and satisfaction
• Develop trusted advisor relationships with key accounts 
• Assistance with challenging client requests or issue escalations 
• Ensure the timely and successful delivery of solutions according to customer needs
• Assistance in lead generation on Upwork


11/2017 - 09/2021 – Business Sales Manager at North-wine (Denmark)
    
Key responsibilities:
• search for new key customers 
• calls to potential clients to introduce our website assistance in controlling the product range and its display on the website 
• correspondence with existing customers to determine their needs and find suitable products for them 
• assistance in working on a database of the products, pricing management and wine market monitoring


10/2016 – 11/2017 – Head of Logistics at Gold.ua (Ukraine)

Key responsibilities:
• control of delivery at all stages as well as control of receivables over all branches of the company
• making complaints to get compensation when the order was lost or damaged
• settlement of disputes with customers in case of problems with the timely delivery of goods
"
