,resume
30845,"Completed a 6-month UI/UX design course.
Additionally studied HTML/CSS.
3 works were successfully defended and presented:
website redesign projects for a real estate company; 
created a travel website;
mobile application for booking tables in restaurants.
Dynamic junior UI/UX designer with a passion for creating
seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

Real estate site redesign
This project is a website redesign for a real estate company located in Destin, Florida.
The design of the existing site looks outdated, is not very user-friendly, has poor quality photos and does not contain information important to customers (for example, a user-friendly feedback or property valuation). Therefore, the goal of the project was to create a modern and convenient design that could attract potential customers.
Before starting the redesign, research and analysis of competitors was carried out. This helped to understand which successful solutions can be used for our project. Also, after studying social networks and customer feedback about real estate companies, 3 user personas and a customer journey map were compiled.

A web service that helps users find and book excursions, tours, entrance tickets, entertainment around the world
To create a web service that will help travel users to find and order tours and excursions around the world, and guide users (travel agents, companies) to post their offers about excursions.
The same requirements were put forward for the TK for the project:
1. Search for excursions, provide the opportunity to apply filters;
2. View and choose excursions by category. Also add filters;
3. The possibility of registration via e-mail, Google or Facebook;
4. Possibility to order an excursion and pay by card when placing an order;
5. The form for creating an announcement for an excursion for guides.
To complete this task:
1. The market of competitors was analyzed;
2. Done by JTD;
3. CJM;
4. Also made User flow
5. After that, Wireframes were made;
6. Made a UI-Kit;
7. Finally, the design is adaptive
I am looking for a full-time position in a product company that focuses on creating digital products for everyday life and business.
I am a quick learner, responsible, and ready to perform complex tasks."
32072,"In my current role as a UI/UX designer, I:

1. I improve the onboarding process of a financial institution app by 35%.
2. I led a team of 4 designers in creating visually appealing and functional products that resonate with the users and meet the business objectives.
3. Used Agile planning principles to deliver tailored solutions that met customer requirements.
4. Used wireframes, mock ups and prototypes to establish user interface design and architecture
In my most recent role, I help to improve the audience management system of a SaaS tool by 25%. This accomplishment is a testament to my ability to design solutions that are not only aesthetically pleasing but also drive business results.
"
46443,"Over 10 years of commercial experience in design and development of web solutions.

I design large CRM and SaaS projects, mobile and desktop applications.
I consider my main task to be the creation and maintenance of a Design System in products to simplify and accelerate the product development process.
Creation of large design systems from design to implementation in React and Storybook.
I've held positions from Graphic Designer to Product Designer.
I managed the creation of a product from scratch without specifications to a release version in 3-4 weeks several times!
Designed and developed over 50 landing pages and promo pages - and already over 10 user cabinets.
Implemented various functionalities - from trendy dashboards to very specific things - like a system of smart timers or a photo editor...
I'm proficient in: Figma, Sketch, and the Adobe CC suite// and so much more... (HTML, CSS, JS, React, Next.js, wordpress,  Storybook).
I am looking for a company or a team of developers - who are bold enough to at least try to change this world a little!
So, if you are such a company, with high demands on the quality of results, and you want to improve the user experience with your product, or you simply lack a person who can handle UI/UX, branding, and corporate style matters, or if you need a specialist who will create or maintain the design system of your product in order... Write to me!
Interesting and useful products for people:

High engagement and professionalism of the team.
The opportunity to influence the development of the product - and proper management.
The opportunity to lead the product or part of it."
46506,"
I have experience working in a small IT company in software development.
The projects were built on the basis of the use of JavaScript technologies, the React framework. My task was to create web pages using JSX (HTML, CSS). I used the Framer Motion for animations, Mui components. I also worked with Bootstrap, Materialize, Figma and Adobe Photoshop.
"
50300,"My greatest accomplishment to date is the successful deployment of a groundbreaking customer engagement suite for a major e-commerce business. I designed the suite from the ground up, utilizing innovative technologies and processes to maximize customer acquisition, customer satisfaction, and customer retention in order to drive incremental revenue. The project was completed on time, under budget, and with rave reviews from both users and clients alike – a true testament to my technical expertise as well as my careful consideration for each step of the project. I'm incredibly proud of what I achieved with this particular project and am always looking for opportunities to build upon my successes.
I have completed various projects and tasks such as creating interfaces, integrating APIs, and developing custom plugins using React, Vue and flutter. I have also created websites and applications using Node js for backend development. 

My current role in the team is to develop frontend interfaces according to client specifications while ensuring strong usability of the system. My responsibility includes making sure that the application user experience is top notch according to industry standards, being able to work independently or collaboratively with a team of developers, being able to debug issues, performance checking application and optimizing code where necessary. Additionally, I am involved in project planning and strategizing information flows between back end databases and user interface components. 

In terms of improvement, I aim to improve my technical skillset by constantly learning new technologies and frameworks in order to stay up-to-date on latest industry trends. Also by working with experienced engineers I want to deepen my understanding of software architecture designs. Furthermore, my goal is to continue honing my skills in order to become a reliable professional for any future employer in the software industry.
"
51419,"
A few years ago I switched from programming to design (**shock**) simply because I realized I liked it better. The tasks were mostly freelance, and for the last year, I have been officially working in an IT company doing UI/UX development on an out-staff basis. I want to continue solving problems for which it's challenging to find a candidate
I'm looking for full-time position, preferably remote."
53971,"
5 years as Senior Graphic Designer
3 years as Game UI/UX Designer (Now)

Since 2019 I have been in different indie teams doing different things from 3d modeling, texturing to 3d animation. But thanks to the experience of working as a Graphic Designer, I was best at making Game Interfaces. 

For the last 1.5 years I have been working as a Game UI Designer for a big Gamedev-company.

Now i open for new opportunities
I only consider Gamedev"
53972,"
For 2+ years I drew websites, banners, and emails. 
I have been working in GameDev for 1 year. Made offers and drew decorations and banners for mobile games.

At my last place of work, I made layouts based on graphics provided by artists, or I drew the navigation elements and decors myself (depending on the project). I use such tools as Photoshop and Figma more often. I can create animations in After Effect or Figma.

I am ready for fruitful work and development.
I am interested in mobile games development and long-term cooperation with GameDev company."
53973,"I was engaged in building a design process, carried out mentoring work, independently found clients, and skill-up for staff.
I take part in updating the official website, and logo redesign for sites and applications.
Hi, I’m a Game UI/UX designer with UI Artist and animation knowledge since 2019. Before, I worked as a web designer since 2015.
I know a full circle of projects and understand the code (html, css, js). In work use Figma, Adobe Photoshop, Unreal Engine 4, and Unity. 
Responsibilities:
• Develop intuitive UX flows that are aligned with the overall design of the game.
• Create UI screens and UI elements, and prepare assets for the programmers.
• Communicate UX vision and design ideas to team members, and collaborate to get designs in-game.
• Support the development of the game with any additional skills.
I learn something new every day, and I am interested in learning languages. I go in for sports (basketball, Brazilian jiu-jitsu), practice yoga, and have a sporty and healthy lifestyle. I teach design at IT Academy (Lviv).
a friendly team focused on the useful result of the product, working flexibly and valuing each team member."
53974,"At the moment, there is already a released mobile casual game, in the development of which I participated
I am a game UI/UX designer/artist at the Ukrainian game company.
I create UI visuals for casual games from concept to final rendering and preparing sprites for further development in Unity. I work with a team of designers, managers, 2D and 3D artists, programmers.
My task is to research game interfaces and functional solutions, develop a convenient, visually attractive and unique interface, create additional game interface materials (logos, icons, buttons, pop-ups, unique mechanics), monitor the further layout of the interface in engines and stay up to date with the latest UI/UX design trends and techniques.

Graduated the Kyiv National University of Construction and Architecture and has a bachelor's degree in ""Artist-performer"".
Now I am looking for a job on interesting and varied tasks in which I can use my knowledge and skills. A strong team with which I will exchange experience."
53975,"- Graduated with honors from Web Design courses and supervised the final group project
- successfully organized the printing of materials for two exhibitions in different cities at the same time
- developed a welcome-box for new employees of the company
- 248+ successfully completed projects
- 3+ years of experience
- completed courses in English in 2022 with honors
- I continue to work actively even in this tough times
I am a UI/UX game designer with 4 years of commercial experience in Design, and 2 years of commercial experience in GameDev. 
I have worked on many different types of projects such as mobile shooters, educational games for kids, tactical MOBAs, multiplayer casual games, etc.
 	I'm the kind of developers who plays on in their spare the games they've worked and always trying to keep up to date with the latest changes.
	My responsibilities include participating in and supporting the full cycle of creation UI and UX: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation (in Unity3d, with/without developer help), and participation in game tests.
	I use Figma (for UI, vector graphics and animation), Photoshop (raster graphics), Unity3d, Jira and Confluence, Plastic SCM on a daily basis and am ready to learn new technologies.

Some facts about me:
    Led full UI development for an educational mobile game for kids with over 100,000 downloads
    Participated in the development of AAA PC MOBA
    Successfully and on time, completely updated the design and transferred to the mobile platform a PC simulator for cybersportsmen
    Have experience creating game graphics on a graphics tablet
For me, the ideal company is one that you can proudly tell your friends about. This is a friendly team, high-quality projects and sensitivity to each employee. Whether it's a big company or not, the main thing is that it creates the impression of a cozy place. I am interested in participating in both large projects and small ones, of varying complexity (because the more difficult it is, the more interesting), where you need to think a lot and learn new things. To take part in something innovative is my dream"
53976,"skill to super-fast getting knowledge
great team-worker
good teacher and leader
Skills:
game ui-art
ui-designe
3d-modeling, sculpting
texturing
character concept-art
concept-art of enviroment
illustration
character designe
creative designe
perfect english
skill to super-fast getting knowledge
great team-worker
good teacher and leader


Softs:
Photoshop
Daz Sdudio
blender
Substance painted
Substance designer
Zbrush
"
53977,"Self-starter. 
Created an exceptional motion design for a worldwide poker and casino products. 
Improved design and animation export pipeline in a few projects.
Managed team of 7+ onboard and outsourced professionals ( design, graphics, motion, animation, sounds, and dev)
- Took a part of rebranding poker brands
- Made UX/UI Design for poker application
- Contributed to creation, organisation, and distribution of project style guides, design systems, and asset libraries
- Made Gaming Motion & Animations for Poker and Casino Games (Slots, Bettings, BlackJack)
- Built up clean and scalable AE projects architecture
- Motion graphics for live online event
- Contributed in creation and organisation Gaming Design team
- Improved accordance of Design&Animations of application in collaboration with development team, provide new technologies in workflow 
- Improved visual and gaming experience of product
- Designed exhaustive briefs (specs) and accompanied to the final result design, graphic, motion, sound artists, and devs
- Created design and storyboards for the promotional videos
The opportunity to use my experience in the gaming industry, and receive new ones from the leading specialists in the industry.
 Create concrete products of the highest quality.
 Disentangle tasks, and take responsibility for the result.
 Motivate the team, and share the desire to create a top product."
53978,"
UI/UX Designer looking to use proven prototyping skills to improve the UI and game
experience. In the process, implemented new features that improved performance, speeded up the
development process, and simplified the UI layout. Completed work ahead of schedule with high
customer appreciation.

I also did 9-Slice Scaling on projects
-Importing finished interface from Figma directly into Unity
-Developed User Flow, Wireframes
-Created UI from scratch
-Selected fonts  
-Prototyped the interface
-Worked on projects for PC, consoles and mobile devices
-Collaborated with other UI/UX developers, game designers, artists and programmers
"
53979,"
UX/UI Designer (2020-2022)

2-st half of the Year
- developing indie game's interface based on the UX Research, which was done by my own. 
- Create Low-, High-Fidelity wireframes
- Work side-by-side with developers and game designers
- Make the surveys and exercises for providing the great user testing to understand the game as deep as we can

1-st half of the Year
- developing UX/UI solutions using a user-centered design
- be able to conceptualize ideas as a low fidelity wireframe through to an interactive visual designs or prototypes
- building and design site maps and information architecture
- understand and demonstrate how a design builds from core user needs to add value in ways a user may not have considered 
- illustrate design ideas using storyboards, process flows and sitemaps
- developing adaptive and responsive UX/UI wireframes 
for web-based applications
- consider negative paths and ensure design cover full customer loops
- CJM and guides to support product vision
///

Visual and Graphic Designer (2019-2022)
key responsibilities at the job:
- creating logos and conceptual identity, banners, posters, ads
- generating ideas and style, closely monitoring design trends
- being attentive to details, being able to structure the results of your work
-presenting ideas and sometimes defending them in front of the client
Working with the strong team and implement my decent knowledge to the product as good as possible."
53981,"Have a deep understanding and critical thinking, have a good taste and can make any graphic works
UI/UX Designer/ UI Artist in gamedev since 2020. Worked in Game Insight, 101XP, playrix, WhaleApp
Graphic Design from the Ground Up. Also redesign. Websites, applications, branding, polygraphic design, 2D animation, etc ... Complete graphic development cycle. Understanding and adhering to all technical requirements in the manufacture of printed materials as well as preparing a perfect layouts for websites and applications
• Interesting projects
• Qualified management
• High work organization
• Creative space"
54796,"I created many logos and styles, outdoor advertising, which now adorn Kyiv , Kharkiv and other cities. I have experience of working with European clients
Hello! I am a designer from Kharkiv with over 10 years of experience, I have a graphic and UI/UX background. For several years I worked in advertising and marketing agencies and printing houses. 

Before the war, I worked with leading Ukrainian real estate companies, as well as a freelancer. The main direction was the creation of an identity for the company. 
I created many logos and styles that now adorn Kyiv, Kharkiv and other cities of Ukraine and Europe (they can be found in my portfolio). I also have some experience in the field of website development on the Tilda constructor

I offer a full range of graphic and UI/UX design services:
- creation of lending page, website
- UX research
- creation of logos
- design of social networks
- layouts for printed materials
- presentations
- outdoor advertising
- transport branding
- and much more.

Personal qualities:
- Excellent organizational and planning skills; - Strong team player; - I like the user-friendly design.
I look forward to working with you and getting to know you and your business. I have a strong desire to grow and develop as a UX/UI designer."
54797,"I was leading UX/UI design project at startup Stress Point Health Ltd. I designed this project from idea through problem-solving all the way to full UI.
I am a remote Graphic, UI/UX Designer from Ukraine with 4+ years of experience in creating user-centric designs for people who work with complex and specialized software products including SaaS services, web apps, and mobile apps.

UX/UI Designer - ManyRequests [Aug2020 - Nov2020]
Key Responsibilities:
- Rework UX & UI of an existing product to make it more friendly for users.
- Quickly iterate and offer versions based on design feedback, learning from user testing or feature response.
- Create on-brand design solutions that meet measurable business goals and requirements.
- Integrate new features to the platform according to the user's needs.

Product Designer - Stress Point Health Ltd [Apr2018 - Jun2020]
Key Responsibilities:
- Creating a mobile app for patients where they can have access to treatment that helps to neutralize the effects of stress, anxiety, or trauma.
- Designing from idea through problem-solving all the way to full UI. 
- Combine different types of metrics and visualize them in an understandable way for humans.
- Providing wireframes, user journeys flow, and prototypes to testing.
- Facilitating usability testing sessions with 22 volunteers in the first pilot study to ensure we are solving all the possible usability problems.

UI/UX and Web Designer - Propeller Digital Company [May2016 - Dec2019]
Key Responsibilities:
- As the one and the only designer taking a leadership role in all design decisions.
- Designing every single visible pixel from websites to all print materials and infographics.
- Analyzing brief to scope and defining user experience approach, activities, and ways of working. 
- Translating concepts into wireframes, designs, and mockups for both B2B and B2C markets with the different design language and messaging.
- Redesign of the business presentations, logo, brand identity, visual design of existing websites.
Challenging tasks, area for growth and increasing responsibility as well as decision making. Management with an understanding of the user-centered design and design thinking approaches.
Regular parties! :)"
54798,"
I spent the last six months as a Creative Intern at Phiture, a mobile growth consultancy and agency. My internship responsibilities included: creating illustrations and various design assets for the marketing team; adjusting designs to brand guidelines; print design; photo retouching; creating marketing assets for different clients (Ad Hoc Labs, Tipp24). I also took part in A/B testing for Adobe and assisted in Quality Assurance processes.
Before that, for 3 years, I was completing a Master's degree in design and journalism while working on non-profit projects for a charitable organization, thus honing my graphic and UI/UX design skills.
I have already worked a lot with vector graphics, icons and logos. My training projects are about application prototyping and branding. Also, I have some experience in video editing and motion graphics. In addition to skills directly related to design, I have the ability to work with large amounts of information and text, since I used to work in multimedia journalism.
"
54799,"I have been teaching design for three years now. Developed a multi-page website for Softkit IT company. Developed from scratch a corporate identity and made up a website for the coal company Ugtransresurs.
Several years of practice in various design programs such as Illustrator, photoshop, indesign, premier pro, after effects, 3d max, maya, 3d coat, figma and etc. Have html and css skills and intermediate level knowledge of English. Around 2 years of  freelance, 2 months internship at Peace it, worked with Hipinspire.com, SmartJ and Softkit. Currently working as a design teacher at Itstep academy. Ready to work in office or remotly.
I expect interesting and complex projects. The opportunity to realize myself as a designer in a creative young team."
54800,"
Welcome to my profile. My name is Mary and I am a graphic designer with over 3 years of experience. Throughout my career I have worked on various projects and designed many layouts using the following programs: Photoshop, Illustrator, XD. I mainly specialize in logo design, banner design, outdoor advertising, personal / corporate landing page design and file printing, but I am always open and looking forward to trying and designing different things. I will be glad to cooperate with you :)
"
56453,"
With twelve years of professional work in the design and computer graphics, I've had the fortune of being involved in many aspects of the field. I enjoy developing new skills and abilities, and I am always striving to expand my areas of research.
I'm looking for a company where my creative, technical and management skills can be applied, challenged and advanced. I wish to continue growing as a versatile specialist who can help his team complete assigned tasks up to a high standard."
