,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
29788,"**DIGITAL 2D ARTIST & UI/UX DESIGNER**

Kyiv-based Digital 2D Artist and UI/UX Designer with self-directed education and a strong portfolio demonstrating expertise across design disciplines.

**CORE COMPETENCIES**

- UI/UX Design and Adaptive Design
- Illustration (Raster and Vector)
- Graphic Design
- Banner Design
- Logo Design
- Technical understanding of design principles and current design and technology trends
- Effective verbal and written communication skills
- Time and self-management skills

**PROFESSIONAL EXPERIENCE**

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 – Present

**UI/UX Designer / Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

**TECHNICAL PROFICIENCIES**

- Adobe Photoshop (including Beta)
- Adobe Illustrator
- Figma
- Procreate App
- Midjourney

**LANGUAGE PROFICIENCY**

English – Upper-Intermediate

**AWARDS & RECOGNITION**

Red Dot Award for Brands & Communication Design – August 2022"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

Passionate digital designer with extensive marketing experience creating visually compelling designs that drive brand growth. Proven track record collaborating with cross-functional teams across 5+ international companies, including US-based organizations. Skilled at delivering engaging designs that expand market reach while thriving in both independent and team-based environments.

## CORE COMPETENCIES

**Design & Visual:**
Color Theory, Composition, Branding, Advertising, Illustration, UI/UX Design, Digital Design, Digital Imagery

**Digital Marketing:**
Web Ads, Social Media Ads, E-blast, Digital Analytics

**Technical Skills:**
Figma (Advanced), HTML/CSS, Webflow (Animation, CMS)

**Soft Skills:**
Creative Problem Solving, Customer Interface Management, Team Collaboration, Independent Work

## EDUCATION & CERTIFICATIONS

Dare IT – Product Design
Hillel IT School – Basic Web Design
Cases Media – Figma (90)
Cases Media – Graphic Design, Composition (91)

## CAREER GOALS

Seeking long-term partnership opportunities in product design to leverage expertise in creating user-centered solutions that enhance customer experiences."
30606,"# Resume

**Skills**

*Design & Prototyping*
- Design System development
- UI Kit creation
- Interactive Components design
- Interactive Prototype development
- Figma plugins
- Auto Layout implementation
- Sketching and Prototyping

*Design Fundamentals*
- Composition, Typography, and Color Theory
- Design Principles and Design Trends

*Research & Analysis*
- UX Research
- Competitor Research

*Tools & Platforms*
- Figma
- Google Workspace (Documents, Forms)

**Experience**

**Beetroot Academy Mentorship Program**
- Completed collaborative design projects with cross-functional teams
- Presented project work to stakeholders, communicating design decisions and rationale
- Developed UI Kits and Design Systems using Figma
- Conducted UX Research and Competitor Research to inform design decisions
- Created interactive prototypes and implemented Auto Layout in design components"
30845,"**JUNIOR UI/UX DESIGNER**

Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Quick learner and collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

**EDUCATION & TRAINING**

6-Month UI/UX Design Course
HTML/CSS Studies

**CORE COMPETENCIES**

User-centered design methodologies
Wireframing and prototyping
User personas and customer journey mapping
Competitive analysis
UI design and design systems
User research
User flow design
Adaptive UI design

**DESIGN TOOLS**

Figma, Photoshop, Illustrator

**PROJECTS**

**Real Estate Website Redesign**
Redesigned website for real estate company through comprehensive user research and competitive analysis. Created 3 user personas and customer journey mapping to identify outdated design patterns and usability gaps. Developed modern, user-friendly design solution to enhance customer attraction and engagement.

**Travel Website**
Designed web service for discovering and booking excursions, tours, and entertainment globally. Conducted competitive market analysis and user research with persona development. Created user flows, wireframes, and adaptive UI design featuring search functionality with filters, category browsing, multi-platform user registration, payment processing, and guide announcement features.

**Mobile Restaurant Booking Application**
Designed mobile application for restaurant table reservations with user-centered design methodologies.

**PROFESSIONAL SUMMARY**

Responsible designer seeking a full-time position in a product company focused on creating innovative digital products for everyday life and business."
32072,"# UI/UX Designer

## Current Role

• Led a team of 4 designers in creating visually appealing and functional products that resonate with users and align with business objectives

• Improved the onboarding process of a financial institution app by 35%, directly enhancing user experience and business outcomes

• Developed wireframes, mockups, and prototypes to establish user interface design and architecture

• Applied Agile planning principles to deliver tailored solutions that met customer requirements

## Previous Role

• Designed and improved the audience management system of a SaaS tool by 25%, creating solutions that are both aesthetically pleasing and commercially effective"
46443,"# Professional Experience

**Product Designer & UI/UX Specialist**
10+ years of commercial experience in design and development of web solutions

## Core Competencies

Design large CRM and SaaS projects, mobile and desktop applications. Specialized in creation and maintenance of Design Systems to simplify and accelerate product development processes.

**Key Achievements:**
- Created large design systems from concept through implementation in React and Storybook
- Designed and developed over 50 landing pages and promotional pages
- Designed over 10 user dashboards and cabinets
- Led product design from conception to release version in 3-4 weeks across multiple projects
- Implemented diverse functionalities including dashboards, smart timer systems, and photo editing tools

**Professional Background:**
Career progression from Graphic Designer to Product Designer

## Technical Skills

**Design Tools:** Figma, Sketch, Adobe Creative Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, Storybook, WordPress

## Core Expertise

UI/UX design, branding, corporate identity, and design system creation and maintenance

## What I'm Seeking

A company or development team committed to:
- High-quality results and user experience improvement
- Products that positively impact people
- Team professionalism and high engagement
- Collaborative product development with proper management
- Opportunities to lead products or product initiatives"
46506,"# Resume

**Professional Experience**

**Software Developer | Small IT Company**

• Developed responsive web applications using React framework with JavaScript and JSX
• Designed and implemented responsive web pages using HTML and CSS
• Created dynamic animations with Framer Motion
• Built comprehensive user interfaces utilizing Material-UI (MUI) components
• Implemented responsive design solutions across Bootstrap and Materialize frameworks
• Collaborated with design professionals using Figma and Adobe Photoshop

**Technical Skills**

• Languages: JavaScript
• Frameworks & Libraries: React, Framer Motion
• UI Frameworks: Material-UI (MUI), Bootstrap, Materialize
• Design Tools: Figma, Adobe Photoshop
• Markup & Styling: HTML, CSS, JSX"
50300,"# PROFESSIONAL SUMMARY

Accomplished software engineer with proven expertise in designing and deploying large-scale customer engagement solutions. Skilled in full-stack development with a focus on frontend interface design, user experience optimization, and cross-functional collaboration. Committed to continuous learning and mastery of emerging technologies and software architecture principles.

# KEY ACCOMPLISHMENTS

**Customer Engagement Suite Deployment**
Designed and successfully deployed a groundbreaking customer engagement suite for a major e-commerce business from the ground up. Utilized innovative technologies and processes to maximize customer acquisition, satisfaction, and retention while driving incremental revenue. Project completed on time, under budget, with positive feedback from users and clients.

# TECHNICAL SKILLS

**Frontend Development:** React, Vue, Flutter, Custom Plugins
**Backend Development:** Node.js
**Core Competencies:** API Integration, Interface Design, User Experience Optimization, Performance Optimization, Code Debugging, Application Architecture

# PROFESSIONAL EXPERIENCE

**Frontend Developer**
- Develop frontend interfaces according to client specifications with focus on strong usability and industry-standard user experience
- Create websites and applications utilizing React, Vue, Flutter, and Node.js
- Work independently and collaboratively with development teams
- Debug issues, perform performance checks, and optimize code
- Participate in project planning and strategize information flows between backend databases and user interface components

# PROFESSIONAL DEVELOPMENT

Continuously learning new technologies and frameworks to maintain awareness of industry trends and best practices. Seeking mentorship from experienced engineers to deepen understanding of software architecture design principles."
51419,"# UI/UX Designer

## Professional Summary
Results-driven UI/UX Designer with a programming background, bringing technical expertise to design challenges. Proven ability to develop innovative solutions and deliver effective design implementations across multiple projects and industries. Seeking a full-time remote position to leverage design skills and problem-solving abilities.

## Experience

**UI/UX Developer** | IT Company (Out-staff)
*1 year*
- Developed user interface and user experience solutions for multiple projects
- Applied technical programming knowledge to inform and enhance design implementation
- Collaborated with stakeholders to deliver effective design solutions aligned with business objectives
- Translated user needs into problem-solving design solutions

**Freelance Designer**
*Multiple years*
- Completed diverse design projects across multiple clients in various industries
- Identified user needs and translated them into innovative, problem-solving design solutions
- Delivered high-quality design work that met client specifications and timelines

## Core Competencies
- User Interface Design
- User Experience Design
- Design Problem-Solving
- Technical Design Implementation
- Client Collaboration
- Design Innovation

## Background
Transitioned from programming to design, leveraging technical foundation to drive innovation in UI/UX design and bring unique perspective to design challenges.

## Professional Goals
- Full-time remote employment
- Challenging, problem-solving opportunities
- Continued growth in UI/UX design and innovation"
53971,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Game UI/UX Designer** (Current)
Big Gamedev Company | 1.5 years
- Game Interface Design
- UI/UX Design

**Game UI/UX Designer**
Indie Teams | 2019–Present
- 3D Modeling
- Texturing
- 3D Animation

**Senior Graphic Designer**
5 years

**CORE COMPETENCIES**
- Game Interface Design
- UI/UX Design
- 3D Modeling & Texturing
- 3D Animation

**PROFESSIONAL SUMMARY**

Experienced Game UI/UX Designer with a background in senior graphic design, specializing in game interface design, UI/UX design, 3D modeling, texturing, and 3D animation. Passionate about game development with a proven track record in both studio and indie environments."
53972,"**PROFESSIONAL EXPERIENCE**

**Game Development Designer** | 1 year
- Created offers, decorations, and banners for mobile games
- Designed layouts based on artist-provided graphics and original artwork
- Developed navigation elements and decorative assets across multiple projects

**Web & Digital Designer** | 2+ years
- Designed and illustrated websites, banners, and email campaigns
- Created visual assets for web and digital platforms

**TECHNICAL SKILLS**
- Photoshop
- Figma
- After Effects
- Animation Design

**PROFESSIONAL INTERESTS**
- Mobile games development
- Long-term partnership opportunities with game development companies
- Continued professional growth and development"
53973,"# Game UI/UX Designer

## Professional Summary
Game UI/UX Designer with UI Artist and animation expertise since 2019. Web Designer background since 2015. Comprehensive understanding of complete project lifecycle with coding proficiency in HTML, CSS, and JavaScript. Dedicated to continuous learning and professional development.

## Core Competencies
- UX/UI Design
- UI Animation
- Web Design
- Game Design
- Asset Preparation
- Team Collaboration & Communication

## Professional Experience

**Game UI/UX Designer** (2019 – Present)
- Develop intuitive UX flows aligned with game design vision
- Design UI screens and elements, and prepare assets for programming implementation
- Communicate UX vision and design concepts to cross-functional teams
- Collaborate with team members to implement designs in-game environments
- Provide technical support to game development initiatives
- Mentor team members on design processes and best practices
- Establish and maintain scalable design processes
- Identify and secure client projects independently

**Web Designer** (2015 – 2019)
- Redesigned logos for websites and applications
- Updated official website design and functionality
- Developed comprehensive web design solutions

**Design Instructor** (IT Academy, Lviv)
- Teach design processes and best practices

## Technical Skills
- Design Tools: Figma, Adobe Photoshop
- Game Engines: Unreal Engine 4, Unity
- Web Technologies: HTML, CSS, JavaScript

## Personal Interests
Basketball, Brazilian Jiu-Jitsu, Yoga, Language Learning"
53974,"**Game UI/UX Designer & Artist**

Ukrainian Game Company

• Designed and created UI visuals for released mobile casual game from concept to final rendering
• Prepared sprites for implementation in Unity game engine
• Researched game interfaces and functional solutions to inform design decisions
• Developed user-friendly, visually appealing, and distinctive interface designs
• Created game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
• Monitored interface implementation in game engines
• Stayed current with UI/UX design trends and techniques
• Collaborated with cross-functional teams including designers, managers, 2D/3D artists, and programmers

**Education**

Kyiv National University of Construction and Architecture
Bachelor's Degree, Artist-Performer

**Skills**

UI/UX Design | Game Interface Design | Sprite Creation | Unity | Visual Design | Game Asset Creation | Interface Research & Analysis | Cross-functional Collaboration"
53975,"# UI/UX Game Designer

## Professional Experience

**4 years of commercial experience in Design**
**2 years of commercial experience in GameDev**

I have worked on diverse project types including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.

### Key Responsibilities
- Full cycle UI and UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, and resource implementation
- Participation in game tests and iterative design improvements
- Resource implementation in Unity3D with and without developer collaboration

### Notable Achievements
- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Participated in the development of AAA PC MOBA
- Successfully updated design and transferred PC simulator for cybersportsmen to mobile platform on time and on budget
- Completed 248+ projects
- Experienced in creating game graphics on a graphics tablet

## Technical Skills
- Figma (UI, vector graphics, animation)
- Photoshop (raster graphics)
- Unity3D
- Jira and Confluence
- Plastic SCM
- Quick learner in new technologies

## Education & Certifications
- Graduated with honors from Web Design courses; supervised final group project
- Completed English courses with honors (2022)

## Additional Experience
- Successfully organized printing of materials for two exhibitions in different cities simultaneously
- Developed welcome-box for new employees"
53976,"CORE COMPETENCIES

Creative Design & Art Direction
- Game UI Art
- UI Design
- Character Design
- Character Concept Art
- Environment Concept Art
- Illustration
- 3D Modeling & Sculpting
- Texturing

Professional Skills
- Fast Knowledge Acquisition
- Team Collaboration
- Teaching & Leadership
- English Language Proficiency

SOFTWARE PROFICIENCY

- Photoshop
- Daz Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"# RESUME

**Self-starter with expertise in gaming design and motion graphics.**

## PROFESSIONAL EXPERIENCE

**Motion Design & Team Leadership**
- Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development disciplines
- Created exceptional motion design for worldwide poker and casino products
- Improved design and animation export pipeline efficiency across multiple projects

**Design & Branding**
- Led participation in rebranding initiatives for poker brands
- Designed and implemented UX/UI for poker applications
- Directed creation, organization, and distribution of project style guides, design systems, and asset libraries

**Motion Graphics & Animation**
- Created gaming motion and animations for poker and casino games including slots, betting, and blackjack
- Produced motion graphics for live online events
- Designed storyboards and graphics for promotional video content
- Architected clean and scalable After Effects project structures

**Team Development & Process Improvement**
- Led creation and organization of gaming design team infrastructure
- Improved design and animation alignment with development team workflow through technology implementation
- Enhanced visual and gaming experience of products through collaborative cross-functional briefs and specifications across design, graphics, motion, sound, and development teams throughout project delivery

## CORE COMPETENCIES

Motion graphics and animation • UX/UI design • Team management and motivation • Gaming industry expertise • Design systems and asset libraries • Project architecture and workflow optimization • Quality-focused delivery"
53978,"# UI/UX Designer

Experienced UI/UX Designer with proven prototyping skills and a track record of delivering high-quality user experiences across multiple platforms.

## Core Competencies
- Interface Prototyping and Design
- User Flow Development and Wireframing
- UI Creation and Implementation
- 9-Slice Scaling
- Cross-Platform Design (PC, Consoles, Mobile)
- Design Tools: Figma, Unity
- Font Selection and Typography

## Key Achievements
- Imported finished interfaces from Figma directly into Unity for seamless implementation across multiple projects
- Implemented new features that improved performance and simplified UI layout
- Developed user flows and wireframes from concept through full implementation across multiple projects
- Created UI designs from scratch across diverse platforms and projects
- Accelerated development process through efficient design workflows
- Completed projects ahead of schedule
- Consistently delivered designs with high customer satisfaction

## Professional Experience
- Developed user flows and wireframes from concept through full implementation across multiple projects
- Created UI designs from scratch across diverse platforms and projects
- Collaborated effectively with UI/UX developers, game designers, artists, and programmers on cross-platform initiatives"
53979,"# UX/UI Designer (2020-2022)

- Developed indie game interface based on independent UX research
- Created low- and high-fidelity wireframes using user-centered design methodology
- Collaborated with developers and game designers to implement design solutions
- Designed and conducted user surveys and testing exercises to validate design decisions
- Conceptualized ideas from low-fidelity wireframes through interactive visual designs and prototypes
- Built and designed sitemaps and information architecture for optimal user navigation
- Demonstrated how design builds from core user needs to add unexpected value
- Illustrated design concepts using storyboards, process flows, and sitemaps
- Developed adaptive and responsive UX/UI wireframes for web-based applications
- Ensured designs covered full customer journey loops, including negative paths
- Created customer journey maps and design guides to support product vision

# Visual and Graphic Designer (2019-2022)

- Created logos, identity systems, banners, posters, and advertisements for diverse clients
- Generated and developed creative ideas and visual styles while monitoring design trends
- Maintained meticulous attention to detail across all structured work deliverables
- Presented and defended design concepts to clients with clear strategic rationale
- Collaborated with cross-functional teams to implement design expertise into products"
53981,"# RESUME

**UI/UX DESIGNER & UI ARTIST**

Professional with deep understanding of design principles, strong critical thinking abilities, and refined aesthetic sensibility. Expertise in creating compelling graphic works across multiple disciplines.

**PROFESSIONAL EXPERIENCE**

UI/UX Designer | Game Insight, 101XP, Playrix, WhaleApp
2020 – Present

**CORE COMPETENCIES**

• UI/UX Design
• Graphic Design
• Website Design
• Application Interface Design
• Branding
• Polygraphic Design
• 2D Animation
• Layout Design
• Printed Materials Production
• Technical Requirements Adherence

**SKILLS & EXPERTISE**

• Complete graphic development cycle from conception through final execution
• Original design creation and redesign initiatives
• Full understanding of technical specifications for printed materials manufacturing
• Expert layout preparation for web and application platforms
• Strong organizational and project management abilities
• Creative problem-solving and design innovation"
