,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
29788,"# [NAME]

## Digital 2D Artist & UI/UX Designer

Kyiv, Ukraine

---

## PROFILE

Self-educated Digital 2D Artist and UI/UX Designer with over five years of professional experience and strong technical acumen. Deep knowledge of current design and technology trends with proven expertise in delivering comprehensive design solutions spanning UI/UX, illustration, and graphic design. Red Dot Award recipient for Brands & Communication Design.

---

## EXPERIENCE

**Full Stack Designer: UI/UX, Illustration & Graphic Design**
April 2021 – Present

**UI/UX Designer & Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

---

## AWARDS

**Red Dot Award** – Brands & Communication Design
August 2022

---

## SKILLS

- UI/UX Design & Adaptive Design
- Illustration (Raster & Vector)
- Graphic Design
- Logo Design
- Banner Design
- Strong Verbal & Written Communication
- Time Management & Self-Direction

---

## TOOLS

Figma | Adobe Photoshop | Adobe Illustrator | Procreate | Midjourney

---

## LANGUAGES

**English:** Upper-Intermediate"
29835,"# DIGITAL DESIGNER

## Summary

Digital designer with extensive marketing experience, specializing in visually compelling designs that drive brand growth. Proficient in Adobe Photoshop, Adobe Illustrator, and Figma, with advanced Webflow capabilities including animation and CMS development. Demonstrated success across freelance and in-house environments, collaborating with international companies including U.S.-based clients. Seeking a long-term partnership with opportunities for growth in product design.

## Skills

**Design**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- UI/UX Design

**Technical**
- Adobe Photoshop
- Adobe Illustrator
- Figma (Advanced)
- Webflow (Animation, CMS)
- HTML/CSS

**Digital Marketing**
- Web & Social Media Advertising
- Digital Design & Imagery
- Digital Analytics
- E-blast Campaigns

**Professional**
- Independent & Collaborative Work
- Direct Client Communication
- Creative Problem-Solving

## Education & Certifications

Product Design — Dare IT
Basic Web Design — Hillel IT School
Figma — Cases Media
Graphic Design: Composition — Cases Media"
30606,"# UI/UX Designer

## Skills

**Design Tools**
Figma – Design systems, UI kit creation, Auto Layout, interactive components, prototyping, plugins

**UX Capabilities**
User experience research • Competitor analysis • Sketching and prototyping

**Design Knowledge**
Composition principles • Typography and color theory • Current design principles and trends

**Professional Skills**
Cross-functional team collaboration • Project presentation and communication • Google Workspace (Docs, Forms)

## Education

**Beetroot Academy**
UX/UI Design Mentorship Program"
30845,"# PROFESSIONAL SUMMARY

Junior UI/UX Designer passionate about creating seamless, visually captivating user experiences. Proficient in Figma, Photoshop, and Illustrator with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

---

# SKILLS

**Design Tools:** Figma, Photoshop, Illustrator  
**Technical:** HTML, CSS  
**UX Methods:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping, Jobs-to-be-Done, User Flows  
**Deliverables:** Wireframes, Prototypes, Mockups, UI Kits, Responsive & Adaptive Design

---

# PORTFOLIO PROJECTS

**Travel Booking Web Service**
- Designed a full-featured web service enabling users to discover and book excursions, tours, tickets, and entertainment worldwide
- Created guide-facing functionality for posting excursion offers
- Conducted market analysis and developed JTBD framework, Customer Journey Map, and User Flows
- Produced wireframes, UI Kit, and fully adaptive design system
- Designed search functionality with filters, category browsing, multi-platform registration, and integrated payment system

**Real Estate Website Redesign** | Destin, Florida
- Transformed an outdated website into a modern, user-friendly experience to attract potential customers
- Conducted competitor research and analysis to inform design decisions
- Developed 3 user personas and customer journey map based on social media and customer feedback research
- Enhanced usability through intuitive feedback mechanisms and property valuation features

**Restaurant Table Booking Mobile Application**
- Designed a mobile application streamlining the restaurant table reservation process

---

# EDUCATION & TRAINING

**UI/UX Design Course** | 6 Months
- Completed additional coursework in HTML/CSS
- Successfully defended and presented 3 portfolio projects

---

# OBJECTIVE

Seeking a full-time position with a product company focused on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Professional Experience

### UI/UX Designer | Financial Institution

Led a team of 4 designers in creating visually appealing, functional products aligned with user needs and business objectives. Applied Agile planning principles to deliver tailored solutions meeting customer requirements. Developed wireframes, mockups, and prototypes to establish user interface design and architecture.

**Key Achievement:** Improved app onboarding process by 35%

---

### UI/UX Designer | SaaS Company

Delivered solutions that are both aesthetically pleasing and drive measurable business results. Focused on creating user-centered designs that balance visual appeal with functional performance.

**Key Achievement:** Improved audience management system by 25%

---

## Core Competencies

- Team Leadership
- Wireframing & Prototyping
- User Interface Design
- Agile Methodology
- User-Centered Design"
46443,"# Product Designer

## Summary

Product Designer with 10+ years of commercial experience spanning graphic design and product design. Expert in architecting and maintaining Design Systems that streamline workflows and accelerate product development.

## Core Competencies

- UI/UX Design
- Design System Architecture & Maintenance
- Full Product Lifecycle Management
- Branding & Corporate Identity

## Technical Proficiency

**Design:** Figma, Sketch, Adobe Creative Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Experience & Achievements

- Architected and developed large-scale CRM and SaaS products for mobile and desktop platforms
- Built end-to-end design systems, from initial design through React and Storybook implementation
- Delivered products from concept to release in 3–4 weeks across multiple projects
- Designed 50+ landing pages and promotional pages
- Created 10+ user dashboards and account interfaces
- Developed specialized features including analytics dashboards, smart timer systems, and photo editing tools

## Seeking

- Meaningful products that deliver real user value
- Collaborative, high-performing teams
- Influence over product direction
- Leadership responsibility for product areas"
46506,"# Software Developer

## Professional Experience

**Software Developer** | IT Company

- Developed responsive web applications using React, JSX, HTML, and CSS, delivering user experiences optimized for performance across all devices
- Created animations with Framer Motion, enhancing user interaction and visual appeal throughout application interfaces
- Built reusable UI component systems using the MUI library, improving development efficiency and design consistency
- Implemented responsive design systems using Bootstrap and Materialize frameworks to accelerate development cycles
- Collaborated with design teams to translate Figma mockups and Adobe Photoshop assets into functional interfaces

## Technical Skills

**Languages & Markup:** JavaScript, JSX, HTML, CSS

**Frameworks & Libraries:** React, Framer Motion, MUI, Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop"
50300,"# Professional Summary

Results-driven software developer with proven success delivering complex technical solutions. Led the design and deployment of a groundbreaking customer engagement suite for a major e-commerce business, completed on time and under budget, driving customer acquisition, satisfaction, and retention to generate incremental revenue.

# Technical Skills

**Frontend Development:** React, Vue, Flutter

**Backend Development:** Node.js

**Core Competencies:** API Integration, Custom Plugin Development, Interface Design

# Experience

**Frontend Developer**

- Develop frontend interfaces to client specifications with emphasis on strong usability and industry-standard user experience
- Debug issues, conduct performance testing, and optimize code for peak efficiency
- Collaborate with cross-functional development teams while contributing independently as needed
- Participate in project planning and strategize information flows between backend databases and user interface components
- Build websites, applications, and custom plugins

# Key Achievement

Designed and deployed a customer engagement suite from the ground up for a major e-commerce client, utilizing innovative technologies and processes. Delivered on time and under budget while receiving exceptional reviews from users and clients.

# Professional Development

- Continuously expanding technical skillset through learning new technologies and frameworks
- Deepening understanding of software architecture designs through collaboration with experienced engineers"
51419,"# UI/UX Designer

## Summary

UI/UX Designer with a software programming background, bringing technical insight to every design challenge. Skilled at bridging design and development through analytical thinking and creative problem-solving. Proven ability to deliver complex solutions across freelance and corporate environments.

## Experience

**UI/UX Designer**
IT Company | Out-staff Basis | 1 Year

- Delivered UI/UX solutions for client projects, leveraging programming knowledge to bridge design and development teams
- Informed design decisions with technical expertise, streamlining collaboration with engineering
- Solved challenging design problems requiring specialized expertise and analytical thinking

**Freelance UI/UX Designer**
Self-Employed | Multiple Years

- Managed end-to-end design processes independently across diverse client projects
- Built a portfolio demonstrating complex problem-solving and adaptability across varied requirements

## Technical Background

- Software programming experience enabling informed decisions on design feasibility and technical constraints
- Self-directed career transition to design, demonstrating initiative and commitment to the craft

## Availability

Full-time | Remote preferred | Open to challenging roles requiring combined technical and design expertise"
53971,"# Senior Game UI/UX Designer

## Professional Summary

Seasoned design professional with 8+ years of combined experience in graphic design and game UI/UX. Adept at crafting compelling game interfaces that enhance player engagement, backed by a strong foundation in 3D modeling, texturing, and animation.

## Professional Experience

**Game UI/UX Designer**
Major Game Development Studio | 1.5 Years (Current)
- Design and implement user interfaces for game products, applying UI/UX best practices to elevate player experience
- Integrate visual design with interaction design to deliver cohesive, intuitive gameplay experiences

**Game UI/UX Designer**
Indie Game Development | 3 Years
- Partnered with multiple indie teams on diverse projects, delivering end-to-end interface design solutions
- Applied 3D modeling, texturing, and animation expertise to enhance overall game visual quality
- Created game interfaces spanning varied genres and platforms

**Senior Graphic Designer**
5 Years
- Cultivated deep expertise in visual design principles, typography, layout, and brand consistency
- Established strong foundational skills that facilitated successful transition into game UI/UX specialization

## Core Competencies

Game Interface Design | UI/UX Design | 3D Modeling | Texturing | 3D Animation | Visual Design | Cross-Functional Collaboration | Indie & Studio Environments"
53972,"**PROFESSIONAL SUMMARY**

Digital designer with 3+ years of experience spanning web design and mobile game development. Expert in creating visual assets from concept to completion, specializing in UI layouts, promotional materials, and motion design.

**EXPERIENCE**

**Game Designer | Mobile Games**
*1 Year*

- Designed promotional offers, decorative elements, and banners to enhance player engagement
- Created polished UI layouts based on artist-provided graphics
- Developed navigation elements and decorative assets independently

**Digital Designer | Web**
*2+ Years*

- Designed websites, banners, and email campaigns across multiple projects

**SKILLS**

Photoshop | Figma | After Effects | UI/Layout Design | Animation | Asset Creation

**OBJECTIVE**

Seeking long-term opportunities in mobile game development."
53973,"# Game UI/UX Designer

Creative Game UI/UX Designer with UI Art and animation expertise since 2019, built on a foundation in web design since 2015. Combines comprehensive project lifecycle knowledge with technical proficiency in HTML, CSS, and JavaScript. Expert in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Core Competencies

- Intuitive UX flow development aligned with overall game design vision
- UI screen and element creation with production-ready assets for programmer handoff
- Clear communication of UX vision and design concepts to team members
- Cross-functional collaboration to implement designs in-game

## Leadership & Mentorship

- Design process establishment and implementation
- Staff mentoring and skill development
- Independent client acquisition
- Design Instructor, IT Academy, Lviv

## Additional Experience

- Official website updates
- Logo redesign for sites and applications

## About Me

Committed to continuous learning with interest in languages. Active lifestyle including basketball, Brazilian jiu-jitsu, and yoga."
53974,"# GAME UI/UX DESIGNER & ARTIST

## Professional Summary

Game UI/UX Designer and Artist with shipped mobile casual game experience. Skilled in end-to-end UI visual design—from initial concept through final rendering—with expertise in Unity sprite optimization and seamless cross-functional collaboration across design, art, and development teams.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Led full-cycle user interface design for casual mobile games, transforming initial concepts into polished, production-ready visuals
- Optimized sprite assets for Unity implementation, ensuring efficient performance
- Conducted competitive research on game interfaces and functional solutions to develop intuitive, visually distinctive designs
- Produced comprehensive interface asset libraries: logos, icons, buttons, pop-ups, and custom game mechanic visuals
- Directed interface layout implementation within game engines, maintaining design integrity throughout production
- Partnered with multidisciplinary teams spanning design, management, 2D art, 3D art, and programming

**Shipped Title:** Mobile casual game (released)

## Skills

UI/UX Design · Visual Design · Unity Sprite Optimization · Interface Asset Creation · Game Engine Implementation · Cross-Functional Collaboration

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Seeking

Challenging, varied projects offering opportunities to apply my skills while contributing to and learning from a strong, collaborative team."
53975,"# UI/UX GAME DESIGNER

**4 Years Commercial Design Experience | 2 Years GameDev Experience | 248+ Successfully Completed Projects**

## PROFESSIONAL SUMMARY

UI/UX Game Designer specializing in mobile and PC game development across diverse genres, including mobile shooters, educational games, tactical MOBAs, and multiplayer casual games. Committed to playing shipped titles and staying current with industry developments.

## CORE COMPETENCIES

- Full-cycle UI/UX design: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation
- Unity3D implementation (independent and collaborative)
- Game testing and quality assurance
- Game graphics creation using graphics tablet

## TOOLS

Figma (UI, vector graphics, animation) | Photoshop (raster graphics) | Unity3D | Jira | Confluence | Plastic SCM

## KEY ACHIEVEMENTS

- Led full UI development for educational mobile game for kids, driving 100,000+ downloads
- Contributed to AAA PC MOBA development
- Delivered complete design overhaul and mobile platform migration for PC esports simulator on schedule
- Coordinated simultaneous print material production for two exhibitions across different cities
- Developed new employee onboarding welcome-box

## EDUCATION & TRAINING

- Web Design – Graduated with honors; supervised final group project
- English Language – Completed with honors (2022)"
53976,"# PROFESSIONAL RESUME

## Core Strengths
- Rapid learner with exceptional knowledge acquisition abilities
- Strong collaborative team member
- Demonstrated teaching and leadership capabilities

## Skills

**UI & Design**
- Game UI Art
- UI Design
- Creative Design

**3D Art**
- 3D Modeling
- Sculpting
- Texturing

**Concept Art & Illustration**
- Character Concept Art
- Environment Concept Art
- Character Design
- Illustration

**Additional**
- Fluent in English

## Software Proficiency
Adobe Photoshop | Blender | ZBrush | Substance Painter | Substance Designer | Daz Studio"
53977,"# Motion Design Lead

## Professional Experience

**Motion Design & Team Leadership**

Led cross-functional team of 7+ onboard and outsourced professionals spanning design, graphics, motion, animation, sound, and development.

- Directed motion design strategy for worldwide poker and casino product portfolio
- Designed UX/UI for poker application serving global user base
- Developed motion and animations for poker and casino games, including slots, betting platforms, and blackjack
- Produced motion graphics for live online events
- Contributed to rebranding initiatives for poker brands
- Architected scalable After Effects project structures to support efficient production workflows
- Streamlined design and animation export pipelines across multiple concurrent projects
- Created and distributed project style guides, design systems, and asset libraries to ensure team alignment
- Contributed to establishment and organization of gaming design team
- Strengthened design and animation consistency by collaborating with developers to implement new workflow technologies
- Elevated visual and gaming experience through strategic creative direction
- Authored comprehensive briefs and specifications, guiding designers, motion and sound artists, and developers through final deliverables
- Developed design concepts and storyboards for promotional videos

## Professional Objectives

- Leverage gaming industry experience while expanding expertise alongside leading industry specialists
- Deliver high-quality products that exceed user expectations
- Distill complex tasks into clear direction and take ownership of results
- Inspire teams to create exceptional products"
53978,"# UI/UX Designer

Skilled UI/UX Designer with proven prototyping expertise dedicated to enhancing user interfaces and game experiences. Consistently delivers projects ahead of schedule while maintaining high client satisfaction.

## Core Competencies

User Flow Development | Wireframing & Prototyping | UI Design & Layout | 9-Slice Scaling | Typography Selection | Figma to Unity Integration

## Platform Experience

PC | Console | Mobile

## Experience Highlights

- Designed and built user interfaces from concept to completion, developing comprehensive user flows and wireframes that streamlined the path from ideation to implementation
- Enhanced user experience through refined, intuitive UI layouts
- Implemented features that improved performance while optimizing development processes
- Executed seamless Figma to Unity integration, delivering production-ready interfaces

## Collaboration

Partnered cross-functionally with UI/UX developers, game designers, artists, and programmers to deliver cohesive product experiences."
53979,"**UX/UI Designer** (2020–2022)

- Conducted independent UX research to inform indie game interface development
- Designed wireframes, interactive visual designs, and prototypes across all fidelity levels
- Developed user testing surveys and exercises to enhance gameplay understanding
- Collaborated cross-functionally with developers and game designers to deliver cohesive user experiences
- Applied user-centered design methodology to develop comprehensive UX/UI solutions
- Created site maps, information architecture, and customer journey maps to support product vision
- Translated core user needs into designs that delivered unexpected value
- Communicated design concepts through storyboards and process flows
- Developed adaptive, responsive wireframes for web-based applications
- Ensured complete customer journey coverage, including negative paths and edge cases

---

**Visual and Graphic Designer** (2019–2022)

- Designed logos, brand identities, banners, posters, and advertisements aligned with current design trends
- Developed creative concepts and visual styles from ideation through final delivery
- Presented and defended design concepts to clients and stakeholders
- Collaborated with cross-functional teams to deliver high-quality design products
- Maintained meticulous attention to detail and organized project documentation"
53981,"**UI/UX DESIGNER | UI ARTIST**

---

**PROFESSIONAL SUMMARY**

UI/UX Designer and UI Artist specializing in game development since 2020. Combines analytical thinking with refined aesthetic sensibility to deliver comprehensive graphic solutions across diverse media and platforms.

---

**EXPERIENCE**

**UI/UX Designer | UI Artist**

Game Insight | 101XP | Playrix | WhaleApp

- Led full-cycle graphic design and redesign projects from concept to implementation
- Crafted pixel-perfect website and application designs
- Developed cohesive branding and visual identity systems
- Produced print and production design with precise technical specification adherence
- Designed and implemented 2D animation assets
- Delivered seamless cross-platform design solutions

---

**SKILLS**

Full-Cycle Graphic Design | UI/UX Design | Branding & Visual Identity | 2D Animation | Cross-Platform Implementation | Print & Production Design

---

**WHAT I'M LOOKING FOR**

- Engaging, creative projects with meaningful design challenges
- Strong leadership and qualified management
- Well-organized, collaborative work environment"
