,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5
30606,"# Resume

**Figma**
- Design System development
- UI Kit creation
- Auto Layout implementation
- Interactive Components design
- Interactive Prototype development
- Figma plugins

**Projects – Beetroot Academy Mentorship Program**
- UX Research
- Competitor Research
- Sketching and Prototyping
- Composition, Typography, and Color Theory
- Design Principles and Design Trends
- Collaborative Project Experience
- Project Presentation
- Google Workspace (Documents, Forms)"
30845,"**JUNIOR UI/UX DESIGNER**

Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

**EDUCATION & TRAINING**

Completed a 6-month UI/UX design course
Additionally studied HTML/CSS

**CORE COMPETENCIES**

User-centered design methodologies
Wireframing and prototyping
User personas and customer journey mapping
Competitive analysis
UI design and design systems

**DESIGN TOOLS**

Figma, Photoshop, Illustrator

**PROJECTS**

**Real Estate Website Redesign**
Website redesign for a real estate company. Conducted competitive analysis and user research including creation of 3 user personas and customer journey map. Identified outdated design, poor user-friendliness, and missing customer-critical information. Developed modern, user-friendly design to attract potential customers.

**Travel Website**
Web service enabling users to find and book excursions, tours, and entertainment worldwide. Conducted competitive market analysis, user research, and created user personas. Developed user flow, wireframes, and adaptive UI design. Implemented search functionality with filters, category browsing, user registration via email/Google/Facebook, payment processing, and guide announcement features.

**Mobile Restaurant Booking Application**
Mobile application for booking tables in restaurants.

**PROFESSIONAL SUMMARY**

Quick learner, responsible, and ready to perform complex tasks. Seeking a full-time position in a product company that focuses on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Current Role

• Improved the onboarding process of a financial institution app by 35%, directly enhancing user experience and business outcomes

• Led a team of 4 designers in creating visually appealing and functional products that resonate with users and align with business objectives

• Applied Agile planning principles to deliver tailored solutions that met customer requirements

• Developed wireframes, mockups, and prototypes to establish user interface design and architecture

## Previous Role

• Improved the audience management system of a SaaS tool by 25%, demonstrating ability to design solutions that are both aesthetically pleasing and commercially effective"
46443,"# Professional Experience

**Product Designer & UI/UX Specialist**
10+ years of commercial experience in design and development of web solutions

## Core Competencies

Design large CRM and SaaS projects, mobile and desktop applications. Specialized in creation and maintenance of Design Systems to simplify and accelerate product development processes.

**Key Achievements:**
- Created large design systems from concept through implementation in React and Storybook
- Designed and developed over 50 landing pages and promotional pages
- Designed over 10 user dashboards and cabinets
- Led product design from conception to release version in 3-4 weeks (multiple projects)
- Implemented diverse functionalities including dashboards, smart timer systems, and photo editing tools

**Professional Background:**
Career progression from Graphic Designer to Product Designer

## Technical Skills

**Design Tools:** Figma, Sketch, Adobe Creative Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, Storybook, WordPress

## What I'm Seeking

A company or development team committed to:
- High-quality results and user experience improvement
- Products that positively impact people
- Team professionalism and high engagement
- Collaborative product development with proper management
- Opportunities to lead products or product initiatives

Specialized expertise in UI/UX design, branding, corporate identity, and design system creation and maintenance."
46506,"# Resume

**Professional Experience**

**Software Developer | Small IT Company**

• Developed web applications using JavaScript, React framework, and JSX
• Created responsive web pages with HTML and CSS
• Implemented animations using Framer Motion
• Built user interfaces with Material-UI (MUI) components
• Utilized Bootstrap and Materialize for responsive design
• Collaborated with design tools including Figma and Adobe Photoshop

**Technical Skills**

• Languages: JavaScript
• Frameworks & Libraries: React, Framer Motion
• UI Frameworks: Material-UI (MUI), Bootstrap, Materialize
• Design Tools: Figma, Adobe Photoshop
• Markup & Styling: HTML, CSS, JSX"
50300,"# PROFESSIONAL SUMMARY

Accomplished software engineer with proven expertise in designing and deploying large-scale customer engagement solutions. Skilled in full-stack development with a focus on frontend interface design, user experience optimization, and cross-functional collaboration. Committed to continuous learning and mastery of emerging technologies and software architecture principles.

# KEY ACCOMPLISHMENTS

**Customer Engagement Suite Deployment**
Designed and successfully deployed a groundbreaking customer engagement suite for a major e-commerce business from the ground up. Utilized innovative technologies and processes to maximize customer acquisition, satisfaction, and retention while driving incremental revenue. Project completed on time, under budget, with positive feedback from users and clients.

# TECHNICAL SKILLS

**Frontend Development:** React, Vue, Flutter, Custom Plugins
**Backend Development:** Node.js
**Core Competencies:** API Integration, Interface Design, User Experience Optimization, Performance Optimization, Code Debugging, Application Architecture

# PROFESSIONAL EXPERIENCE

**Frontend Developer**
- Develop frontend interfaces according to client specifications with focus on strong usability and industry-standard user experience
- Create websites and applications utilizing React, Vue, Flutter, and Node.js
- Work independently and collaboratively with development teams
- Debug issues, perform performance checks, and optimize code
- Participate in project planning and strategize information flows between backend databases and user interface components

# PROFESSIONAL DEVELOPMENT

Continuously learning new technologies and frameworks to maintain awareness of industry trends and best practices. Seeking mentorship from experienced engineers to deepen understanding of software architecture design principles."
51419,"# UI/UX Designer

## Professional Summary
Results-driven UI/UX Designer with a background in programming, bringing a unique technical perspective to design challenges. Seeking a full-time remote position to leverage design expertise and problem-solving skills.

## Experience

**UI/UX Developer** | IT Company (Out-staff)
*1 year*
- Develop user interface and user experience solutions
- Apply technical programming knowledge to design implementation

**Freelance Designer**
*Multiple years*
- Completed various design projects on freelance basis
- Problem-solving focused work

## Background
Transitioned from programming to design, leveraging technical foundation in current design role.

## Desired Position
- Full-time employment
- Remote work preferred
- Challenging problem-solving opportunities"
53971,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Game UI/UX Designer** (Current)
Big Gamedev Company | 1.5 years

**Game UI/UX Designer**
Indie Teams | 2019–Present
3D modeling, texturing, and 3D animation

**Senior Graphic Designer**
5 years

**CORE COMPETENCIES**
Game Interface Design
3D Modeling & Texturing
3D Animation
UI/UX Design

**CAREER FOCUS**
Game Development"
53972,"**PROFESSIONAL EXPERIENCE**

**Game Development Designer** | 1 year
- Created offers, decorations, and banners for mobile games
- Designed layouts based on artist-provided graphics and original artwork
- Developed navigation elements and decorative assets across multiple projects

**Web & Digital Designer** | 2+ years
- Designed and illustrated websites, banners, and email campaigns
- Created visual assets for web and digital platforms

**TECHNICAL SKILLS**
- Photoshop
- Figma
- After Effects
- Animation design

**PROFESSIONAL INTERESTS**
- Mobile games development
- Long-term partnership opportunities with game development companies
- Continued professional growth and development"
53973,"# Game UI/UX Designer

## Professional Summary
Game UI/UX Designer with UI Artist and animation knowledge since 2019. Previously worked as a Web Designer since 2015. Full understanding of the complete project lifecycle with coding knowledge (HTML, CSS, JavaScript). Committed to continuous learning and professional development.

## Core Competencies
- UX/UI Design
- UI Animation
- Web Design
- Game Design
- Asset Preparation
- Team Collaboration & Communication

## Professional Experience

**Game UI/UX Designer** (2019 – Present)
- Develop intuitive UX flows aligned with overall game design
- Create UI screens, UI elements, and prepare assets for programmers
- Communicate UX vision and design ideas to team members
- Collaborate to implement designs in-game
- Support game development with additional technical skills
- Mentor team members on design processes
- Build and maintain design processes
- Independently identify and secure client projects

**Web Designer** (2015 – 2019)
- Redesigned logos for websites and applications
- Updated official website design and functionality
- Developed web design solutions

## Technical Skills
- Design Tools: Figma, Adobe Photoshop
- Game Engines: Unreal Engine 4, Unity
- Web Technologies: HTML, CSS, JavaScript

## Teaching & Mentoring
- Design Instructor, IT Academy (Lviv)

## Personal Interests
Basketball, Brazilian Jiu-Jitsu, Yoga, Language Learning"
53974,"**Game UI/UX Designer & Artist**

Ukrainian Game Company

• Designed and created UI visuals for released mobile casual game from concept to final rendering
• Prepared sprites for implementation in Unity game engine
• Researched game interfaces and functional solutions to inform design decisions
• Developed user-friendly, visually appealing, and distinctive interface designs
• Created game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
• Monitored interface implementation in game engines
• Stayed current with UI/UX design trends and techniques
• Collaborated with cross-functional team including designers, managers, 2D/3D artists, and programmers

**Education**

Kyiv National University of Construction and Architecture
Bachelor's Degree, Artist-Performer

**Skills & Interests**

Seeking opportunities to apply UI/UX design expertise on diverse, engaging projects while collaborating with experienced teams to exchange knowledge and skills."
53975,"# UI/UX Game Designer

## Professional Experience

**4 years of commercial experience in Design**
**2 years of commercial experience in GameDev**

I have worked on diverse project types including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.

### Key Responsibilities
- Full cycle UI and UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, and resource implementation
- Participation in game tests and iterative design improvements
- Resource implementation in Unity3D with and without developer collaboration

### Notable Achievements
- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Participated in the development of AAA PC MOBA
- Successfully updated design and transferred PC simulator for cybersportsmen to mobile platform on time and on schedule
- 248+ successfully completed projects
- Experience creating game graphics on a graphics tablet

## Technical Skills
- Figma (UI, vector graphics, animation)
- Photoshop (raster graphics)
- Unity3D
- Jira and Confluence
- Plastic SCM
- Willing to learn new technologies

## Education & Certifications
- Graduated with honors from Web Design courses; supervised final group project
- Completed English courses with honors (2022)

## Additional Experience
- Successfully organized printing of materials for two exhibitions in different cities simultaneously
- Developed welcome-box for new employees
- 3+ years of active professional experience"
53976,"CORE COMPETENCIES

Creative Design & Art Direction
- Game UI Art
- UI Design
- Character Design
- Character Concept Art
- Environment Concept Art
- Illustration
- 3D Modeling & Sculpting
- Texturing

Professional Skills
- Fast Knowledge Acquisition
- Team Collaboration
- Teaching & Leadership
- English Language Proficiency

SOFTWARE PROFICIENCY

- Photoshop
- Daz Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"# RESUME

**Self-starter with expertise in gaming design and motion graphics.**

## PROFESSIONAL EXPERIENCE

**Motion Design & Team Leadership**
- Managed team of 7+ onboard and outsourced professionals (design, graphics, motion, animation, sound, and development)
- Created exceptional motion design for worldwide poker and casino products
- Improved design and animation export pipeline across multiple projects

**Design & Branding**
- Participated in rebranding poker brands
- Designed UX/UI for poker applications
- Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries

**Motion Graphics & Animation**
- Created gaming motion and animations for poker and casino games (slots, betting, blackjack)
- Produced motion graphics for live online events
- Designed storyboards and graphics for promotional videos
- Built clean and scalable After Effects project architecture

**Team Development & Process Improvement**
- Contributed to creation and organization of gaming design team
- Improved alignment of design and animations with development team workflow using new technologies
- Enhanced visual and gaming experience of products
- Designed comprehensive briefs and specifications, collaborating with design, graphic, motion, sound, and development teams through final delivery

## CORE COMPETENCIES

- Motion graphics and animation
- UX/UI design
- Team management and motivation
- Gaming industry expertise
- Design systems and asset libraries
- Project architecture and workflow optimization
- Quality-focused delivery"
53978,"# UI/UX Designer

Experienced UI/UX Designer with proven prototyping skills and a track record of delivering high-quality user experiences across multiple platforms.

## Core Competencies
- Interface Prototyping and Design
- User Flow Development and Wireframing
- UI Creation and Implementation
- 9-Slice Scaling
- Cross-Platform Design (PC, Consoles, Mobile)
- Design Tools: Figma, Unity
- Font Selection and Typography

## Key Achievements
- Implemented new features that improved performance and simplified UI layout
- Accelerated development process through efficient design workflows
- Completed projects ahead of schedule
- Consistently delivered designs with high customer satisfaction

## Experience
- Imported finished interfaces from Figma directly into Unity
- Developed user flows and wireframes from concept to implementation
- Created UI designs from scratch across multiple projects
- Collaborated effectively with UI/UX developers, game designers, artists, and programmers on cross-platform projects"
53979,"**UX/UI Designer (2020-2022)**

**Second Half of Year**
- Developed indie game interface based on independent UX research
- Created low- and high-fidelity wireframes
- Collaborated with developers and game designers
- Designed and conducted user surveys and testing exercises

**First Half of Year**
- Developed UX/UI solutions using user-centered design methodology
- Conceptualized ideas from low-fidelity wireframes through interactive visual designs and prototypes
- Built and designed sitemaps and information architecture
- Demonstrated how design builds from core user needs to add unexpected value
- Illustrated design ideas using storyboards, process flows, and sitemaps
- Developed adaptive and responsive UX/UI wireframes for web-based applications
- Ensured designs covered full customer journey loops, including negative paths
- Created customer journey maps and design guides to support product vision

**Visual and Graphic Designer (2019-2022)**

Key Responsibilities:
- Created logos, conceptual identity systems, banners, posters, and advertisements
- Generated creative ideas and visual styles while monitoring design trends
- Maintained attention to detail and structured work deliverables
- Presented and defended design concepts to clients
- Collaborated with strong teams to implement design expertise into products"
53981,"# RESUME

**UI/UX DESIGNER & UI ARTIST**

Professional with deep understanding of design principles, strong critical thinking abilities, and refined aesthetic sensibility. Expertise in creating compelling graphic works across multiple disciplines.

**PROFESSIONAL EXPERIENCE**

UI/UX Designer | Game Insight, 101XP, Playrix, WhaleApp
2020 – Present

**CORE COMPETENCIES**

• UI/UX Design
• Graphic Design
• Website Design
• Application Interface Design
• Branding
• Polygraphic Design
• 2D Animation
• Layout Design
• Printed Materials Production
• Technical Requirements Adherence

**SKILLS & EXPERTISE**

• Complete graphic development cycle from conception through final execution
• Original design creation and redesign initiatives
• Full understanding of technical specifications for printed materials manufacturing
• Expert layout preparation for web and application platforms
• High organizational and project management abilities
• Creative problem-solving and design innovation"
54796,"# DESIGNER

**Professional Summary**
Graphic and UI/UX designer from Kharkiv with over 10 years of experience. Proven expertise in creating distinctive brand identities for leading Ukrainian real estate companies and European clients. Skilled in translating design concepts into impactful visual solutions across multiple mediums and platforms.

**Core Competencies**
- Logo and brand identity design
- UI/UX design and research
- Website design (Tilda constructor)
- Outdoor advertising and transport branding
- Social media design
- Print material layouts and presentations
- Graphic design

**Professional Experience**
- Advertising and marketing agencies
- Printing houses
- Leading Ukrainian real estate companies
- Freelance design work

**Notable Work**
Created logos and visual identities now featured in Kyiv, Kharkiv, and other cities across Ukraine and Europe.

**Strengths**
- Excellent organizational and planning skills
- Strong collaborative abilities
- User-focused design approach
- Commitment to professional growth and development"
54797,"Remote Graphic, UI/UX Designer | Ukraine | 4+ years experience

Specialized in creating user-centric designs for complex software products including SaaS services, web apps, and mobile applications.

**Product Designer - Stress Point Health Ltd** [Apr 2018 - Jun 2020]
- Led UX/UI design project from idea through problem-solving to full UI implementation
- Designed mobile app enabling patients to access treatment for stress, anxiety, and trauma
- Synthesized various metrics and visualized them for user comprehension
- Delivered wireframes, user journeys, flows, and prototypes for testing
- Conducted usability testing sessions with 22 volunteers in pilot study to identify and resolve usability issues

**UI/UX and Web Designer - Propeller Digital Company** [May 2016 - Dec 2019]
- Led all design decisions as sole designer on team
- Designed user interfaces and visual elements for websites, print materials, and infographics
- Analyzed briefs to define user experience approach and scope
- Created wireframes, designs, and mockups for B2B and B2C markets with distinct design languages
- Redesigned business presentations, logo, brand identity, and visual design of existing websites

**UX/UI Designer - ManyRequests** [Aug 2020 - Nov 2020]
- Reworked UX and UI of existing product to improve user-friendliness
- Iterated rapidly on design versions based on user testing feedback and feature response
- Developed on-brand design solutions meeting measurable business goals and requirements
- Integrated new platform features according to user needs"
