26747,"**[NAME]**
[Contact Information]

**PROFESSIONAL SUMMARY**
Product Designer with over 6 years of commercial experience across Fintech, Crypto, Insurance, Healthcare, and Organization Management. Proven track record in leading design teams of up to 8 people and scaling products from initial concept to MVP. Expert in building design systems from scratch and managing the full product design lifecycle for Web, Mobile, and Dashboard applications. 

**AWARDS & RECOGNITION**
*   **8 Design Awards** | Behance
*   **Honorable Mention** | San Francisco Design Week
*   **The Very Best Of** | Ukrainian Design

**PROFESSIONAL EXPERIENCE**

**Digital Home Loan Product (Australia-based)**
**Product Designer**
*   Contributed to the end-to-end development of a digital home loan product, transitioning the project from initial idea to MVP.
*   Collaborated within a specialized three-person team to build a comprehensive design system from scratch.

**Product Design Lead / Senior Designer** (6+ Years Total Experience)
*   Led and managed a design team of 8 people, overseeing project delivery and strategic direction.
*   Mentored junior-level designers and conducted regular 1-on-1 meetings to identify personal areas of improvement and resolve issue points.
*   Managed the full project lifecycle, including stakeholder communication, functionality mapping, and process flow development.
*   Designed for diverse platforms including Web, Mobile, Dashboards, and Web applications.
*   Generated hypotheses, conducted user research, and executed usability testing to analyze and improve product outcomes.
*   Created low and high-fidelity wireframes, prototypes, and UI designs based on research and business needs.
*   Provided best-practice design advice to stakeholders to align design outcomes with business objectives.
*   Offered consistent feedback and support to teammates to foster a collaborative environment.

**CORE COMPETENCIES**
*   **Design & Strategy:** UI/UX Design, Design Systems, Wireframing, Prototyping, Functionality Mapping, Process Flows.
*   **Research & Analysis:** Hypothesis Generation, User Research, Usability Testing, Data Analysis.
*   **Leadership:** Team Management (8 people), Mentorship, Stakeholder Management, 1-on-1 Coaching, Collaboration.
*   **Sectors:** Fintech, Crypto, Insurance, Healthcare, Startups, Organization Management."
29788,"**DIGITAL 2D ARTIST & UI/UX DESIGNER**
Kyiv, Ukraine

**PROFESSIONAL SUMMARY**
Self-taught Digital 2D Artist and UI/UX Designer with a strong portfolio and a commitment to continuous professional growth. Proven ability to deliver high-quality design solutions by combining technical proficiency with an understanding of current design and technology trends. Dedicated to achieving excellence and contributing 100% effort to a collaborative team environment.

**EXPERIENCE**

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
*April 2021 – Present*
*   Executing comprehensive design projects encompassing UI/UX, illustration, and graphic design.

**UI/UX Designer / Illustrator**
*November 2019 – August 2021*
*   Focused on user interface design, user experience workflows, and custom illustrations.

**Freelance Web Designer**
*December 2018 – November 2019*
*   Developed web design assets and layouts for diverse freelance projects.

**SKILLS & COMPETENCIES**

*   **Design:** UI/UX Design, Adaptive Design, Illustration (Raster & Vector), Banner Design, Logo Design.
*   **Technical:** Strong technical understanding of design subjects; alignment with current technology trends.
*   **Soft Skills:** Effective verbal and written communication, time management, and self-management.
*   **Languages:** English (Upper-Intermediate).

**TOOLS**

*   Figma
*   Adobe Photoshop (including Beta)
*   Adobe Illustrator
*   Procreate App
*   Midjourney

**AWARDS**

*   **Red Dot Award:** Brands & Communication Design (August 2022)"
29835,"[NAME]
Digital Designer

PROFESSIONAL SUMMARY
Digital Designer with extensive experience in marketing and advanced proficiency in Figma, Photoshop, and Illustrator. Proven track record of creating visually stunning designs that drive brand growth and user engagement. Experienced in both freelance and in-house roles, having collaborated with international teams and an American company to deliver high-quality web and digital assets. Seeking a long-term partnership in a product-focused role to implement design solutions that simplify and improve the customer experience.

SKILLS
• Design: UI/UX Design, Branding, Advertising, Illustration, Color Theory, Composition, Digital Imagery.
• Digital & Marketing: Webflow (Animation/CMS), Web Ads, Social Media Ads, E-blasts, Digital Analytics.
• Technical: Figma (Advanced), Adobe Photoshop, Adobe Illustrator, HTML, CSS.
• Soft Skills: Independent and Team Collaboration, Direct Customer Interface, Creative Problem Solving.

PROFESSIONAL EXPERIENCE

Digital Designer | Freelance & In-house 
• Collaborated within a team to provide design solutions for more than 5 companies across various countries.
• Served as a Freelance Designer for an American company, focusing on website design and digital assets.
• Developed comprehensive digital campaigns, including web ads, social media advertisements, and E-blasts.
• Managed direct communication with customers to translate business needs into visual designs.
• Utilized Webflow to implement animations and CMS structures for web projects.

EDUCATION & CERTIFICATIONS
• Dare IT: Product Design
• Hillel IT School: Basic Web Design
• Cases Media: Figma (Grade: 90)
• Cases Media: Graphic Design Composition (Grade: 91)"
30606,"[Name]
[Contact Information]

**SKILLS**

**Figma**
*   Design Systems
*   UI Kit Development
*   Auto Layout
*   Interactive Components
*   Interactive Prototyping
*   Figma Plugins

**Design & Research**
*   UX Research
*   Competitive Analysis
*   Sketching and Prototyping
*   Visual Design Principles (Composition, Typography, and Color Theory)
*   UI Design Principles and Industry Trends

**Collaboration & Tools**
*   Group Project Collaboration
*   Project Presentation
*   Google Workspace (Google Docs, Google Forms)

**PROJECTS & EDUCATION**

**Beetroot Academy (Mentorship Program)**
*   Conducted UX research and competitive analysis for design projects.
*   Developed sketches and prototypes based on user needs.
*   Applied principles of composition, typography, and color to UI designs.
*   Presented completed projects to stakeholders and mentors.
*   Collaborated within a team environment to achieve project goals."
30845,"**JUNIOR UI/UX DESIGNER**

**Summary**
Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs. Quick learner, responsible, and ready to perform complex tasks.

**Skills**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator
*   **UX Research:** Competitor Analysis, User Personas, Customer Journey Mapping (CJM), Jobs-to-be-Done (JTBD), User Flows
*   **Design Process:** Wireframing, Interactive Prototyping, Mockups, UI Kits, Responsive/Adaptive Design
*   **Technical:** HTML, CSS

**Projects**

**Real Estate Website Redesign (Destin, Florida)**
*   **Objective:** Modernize an outdated, non-user-friendly site to improve photo quality, customer engagement, and accessibility of key information.
*   **Process:** Conducted market research and competitor analysis to identify successful design solutions. Analyzed social media and customer feedback to develop three user personas and a comprehensive Customer Journey Map (CJM).
*   **Key Features:** Integrated user-friendly feedback forms and property valuation tools to attract and retain potential customers.

**Travel Web Service (Excursions & Tours)**
*   **Objective:** Develop a platform for users to find and book tours and for travel agents/guides to post excursion offers.
*   **Process:** Performed market analysis, JTBD research, and CJM development. Created User Flows and Wireframes followed by a comprehensive UI-Kit.
*   **Key Features:** 
    *   Search and category-based browsing with advanced filters.
    *   Registration via email, Google, or Facebook.
    *   Secure card payment integration for bookings.
    *   Dedicated announcement creation form for guides.
*   **Outcome:** Delivered a fully adaptive design responsive across various devices.

**Mobile Restaurant Booking Application**
*   Successfully designed and defended a mobile application project focused on booking tables in restaurants.

**Education**
*   **UI/UX Design Course** (6-month intensive)
*   **Additional Coursework:** HTML/CSS

**Objective**
Seeking a full-time position in a product company focused on creating digital products for everyday life and business."
32072,"**UI/UX DESIGNER**

**EXPERIENCE**

**Current Role | UI/UX Designer**
* Improved the onboarding process of a financial institution app by 35%.
* Led a team of four designers in creating visually appealing and functional products that resonate with users and meet business objectives.
* Utilized Agile planning principles to deliver tailored solutions that met customer requirements.
* Established user interface design and architecture through the development of wireframes, mockups, and prototypes.

**Previous Role | UI/UX Designer**
* Improved the audience management system of a SaaS tool by 25%.
* Designed aesthetically pleasing solutions that successfully drove measurable business results."
46443,"**PRODUCT DESIGNER & FRONT-END DEVELOPER**

**Professional Summary**
Accomplished professional with over 10 years of commercial experience in the design and development of web solutions. Career trajectory ranges from Graphic Designer to Product Designer, with a specialized focus on large-scale CRM and SaaS projects, as well as mobile and desktop applications. Expert in the end-to-end creation and maintenance of comprehensive Design Systems to simplify and accelerate the product development process.

**Core Competencies**
*   **Product Design:** UI/UX, Branding, Corporate Style, and User Experience optimization.
*   **Design Systems:** Creation and implementation of large-scale systems from design to code (React and Storybook).
*   **Rapid Prototyping:** Proven ability to manage product creation from zero specifications to release-ready versions within 3–4 weeks.
*   **Web Development:** Full-cycle design and development of promo pages, landing pages, and complex user cabinets.

**Technical Skills**
*   **Design:** Figma, Sketch, Adobe Creative Cloud Suite.
*   **Development:** HTML, CSS, JavaScript, React, Next.js, Storybook, WordPress.

**Professional Experience & Highlights**
*   **Product Design & Development:** Over 10 years of commercial experience designing and developing web solutions, including 50+ landing/promo pages and 10+ user cabinets.
*   **Complex Functional Implementation:** Developed diverse features ranging from modern dashboards to specialized tools, such as smart timer systems and integrated photo editors.
*   **Project Leadership:** Managed the full development lifecycle for multiple products, achieving release versions in high-pressure 3–4 week timeframes without prior specifications.
*   **Design System Engineering:** Spearheaded the creation and maintenance of design systems to bridge the gap between design and implementation using React and Storybook.

**Key Career Achievements**
*   Transitioned through roles from Graphic Designer to Product Designer.
*   Successfully delivered large-scale CRM and SaaS solutions across mobile and desktop platforms.
*   Maintained a high standard for quality and user experience across 60+ individual web projects.

**Professional Interests & Goals**
*   Collaborating with high-performance teams to build impactful, human-centric products.
*   Leading product development or specific product segments.
*   Applying UI/UX, branding, and corporate style expertise to improve user engagement and product quality.
*   Working within environments that value professional management and the opportunity to influence product direction."
46506,"[NAME]
[CONTACT INFORMATION]

**SUMMARY**
Software Developer with experience in web development using JavaScript and the React framework. Proficient in building responsive web pages and implementing complex animations and UI components.

**SKILLS**
*   **Languages & Frameworks:** JavaScript, React, JSX, HTML, CSS
*   **Libraries & UI Tools:** Framer Motion, MUI (Material UI), Bootstrap, Materialize
*   **Design Software:** Figma, Adobe Photoshop

**PROFESSIONAL EXPERIENCE**

**Software Developer** | [Company Name (Small IT Company)]
*   Developed web applications built on JavaScript and the React framework.
*   Created web pages utilizing JSX, HTML, and CSS.
*   Implemented interactive animations using Framer Motion.
*   Utilized MUI components, Bootstrap, and Materialize to build user interfaces.
*   Translated designs from Figma and Adobe Photoshop into functional web components."
50300,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**
Dedicated Software Developer with a proven track record of designing and deploying high-impact customer engagement solutions. Expert in building full-stack applications from the ground up, utilizing modern frameworks to drive customer acquisition and incremental revenue. Committed to delivering high-quality, performant code that meets industry standards for usability and user experience.

**TECHNICAL SKILLS**
*   **Frontend:** React, Vue, Flutter, UI/UX Design, Interface Development
*   **Backend:** Node.js, API Integration, Database-to-UI Information Flow Strategizing
*   **Tools & Processes:** Custom Plugin Development, Debugging, Performance Optimization, Project Planning, Software Architecture Design

**PROFESSIONAL EXPERIENCE**

**Software Developer**
*   Designed and deployed a groundbreaking customer engagement suite for a major e-commerce business from the ground up.
*   Utilized innovative technologies and processes to maximize customer acquisition, satisfaction, and retention to drive incremental revenue.
*   Managed the full project lifecycle, ensuring completion on time and under budget with positive feedback from users and clients.
*   Develop frontend interfaces according to client specifications while ensuring strong system usability and industry-standard user experiences.
*   Build websites and applications using Node.js for backend development and React, Vue, and Flutter for frontend components.
*   Create complex interfaces, integrate APIs, and develop custom plugins to enhance application functionality.
*   Collaborate with teams of developers to plan projects and strategize information flows between backend databases and user interface components.
*   Conduct debugging, performance checking, and code optimization to ensure technical excellence and system reliability.

**PROJECT HIGHLIGHTS**
*   **E-commerce Customer Engagement Suite:** Led the end-to-end design and implementation of a suite focused on driving revenue and user retention. Received rave reviews for technical execution and careful project consideration.
*   **Full-Stack Development:** Successfully completed various projects involving API integrations and custom plugin development using React, Vue, and Flutter.

**PROFESSIONAL DEVELOPMENT & GOALS**
*   Actively expanding technical skillset by learning new technologies and frameworks to stay current with industry trends.
*   Collaborating with experienced engineers to deepen understanding of software architecture designs.
*   Focused on honing professional skills to provide reliable, high-quality contributions to the software industry."
51419,"[NAME]
[Contact Information]

**SUMMARY**
UI/UX Designer with a technical background in programming. Transitioned from development to design to focus on user-centric problem-solving. Experienced in both freelance environments and official out-staffing roles within the IT industry. Seeking a full-time, remote position to solve complex and challenging design problems.

**PROFESSIONAL EXPERIENCE**

**IT Company**
*UI/UX Developer (Out-staff basis)*
[Date] – Present
*   Officially employed for the past year providing UI/UX development services.
*   Collaborated on out-staff projects within a professional IT environment.
*   Applied a problem-solving approach to complex design challenges.

**Freelance**
*Designer*
[Date] – [Date]
*   Executed various design tasks over several years following a career transition from programming.
*   Managed end-to-end design processes for diverse freelance clients.
*   Developed a specialized focus on UI/UX through practical project experience.

**SKILLS**
*   UI/UX Development
*   Programming Background
*   Problem Solving
*   Out-staffing Workflow
*   Remote Collaboration

**OBJECTIVE**
Seeking a full-time, remote position where I can continue solving challenging problems that require a unique candidate profile."
53971,"[NAME]
[Contact Information]

**PROFESSIONAL SUMMARY**
Senior Game UI/UX Designer with over 8 years of design experience, including 3 years specialized in game development. Proven track record in both large-scale gamedev environments and indie studios. Expert in creating game interfaces, supported by a strong foundation in senior-level graphic design and technical proficiency in 3D modeling and animation.

**CORE COMPETENCIES**
*   Game UI/UX Design
*   Game Interface Creation
*   3D Modeling
*   Texturing
*   3D Animation
*   Graphic Design

**PROFESSIONAL EXPERIENCE**

**Game UI Designer | Large Gamedev Company**
[Dates] (1.5 Years)
*   Specialized in Game UI design for a major game development studio.
*   Developed high-quality game interfaces utilizing professional design principles.

**Game UI/UX Designer | Various Indie Teams**
2019 – [Dates]
*   Contributed to various indie development teams across multiple disciplines including 3D modeling, texturing, and 3D animation.
*   Leveraged extensive graphic design background to specialize in the creation of game interfaces.
*   Managed diverse workflows within the indie development ecosystem.

**Senior Graphic Designer**
[Dates] (5 Years)
*   Served as Senior Graphic Designer, building the foundational design expertise applied to current UI/UX roles.
*   Managed graphic design projects and visual assets at a senior level.

**TECHNICAL SKILLS**
*   **Design:** UI/UX Design, Game Interface Design, Graphic Design
*   **3D/Art:** 3D Modeling, Texturing, 3D Animation"
53972,"[NAME]
[Contact Information]

PROFESSIONAL SUMMARY
Visual Designer with over three years of experience, including one year specializing in mobile game development. Proficient in creating UI layouts, navigation elements, and promotional assets. Seeking a long-term role within a GameDev company to contribute to mobile game projects.

SKILLS
*   Tools: Adobe Photoshop, Figma, Adobe After Effects
*   Design: UI Layouts, Navigation Elements, Mobile Game Decorations, Promotional Banners, Website Design, Email Design
*   Animation: Motion graphics and animations created in After Effects and Figma

EXPERIENCE

GameDev Designer
[Dates]
*   Designed offers, decorations, and banners specifically for mobile games.
*   Developed layouts utilizing graphics provided by artists or self-authored elements depending on project needs.
*   Created custom navigation elements and decorative assets.
*   Produced animations for game interfaces and assets using After Effects and Figma.
*   Utilized Photoshop and Figma as primary design tools.

Web and Graphic Designer
[Dates]
*   Spent 2+ years designing websites, digital banners, and marketing emails.
*   Translated project requirements into visual designs for web platforms.

OBJECTIVE
To secure long-term cooperation with a GameDev company focusing on mobile games development and fruitful professional growth."
