,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
29788,"**[Your Name]**
[Your Contact Information]

**Summary**

Self-taught Digital 2D Artist & UI/UX Designer from Kyiv. Possessing advanced skills and experience in digital design, and a strong understanding of current design trends. Seeking a collaborative environment to contribute and further develop expertise.

**Skills**

*   UI/UX Design / Adaptive Design
*   Illustration (Raster/Vector)
*   Banner Design
*   Logo Design
*   Upper-Intermediate English
*   Effective Verbal and Written Communication
*   Time and Self-Management

**Tools**

*   Adobe Photoshop
*   Adobe Illustrator
*   Procreate App
*   Figma
*   Midjourney

**Experience**

*   **Full Stack: UI/UX Designer / Illustrator / Graphic Designer** (April 2021 – Present)
*   **UI/UX Designer / Illustrator** (November 2019 – August 2021)
*   **Freelance Web Designer** (December 2018 – November 2019)

**Awards**

*   RED DOT / Brands & Communication Design (August 2022)
"
29835,"**[Your Name]**
[Your Contact Information]

**Summary**

Digital Designer with experience in Marketing and a passion for creating visually compelling designs. Skilled in Photoshop, Illustrator, and Figma. Proficient in Webflow (animation, CMS, etc.). Experienced in both freelance and in-house roles, collaborating with diverse teams and clients. Eager to contribute to award-winning campaigns and deliver designs that enhance client engagement. Seeking a long-term partnership with opportunities for growth, focused on product development that improves the user experience.

**Skills**

*   Color Sense, Color Theory, Composition
*   Branding, Advertising, Illustration
*   Web Ads, Social Media Ads, Digital Design, Digital Imagery, Digital Analytics, E-blast
*   UI/UX Design
*   HTML/CSS
*   Webflow

**Soft Skills**

*   Independent and Team Collaboration
*   Creative
*   Customer Interaction

**Education**

*   Dare IT - Product Design
*   HILLEL (IT School) - Basic Web Design
*   CASES MEDIA - Figma (90)
*   CASES MEDIA - Graphic Design. Composition (91)

**Experience**

*   Digital Designer: Extensive experience in Photoshop, Illustrator, and Figma. Experience with Webflow (animation, CMS, etc.). Worked on websites and E-blasts.
*   Freelance Designer: Experience working for an American company.
*   In-House Experience: Experience as an in-house manager.
*   Team Collaboration: Collaborated with teams on projects for over 5 companies from different countries.
"
30606,"**[Your Name]**

**Summary**

Proficient in Figma, with experience in UI/UX design and project collaboration.

**Skills**

*   Figma: Design Systems, UI Kits, Auto Layout, Interactive Components, Interactive Prototyping, Figma Plugins
*   UX Research
*   Competitive Research
*   Sketching and Prototyping
*   Design Principles: Composition, Typography, Color
*   Design Trends
*   Group Work
*   Project Presentation
*   Google Documents, Google Forms

**Experience**

**Projects on Mentorship, Beetroot Academy**

*   Conducted UX Research and Competitor Research.
*   Developed sketches and prototypes.
*   Demonstrated understanding of design principles including composition, typography, and color.
*   Applied knowledge of design trends.
*   Collaborated in group settings.
*   Presented project work.
*   Utilized Google Documents and created Google Forms.
"
30845,"**Jane Doe**
[Your Phone Number] | [Your Email] | [Your Portfolio Link (Optional)] | [Your LinkedIn Profile (Optional)]

**Summary**

Dynamic junior UI/UX designer passionate about creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

**Skills**

*   UI/UX Design
*   Figma
*   Photoshop
*   Illustrator
*   HTML/CSS (Studied)
*   Wireframing
*   Prototyping
*   User-Centered Design

**Projects**

*   **Website Redesign for a Real Estate Company**
    *   Redesigned the website for a real estate company located in Destin, Florida.
    *   Addressed issues with an outdated design, poor user experience, and low-quality photos.
    *   Conducted competitor research and analysis.
    *   Developed 3 user personas and a customer journey map.
*   **Travel Website**
    *   Created a web service to help users find and book excursions, tours, entrance tickets, and entertainment worldwide.
    *   Enabled travel users to find and order tours and excursions.
    *   Provided a platform for travel agents and companies to post excursion offers.
    *   Included features for searching excursions with filters, viewing excursions by category, registration options, and card payment for bookings.
    *   Completed competitor analysis, user journey mapping, and user flow development.
    *   Developed wireframes, a UI kit, and an adaptive design.
*   **Mobile Application for Booking Tables in Restaurants**
    *   (No additional information)

**Education**

*   UI/UX Design Course (6 months)

**Additional Information**

*   Quick learner, responsible, and ready to perform complex tasks.
"
32072,"**UI/UX Designer**

*   Improved onboarding process of a financial institution app by 35%.
*   Led a team of 4 designers in creating visually appealing and functional products.
*   Utilized Agile planning principles to deliver tailored solutions.
*   Employed wireframes, mockups, and prototypes for user interface design.
*   Improved the audience management system of a SaaS tool by 25%.
*   Designed solutions that drive business results.
"
46443,"**Summary**

Over 10 years of commercial experience in the design and development of web solutions. Proven ability to design and implement large-scale CRM and SaaS projects, as well as mobile and desktop applications. Expertise in creating and maintaining Design Systems to streamline product development.

**Experience**

*   **Design System Specialist**
    *   Created large design systems, from design to implementation, using React and Storybook.
    *   Managed the creation of products from inception to release within 3-4 week timeframes.
    *   Designed and developed over 50 landing pages and promo pages, and over 10 user interfaces.
    *   Implemented diverse functionalities, including dashboards, smart timers, and photo editors.
*   **Various Design Roles**
    *   Held positions ranging from Graphic Designer to Product Designer.

**Skills**

*   Proficient in: Figma, Sketch, Adobe CC suite, HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook.

**Desired Opportunity**

Seeking a company or development team focused on improving user experience and product quality. Interested in roles involving UI/UX, branding, corporate style, and design system creation/maintenance, and the opportunity to influence product development.
"
46506,"**[Your Name]**
**[Your Contact Information]**

**Summary**

Software developer with experience in a small IT company. Proficient in front-end web development using JavaScript and the React framework.

**Skills**

*   JavaScript
*   React
*   JSX (HTML, CSS)
*   Framer Motion
*   Mui components
*   Bootstrap
*   Materialize
*   Figma
*   Adobe Photoshop

**Experience**

**Software Developer** | [IT Company Name] | [Dates of Employment]

*   Developed web pages using JSX (HTML, CSS).
*   Utilized React framework for project development.
*   Implemented animations with Framer Motion.
*   Employed Mui components for user interface elements.
*   Used Bootstrap and Materialize for responsive design.
*   Collaborated with design using Figma and Adobe Photoshop.
"
50300,"**Summary**

Driven frontend developer with a proven track record of delivering successful projects, including the design and deployment of a groundbreaking customer engagement suite for a major e-commerce business. Expertise in developing user interfaces, integrating APIs, and building custom plugins using React, Vue, and Flutter. Proficient in backend development with Node.js. Dedicated to creating exceptional user experiences and staying current with industry trends.

**Experience**

*   **Frontend Developer**
    *   Develop frontend interfaces based on client specifications, ensuring strong system usability.
    *   Maintain top-notch application user experience according to industry standards.
    *   Collaborate effectively with development teams and work independently.
    *   Debug issues, perform application performance checks, and optimize code.
    *   Participate in project planning and strategizing information flows between backend databases and user interface components.

**Projects**

*   Designed and deployed a customer engagement suite for a major e-commerce business, resulting in maximized customer acquisition, satisfaction, and retention, and driving incremental revenue. The project was completed on time, under budget, and received positive feedback.
*   Developed interfaces, integrated APIs, and built custom plugins using React, Vue, and Flutter.
*   Created websites and applications using Node.js for backend development.

**Skills**

*   React
*   Vue
*   Flutter
*   Node.js
*   API Integration
*   Frontend Development
*   User Interface Design
*   Debugging
*   Performance Optimization
*   Project Planning
"
51419,"**[Your Name]**

**Summary**

Driven UI/UX developer with a passion for solving complex problems. Transitioned from programming to design, leveraging a background in IT to create user-centered solutions. Seeking a full-time, preferably remote, opportunity.

**Experience**

*   **UI/UX Developer** | [IT Company Name] | [Start Date] - Present
    *   Developed UI/UX solutions on an out-staff basis.
*   **Freelance Designer** | [Start Date] - [End Date]
    *   Completed various design projects.

**Skills**

*   UI/UX Development
*   [Add skills from your previous programming experience if applicable, such as: HTML, CSS, JavaScript, etc.]
"
53971,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented Game UI/UX Designer with 3 years of experience specializing in game interface design, currently seeking new opportunities within the game development industry. Proven ability to create engaging and effective user interfaces, complemented by a strong foundation in graphic design and diverse experience in various aspects of game development.

**Experience**

**Game UI Designer** | [Gamedev Company Name] | [Dates of Employment:  (1.5 years ago to Present)]
*   [List of Responsibilities and Accomplishments - *Use your original statements to create these bullets*]

**Indie Game Development** | [Various Indie Teams] | 2019 - Present
*   Contributed to various indie game projects, including 3D modeling, texturing, and 3D animation.
*   Leveraged graphic design expertise to excel in the creation of game interfaces.

**Senior Graphic Designer** | [Previous Company Name(s) or Project(s)] | [Dates of Employment:  (5 years prior to Game UI Designer Start Date)]
*   [List of Responsibilities and Accomplishments - *Use your original statements to create these bullets*]

**Skills**

*   Game UI/UX Design
*   Graphic Design
*   3D Modeling
*   Texturing
*   3D Animation
"
53972,"**[Your Name]**

**Summary**

Creative professional with 2+ years of experience designing websites, banners, and emails. Possesses 1 year of experience in GameDev, including designing offers, decorations, and banners for mobile games. Proficient in Photoshop, Figma, and After Effects. Eager to contribute to a GameDev company through long-term collaboration.

**Experience**

*   **GameDev** (1 year)
    *   Designed offers, decorations, and banners for mobile games.
*   **Web Design/Graphic Design** (2+ years)
    *   Created websites, banners, and emails.

**Skills**

*   Photoshop
*   Figma
*   After Effects (Animation)
*   Layout Design
*   Graphic Design

**Projects/Responsibilities**

*   Created layouts based on provided graphics.
*   Designed navigation elements and decorations for mobile games.
*   Produced animations for game elements.

**Interests**

*   Mobile game development
*   Long-term cooperation
"
53973,"**[Your Name]**

**Summary**

Game UI/UX Designer with UI Artist and animation knowledge (since 2019), leveraging a background in web design (since 2015). Possesses a comprehensive understanding of the project lifecycle and proficient in HTML, CSS, and JavaScript. Skilled in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

**Experience**

*   **Game UI/UX Designer** (2019 - Present)
    *   Developed design processes.
    *   Mentored staff.
    *   Independently secured clients.
    *   Provided skill-up training for staff.
    *   Participated in website updates.
    *   Redesigned logos for websites and applications.
*   **Web Designer** (2015 - 2019)

**Responsibilities**

*   Design and implement user-friendly UX flows aligned with game design.
*   Create UI screens, UI elements, and prepare assets for programmers.
*   Communicate UX vision and design concepts to team members.
*   Collaborate with team members to integrate designs into the game.
*   Contribute additional skills to support game development.

**Skills**

*   UI/UX Design
*   UI Art
*   Animation
*   Figma
*   Adobe Photoshop
*   Unreal Engine 4
*   Unity
*   HTML
*   CSS
*   JavaScript

**Additional Information**

*   Committed to continuous learning.
*   Enjoys sports (basketball, Brazilian jiu-jitsu), yoga, and a healthy lifestyle.
*   Teaches design at IT Academy (Lviv).

**Teamwork & Environment**

*   Works effectively in a team-oriented environment.
*   Focuses on achieving results.
*   Values flexibility and collaboration.
*   Appreciates the contributions of each team member.
"
53974,"**[Your Name]**
[Your Contact Information]

**Summary**

Game UI/UX Designer/Artist with experience at a Ukrainian game company. Creates UI visuals for casual games, from concept to final rendering and sprite preparation for Unity. Collaborates with a multidisciplinary team including designers, managers, 2D and 3D artists, and programmers.

**Experience**

*   **Game UI/UX Designer/Artist** | Ukrainian Game Company
    *   Created UI visuals for casual games, encompassing concept development, final rendering, and sprite preparation for Unity.
    *   Researched game interfaces and functional solutions.
    *   Developed user-friendly, visually appealing, and unique interfaces.
    *   Created supplementary game interface assets (logos, icons, buttons, pop-ups, unique mechanics).
    *   Monitored interface implementation in game engines.
    *   Stayed current with UI/UX design trends and techniques.
    *   Participated in the development of a released mobile casual game.

**Education**

*   **Bachelor of Arts in ""Artist-performer""** | Kyiv National University of Construction and Architecture
"
53975,"**[Your Name]**

**Summary**

UI/UX Game Designer with 4 years of commercial experience in Design and 2 years of commercial experience in GameDev. Proven ability to contribute to the full cycle of UI/UX creation, including information architecture, player flows, UI research, wireframing, style research, prototyping, and resource implementation. Adept at working in Unity3d, Figma, and Photoshop.

**Experience**

*   **UI/UX Game Designer**

    *   Successfully completed 248+ projects.
    *   3+ years of experience.
    *   Participated in diverse projects including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.
    *   Responsible for participating in and supporting the full cycle of UI and UX creation.
    *   Utilized Figma, Photoshop, Unity3d, Jira, Confluence, and Plastic SCM.
    *   Actively working even in challenging times.
    *   Developed a welcome-box for new employees of the company.

**Skills**

*   UI/UX Design
*   Information Architecture
*   Player Flows
*   Wireframing
*   Prototyping
*   Figma
*   Photoshop
*   Unity3d
*   Jira
*   Confluence
*   Plastic SCM

**Education**

*   Web Design Courses - Graduated with Honors
*   English Courses - Completed in 2022 with Honors

**Projects**

*   Supervised the final group project.
*   Organized the printing of materials for two exhibitions in different cities simultaneously.

"
53976,"**[Your Name]**

**Summary**

*   Skill to quickly acquire new knowledge
*   Excellent team player
*   Effective teacher and leader

**Skills**

*   Game UI Art
*   UI Design
*   3D Modeling, Sculpting
*   Texturing
*   Character Concept Art
*   Environment Concept Art
*   Illustration
*   Character Design
*   Creative Design
*   Perfect English

**Software Proficiency**

*   Photoshop
*   Daz Studio
*   Blender
*   Substance Painter
*   Substance Designer
*   ZBrush
"
53977,"**[Your Name]**

**Summary**

Self-motivated professional with experience in motion design and team management within the gaming industry. Proven ability to create high-quality visual assets and improve workflows.

**Experience**

*   **Motion Designer/Team Lead** (or relevant title)
    *   Developed motion design for worldwide poker and casino products.
    *   Improved design and animation export pipelines across multiple projects.
    *   Managed a team of 7+ internal and external professionals (design, graphics, motion, animation, sound, and development).
    *   Participated in rebranding poker brands.
    *   Designed UX/UI for a poker application.
    *   Contributed to the creation, organization, and distribution of project style guides, design systems, and asset libraries.
    *   Created gaming motion graphics and animations for poker and casino games (slots, betting, blackjack).
    *   Established clean and scalable After Effects project architecture.
    *   Produced motion graphics for live online events.
    *   Contributed to the formation and organization of a Gaming Design team.
    *   Collaborated with the development team to improve design and animation implementation, introducing new technologies into the workflow.
    *   Enhanced the visual and gaming experience of products.
    *   Developed detailed briefs (specifications) and oversaw design, graphic, motion, sound, and development artists to ensure final product alignment.
    *   Created designs and storyboards for promotional videos.

**Skills**

*   Motion Design
*   UX/UI Design
*   Team Management
*   Gaming Industry
*   After Effects
*   Project Management
*   (Add any other relevant skills from your original resume, such as specific software, design principles, etc.)

**Goals**

*   Leverage experience in the gaming industry and learn from industry leaders.
*   Create high-quality products.
*   Successfully manage tasks and take ownership of results.
*   Motivate teams and foster a collaborative environment to produce top-tier products.
"
53978,"**UI/UX Designer**

*   Proven prototyping skills to enhance UI and game experience.
*   Implemented new features, improving performance and development speed while simplifying UI layouts.
*   Completed projects ahead of schedule, garnering high customer appreciation.
*   Utilized 9-Slice Scaling on projects.
*   Imported finished interfaces from Figma directly into Unity.
*   Developed user flows and wireframes.
*   Created UI from scratch.
*   Selected fonts.
*   Prototyped interfaces.
*   Experience with PC, console, and mobile device projects.
*   Collaborated with UI/UX developers, game designers, artists, and programmers.
"
53979,"**UX/UI Designer (2020-2022)**

*   Developed indie game interface based on UX research, including conducting research.
*   Created low- and high-fidelity wireframes.
*   Collaborated with developers and game designers.
*   Conducted surveys and exercises to facilitate user testing.

**UX/UI Designer (1st Half of the Year)**

*   Developed UX/UI solutions using a user-centered design approach.
*   Conceptualized ideas from low-fidelity wireframes to interactive visual designs and prototypes.
*   Built and designed sitemaps and information architecture.
*   Demonstrated how design addresses core user needs and provides user value.
*   Illustrated design ideas using storyboards, process flows, and sitemaps.
*   Developed adaptive and responsive UX/UI wireframes for web-based applications.
*   Considered negative paths and ensured design covered full customer loops.
*   Created CJMs and guides to support product vision.

**Visual and Graphic Designer (2019-2022)**

*   Created logos, conceptual identities, banners, posters, and ads.
*   Generated design ideas and style, and monitored design trends.
*   Maintained attention to detail and structured work results.
*   Presented and, at times, defended design ideas to clients.
*   Collaborated within a team and contributed design knowledge to product development.
"
53981,"**[Your Name]**
[Your Contact Information]

**Summary**

UI/UX Designer/UI Artist with experience in game development since 2020. Proven ability to create compelling graphic works and demonstrate critical thinking.

**Experience**

*   **UI/UX Designer/UI Artist**
    *   Game Insight
    *   101XP
    *   Playrix
    *   WhaleApp
    *   (Dates of Employment for each company)

**Skills**

*   Graphic Design
*   Website Design and Redesign
*   Application Design and Redesign
*   Branding
*   Polygraphic Design
*   2D Animation
*   Complete Graphic Development Cycle
*   Understanding and Adhering to Technical Requirements for Print and Digital Materials
*   Layout Design for Websites and Applications

**Key Strengths**

*   Interesting Projects
*   Qualified Management
*   High Work Organization
*   Creative Environment
"
54796,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link] | [Your LinkedIn Profile (Optional)]

**Summary**

Designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. Proven ability to create impactful visual identities, including logos and styles, for diverse clients. Experience includes working with European clients and a strong background in advertising, marketing, and print production.

**Experience**

*   **Freelance Designer** | [Dates of Freelance Work]
    *   Developed visual identities for leading Ukrainian real estate companies.
    *   Created logos and styles for companies, displayed in Kyiv, Kharkiv, and other cities.
    *   Designed websites using the Tilda platform.
*   **[Previous Agency/Company Name(s)]** | [Dates of Employment]
    *   Experience in advertising and marketing agencies and printing houses.
    *   [Add specific achievements/responsibilities if possible, but only if they are already implied or explicitly stated in the original text, e.g., ""Contributed to outdoor advertising campaigns.""]

**Skills**

*   Graphic Design
*   UI/UX Design
*   Logo Design
*   Branding & Identity
*   Website Design (Tilda)
*   Social Media Design
*   Print Design (Layouts)
*   Presentations
*   Outdoor Advertising
*   Transport Branding
*   UX Research

**Personal Qualities**

*   Excellent organizational and planning skills
*   Strong team player
*   User-focused design approach

**Additional Information**

*   Portfolio available upon request.
*   Eager to contribute to a team and grow as a UX/UI designer.
"
