,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
29788,"**DIGITAL 2D ARTIST & UI/UX DESIGNER**

Kyiv-based Digital 2D Artist and UI/UX Designer with self-directed education and a strong portfolio demonstrating expertise across multiple design disciplines.

**RECOGNITION**

Red Dot Award for Brands & Communication Design, August 2022

**CORE COMPETENCIES**

- UI/UX Design & Adaptive Design
- Raster and Vector Illustration
- Graphic Design & Visual Communication
- Banner Design
- Logo Design
- Technical understanding of design principles and current industry trends
- Effective verbal and written communication
- Strong time management and self-direction

**PROFESSIONAL EXPERIENCE**

**Full Stack Designer: UI/UX | Illustration | Graphic Design**
April 2021 – Present

**UI/UX Designer & Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

**TECHNICAL PROFICIENCIES**

Adobe Photoshop (including Beta) | Adobe Illustrator | Figma | Procreate | Midjourney

**LANGUAGE PROFICIENCY**

English – Upper-Intermediate"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

Digital designer with extensive marketing experience, passionate about creating visually stunning designs that drive brand growth. Proven track record as both freelance designer and in-house manager, collaborating with international teams on projects for more than 5 companies across multiple countries, including the United States. Skilled at delivering designs that engage target markets and drive client growth, with the ability to excel both independently and within collaborative teams.

## CORE COMPETENCIES

**Design & Visual:** Color Theory, Color Sense, Composition, Branding, Advertising, Illustration, UI/UX Design, Digital Design, Digital Imagery

**Digital Marketing:** Web Ads, Social Media Ads, E-blast, Digital Analytics

**Technical Skills:** Figma (Advanced), HTML/CSS, Webflow (Animation, CMS)

**Soft Skills:** Creative Problem Solving, Customer Interface Management, Team Collaboration, Independent Work

## EDUCATION & CERTIFICATIONS

Product Design – Dare IT
Basic Web Design – Hillel IT School
Figma (90) – Cases Media
Graphic Design: Composition (91) – Cases Media

## CAREER GOALS

Seeking long-term partnership opportunities in product design to leverage my knowledge and experience in creating solutions that improve customers' lives."
30606,"# Resume

## Skills

**Design Tools & Technical Proficiency**
- Figma: Design Systems, UI Kits, Auto Layout, Interactive Components, Prototyping, Plugins

**Design Expertise**
- Composition, Typography, and Color Theory
- Design Principles and Design Trends

**Research & Process**
- UX Research
- Competitor Research
- Sketching and Prototyping

**Collaboration & Communication**
- Project Presentation
- Collaborative Project Experience
- Google Workspace (Documents, Forms)

---

## Experience

**Beetroot Academy Mentorship Program**

*Projects*
- Conducted UX and competitor research to inform design decisions
- Developed sketches and prototypes applying composition, typography, and color theory principles
- Collaborated on team projects and delivered project presentations"
30845,"**JUNIOR UI/UX DESIGNER**

Dynamic junior UI/UX designer passionate about creating seamless, visually captivating user experiences. Proficient in Figma, Photoshop, and Illustrator with a solid foundation in design principles and user-centered methodologies. Experienced in producing interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and evolving design strategies to meet user needs.

**CORE COMPETENCIES**

User-Centered Design Methodologies | Wireframing & Prototyping | User Personas & Customer Journey Mapping | Competitive Analysis | UI Design & Design Systems | HTML/CSS Fundamentals

**DESIGN TOOLS**

Figma | Photoshop | Illustrator

**PROJECTS**

**Real Estate Website Redesign**
Led comprehensive redesign for a real estate company, conducting competitive analysis and user research. Created 3 user personas and customer journey map to identify key pain points: outdated design, poor user-friendliness, and missing customer-critical information. Delivered modern, user-friendly design optimized to attract potential customers.

**Travel Website**
Designed web service enabling users to find and book excursions, tours, and entertainment worldwide. Conducted competitive market analysis and user research, created user personas, and developed user flows, wireframes, and adaptive UI design. Implemented search functionality with filters, category browsing, multi-platform registration, payment processing, and guide announcement features.

**Mobile Restaurant Booking Application**
Designed mobile application for booking tables in restaurants.

**EDUCATION & TRAINING**

UI/UX Design Course | 6-Month Program
Supplemental Training: HTML/CSS

**PROFESSIONAL SUMMARY**

Quick learner seeking a full-time position with a product company focused on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Current Role

**Design Team Lead**

- Spearheaded onboarding redesign for a financial institution app, achieving a 35% improvement in user experience and measurable business outcomes
- Led a team of 4 designers, delivering visually compelling, user-centered products aligned with strategic business objectives
- Applied Agile methodologies to develop tailored solutions meeting customer requirements on schedule
- Created wireframes, mockups, and prototypes to define user interface design and information architecture

## Previous Role

**UI/UX Designer**

- Redesigned audience management system for a SaaS platform, driving a 25% performance improvement through user-centered design principles
- Balanced aesthetic excellence with commercial effectiveness to deliver impactful product solutions"
46443,"# Product Designer & UI/UX Specialist

10+ years of commercial experience in design and development of web solutions

---

## Core Competencies

Design of large-scale CRM and SaaS projects, mobile and desktop applications. Specialized in creating and maintaining Design Systems that simplify and accelerate product development processes.

---

## Key Achievements

- Created comprehensive design systems from concept through implementation in React and Storybook
- Designed and developed 50+ landing pages and promotional pages
- Designed 10+ user dashboards and account interfaces
- Led product design from conception to release in 3–4 weeks across multiple projects
- Implemented diverse functionalities including dashboards, smart timer systems, and photo editing tools

---

## Technical Skills

**Design:** Figma, Sketch, Adobe Creative Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, Storybook, WordPress

---

## Areas of Expertise

UI/UX Design · Branding · Corporate Identity · Design System Creation & Maintenance

---

## Professional Background

Career progression from Graphic Designer to Product Designer

---

## Seeking

- High-quality results and continuous user experience improvement
- Products that positively impact people
- Professional, highly engaged teams
- Collaborative product development with effective management
- Opportunities to lead products or product initiatives"
46506,"# Resume

**Professional Experience**

**Software Developer | Small IT Company**

• Developed dynamic web applications leveraging JavaScript, React, and JSX to deliver engaging user experiences
• Engineered responsive, cross-browser compatible web pages utilizing HTML and CSS
• Enhanced user engagement through fluid animations and micro-interactions using Framer Motion
• Architected polished user interfaces employing Material-UI component libraries
• Delivered consistent, mobile-first responsive designs using Bootstrap and Materialize frameworks
• Partnered with design teams utilizing Figma and Adobe Photoshop to translate mockups into functional interfaces

**Technical Skills**

**Languages:** JavaScript

**Frameworks & Libraries:** React, Framer Motion

**UI Frameworks:** Material-UI (MUI), Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop

**Markup & Styling:** HTML, CSS, JSX"
50300,"# PROFESSIONAL SUMMARY

Accomplished software engineer with proven expertise in designing and deploying large-scale customer engagement solutions. Skilled in full-stack development with focus on frontend interface design, user experience optimization, and cross-functional collaboration. Committed to continuous learning and mastery of emerging technologies and software architecture principles.

# KEY ACCOMPLISHMENTS

**Customer Engagement Suite Deployment**
Designed and deployed a customer engagement suite for a major e-commerce business from the ground up. Leveraged innovative technologies and processes to maximize customer acquisition, satisfaction, and retention while driving incremental revenue. Delivered on time and under budget with positive feedback from users and clients.

# TECHNICAL SKILLS

**Frontend Development:** React, Vue, Flutter, Custom Plugins
**Backend Development:** Node.js
**Core Competencies:** API Integration, Interface Design, User Experience Optimization, Performance Optimization, Code Debugging, Application Architecture

# PROFESSIONAL EXPERIENCE

**Frontend Developer**

- Develop frontend interfaces to client specifications with emphasis on usability and industry-standard user experience
- Build websites and applications using React, Vue, Flutter, and Node.js
- Collaborate with development teams and contribute independently to project deliverables
- Debug issues, conduct performance audits, and optimize code for efficiency
- Participate in project planning and architect information flows between backend databases and user interface components

# PROFESSIONAL DEVELOPMENT

Continuously expanding technical knowledge through study of new technologies and frameworks to maintain awareness of industry trends and best practices. Pursuing mentorship from experienced engineers to deepen expertise in software architecture design principles."
51419,"# UI/UX Designer

## Professional Summary
Results-driven UI/UX Designer with a programming background, bringing a unique technical perspective to design challenges. Adept at bridging the gap between design vision and technical implementation.

## Experience

**UI/UX Developer** | IT Company (Out-staff)
*1 year*
- Developed user interface and user experience solutions
- Applied technical programming knowledge to streamline design implementation
- Collaborated with development teams to ensure design feasibility

**Freelance Designer**
*Multiple years*
- Delivered diverse design projects for varied clients
- Provided problem-solving-focused solutions tailored to client needs

## Skills
- UI/UX Design
- Technical Design Implementation
- Problem Solving
- Programming Fundamentals

## Work Preferences
- Full-time remote position
- Seeking challenging problem-solving opportunities"
53971,"# RESUME

## PROFESSIONAL SUMMARY
Game UI/UX Designer with 6+ years of combined experience in game interface design, 3D modeling, and visual design. Proven track record across both major studio and independent game development environments.

---

## PROFESSIONAL EXPERIENCE

**Game UI/UX Designer**
Big Gamedev Company | 1.5 years | Current

**Game UI/UX Designer**
Indie Teams | 2019–Present
- 3D modeling and texturing
- 3D animation

**Senior Graphic Designer**
5 years

---

## CORE COMPETENCIES

- Game Interface Design
- UI/UX Design
- 3D Modeling & Texturing
- 3D Animation

---

## CAREER FOCUS

Game Development"
53972,"**PROFESSIONAL EXPERIENCE**

**Game Development Designer** | 1 Year
- Designed offers, decorations, banners, and navigation elements for mobile games
- Created layouts integrating artist-provided graphics with original artwork
- Delivered decorative assets across multiple concurrent projects

**Web & Digital Designer** | 2+ Years
- Designed and illustrated websites, banners, and email campaigns
- Produced visual assets optimized for web and digital platforms

**TECHNICAL SKILLS**
- Photoshop
- Figma
- After Effects
- Animation Design

**PROFESSIONAL INTERESTS**
- Mobile games development
- Long-term partnerships with game development companies
- Continued professional growth"
53973,"# Game UI/UX Designer

## Professional Summary
Game UI/UX Designer combining UI artistry and animation expertise with a foundation in web design. Brings full-cycle project experience from concept to implementation, supported by front-end development knowledge in HTML, CSS, and JavaScript. Dedicated to continuous growth and elevating design standards.

## Core Competencies
- Game UI/UX Design
- UI Animation
- Web Design
- Game Design
- Asset Production & Optimization
- Cross-Functional Collaboration
- Client Acquisition & Management

## Professional Experience

**Game UI/UX Designer** (2019 – Present)
- Architect intuitive UX flows that reinforce core game design objectives
- Design UI screens, interface elements, and production-ready assets for development teams
- Articulate UX vision and design rationale to stakeholders and team members
- Partner with developers to execute designs within game engines
- Contribute supplementary technical skills to accelerate game development
- Mentor colleagues on design methodologies and best practices
- Establish and refine scalable design processes
- Independently identify opportunities and secure client projects

**Web Designer** (2015 – 2019)
- Redesigned brand identities including logos for websites and applications
- Overhauled official website design and enhanced functionality
- Delivered comprehensive web design solutions

## Technical Skills
- **Design Tools:** Figma, Adobe Photoshop
- **Game Engines:** Unreal Engine 4, Unity
- **Web Technologies:** HTML, CSS, JavaScript

## Teaching & Mentoring
- Design Instructor, IT Academy (Lviv)

## Personal Interests
Basketball, Brazilian Jiu-Jitsu, Yoga, Language Learning"
53974,"**Game UI/UX Designer & Artist**

**Professional Experience**

**UI/UX Designer & Artist**
Ukrainian Game Company

• Led end-to-end UI design for a released mobile casual game, from initial concept through final rendering
• Created comprehensive interface assets including logos, icons, buttons, pop-ups, and unique gameplay mechanics
• Prepared optimized sprites for Unity game engine implementation
• Conducted competitive research on game interfaces and functional solutions to drive informed design decisions
• Developed intuitive, visually distinctive interface designs aligned with user experience best practices
• Oversaw interface implementation within game engines to ensure design integrity
• Maintained expertise in current UI/UX design trends and emerging techniques
• Partnered with cross-functional teams including designers, project managers, 2D/3D artists, and programmers

**Education**

**Bachelor's Degree, Artist-Performer**
Kyiv National University of Construction and Architecture

**Skills**

UI/UX Design • Game Interface Design • Visual Asset Creation • Unity Integration • Icon & Logo Design • Sprite Preparation • Cross-Functional Collaboration • Design Research

**Professional Objective**

Seeking opportunities to apply UI/UX design expertise on diverse, engaging projects while collaborating with experienced teams to exchange knowledge and skills."
53975,"# UI/UX Game Designer

## Professional Experience

**4 years of commercial experience in Design**
**2 years of commercial experience in GameDev**

Experienced in mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.

### Key Responsibilities
- Full-cycle UI/UX creation: information architecture, player flows, user research, wireframing, style exploration, prototyping, and asset implementation
- Game testing participation and iterative design refinement
- Unity3D asset implementation independently and in collaboration with developers

### Notable Achievements
- Led complete UI development for an educational mobile game achieving 100,000+ downloads
- Contributed to AAA PC MOBA development
- Delivered on-time platform adaptation of a PC esports simulator to mobile
- Completed 248+ projects successfully
- Proficient in game graphics creation using graphics tablet

## Technical Skills
- Figma (UI design, vector graphics, animation)
- Photoshop (raster graphics)
- Unity3D
- Jira and Confluence
- Plastic SCM

## Education & Certifications
- Web Design courses graduate with honors; supervised final group project
- English courses completed with honors (2022)

## Additional Experience
- Coordinated simultaneous print production for exhibitions across two cities
- Designed new employee welcome-box
- 3+ years of active professional experience"
53976,"# CREATIVE DESIGNER & ARTIST

## CORE COMPETENCIES

**Creative Design & Art Direction**
- Game UI Art & Design
- Character Design & Concept Art
- Environment Concept Art
- Illustration
- 3D Modeling & Sculpting
- Texturing

**Professional Skills**
- Rapid Knowledge Acquisition
- Cross-Functional Team Collaboration
- Teaching & Leadership
- English Language Proficiency

## SOFTWARE PROFICIENCY

| Design & Illustration | 3D & Texturing |
|----------------------|----------------|
| Photoshop | Blender |
| Daz Studio | ZBrush |
| | Substance Painter |
| | Substance Designer |"
53977,"# RESUME

**Self-starter with expertise in gaming design and motion graphics**

## PROFESSIONAL EXPERIENCE

**Motion Design & Team Leadership**
- Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development
- Created motion design for worldwide poker and casino products
- Improved design and animation export pipeline across multiple projects

**Design & Branding**
- Participated in rebranding poker brands
- Designed UX/UI for poker applications
- Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries

**Motion Graphics & Animation**
- Created gaming motion and animations for poker and casino games, including slots, betting, and blackjack
- Produced motion graphics for live online events
- Designed storyboards and graphics for promotional videos
- Built clean, scalable After Effects project architecture

**Team Development & Process Improvement**
- Contributed to creation and organization of gaming design team
- Improved alignment between design, animation, and development workflows using new technologies
- Enhanced visual and gaming experience of products
- Designed comprehensive briefs and specifications, collaborating with cross-functional teams through final delivery

## CORE COMPETENCIES

Motion Graphics & Animation | UX/UI Design | Team Management | Gaming Industry | Design Systems & Asset Libraries | Project Architecture | Workflow Optimization | Cross-Functional Collaboration"
53978,"# UI/UX Designer

Experienced UI/UX Designer with proven prototyping expertise and a track record of delivering high-quality user experiences across multiple platforms, consistently ahead of schedule.

## Core Competencies

- Interface Prototyping & Design
- User Flow Development & Wireframing
- Cross-Platform Design (PC, Console, Mobile)
- 9-Slice Scaling Implementation
- Figma-to-Unity Integration
- Typography & Font Selection

## Key Achievements

- Implemented features that improved performance while simplifying UI architecture
- Accelerated development timelines through streamlined design workflows
- Delivered projects ahead of schedule with consistently high customer satisfaction

## Experience

- Designed and developed complete UI systems from concept through implementation
- Created user flows and wireframes, translating them into production-ready interfaces
- Integrated finished designs directly from Figma into Unity
- Collaborated cross-functionally with UI/UX developers, game designers, artists, and programmers across PC, console, and mobile platforms"
53979,"**UX/UI Designer (2020–2022)**

- Conducted independent UX research to inform indie game interface design
- Created low-fidelity and high-fidelity wireframes, interactive prototypes, and visual designs
- Developed adaptive and responsive UX/UI solutions for web-based applications using user-centered design methodology
- Built sitemaps, information architecture, and customer journey maps covering full customer journey loops, including negative paths
- Designed and conducted user surveys and testing exercises to validate design decisions
- Illustrated design concepts through storyboards, process flows, and design guides to support product vision
- Collaborated with developers, game designers, and cross-functional teams throughout the design process
- Demonstrated how design builds from core user needs to deliver unexpected value

**Visual and Graphic Designer (2019–2022)**

- Created logos, conceptual identity systems, banners, posters, and advertisements
- Generated creative ideas and visual styles informed by current design trends
- Presented and defended design concepts to clients
- Collaborated with cross-functional teams to implement design expertise into products
- Maintained attention to detail and delivered structured work"
53981,"# RESUME

**UI/UX DESIGNER & UI ARTIST**

Design professional with deep understanding of design principles, strong critical thinking abilities, and refined aesthetic sensibility. Proven expertise creating compelling visual experiences across gaming, web, and application platforms.

---

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
Game Insight | 101XP | Playrix | WhaleApp
2020 – Present

- Lead complete graphic development cycles from conception through final execution
- Create original designs and execute strategic redesign initiatives
- Develop UI/UX solutions for gaming, web, and application platforms
- Prepare production-ready layouts adhering to technical specifications
- Manage projects from concept to delivery with strong organizational focus

---

**CORE COMPETENCIES**

UI/UX Design • Graphic Design • Website Design • Application Interface Design
Branding • Polygraphic Design • 2D Animation • Layout Design
Printed Materials Production • Technical Requirements Adherence

---

**SKILLS**

- Original design creation and redesign strategy
- Technical specification compliance for print manufacturing
- Layout preparation for web and application platforms
- Creative problem-solving and design innovation
- Project management and cross-functional coordination"
54796,"# DESIGNER

## Professional Summary

Graphic and UI/UX designer based in Kharkiv with over 10 years of experience. Demonstrated expertise in developing distinctive brand identities for leading Ukrainian real estate companies and European clients. Adept at transforming design concepts into compelling visual solutions across diverse mediums and platforms.

## Core Competencies

- Brand Identity & Logo Design
- UI/UX Design & Research
- Website Design (Tilda)
- Outdoor Advertising & Transport Branding
- Social Media Design
- Print Layouts & Presentations
- Graphic Design

## Professional Experience

**Advertising & Marketing Agencies** — Graphic/UI/UX Designer

**Printing Houses** — Graphic Designer

**Leading Ukrainian Real Estate Companies** — Brand Designer

**Freelance** — Independent Design Consultant

## Notable Achievements

Developed logos and visual identities currently displayed across Kyiv, Kharkiv, and multiple cities throughout Ukraine and Europe.

## Professional Strengths

- Strong organizational and project planning capabilities
- Effective cross-functional collaboration
- User-centered design methodology
- Dedication to continuous professional development"
