,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
29788,"# DIGITAL 2D ARTIST & UI/UX DESIGNER

Kyiv, Ukraine

## SUMMARY

Self-educated Digital 2D Artist and UI/UX Designer with over six years of professional experience. Expertise in Adobe Photoshop, Adobe Illustrator, Figma, and Procreate. Strong technical foundation in design principles with knowledge of current design and technology trends. Red Dot Award winner for Brands & Communication Design. Effective verbal and written communication skills combined with proven time and self-management abilities.

## EXPERIENCE

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
Apr 2021 - Present

**UI/UX Designer / Illustrator**
Nov 2019 - Aug 2021

**Freelance Web Designer**
Dec 2018 - Nov 2019

## AWARDS

**Red Dot Award** — Brands & Communication Design, Aug 2022

## SKILLS

- UI/UX Design
- Adaptive Design
- Illustration (Raster/Vector)
- Banner Design
- Logo Design

## TOOLS

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate
- Midjourney

## LANGUAGES

English — Upper-Intermediate"
29835,"# DIGITAL DESIGNER

## Summary

Digital designer with extensive experience in marketing, specializing in visually compelling designs that drive brand growth. Proficient in Photoshop, Illustrator, and Figma. Proven success in both freelance and in-house environments, collaborating with international teams. Committed to long-term partnerships and product design that elevates the customer experience.

## Skills

**Design**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- UI/UX Design

**Digital**
- Web & Social Media Advertising
- Digital Design & Imagery
- Digital Analytics
- E-blast Campaigns

**Technical**
- Figma (Advanced)
- Adobe Photoshop
- Adobe Illustrator
- HTML/CSS
- Webflow (Animation, CMS)

**Professional**
- Independent & Collaborative Work
- Creative Problem-Solving
- Direct Client Communication

## Experience

**Freelance Digital Designer**
- Partnered with an American company to develop websites, e-blasts, and digital campaigns
- Collaborated with teams serving 5+ companies across multiple countries

## Education & Certifications

**Product Design** — Dare IT

**Basic Web Design** — Hillel IT School

**Figma** — Cases Media (90)

**Graphic Design: Composition** — Cases Media (91)"
30606,"# UI/UX Designer

## Skills

**Design Tools**
- Figma: Design systems, UI kit development, Auto Layout, interactive components, prototyping, plugin utilization

**Design Expertise**
- UX Research & Competitor Analysis
- Sketching & Prototyping
- Composition, Typography & Color Theory
- Design Principles & Current Trends

**Collaboration & Tools**
- Google Workspace (Docs, Forms)
- Cross-functional Team Collaboration
- Project Presentations

## Experience

**Beetroot Academy** — Mentorship Program Participant

- Conducted comprehensive UX research and competitor analysis to inform design decisions
- Developed sketches and interactive prototypes to visualize user flows and interface concepts
- Collaborated with cross-functional team members throughout the design process
- Delivered compelling project presentations to stakeholders"
30845,"# JUNIOR UI/UX DESIGNER

Passionate junior UI/UX designer committed to crafting seamless, visually engaging user experiences. Proficient in Figma, Photoshop, and Illustrator with a strong foundation in user-centered design methodologies. Experienced in creating interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative professional dedicated to continuous growth and evolving design strategies to meet user needs.

---

## SKILLS

**Design Tools:** Figma, Photoshop, Illustrator

**Technical:** HTML/CSS, Responsive & Adaptive Design

**UX Methods:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping, Jobs to Be Done Framework, User Flow Design

**Deliverables:** Wireframing, Prototyping, UI Kit Development

---

## PORTFOLIO PROJECTS

**Real Estate Website Redesign** | Destin, Florida
Transformed an outdated real estate website into a modern, user-friendly experience featuring improved imagery and enhanced customer tools for feedback submission and property valuation.
- Conducted comprehensive competitor research and analysis
- Developed 3 user personas through social media and customer feedback analysis
- Created detailed customer journey map

**Travel Booking Web Service**
Designed end-to-end web service for discovering and booking excursions, tours, and entertainment worldwide, including a dedicated portal for guides and travel companies.
- Performed market and competitor analysis
- Developed Jobs to Be Done framework, Customer Journey Map, and User Flows
- Delivered wireframes, UI Kit, and fully adaptive design

**Restaurant Table Booking Mobile Application**
Designed mobile application enabling users to reserve restaurant tables.

---

## EDUCATION

**UI/UX Design Course** | 6-Month Program
- Supplemental training in HTML/CSS

---

## OBJECTIVE

Seeking a full-time position with a product company focused on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Professional Experience

**UI/UX Designer** | Current Role

- Led a team of 4 designers in creating visually appealing, functional products aligned with user needs and business objectives
- Improved the onboarding process for a financial institution app by 35%
- Developed wireframes, mockups, and prototypes to establish user interface design and architecture
- Applied Agile planning principles to deliver tailored solutions meeting customer requirements

**UI/UX Designer** | Previous Role

- Improved the audience management system of a SaaS tool by 25%, designing solutions that are aesthetically pleasing while driving measurable business results"
46443,"# Senior Product Designer

## Summary

Product Designer with over 10 years of commercial experience in the design and development of web solutions. Specialist in creating and maintaining Design Systems that simplify and accelerate product development. Career progression from Graphic Designer to Product Designer.

## Expertise

- Large-scale CRM and SaaS projects
- Mobile and desktop applications
- Design Systems from concept to implementation in React and Storybook
- UI/UX, branding, and corporate identity
- Rapid product development from concept to release in 3–4 weeks

## Technical Skills

Figma, Sketch, Adobe CC, HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Accomplishments

- Built comprehensive design systems end-to-end, from design through implementation
- Designed and developed 50+ landing pages and promotional pages
- Created 10+ user dashboards and account interfaces
- Delivered diverse product features including dashboards, smart timer systems, and photo editors
- Led multiple products from initial concept through release

## Seeking

- Meaningful products that deliver real value to users
- Collaborative, high-performing teams
- Opportunity to shape product direction
- Strong leadership and management culture
- Potential to lead a product or product area"
46506,"# Software Developer

## Technical Skills

**Languages & Technologies:** JavaScript, HTML, CSS, JSX

**Frameworks & Libraries:** React, Framer Motion, MUI, Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop

## Professional Experience

**Software Developer**
IT Company

- Developed dynamic web applications using JavaScript and React framework
- Built responsive, component-based user interfaces utilizing JSX, HTML, and CSS
- Engineered animations and interactive elements with Framer Motion to enhance user engagement
- Constructed polished user interfaces leveraging the MUI component library
- Implemented responsive layouts using Bootstrap and Materialize CSS frameworks
- Collaborated with design teams using Figma and Adobe Photoshop to translate mockups into functional interfaces"
50300,"# Professional Summary

Frontend developer with experience delivering software solutions. Skilled in designing and deploying systems while meeting project timelines and budget requirements.

# Key Accomplishments

**Customer Engagement Suite | E-Commerce Business**

Designed and deployed a customer engagement suite, utilizing technologies and processes to support customer acquisition, satisfaction, and retention. Delivered on time and under budget.

# Technical Skills

- **Frontend:** React, Vue, Flutter
- **Backend:** Node.js
- **Additional:** API Integration, Custom Plugin Development

# Professional Experience

**Frontend Developer**

- Develop frontend interfaces according to client specifications while ensuring system usability
- Deliver application user experiences aligned with industry standards
- Work independently and collaboratively with development teams
- Debug issues, perform application testing, and optimize code
- Participate in project planning and strategize information flows between backend databases and user interface components
- Create websites, applications, interfaces, and custom plugins

# Professional Development Goals

- Expand technical skillset through continuous learning of new technologies and frameworks
- Deepen understanding of software architecture designs through collaboration with experienced engineers
- Continue developing expertise in the software industry"
51419,"# UI/UX Designer

## Summary

Design professional with a programming foundation, bringing technical depth and problem-solving precision to UI/UX work. Proven ability to deliver client-focused design solutions across freelance and corporate environments. Drawn to complex design challenges that demand specialized expertise and cross-functional thinking.

## Experience

**UI/UX Developer**
IT Company | Out-staff Basis | 1 Year

- Delivered UI/UX solutions for client projects, bridging design vision with technical feasibility
- Leveraged programming background to create informed, implementation-ready design decisions

**Freelance Designer**
Self-Employed | Multiple Years

- Executed diverse design projects across multiple clients and industries
- Independently managed full project lifecycle, from client consultation through final deliverables

## Background

- Programming experience providing strong foundation in logic, systems thinking, and developer collaboration
- Self-directed career transition demonstrating adaptability and commitment to design craft

## Availability

- Seeking full-time position
- Remote work preferred"
53971,"# SENIOR GAME UI/UX DESIGNER

## Professional Summary

Game UI/UX Designer with 8+ years of combined experience spanning graphic design and interactive entertainment. Delivers compelling game interfaces built on a foundation of visual design expertise and hands-on indie development experience in 3D modeling, texturing, and animation.

---

## Experience

**Game UI/UX Designer**  
Major Game Development Studio | 1.5 Years | Current

- Design game interfaces leveraging extensive graphic design background
- Collaborate with cross-functional teams to deliver polished UI/UX solutions

**Game UI/UX Designer**  
Indie Game Development | 3 Years

- Contributed to multiple indie teams across 3D modeling, texturing, and animation
- Specialized in game interface design for diverse project requirements

**Senior Graphic Designer**  
5 Years

- Built comprehensive visual design expertise applicable to game UI systems
- Developed proficiency in visual design systems and brand consistency

---

## Core Competencies

Game Interface Design | UI/UX Design | Visual Design Systems | 3D Modeling & Texturing | 3D Animation | Cross-Functional Collaboration

---

## Career Focus

Dedicated to opportunities within the game development industry.

---

*Open to new opportunities*"
53972,"**PROFESSIONAL SUMMARY**

Creative designer with 3+ years of experience in digital design, including 1 year specializing in mobile game development. Skilled in creating engaging visual assets, from UI layouts to promotional materials. Seeking long-term opportunities in game development.

**SKILLS**

Photoshop | Figma | After Effects | UI/UX Layout Design | Animation | Banner & Promotional Design

**EXPERIENCE**

**Game Designer**
*1 Year*

- Designed promotional offers, banners, and decorative elements for mobile games
- Developed custom navigation elements and decorative assets aligned with project requirements
- Created polished layouts integrating artist-provided graphics

**Digital Designer**
*2+ Years*

- Designed websites, digital banners, and email marketing materials
- Produced animations using After Effects and Figma

**CORE COMPETENCIES**

- Mobile Game Visual Design
- UI/UX Layout Development
- Digital Marketing Collateral
- Motion Graphics & Animation
- Cross-Platform Asset Creation"
53973,"# Game UI/UX Designer

Creative Game UI/UX Designer with UI Artist and animation expertise since 2019, building on web design experience since 2015. Full-cycle project knowledge with strong understanding of code (HTML, CSS, JavaScript). Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Core Competencies

- Developing intuitive UX flows aligned with overall game design
- Creating UI screens, UI elements, and preparing assets for programmers
- Communicating UX vision and design ideas to team members
- Collaborating cross-functionally to implement designs in-game
- Supporting game development with additional skills as needed

## Leadership & Achievements

- Established and refined design processes
- Mentored team members and facilitated staff skill development
- Independently acquired new clients
- Led official website updates and logo redesigns for sites and applications
- Design Instructor at IT Academy, Lviv

## Technical Skills

Figma | Adobe Photoshop | Unreal Engine 4 | Unity | HTML | CSS | JavaScript

## Professional Interests

Seeking a collaborative team focused on delivering meaningful product results, working with flexibility and mutual respect.

## Personal

Committed to continuous learning, including language studies. Active lifestyle including basketball, Brazilian jiu-jitsu, and yoga."
53974,"# Game UI/UX Designer & Artist

## Career Objective

Seeking opportunities with challenging and diverse projects where I can apply my expertise in game UI/UX design while collaborating with and learning from a strong creative team.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and develop UI visuals for casual mobile games from concept through final rendering
- Create comprehensive interface assets including logos, icons, buttons, pop-ups, and unique gameplay mechanics
- Research game interfaces and functional solutions to deliver intuitive, visually compelling, and distinctive user experiences
- Prepare optimized sprites for Unity implementation and oversee interface layout integration in game engines
- Collaborate with cross-functional teams including designers, managers, 2D and 3D artists, and programmers
- Stay current with emerging UI/UX design trends and techniques

**Shipped Title:** One released casual mobile game

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture"
53975,"# UI/UX Game Designer

**4 years in Design | 2 years in GameDev | 248+ projects delivered**

## Professional Summary

UI/UX Game Designer specializing in mobile shooters, educational games, tactical MOBAs, and multiplayer casual experiences. Committed to playing the games I develop and staying current with industry trends.

## Core Competencies

**Full UI/UX Development Cycle**
Information Architecture • Player Flows • UI Research • Wireframing • Style Research • Prototyping • Resource Implementation (Unity3D) • Game Testing

**Tools**
Figma (UI, Vector Graphics, Animation) • Photoshop • Unity3D • Jira • Confluence • Plastic SCM • Graphics Tablet

## Key Achievements

- Led complete UI development for an educational mobile game achieving 100,000+ downloads
- Contributed to AAA PC MOBA development
- Delivered full design overhaul and PC-to-mobile platform migration for an esports simulator on schedule
- Supervised final group project for Web Design courses
- Coordinated simultaneous print production for dual-city exhibition launch
- Designed new employee welcome-box onboarding experience

## Education

- Web Design Courses – Graduated with Honors
- English Language Courses – Completed with Honors (2022)

## Seeking

Innovative projects of varying complexity within a quality-focused team, offering continuous learning and opportunities for meaningful contribution."
53976,"# PROFESSIONAL RESUME

## Core Strengths
- Rapid skill acquisition
- Strong team collaboration
- Teaching and leadership abilities

---

## Skills

**Art & Design**
- Game UI Art & Design
- Character Design & Concept Art
- Environment Concept Art
- Illustration
- Creative Design

**3D Art**
- 3D Modeling
- Sculpting
- Texturing

**Communication**
- Fluent English

---

## Software Proficiency
- Adobe Photoshop
- Blender
- ZBrush
- Daz Studio
- Substance Painter
- Substance Designer"
53977,"**MOTION DESIGNER & TEAM LEAD**

---

**SUMMARY**

Self-driven motion design specialist with gaming industry expertise, leading teams of 7+ professionals to deliver high-quality visual experiences for worldwide poker and casino products. Skilled in workflow optimization, cross-functional collaboration, and scalable production systems.

---

**EXPERIENCE**

**Team Leadership**
- Led team of 7+ onboard and outsourced professionals spanning design, graphics, motion, animation, sound, and development
- Designed detailed briefs and specifications, guiding multidisciplinary artists and developers from concept to final delivery
- Contributed to the creation and organization of gaming design team

**Motion Design & Animation**
- Created motion design for worldwide poker and casino products, including slots, betting, and blackjack
- Produced gaming animations and motion graphics for live online events
- Built clean, scalable After Effects project architecture

**UX/UI Design**
- Designed UX/UI for poker application
- Contributed to rebranding of poker brands
- Created design and storyboards for promotional videos

**Process & Pipeline Optimization**
- Improved design and animation export pipeline across multiple projects
- Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries
- Enhanced design and animation consistency through implementation of new workflow technologies in collaboration with development team

**Results**
- Improved visual and gaming experience of products"
53978,"# UI/UX Designer

Dedicated UI/UX Designer with proven prototyping skills specializing in enhancing user interfaces and game experiences. Demonstrated ability to implement features that improve performance, accelerate development processes, and streamline UI layouts. Consistently delivers projects ahead of schedule with high client satisfaction.

## Skills & Expertise

- Cross-platform design (PC, console, and mobile)
- End-to-end UI creation
- Figma to Unity interface integration
- User flow and wireframe development
- Interface prototyping
- 9-slice scaling implementation
- Typography selection

## Collaboration

Experienced in partnering with UI/UX developers, game designers, artists, and programmers to deliver cohesive design solutions."
53979,"**UX/UI DESIGNER** (2020–2022)

- Conducted UX research and developed indie game interface designs from findings
- Created low-fidelity and high-fidelity wireframes, progressing through interactive visual designs and prototypes
- Built site maps, information architecture, and customer journey maps to support product vision
- Designed adaptive and responsive wireframes for web-based applications
- Developed complete customer journey loops including negative paths
- Illustrated design concepts using storyboards and process flows
- Created surveys and user testing exercises to deepen understanding of gameplay and core user needs
- Collaborated with developers, game designers, and cross-functional teams to deliver user-centered design solutions

---

**VISUAL AND GRAPHIC DESIGNER** (2019–2022)

- Created logos, conceptual identity systems, banners, posters, and advertisements
- Generated creative concepts and visual styles aligned with current design trends
- Presented and defended design concepts to clients
- Maintained strong attention to detail and organized deliverables
- Collaborated with cross-functional teams to deliver quality design solutions"
53981,"**UI/UX DESIGNER | UI ARTIST**

---

**PROFESSIONAL SUMMARY**

UI/UX Designer and UI Artist with game development experience since 2020. Deep analytical thinking combined with strong aesthetic sensibility to create compelling graphic works across multiple disciplines.

---

**EXPERIENCE**

**UI/UX Designer | UI Artist** | 2020 – Present

Game Insight | 101XP | Playrix | WhaleApp

- Led full graphic development cycle from concept to completion
- Designed websites and applications
- Developed branding and visual identity systems
- Created print and publication designs
- Produced 2D animation
- Executed redesign and brand refresh projects
- Ensured adherence to technical requirements for printed materials
- Prepared production-ready layouts for web and mobile applications

---

**SKILLS**

Graphic Design | UI/UX Design | Visual Identity | Branding | 2D Animation | Web Design | Mobile Application Design | Print Design | Production-Ready Layouts

---

**PROFESSIONAL INTERESTS**

Seeking challenging projects within a collaborative environment offering strong organizational structure and skilled leadership."
54796,"# Professional Graphic & UI/UX Designer

**Kharkiv, Ukraine | 10+ Years of Experience**

---

## Profile

Graphic and UI/UX designer with over a decade of experience spanning advertising agencies, marketing firms, and print production. Specialized in brand identity development for leading Ukrainian real estate companies. Work includes logos, visual identity systems, and outdoor advertising campaigns displayed across Kyiv, Kharkiv, and cities throughout Ukraine and Europe.

---

## Core Services

- Landing page and website design
- UX research
- Logo design and brand identity development
- Social media design
- Print material layout and production
- Presentation design
- Outdoor advertising
- Transport branding

---

## Professional Experience

**Freelance Designer**
- Developed brand identities for leading Ukrainian real estate companies
- Created visual identity systems, logos, and outdoor advertising campaigns with visibility across multiple Ukrainian and European cities
- Delivered design solutions for European clients

**Advertising & Marketing Agencies | Print Houses**
- Produced comprehensive graphic design solutions across digital and print channels
- Developed print-ready materials and outdoor advertising assets

---

## Technical Skills

- Graphic Design
- UI/UX Design
- Website Development (Tilda)
- Brand Identity Creation

---

## Professional Strengths

- Strong organizational and project planning abilities
- Effective team collaboration
- Commitment to user-centered design principles
- Dedicated to continuous professional development in UX/UI design"
