,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
98261,"**PROJECT EXPERIENCE**

**Project: ""See World""**
*Role: Team Leader*

*   Spearheaded the interface development for an automated, cost-effective housing search platform.
*   Directed the design strategy to ensure high accessibility standards and intuitive navigation for diverse user needs.
*   Optimized user flows to streamline the processes of submitting housing applications and publishing property listings.

**Project: ""GenieTable""**
*Scope: Mobile Application Design*

*   Designed the user interface for a restaurant reservation mobile app, utilizing thematic branding to maximize user engagement.
*   Conceptualized and executed an interactive ""lamp"" interface feature to enable rapid, few-click reservation requests.
*   Developed a cohesive visual identity and color scheme aligned with the brand character to attract users while ensuring service efficiency.

**Project: ""Nice View""**
*Scope: Team Project – Residential Complex Landing Page*

*   Designed a residential complex landing page specifically structured to drive potential client action.
*   Curated a color palette evoking safety and tranquility to reflect the brand’s focus on family life and a comfortable work environment.
*   Implemented a minimalist design aesthetic to establish a professional, stylish, and trustworthy brand image."
98262,"[Name]
[Contact Information]

**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
UI/UX Designer experienced in the full design lifecycle, ranging from competitor analysis and mood board compilation to high-fidelity prototyping and responsive design. Proficient in developing minimalist websites, landing pages, CRM systems, and mobile applications. proven ability to execute both individual initiatives and collaborative team-based projects.

**SKILLS**
*   **Research & Strategy:** Competitor Analysis, Audience Analysis, User Flows, Customer Journey Maps (CJM).
*   **Visual Design:** UI-Kits, Design Systems, Mood Boards, Minimalist Design, Responsive Design (Mobile & Tablet).
*   **Prototyping:** Interaction Design, Prototype Linking.
*   **Deliverables:** Landing Pages, Corporate Websites, CRM Systems, Mobile Applications.

**PROJECT EXPERIENCE**

**Web Service for Budget Travel Organization** | *Team Project*
*   Collaborated within a cross-functional team to design a service platform for organizing low-cost international travel.
*   Conducted comprehensive audience analysis and curated visual references to establish the design direction.
*   Optimized user experience by developing detailed User Flows and Customer Journey Maps (CJM).
*   Selected and implemented a scalable design system for the platform.
*   Executed responsive design adaptations to ensure functionality across tablet and mobile devices.
*   Built interactive prototypes to demonstrate user navigation and interface logic.

**Tattoo Salon Website Redesign** | *Individual Project (GoIT Course)*
*   Spearheaded a complete website redesign as part of specialized coursework.
*   Analyzed the target audience to select relevant visual references and align the aesthetic with user expectations.
*   Developed a comprehensive UI-kit to ensure visual consistency throughout the site.
*   Created responsive layouts adapted for seamless viewing on tablet and mobile interfaces.
*   Established navigation architecture through interactive prototyping.

**Landing Page Design** | *Independent Project*
*   Designed a primary landing page based on independent conceptualization.
*   Compiled mood boards and selected visual references to define the project's stylistic direction.
*   Developed a dedicated UI-kit to support the interface design.

**WORK PREFERENCES**
*   **Environment:** Seeking a respectful, open team environment focused on design excellence and results.
*   **Professional Development:** Interested in opportunities involving corporate training and internal professional growth.
*   **Flexibility:** Looking for roles offering the possibility of a hybrid or partially remote work schedule."
98263,"**UI/UX Designer**

**PROFESSIONAL SUMMARY**

UI/UX Designer with a portfolio comprising individual and collaborative projects. Skilled in full-cycle design, responsive web layouts, and mobile interface creation. Proven ability to facilitate effective team communication to deliver functional products, including web services and productivity applications.

**PROJECT EXPERIENCE**

**Tattoo Company Website | Full Cycle Design**
*   Managed the full design cycle for a comprehensive website redesign.
*   Modernized the Visual Interface (UI) to align with current industry trends and target audience requirements.
*   Optimized User Experience (UX) and navigation flows to facilitate customer acquisition and improve conversion rates.

**Easy Yoga Web Service | Desktop & Adaptive Design**
*   Designed an end-to-end web service platform from scratch, delivering both desktop layouts and responsive adaptations.
*   Collaborated with team members to create a platform that streamlines communication between yoga instructors and students.
*   Developed a search-centric interface designed to help users efficiently locate suitable instructors.

**Productivity Mobile Application | Mobile Design**
*   Designed a mobile application interface focused on enhancing user performance and productivity.
*   Created User Interfaces (UI) for core functionalities, including daily planning tools and physical/mental health monitoring features.
*   Contributed to a collaborative team environment to deliver a product centered on personal development and health tracking."
98264,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Portfolio/LinkedIn URL]

**PROFESSIONAL SUMMARY**

UX/UI Designer and Team Leader with a strong background in web service development, interface design, and website redesigns. Proven ability to lead teams, conduct in-depth competitor analysis to drive strategic design decisions, and build user-centric platforms for the travel and non-profit sectors.

**PROJECT EXPERIENCE**

**Travelhaven** | *Team Leader & UX/UI Designer*
*   Led the development team in building the web service interface for a travel platform dedicated to affordable international stays.
*   Designed a ""work and leisure"" exchange system enabling travelers to perform host-designated tasks in exchange for accommodation and food.
*   Tailored the user experience to a specific demographic of students and young adults seeking global travel opportunities with minimized housing costs.
*   Developed a user-centric interface that facilitates cultural exchange and environmental changes, utilizing a labor-for-stay model similar to couch-surfing.

**Alaska Pete's Roadhouse Grille (Seven Bridge Rd, USA)** | *Website Redesign*
*   Executed a comprehensive website redesign for alaskapetes.com.
*   Conducted in-depth competitor analysis and market studies prior to the design phase to inform strategy.
*   Identified and implemented industry-standard design solutions based on findings from preliminary research.

**Social Impact Initiative** | *Project Participant*
*   Contributed to the development of a dedicated website focused on supporting volunteer operations.

**Independent Projects**
*   Developed two independent projects demonstrating design and development capabilities (further details available in portfolio)."
98265,"**PROJECT EXPERIENCE**

**SweepUp Cleaning Web-service** | *Team Leader*
*   Spearheaded the design team in the end-to-end creation of a web service for booking cleaning specialists.
*   Directed comprehensive UX research, encompassing market analysis, competitor benchmarking, User Personas, Jobs to be Done (JTBD), and Customer Journey Maps (CJM).
*   Delivered detailed User Flows, interactive prototypes, and final UI designs while adhering to and expanding upon an existing design system.
*   Implemented complex interaction linking and ensured seamless responsive adaptation across devices.
*   **Tools:** Figma, Photoshop, Illustrator.

**TimeWell Daily Planner Mobile App** | *Team Project (In Progress)*
*   Collaborating on the design of a mobile application centered on time management and goal optimization.
*   Conducting in-depth competitive analysis to drive evidence-based design decisions.
*   Architecting User Personas and User Flows, translating concepts into high-fidelity prototypes.
*   Designing the User Interface and engineering detailed micro-interactions and animations.
*   **Tools:** Figma, Photoshop, Illustrator, Protopie.

**GoIT Addendum Project**
*   Designed a dedicated landing page structure and interface for an addendum project.
*   Partnered closely with the development team to ensure accurate design hand-off and successful code implementation.

**Bravo Furniture Site Redesign** | *Personal Project*
*   Revitalized the digital presence of a luxury furniture retailer through a complete website redesign.
*   Synthesized market data and competitor research to inform visual direction and user experience.
*   Constructed wireframes, high-fidelity UI designs, and a comprehensive, scalable UI-kit.
*   Optimized layouts for full responsiveness across mobile and tablet interfaces.
*   **Tools:** Figma, Photoshop, Illustrator.

**Citroen C4 Landing Page** | *Coursework*
*   Designed a conversion-focused landing page tailored to facilitate test drive bookings.
*   Performed market research to align visual aesthetics with brand identity and competitor standards.
*   Developed moodboards, wireframes, and a fully animated final interface.
*   **Tools:** Figma."
98266,"**PROFESSIONAL EXPERIENCE**

**Travel Joy** | Web Service
*Team Lead & Product Designer*

*   **End-to-End Product Design:** Spearheaded the full-cycle design of a web service interface facilitating ""work and rest"" travel and cultural exchange experiences.
*   **Team Leadership:** Orchestrated team workflows and monitored progress to ensure strict alignment with project goals.
*   **UX Strategy & Research:** Conducted comprehensive competitor analysis to inform the creation of user flows, site maps, and wireframes.
*   **Prototyping & Tools:** Developed interactive prototypes and high-fidelity designs using Figma.
*   **Design Systems:** Adapted and implemented a ready-made design system to deliver a user-friendly interface with optimized functionality.

**Restaurant Table Booking App** | Mobile Application
*UI/UX Designer (Team Member)*

*   **Mobile Development:** Collaborating within a team to develop a mobile application focused on restaurant table reservations.
*   **Current Status:** Actively contributing to the ongoing design and implementation of the application.

**Nice View** | Residential Complex Landing Page
*UI/UX Designer (Individual Project)*

*   **Project Execution:** Delivered a full-cycle design for a real estate landing page aimed at driving apartment sales, ensuring complete alignment with the client’s brief.
*   **Research:** Conducted in-depth competitor analysis and target audience research to define the design strategy.
*   **Iterative Design:** Built low-fidelity prototypes for structural layout and evolved them into approved high-fidelity prototypes.
*   **Visual Identity:** Curated typography and color palettes specifically chosen to enhance visual appeal and attract potential buyers.
*   **Feature Design:** Designed interfaces for critical functionality, including home inspection application submissions and client feedback mechanisms, utilizing Figma."
98267,"**PROJECTS**

**Volunteering Projects Aggregator for Ukraine**
*   Developed a centralized platform to aggregate and showcase diverse volunteering initiatives across Ukraine, improving accessibility for users.
*   Implemented core functionalities to present detailed project specifications and enable secure direct donation channels.
*   Optimized the user experience to facilitate the exploration of related organizations, driving engagement and support for humanitarian causes.

**Kickstarter Product Landing Page**
*   Designed a promotional landing page for a convertible furniture product to highlight its transformation capabilities from nightstand to seating.
*   Applied the AIDA (Attention, Interest, Desire, Action) marketing framework to structure content and maximize Kickstarter backing and conversion.
*   Executed competitor analysis and reference research to inform strategic design decisions and market positioning.
*   Produced high-fidelity wireframes and an adaptive website layout to ensure responsiveness across devices.

**Rihanna Biographical Landing Page**
*   Designed an immersive biographical landing page focused on user engagement and visual storytelling.
*   Incorporated complex composition and advanced typography techniques to establish a high-end aesthetic.
*   Defined the visual direction and style guide through the development of mood boards and curatorial references.
*   Created detailed wireframes and interactive prototypes to demonstrate user flow and functionality."
98268,"**PROJECTS**

**Pet Service** | *Web Service Design*
*   Collaborated on the full-cycle design of a centralized web platform dedicated to pet discovery and related services.
*   Leveraged market research and target audience analysis to drive evidence-based design decisions.
*   Delivered responsive designs optimized for seamless navigation on both mobile and tablet interfaces.

**A Kids Place Childcare** | *Website Redesign*
*   Executed a comprehensive website redesign for a preschool client, prioritizing visual appeal and usability for the parent demographic.
*   Conducted competitor analysis to benchmark market standards and identify strategic design opportunities.
*   Implemented adaptive layouts to ensure consistent functionality and accessibility across mobile and tablet devices.

**Mobile Event App** | *Mobile Application Design*
*   Currently designing and developing a mobile application focused on event management (Work in Progress)."
98269,"**EXPERIENCE**

**University IT HUB** | Volunteer UI/UX Designer
*Duration: 1 Year*
*   Spearheaded the redesign of university websites, creating interfaces tailored to align with specific institutional needs.
*   Partnered with developers and Project Managers to facilitate cross-functional teamwork and optimize task management using Jira.
*   Executed UX research initiatives and evaluated design solutions to ensure high standards of usability.
*   Implemented professional UI libraries to refine interface designs while working under senior mentorship.

**Internship** | UI/UX Intern
*Duration: 2 Months*
*   Collaborated with a development team to design and execute an internal project, ensuring alignment between design concepts and technical implementation.

**EDUCATION**

**Projector Institute** | UX Beginner Course
*   **Achievement:** Completed course with distinction.
*   **Project Experience:** Delivered two stakeholder projects, operating effectively both as an independent designer and within a collaborative design team.
*   **Key Focus:** Conducted user experience research, applied strategic problem-solving methodologies, and translated concepts into functional UI solutions.

**KronaStudio&School** | Web Design Course

**SKILLS**

*   **Design & Strategy:** UI Design, UX Research, Web Design, Problem Solving.
*   **Technical Tools:** Jira, UI Libraries.
*   **Collaboration:** Cross-functional Teamwork, Developer & Project Manager Collaboration."
98270,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio/LinkedIn]

**PROFESSIONAL SUMMARY**

Results-driven 3D Graphic Specialist and UI/UX Designer with a strong foundation in HTML, CSS, and SketchUp. Proven experience in 3D modeling for exteriors and interiors, coupled with a track record of leading web development projects. Skilled in creating intuitive user flows and conducting in-depth design analysis. Committed to professional growth and delivering high-quality digital solutions in a collaborative environment.

**CORE COMPETENCIES**

*   **Design & Modeling:** 3D Modeling (Exteriors/Interiors), UI/UX Design, Interface Development, User Flow Creation, Stylization.
*   **Technical Skills:** HTML, CSS, SketchUp.
*   **Research & Analysis:** Competitive Analysis, Audience Analysis, Web Design Best Practices.
*   **Professional Skills:** Team Leadership, Quality Assurance (QA), Project Management.

**WORK EXPERIENCE**

**3D Graphic Specialist** | HOVER Ukraine
*February 2021 – June 2023*

*   Executed detailed 3D modeling of architectural exteriors and interiors utilizing SketchUp.
*   Performed Quality Assurance (QA) by validating 3D models created by team members, ensuring strict adherence to accuracy standards and technical specifications.

**PROJECT EXPERIENCE**

**YoHome – Web Service for Hosting and Renting Housing**
*Role: Team Leader*

*   Led a development team in the end-to-end creation of a web platform for housing rentals.
*   Designed the user interface from scratch, establishing a streamlined and effective user flow.
*   Managed the visual stylization of the service, prioritizing user experience and attention to detail.
*   Oversaw adaptation processes to ensure design consistency and functionality.

**Sophie Scholl Realschule Website Redesign**
*Role: UI/UX Designer (Study Project)*

*   Redesigned an existing educational website into an aesthetically pleasing and user-friendly platform.
*   Strategically presented the school's mission, values, and offerings to effectively engage the target audience.
*   Conducted extensive research on web design best practices within the education sector.
*   Executed comprehensive competitive and audience analysis to inform and validate design decisions.

**Additional Personal Projects**

*   Developed and completed three independent projects focusing on diverse design topics and technical implementations."
98271,"[Name]
[Contact Information]

**PROFESSIONAL SUMMARY**

Multidisciplinary designer with four years of experience across interior, graphic, and industrial design. Holds a Master’s degree in Environmental and Industrial Design. Recently transitioned focus to Web and UI/UX design, completing specialized coursework in Figma and interface projection (2022–Present). Dedicated to leveraging a strong background in visual aesthetics, spatial planning, and design principles to deliver effective user interface solutions.

**TECHNICAL SKILLS**

*   **UI/UX & Web:** Interface Projection, Wireframing, Prototyping, Fundamentals of Web Design.
*   **Software:** Figma.
*   **Graphic Design:** Visual Identity, Logo Development, Business Cards, Banners.
*   **Core Design Disciplines:** Interior Design, Industrial Design, Environmental Design.
*   **Artistic Skills:** Painting.

**CERTIFICATIONS & SPECIALIZED TRAINING**

**Web & UI/UX Design Training** | 2022 – Present
*   **Coursework:** Completed comprehensive training in UX/UI: Projecting and Design of Interfaces.
*   **Technical Focus:** Specialized in working with Figma and the fundamentals of web design.
*   **GENIUS:** Completed design coursework.

**PROFESSIONAL EXPERIENCE**

**Interior Designer** | [Company Name]
*   Executed professional interior design projects within a corporate setting.
*   Applied environmental and industrial design principles to execute detailed spatial planning.

**Freelance Designer**
*   Provided diverse multidisciplinary services including interior design, graphic design, and industrial design.
*   Created visual identities for clients, including the development of logos, business cards, and banners.
*   Produced custom paintings and artistic works.

**EDUCATION**

**Master’s Degree in Environmental and Industrial Design**
[University Name]

**LANGUAGES**

*   **Polish:** Upper Intermediate (B2)
*   **English:** Intermediate (B1)
*   **Spanish:** Intermediate (B1)"
98272,"**PROFESSIONAL SUMMARY**

Junior UI/UX Designer with 6 months of practical experience and intensive training in full-cycle design processes. Dedicated to delivering comprehensive, user-centric solutions that drive conversions and prioritize information accessibility. Proficient in translating concepts into responsive web and mobile interfaces while adhering to platform-specific guidelines. Skilled in developer collaboration and problem-solving to ensure high-quality design implementation.

**CORE SKILLS**

*   **UX Research & Strategy:** Competitor Analysis, User Flows, Information Architecture, Accessibility.
*   **UI Design:** Wireframing, Prototyping, Mockups, Redesign, Basic Animation.
*   **Platforms & Adaptation:** Landing Pages, E-Commerce, Portfolios, Mobile Apps (iOS/Android), Responsive Web Design (Mobile/Tablet).
*   **Guidelines & Standards:** Google Material Design, Human Interface Guidelines (HIG).
*   **Collaboration:** Developer Handoff, Cross-functional Teamwork.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer** | (6 Months Experience)

*   Executed the full design lifecycle for diverse projects, ranging from high-conversion landing pages and e-commerce platforms to portfolio sites and mobile applications.
*   Conducted in-depth competitor analysis and developed logical user flows to establish a data-backed foundation for unique UI concepts.
*   Created detailed wireframes and interactive prototypes, ensuring seamless responsiveness and adaptation across mobile and tablet devices.
*   Collaborated closely with Front-End Developers to ensure pixel-perfect implementation of designs and integration of basic animations.
*   Optimized User Experience (UX) workflows to maximize conversion rates and streamline user access to information.
*   Applied critical problem-solving methodologies to resolve design challenges and deliver effective user interface solutions.

**EDUCATION & TRAINING**

**UI/UX Design Coursework** | (5 Months)

*   Completed an intensive study of the principles, technologies, and methodologies of the full UI/UX design process.
*   Applied deep theoretical knowledge to execute practical design tasks and real-world scenarios.
*   Mastered and implemented industry standards, specifically Google Material Design Guidelines and Human Interface Guidelines."
98273,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio]

**PROFESSIONAL SUMMARY**

Junior UX Designer with freelance experience in web design, digital asset creation, and product planning. A graduate of Hillel IT School with a strong foundation in user-centered design, accessibility standards, and equity-focused principles. Proficient in Webflow and digital marketing design, with a proven ability to translate conceptual ideas into functional digital products.

**PROFESSIONAL EXPERIENCE**

**Freelance Designer**
*Duration: 6 Months*

*   Designed and deployed responsive landing pages and digital banners to support marketing campaigns.
*   Developed and launched a fully functional blog utilizing Webflow.
*   Created cohesive visual assets for major social media platforms, including Instagram, Twitter, and Facebook.
*   Contributed to the planning and conceptualization phases for various digital applications and websites.

**EDUCATION**

**Hillel IT School**
*UX Design Course Completion*

*   **Key Competencies:** User-Centered Design, Accessibility & Equity-Focused Design, Design Sprints, UX Workflow Methodologies.
*   **Focus Areas:** Applied foundational UX concepts to design challenges and analyzed best practices for cross-functional team collaboration.

**SKILLS**

*   **Design Tools:** Webflow, Landing Page Design, Social Media Asset Creation.
*   **UX Methodologies:** User-Centered Design, Accessibility Standards, Equity-Focused Design, Design Sprints.
*   **Core Skills:** Website & Application Planning, Digital Marketing Design, Concept Development."
98274,"**JUNIOR UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Junior UI/UX Designer specializing in full-cycle design for web services, e-commerce, and landing pages. Dedicated to creating responsive, aesthetically pleasing interfaces that enhance user experience and meet business goals. Skilled in navigating the complete design lifecycle—from research and prototyping to final UI implementation—with a focus on high-quality, user-centric solutions.

**SKILLS**

*   **Design Process:** Full-Cycle Design, UX Research, Wireframing, Prototyping, User Flows, Personas, Empathy Mapping, Sitemaps, MVP Definition.
*   **UI & Technical:** UI Design, Responsive Design (Mobile/Tablet), A/B Testing, AutoLayout, UI Kits, Dashboard Design.

**PROJECT EXPERIENCE**

**“VDOMA” | Ukrainian Couch-Surfing Web Service**
*   Designed a comprehensive web service aimed at organizing affordable stays and promoting tourism in Ukraine.
*   Executed an end-to-end design process including competitive analysis, creation of UX personas, empathy mapping, and sitemap development.
*   Defined MVP features and visualized user pathways through detailed user flow diagrams.
*   Created responsive design adaptations optimized for tablet and mobile devices.
*   Conducted A/B testing following the initial iteration to identify usability issues and implement data-driven improvements.

**“Fitroom” | Corporate Website Redesign for Fitness Studio**
*   Led the redesign of a fitness studio website to create a modern, attractive interface aimed at boosting sales performance.
*   Performed competitor analysis to establish a new, competitive stylistic direction based on curated visual references.
*   Developed high-fidelity prototypes and optimized interface layouts for mobile and tablet responsiveness.
*   Constructed a comprehensive UI kit to ensure visual consistency and scalability throughout the website.

**“Wish” | Gift Delivery Mobile App**
*   Designed the user interface and experience for a mobile application facilitating flower and gift delivery scheduling.
*   Managed the full product lifecycle, moving from competitive analysis and persona development to wireframing and final UI execution.
*   Streamlined the user flow for item selection and delivery coordination to ensure an intuitive user journey.

**ADDITIONAL UI DESIGN PROJECTS**

**Ed-Tech & Dashboards**
*   Designed a student-facing dashboard for an educational product and a user landing page for an online learning resource.
*   Created an administrative dashboard for user rights management and a service accounting table for a cleaning company.

**Components & Layouts**
*   Utilized AutoLayout to develop complex components, including a responsive team page, website sidebar, and transaction confirmation modal windows.
*   Designed a desktop start screen featuring interaction design and animation elements.

**EDUCATION**

**UI/UX Design Course** (6-Month Intensive Program)
*   Completed a comprehensive curriculum focused on the full design lifecycle, from initial research to final UI implementation.
*   Successfully delivered 5 projects (3 individual and 2 team-based), gaining practical experience in web and mobile design methodologies."
98275,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Link to Portfolio]

**PROFESSIONAL SUMMARY**

Creative Junior UX/UI Designer focused on crafting exceptional user experiences and improving digital interactions. Combines a strong foundation in design principles with a commitment to continuous learning in evolving technologies. Dedicated to delivering high-quality, useful digital products through aesthetic precision and strategic problem-solving.

**PROJECT EXPERIENCE**

**Petsearch** | *Lead Designer & Creator*
*   Spearheaded the design and development of a comprehensive web service dedicated to animal shelter support, volunteer promotion, and reuniting owners with lost pets.
*   Engineered a high-efficiency interface optimized for speed, enabling users to achieve results quickly during urgent situations.
*   Implemented core functionality allowing users to post and manage advertisements for lost or found animals.
*   Established the visual identity and project themes, creating all UI elements to ensure a cohesive and engaging user experience.

**A Kids Place Childcare** | *Website Redesign*
*   Executed a strategic, research-based redesign of a kindergarten website, specifically overhauling three core pages to improve usability.
*   Performed in-depth design audits and competitor research to diagnose previous product weaknesses and identify opportunities for improvement.
*   Optimized page visuals to align with user expectations derived from research findings.
*   Produced comprehensive documentation and a standardized UI Kit containing all interface elements to ensure design consistency.

**FlowerLover** | *Landing Page Design*
*   Designed a robust landing page for a floral retailer, defining essential UI components including buttons and input fields.
*   Leveraged competitor analysis and moodboards to architect an optimal page structure.
*   Curated a nature-inspired color palette to reinforce brand identity and visual harmony.

**SKILLS & EXPERTISE**

*   **UX/UI & Web Design:** Visual Design, Page Structuring, Landing Page Design, Interface Design.
*   **Research & Strategy:** Competitor Analysis, User Research, Design Audits, Moodboarding.
*   **Documentation:** UI Kits, Design Systems.
*   **Core Competencies:** Creative Problem Solving, Adaptability, Continuous Learning."
98276,"[Name]
[Phone Number] | [Email Address]
[Link to Portfolio]

**PROFESSIONAL SUMMARY**

Junior UI/UX Designer with a demonstrated ability to create modern, user-centric interfaces. Proficient in applying fundamental design principles, including color theory and typography, to enhance user experiences. Skilled in executing website redesigns and conceptual projects, both independently and within collaborative team environments. Dedicated to continuous professional growth through the rigorous study of emerging design technologies and industry trends.

**CORE COMPETENCIES**

*   **UI/UX Design:** User Interface Modernization, Website Redesign, Concept Development.
*   **Design Fundamentals:** Color Theory, Typography, Visual Consistency.
*   **User Experience:** Navigation Structure, User Flow Optimization, Functionality Design.
*   **Collaboration:** Team Communication, Design Objective Execution.

**PROJECT EXPERIENCE**

**UI/UX Design | Service for Finding Lost Animals (Study Project)**
*February 2023 – March 2023*

*   Conceptualized and designed the user interface for a web-based service dedicated to reuniting lost pets with their owners.
*   Developed functionality enabling users to seamlessly create and publish advertisements for lost or found animals.
*   Optimized the design to facilitate rapid information dissemination and efficient communication between users.
*   Collaborated effectively within a team setting, translating design briefs into actionable objectives and deliverables.

**Website Redesign | Tattoo Studio**
*December 2022 – January 2023*

*   Executed a complete redesign of an existing studio website, successfully establishing a modern aesthetic and user-friendly interface.
*   Restructured navigation elements to streamline user flow and improve site accessibility.
*   Designed and integrated new functionality to allow for direct online appointment requests and tattoo ordering.
*   Elevated the visual presentation of artist portfolios and implemented a customer review section to enhance user engagement.

**EDUCATION & PROFESSIONAL DEVELOPMENT**

**Self-Directed UI/UX Design Study**
*   **Curriculum:** Comprehensive study of professional literature and online coursework focused on UI/UX methodologies.
*   **Research:** Continuous analysis of cutting-edge design technologies and evolving industry trends.
*   **Practical Application:** Ongoing development and refinement of a professional portfolio through the application of theoretical design principles to practical projects."
98277,"**UX/UI Designer**

**PROFESSIONAL SUMMARY**
Creative and detail-oriented UX/UI Designer with a strong foundation in developing functional, aesthetically pleasing digital products. Proficient in the end-to-end design process, including user research, wireframing, information architecture, and high-fidelity UI delivery. Experienced in designing for diverse platforms including web services, mobile applications, and branding assets. adept at collaborating with clients and teams to translate requirements into visual solutions.

**SKILLS**
*   **User Experience (UX):** User Research, Persona Development, Customer Journey Mapping, Information Architecture (IA), User Flows, Wireframing, Prototyping.
*   **User Interface (UI):** Web Design, Mobile App Design, Dashboard Interfaces, Data Tables, Landing Pages.
*   **Visual & Brand Design:** Logo Creation, 3D Modeling & Animation, Illustration, Advertising Assets, Poster Design.
*   **Core Competencies:** Client Relations, Team Collaboration, Project Presentation, Requirement Analysis.

**WORK EXPERIENCE**

**Freelance Designer | Korg Sound Library**
*   Conceptualized and executed custom cover illustrations for sound libraries, translating abstract audio concepts into visual assets.
*   Managed client consultations to define project scope and analyzed reference materials to ensure alignment with the creative vision.
*   Implemented design revisions based on feedback, delivering final assets to full client satisfaction.

**Freelance Designer | Sinevibes**
*   Produced a rotating 3D animated logo for use as a video intro, managing the full production pipeline.
*   Handled all aspects of 3D modeling, shading, and rendering to meet brand specifications.
*   Facilitated the approval process by presenting visual outcomes prior to final animation rendering.

**KEY PROJECTS**

**Accommodation Finder | Web Service Design**
*   Designed a comprehensive web service focused on affordable international accommodation.
*   Spearheaded UX analysis by generating user personas and mapping customer journeys to identify pain points.
*   Constructed the Information Architecture and user flows to ensure logical navigation.
*   Converted requirements into low-fidelity wireframes and produced final high-fidelity UI designs.

**Beatcraft | Mobile Application Design**
*   Developed the user interface for a music-centric mobile application based on target audience analysis.
*   Created detailed wireframes and finalized interface designs, integrating specialized features such as two-factor authentication and in-app achievement systems.

**CustomConcepts | Website Redesign**
*   Executed a complete redesign of an existing tattoo studio website to enhance visuals and usability.
*   Performed competitive analysis of industry-related sites to inform design strategy.
*   Prototyped and delivered a modernized, fully functional website layout.

**UrbanFest | Landing Page Design**
*   Managed the end-to-end design lifecycle of a promotional landing page from concept to delivery.
*   Curated mood boards to establish the visual direction and developed structural wireframes.
*   Delivered a minimalistic, aesthetic, and responsive final user interface.

**Literature Project | Academic Collaboration**
*   Collaborated within a multidisciplinary team to facilitate a literature-focused initiative.
*   Led the visual design and presentation components of the project, ensuring clear communication of concepts."
98278,"[Your Name]
[City, Country]
[Phone Number] | [Email Address]
[Portfolio Link / LinkedIn Profile]

**PROFESSIONAL SUMMARY**

User-centered UI/UX Designer with experience in developing web services, mobile applications, and landing pages. Skilled in the full design lifecycle, from competitor analysis and user research to wireframing, high-fidelity prototyping, and responsive design. Proficient in Figma and ProtoPie, with a focus on creating intuitive interfaces and solving complex user problems through collaborative and independent work.

**SKILLS**

*   **Design Tools:** Figma (Auto Layout, Styles, Components, Design Systems), ProtoPie.
*   **UX Research & Strategy:** Competitor Analysis, Target Audience Analysis, User Personas, User Flows, Moodboards.
*   **UI Design:** Wireframing, High-Fidelity Prototyping, Adaptive/Responsive Design, UI Animation, Interface Design.
*   **Core Competencies:** Team Collaboration, Problem Solving, Attention to Detail.

**PROJECT EXPERIENCE**

**Lunushka Shop | Mobile Application**
*   Executed the full-cycle design of an e-commerce mobile application, ensuring an intuitive user experience from concept to completion.
*   Conducted comprehensive UX research, including competitor analysis and the definition of user personas to address specific needs and pain points.
*   Architected user flows and structural wireframes to establish logical navigation.
*   Designed the final User Interface with a specialized onboarding process, utilizing ProtoPie to create interactive animations for client presentation.

**Globetrot | Web Service**
*   Collaborated within a team to develop a web service focused on organizing economical international stays.
*   Designed critical interface components, specifically engineering user-friendly filter systems and verification methods.
*   Translated user problem research into effective design solutions to enhance platform usability.
*   Delivered detailed wireframes, final UI assets, and adaptive designs optimized for various screen resolutions.
*   Created animated prototypes to demonstrate core functionality and user interactions.

**Flower Shop Delivery | Landing Page**
*   Designed a responsive landing page for a flower shop, highlighting an innovative delivery service model.
*   Performed detailed research and competitor analysis to inform the creation of moodboards and visual direction.
*   Developed prototypes focused on aesthetic appeal and convenient navigation to streamline the flower selection and ordering process.
*   Delivered a fully adaptive design ensuring seamless functionality across tablet and mobile devices.

**Tattoo Studio | Website Redesign**
*   Analyzed an existing website to identify usability issues and areas for structural improvement.
*   Executed a modern redesign, establishing a clear and understandable interface to enhance user engagement.
*   Restructured content and page layouts to better attract new customers and facilitate professional cooperation with tattoo artists.

**EDUCATION**

**UI/UX Design Course**
*   Completed comprehensive training in full-cycle design, moving from initial research to final prototyping.
*   Successfully delivered 4 diverse projects, including mobile applications and web services."
