,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
29788,"**PROFESSIONAL SUMMARY**

Digital 2D Artist & UI/UX Designer based in Kyiv with advanced proficiency in Adobe Photoshop, Illustrator, Figma, and Procreate. Combines strong technical expertise with deep knowledge of current design and technology trends. Effective communicator with upper-intermediate English proficiency and proven time management skills.

**EXPERIENCE**

**Full Stack Designer: UI/UX | Illustration | Graphic Design**
April 2021 - Present

**UI/UX Designer & Illustrator**
November 2019 - August 2021

**Freelance Web Designer**
December 2018 - November 2019

**AWARDS**

**Red Dot Award** — Brands & Communication Design, August 2022

**SKILLS**

- UI/UX Design
- Adaptive & Responsive Design
- Illustration (Raster & Vector)
- Banner Design
- Logo Design

**TOOLS**

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate
- Midjourney

**LANGUAGES**

- English: Upper-Intermediate"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

Award-winning digital designer with extensive marketing experience, creating visually stunning designs that drive brand growth and audience engagement. Advanced in Photoshop, Illustrator, Figma, and Webflow with a proven track record delivering successful campaigns. Skilled at collaborating with international teams and clients in both freelance and in-house management roles. Seeking a long-term partnership with opportunities to grow and contribute expertise in product-focused environments.

## SKILLS

**Design Expertise**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- Digital Design & Digital Imagery
- UI/UX Design

**Digital Marketing**
- Web Ads & Social Media Ads
- E-blast Design
- Digital Analytics

**Technical Proficiencies**
- Photoshop (Extensive Experience)
- Illustrator (Extensive Experience)
- Figma (Advanced User)
- Webflow (Animation, CMS)
- HTML/CSS

**Soft Skills**
- Independent & Team Collaboration
- Creative Problem Solving
- Direct Client Communication

## PROFESSIONAL EXPERIENCE

**Freelance Designer**
- Created websites and e-blast campaigns for American company
- Collaborated directly with clients to deliver tailored design solutions

**In-House Manager**
- Managed cross-functional design projects in collaborative team environment
- Partnered with 5+ companies across multiple countries

## EDUCATION & TRAINING

**Dare IT** — Product Design

**Hillel IT School** — Basic Web Design

**Cases Media** — Graphic Design: Composition (91)

**Cases Media** — Figma (90)"
30606,"**PROFESSIONAL EXPERIENCE**

**Figma Designer**
- Developed comprehensive design system and UI kit enabling scalable product development
- Engineered responsive, adaptive interface components utilizing Auto Layout
- Created interactive components and high-fidelity prototypes demonstrating complete user flows
- Streamlined workflow efficiency through strategic implementation of Figma plugins

**Beetroot Academy – Mentorship Projects**
- Conducted UX research and competitive analysis driving informed design decisions
- Produced sketches and prototypes through iterative design cycles
- Applied composition, typography, and color theory principles to elevate visual design quality
- Integrated current design principles and industry trends across multiple projects
- Partnered with cross-functional teams to deliver collaborative project outcomes
- Presented project deliverables to stakeholders
- Maintained project documentation in Google Documents and developed user surveys via Google Forms

**SKILLS**

**Design Tools:** Figma (UI Kits, Design Systems, Auto Layout, Interactive Components, Prototyping, Plugins)

**Design Expertise:** UX Research, Competitive Analysis, Sketching, Prototyping, Composition, Typography, Color Theory, Design Principles, Design Trends

**Collaboration & Documentation:** Google Workspace (Documents, Forms), Cross-Functional Team Collaboration, Stakeholder Presentations"
30845,"# UI/UX Designer

Dynamic junior UI/UX designer passionate about creating seamless, visually captivating user experiences. Proficient in Figma, Photoshop, and Illustrator with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

## Skills

Figma | Photoshop | Illustrator | Interactive Prototypes | Wireframes & Mockups | User-Centered Design | Competitor Analysis | Market Research | User Personas | Customer Journey Mapping | User Flow Development | UI Kit Creation | Responsive/Adaptive Design | HTML/CSS

## Projects

### Real Estate Website Redesign
Transformed an outdated interface into a modern, user-friendly platform for a Destin, Florida real estate company.

- Conducted competitor research and analysis to identify successful design solutions
- Analyzed social media and customer feedback to inform design decisions
- Developed 3 user personas and customer journey map
- Modernized visual design incorporating user-friendly feedback and property valuation features
- Improved site usability and navigation

### Travel Booking Web Service
Created a web service enabling users to find and book excursions, tours, entrance tickets, and entertainment worldwide while allowing travel agents and companies to post offerings.

- Analyzed competitive market landscape
- Developed Jobs-to-be-Done framework
- Created customer journey map and user flow
- Produced wireframes and comprehensive UI Kit
- Designed adaptive interface featuring search functionality, category-based browsing, multi-platform registration, booking with payment integration, and announcement creation for guides

### Restaurant Table Booking Mobile Application
Designed mobile application for restaurant table reservations.

## Education & Training

**UI/UX Design Course** | 6-Month Program
- Successfully defended and presented 3 comprehensive projects
- Studied HTML/CSS

## Career Objectives

Seeking a full-time position in a product company focused on creating digital products for everyday life and business. Quick learner, responsible, and ready to perform complex tasks."
32072,"**UI/UX Designer**

**Current Role**

• Led a team of 4 designers in creating visually appealing, functional products that resonate with users and meet business objectives

• Improved financial institution app onboarding process by 35%

• Developed wireframes, mockups, and prototypes to establish user interface design and architecture

• Applied Agile planning principles to deliver tailored solutions aligned with customer requirements

**Previous Role**

• Improved SaaS audience management system by 25%, designing solutions that drive business results while maintaining aesthetic excellence"
46443,"# Product Designer | Design Systems Specialist

Design systems architect with 10+ years of commercial experience building web solutions for large-scale CRM and SaaS platforms, mobile applications, and desktop software.

## Core Expertise

**Design Systems** — End-to-end creation and maintenance, from design through implementation in React and Storybook, streamlining product development processes

**Product Design Leadership** — Full-spectrum experience from Graphic Designer to Product Designer

**Rapid Delivery** — Multiple 0-to-launch products delivered in 3-4 weeks without initial specifications

## Project Highlights

- 50+ landing pages and promotional pages
- 10+ user dashboard interfaces
- Analytics dashboards, smart timer systems, and photo editing tools

## Technical Skills

**Design:** Figma, Sketch, Adobe Creative Cloud Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Looking For

- Bold vision and meaningful impact
- High standards for quality and user experience
- Need for comprehensive UI/UX, branding, and corporate identity
- Design System creation or maintenance requirements
- Opportunity to influence product direction and lead product segments"
46506,"**PROFESSIONAL EXPERIENCE**

**Software Developer**
Small IT Company

- Developed dynamic web applications using JavaScript and React framework, delivering responsive, user-focused interfaces
- Built responsive web pages utilizing JSX, HTML, and CSS to ensure optimal performance across devices and browsers
- Enhanced user experience by implementing smooth, engaging animations with Framer Motion library
- Integrated Material-UI (MUI) components to create cohesive, professional project interfaces
- Leveraged Bootstrap and Materialize frameworks to accelerate front-end development and maintain design consistency
- Collaborated with design teams to translate Figma mockups and Adobe Photoshop assets into functional, pixel-perfect implementations"
50300,"# Professional Summary

Accomplished software developer with proven expertise in delivering high-impact customer engagement solutions for major e-commerce businesses. Designed and deployed a comprehensive customer engagement suite from the ground up, completing the project on time and under budget while achieving excellent reviews from users and clients. Skilled in leveraging innovative technologies and processes to maximize customer acquisition, satisfaction, and retention.

# Technical Skills

**Frontend Development:** React, Vue, Flutter
**Backend Development:** Node.js
**Core Competencies:** Interface design, API integration, custom plugin development, website and application development, code optimization, performance testing, debugging

# Professional Experience

**Frontend Developer**

- Develop frontend interfaces to client specifications while ensuring strong system usability
- Deliver application user experiences that meet top industry standards
- Collaborate with development teams and work independently to meet project objectives
- Debug issues and conduct performance testing on applications
- Optimize code to improve application efficiency
- Participate in project planning and strategize information flows between backend databases and user interface components

# Key Achievements

- Designed and deployed a customer engagement suite for a major e-commerce business, delivered on time and under budget
- Maximized customer acquisition, satisfaction, and retention through innovative technologies and processes
- Created multiple interfaces, integrated APIs, and developed custom plugins using React, Vue, and Flutter
- Built websites and applications using Node.js for backend development

# Professional Development

- Continuously learning new technologies and frameworks to stay current with industry trends
- Deepening understanding of software architecture through collaboration with experienced engineers
- Advancing technical skillset to grow as a software professional"
51419,"# UI/UX Designer

## Professional Summary
UI/UX Designer with a programming background, specializing in user-centered design solutions. Combines technical development expertise with design thinking to bridge the gap between creative vision and practical implementation. Proven ability to navigate complex problem spaces across freelance and corporate environments.

## Experience

**UI/UX Designer**
IT Company (Out-staff basis) | 1 year

- Deliver UI/UX solutions for client projects, translating business requirements into intuitive user experiences
- Leverage programming background to ensure design feasibility and streamline developer handoff
- Solve complex design challenges within user-centered frameworks

**Freelance Designer**
Multiple years

- Execute diverse design projects across varied industries and client needs
- Manage complete project lifecycles from initial concept through final delivery
- Build and maintain client relationships through independent practice

## Core Strengths
- Technical foundation in programming with hands-on development experience
- Ability to communicate effectively with both design and development teams
- Problem-solving approach that balances user needs with technical constraints

## Availability
Full-time position | Remote preferred"
53971,"# Game UI/UX Designer

## Professional Experience

**Game UI/UX Designer** | Major Game Development Company | 1.5 years (Current)
- Design user interfaces for large-scale game productions
- Apply UI/UX principles within a professional studio environment

**Game UI/UX Designer** | Various Indie Game Teams | 3 years (2019–Present)
- Create UI/UX designs across multiple indie game projects
- Develop 3D models, textures, and animations to support game development
- Deliver cohesive interface designs informed by graphic design expertise

**Senior Graphic Designer** | 5 years
- Built comprehensive graphic design foundation applicable to game UI work
- Developed visual design skills supporting current specialization

---

## Core Competencies

**Design:** Game UI/UX Design · Interface Design · Graphic Design

**Technical:** 3D Modeling · 3D Animation · Texturing

---

## Career Focus

Seeking opportunities exclusively within game development"
53972,"**GRAPHIC DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Graphic Designer | GameDev Industry**
1 year

- Designed promotional offers, seasonal decorations, and in-game banners for mobile games
- Created visually engaging assets optimized for mobile game environments
- Delivered cohesive visual elements that enhanced player engagement

**Graphic Designer | Digital Media**
2+ years

- Designed responsive websites, digital banners, and email marketing campaigns
- Developed consistent visual content across multiple digital platforms
- Managed end-to-end design workflow from concept to final delivery

**SKILLS & EXPERTISE**

- Strategic layout design integrating artist-provided graphics
- Custom creation of navigation elements, UI components, and decorative assets
- Adobe Photoshop and Figma proficiency
- Motion design and animation in Adobe After Effects and Figma
- Flexible, deadline-driven workflow adaptable to evolving project requirements

**PROFESSIONAL OBJECTIVES**

Seeking long-term collaboration with a GameDev company specializing in mobile games development. Dedicated to continuous professional growth, creative excellence, and delivering high-quality design work that elevates player experiences."
53973,"# Game UI/UX Designer

Game UI/UX Designer with UI art and animation expertise since 2019. Web designer since 2015.

## Skills & Expertise

- Full project lifecycle experience with working knowledge of HTML, CSS, and JavaScript
- Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity
- Design process development and implementation
- Client acquisition and relationship management
- Team mentoring and professional development

## Professional Responsibilities

- Develop intuitive UX flows aligned with overall game design vision
- Design UI screens and elements, preparing production-ready assets for development teams
- Communicate UX vision and design concepts to stakeholders, collaborating to implement designs in-engine
- Contribute to game development across disciplines as project needs arise
- Lead website updates and logo redesign initiatives for digital platforms

## Additional Experience

- Design Instructor, IT Academy, Lviv

## Interests

- Continuous learning and language acquisition
- Basketball, Brazilian jiu-jitsu, yoga
- Active lifestyle"
53974,"# UI/UX Designer & Artist

## Objective

Seeking opportunities with challenging and diverse projects where I can apply my expertise in UI/UX design for games and collaborate with a strong team to exchange knowledge and experience.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Designed and developed UI visuals for casual mobile games from initial concept through final rendering
- Created comprehensive game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
- Prepared sprites and assets for implementation in Unity game engine
- Oversaw interface implementation and layout within game engines
- Conducted research on game interfaces and functional solutions to inform design decisions
- Collaborated with cross-functional teams including designers, managers, 2D/3D artists, and programmers
- Maintained current knowledge of UI/UX design trends and techniques
- Contributed to a released mobile casual game

## Skills

**Design:** UI/UX Design for Casual Games | Concept Development to Final Rendering | Logo & Icon Design

**Technical:** Sprite Preparation for Unity | Game Engine Interface Implementation

**Research & Collaboration:** Interface Research & Functional Solutions | Cross-functional Team Collaboration

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture"
53975,"**UI/UX GAME DESIGNER**

4 Years of Commercial Design Experience | 2 Years of Commercial GameDev Experience

**PROFESSIONAL SUMMARY**

UI/UX Game Designer with extensive experience across diverse projects including mobile shooters, educational games for children, tactical MOBAs, and multiplayer casual games. Skilled in full-cycle UI/UX creation from information architecture through implementation. Passionate gamer committed to staying current with industry developments.

**CORE COMPETENCIES**

Information Architecture & Player Flows | UI Research & Wireframing | Style Research & Prototyping | Resource Implementation in Unity3D | Game Testing & Quality Assurance | Figma (UI, Vector Graphics, Animation) | Photoshop (Raster Graphics) | Unity3D, Jira, Confluence, Plastic SCM | Game Graphics Creation on Graphics Tablet

**PROFESSIONAL EXPERIENCE**

Led complete UI development for educational mobile game for children, achieving over 100,000 downloads

Contributed to development of AAA PC MOBA

Redesigned and successfully migrated PC esports simulator to mobile platform, delivering on schedule

Completed 248+ projects across commercial design and game development

Supervised final group project in leadership capacity during Web Design course

Designed and developed welcome box for new employee onboarding

Coordinated simultaneous production and printing of materials for two exhibitions across different cities

**EDUCATION & TRAINING**

Web Design Courses – Graduated with Honors

English Language Courses (2022) – Completed with Honors

**PROFESSIONAL APPROACH**

Dedicated professional who maintains active engagement through challenging circumstances. Regularly plays shipped titles during personal time to preserve quality perspective and monitor industry evolution. Eager to master emerging technologies and contribute to innovative projects of varying complexity."
53976,"# Professional Summary

Versatile artist and designer with strong teamwork, teaching, and leadership abilities. Quick to master new skills and techniques.

# Skills

**Art & Design**
- UI Design & Game UI Art
- Character Design & Concept Art
- Environment Concept Art
- Illustration
- Creative Design

**3D & Technical**
- 3D Modeling
- Digital Sculpting
- Texturing

**Language**
- English (Proficient)

# Software

- Adobe Photoshop
- ZBrush
- Blender
- Substance Painter
- Substance Designer
- DAZ Studio"
53977,"# MOTION DESIGN LEAD

## PROFESSIONAL SUMMARY

Self-motivated motion design professional with extensive gaming industry experience. Proven track record managing cross-functional teams and delivering high-quality design solutions for worldwide poker and casino products.

## CORE COMPETENCIES

Motion Design & Animation | UX/UI Design | Team Leadership | Design Systems & Style Guides | Pipeline Optimization | Cross-functional Collaboration | Project Architecture | Brand Development

## PROFESSIONAL EXPERIENCE

**Motion Design Lead**

• Led team of 7+ onboard and outsourced professionals spanning design, graphics, motion, animation, sound, and development

• Delivered exceptional motion design for worldwide poker and casino products, enhancing visual and gaming experience

• Architected clean, scalable After Effects project structures to support efficient production workflows

• Optimized design and animation export pipeline across multiple projects by implementing new workflow technologies

• Developed motion and animations for poker and casino games including slots, betting platforms, and blackjack

• Designed UX/UI for poker application and contributed to rebranding initiatives for poker brands

• Established and maintained project style guides, design systems, and asset libraries

• Produced motion graphics for live online events and created design concepts and storyboards for promotional videos

• Authored comprehensive briefs and specifications, overseeing design, graphic, motion, and sound artists through final delivery

• Contributed to building and organizing the gaming design team

## PROFESSIONAL OBJECTIVES

Leverage gaming industry experience while learning from leading industry specialists. Create premium products of the highest quality. Effectively prioritize tasks and maintain accountability for results. Motivate teams and inspire commitment to excellence."
53978,"**UI/UX DESIGNER**

Results-driven UI/UX Designer with proven prototyping expertise and a track record of enhancing user interfaces and game experiences. Skilled at implementing features that optimize performance, accelerate development workflows, and streamline UI architecture. Consistently delivers projects ahead of schedule while maintaining high customer satisfaction.

---

**CORE COMPETENCIES**

UI Design & Development • User Flow & Wireframe Development • Prototyping • 9-Slice Scaling • Figma to Unity Integration • Cross-Platform Design (PC, Console, Mobile) • Typography & Font Selection • UI Performance Optimization

---

**PROFESSIONAL EXPERIENCE**

- Designed and developed UI interfaces from concept through implementation
- Created comprehensive user flows and wireframes to guide product development
- Prototyped interfaces for iterative testing and validation
- Integrated finished designs from Figma directly into Unity
- Implemented 9-slice scaling techniques to ensure responsive, scalable UI elements
- Selected and applied typography to enhance readability and user experience
- Delivered cross-platform UI solutions for PC, console, and mobile environments
- Collaborated with UI/UX developers, game designers, artists, and programmers to achieve project goals"
53979,"# UX/UI Designer | 2020–2022

## Senior Phase
- Designed indie game interface informed by independent UX research
- Developed low-fidelity and high-fidelity wireframes
- Partnered with developers and game designers to align design vision
- Conducted user surveys and testing exercises to deepen understanding of game functionality

## Foundation Phase
- Delivered UX/UI solutions using user-centered design methodology
- Transformed concepts from low-fidelity wireframes into interactive visual designs and prototypes
- Architected site maps and information structures
- Demonstrated how designs evolve from core user needs to exceed initial expectations
- Communicated design ideas through storyboards, process flows, and sitemaps
- Developed adaptive and responsive wireframes for web-based applications
- Designed for error states and complete customer journeys
- Created customer journey maps to support product vision

---

# Visual and Graphic Designer | 2019–2022

- Designed logos, brand identities, banners, posters, and advertisements
- Generated style concepts while monitoring industry design trends
- Delivered detail-oriented work with consistent structure
- Presented and defended creative concepts to clients
- Collaborated cross-functionally to elevate product quality"
