,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
29788,"# [NAME]

## Digital 2D Artist & UI/UX Designer

Kyiv, Ukraine

---

## PROFILE

Self-educated Digital 2D Artist and UI/UX Designer with strong technical understanding and knowledge of current design and technology trends. Experienced in delivering full-stack design solutions including UI/UX, illustration, and graphic design.

---

## EXPERIENCE

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 – Present

**UI/UX Designer / Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

---

## AWARDS

**Red Dot Award** – Brands & Communication Design
August 2022

---

## SKILLS

- UI/UX Design & Adaptive Design
- Illustration (Raster/Vector)
- Graphic Design
- Logo Design
- Banner Design
- Effective Verbal and Written Communication
- Time and Self-Management

---

## TOOLS

- Figma
- Adobe Photoshop
- Adobe Illustrator
- Procreate
- Midjourney

---

## LANGUAGES

- English: Upper-Intermediate"
29835,"# DIGITAL DESIGNER

## Summary

Digital designer with extensive marketing experience, specializing in visually compelling designs that drive brand growth. Proficient in Photoshop, Illustrator, and Figma, with advanced Webflow skills including animation and CMS. Proven track record across freelance and in-house environments, collaborating with more than 5 companies internationally, including freelance work for an American company. Seeking a long-term partnership with opportunities for growth in product design.

## Skills

**Design**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- UI/UX Design

**Digital Marketing**
- Web & Social Media Advertising
- Digital Design & Imagery
- Digital Analytics
- E-blast Campaigns

**Technical**
- Adobe Photoshop
- Adobe Illustrator
- Figma (Advanced)
- Webflow (Animation, CMS)
- HTML/CSS

**Professional**
- Independent & Collaborative Work
- Direct Client Communication
- Creative Problem-Solving

## Education & Certifications

- Product Design — Dare IT
- Basic Web Design — Hillel IT School
- Figma — Cases Media (90)
- Graphic Design: Composition — Cases Media (91)"
30606,"# UI/UX Designer

## Skills

**Design Tools**
- Figma — Design systems, UI kit creation, Auto Layout, interactive components, prototyping, plugins

**UX Capabilities**
- User experience research
- Competitor analysis
- Sketching and prototyping

**Design Knowledge**
- Composition principles
- Typography and color theory
- Current design principles and trends

**Professional Skills**
- Cross-functional team collaboration
- Project presentation and communication
- Google Workspace (Docs, Forms)

## Education

**Beetroot Academy**
UX/UI Design Mentorship Program"
30845,"# PROFESSIONAL SUMMARY

Junior UI/UX Designer with a passion for creating seamless, visually captivating user experiences. Proficient in Figma, Photoshop, and Illustrator with a solid foundation in design principles and user-centered methodologies. Experienced in producing interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

---

# SKILLS

**Design Tools:** Figma, Photoshop, Illustrator  
**Technical:** HTML, CSS  
**UX Methods:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping, Jobs-to-be-Done, User Flows  
**Deliverables:** Wireframes, Prototypes, Mockups, UI Kits, Responsive & Adaptive Design

---

# PORTFOLIO PROJECTS

**Real Estate Website Redesign** | Destin, Florida
- Redesigned an outdated website to deliver a modern, user-friendly experience aimed at attracting potential customers
- Conducted competitor research and analysis to inform design decisions
- Developed 3 user personas and a customer journey map based on social media and customer feedback research
- Enhanced usability by incorporating intuitive feedback mechanisms and property valuation features

**Travel Booking Web Service**
- Designed a full-featured web service enabling users to discover and book excursions, tours, tickets, and entertainment worldwide
- Created guide-facing functionality for posting excursion offers
- Conducted market analysis and developed JTBD framework, CJM, and User Flows
- Produced wireframes, UI Kit, and fully adaptive design system
- Designed search functionality with filters, category browsing, multi-platform registration, and integrated payment system

**Restaurant Table Booking Mobile Application**
- Designed a mobile application for booking restaurant tables

---

# EDUCATION & TRAINING

**UI/UX Design Course** | 6 Months
- Completed additional coursework in HTML/CSS
- Successfully defended and presented 3 portfolio projects

---

# OBJECTIVE

Seeking a full-time position with a product company focused on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Professional Experience

### UI/UX Designer | Financial Institution

Led a team of 4 designers in creating visually appealing, functional products aligned with user needs and business objectives. Applied Agile planning principles to deliver tailored solutions meeting customer requirements. Developed wireframes, mockups, and prototypes to establish user interface design and architecture.

**Key Achievement:** Improved app onboarding process by 35%

---

### UI/UX Designer | SaaS Company

Delivered solutions that are both aesthetically pleasing and drive measurable business results.

**Key Achievement:** Improved audience management system by 25%"
46443,"# Product Designer

## Summary

Product Designer with over 10 years of commercial experience spanning graphic design to product design. Expert in creating and maintaining Design Systems that streamline and accelerate product development.

## Expertise

**Design:** Figma, Sketch, Adobe CC Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Core Competencies

- UI/UX Design
- Branding & Corporate Identity
- Design System Architecture & Maintenance
- Full Product Lifecycle Management

## Experience & Achievements

- Designed and developed large-scale CRM and SaaS projects for mobile and desktop platforms
- Built comprehensive design systems end-to-end, from design through React and Storybook implementation
- Delivered products from concept to release in 3-4 weeks across multiple projects
- Created 50+ landing pages and promotional pages
- Designed 10+ user dashboards and account interfaces
- Developed specialized features including analytics dashboards, smart timer systems, and photo editing tools

## Seeking

- Meaningful products that deliver real user value
- Collaborative, high-performing teams
- Influence over product development direction
- Leadership responsibility for product or product areas"
46506,"# Software Developer

## Professional Experience

**Software Developer** | IT Company

- Developed responsive web applications using React, JSX, HTML, and CSS, delivering polished user experiences across devices
- Engineered dynamic, engaging animations with Framer Motion to enhance user interaction and visual appeal
- Built scalable, reusable user interface components leveraging the MUI component library
- Implemented responsive design systems using Bootstrap and Materialize frameworks
- Collaborated with design teams to translate Figma mockups and Adobe Photoshop assets into functional interfaces

## Technical Skills

**Languages & Markup:** JavaScript, JSX, HTML, CSS

**Frameworks & Libraries:** React, Framer Motion, MUI, Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop"
50300,"# Professional Summary

Results-driven software developer with proven success delivering complex technical solutions. Led the design and deployment of a groundbreaking customer engagement suite for a major e-commerce business, completed on time and under budget, driving customer acquisition, satisfaction, and retention to generate incremental revenue.

# Technical Skills

**Frontend Development:** React, Vue, Flutter

**Backend Development:** Node.js

**Core Competencies:** API Integration, Custom Plugin Development, Interface Design

# Experience

**Frontend Developer**

- Develop frontend interfaces according to client specifications with emphasis on strong usability and industry-standard user experience
- Debug issues, conduct performance testing, and optimize code
- Collaborate with development teams and contribute independently as needed
- Participate in project planning and strategize information flows between backend databases and user interface components
- Create websites, applications, and custom plugins

# Key Achievement

Designed and deployed a customer engagement suite from the ground up for a major e-commerce client, utilizing innovative technologies and processes. Received exceptional reviews from users and clients while meeting timeline and budget requirements.

# Professional Development

- Continuously expanding technical skillset through learning new technologies and frameworks
- Deepening understanding of software architecture designs through collaboration with experienced engineers"
51419,"# UI/UX Designer

## Summary

UI/UX Designer with a software programming background, bringing technical insight to design challenges. Transitioned from development to design, combining analytical thinking with creative problem-solving. Experience spans freelance and corporate environments, with a focus on complex design solutions.

## Experience

**UI/UX Designer**
IT Company | Out-staff Basis | 1 Year

- Delivered UI/UX solutions for client projects
- Applied programming knowledge to inform design decisions
- Solved challenging design problems requiring specialized expertise

**Freelance UI/UX Designer**
Self-Employed | Multiple Years

- Completed diverse design projects across multiple clients
- Managed end-to-end design processes independently
- Developed portfolio demonstrating complex problem-solving

## Technical Background

- Software programming experience
- Self-directed transition to design

## Availability

- Full-time, remote preferred
- Open to challenging roles requiring technical and design expertise"
53971,"# Senior Game UI/UX Designer

## Professional Summary

Seasoned design professional with 8+ years of combined experience in graphic design and game UI/UX. Specialized in creating compelling game interfaces, with a strong foundation in 3D modeling, texturing, and animation.

## Professional Experience

**Game UI/UX Designer**
Major Game Development Studio | 1.5 Years (Current)
- Design and implement user interfaces for game products
- Apply UI/UX best practices to enhance player experience

**Game UI/UX Designer**
Indie Game Development | 3 Years
- Collaborated with multiple indie teams on diverse projects
- Contributed 3D modeling, texturing, and animation skills
- Specialized in game interface design

**Senior Graphic Designer**
5 Years
- Developed expertise in visual design principles
- Built foundation for transition into game UI/UX specialization

## Core Competencies

Game Interface Design | UI/UX Design | 3D Modeling | Texturing | 3D Animation | Visual Design"
53972,"**PROFESSIONAL SUMMARY**

Digital designer with 3+ years of experience spanning web design and mobile game development. Adept at creating visual assets from concept to completion, with expertise in UI layouts, promotional materials, and motion design.

**EXPERIENCE**

**Game Designer | Mobile Games**
*1 Year*

- Designed promotional offers, decorative elements, and banners that enhanced player engagement
- Created polished UI layouts based on artist-provided graphics
- Developed navigation elements and decorative assets independently, demonstrating initiative and self-direction

**Digital Designer | Web**
*2+ Years*

- Designed websites, banners, and email campaigns across multiple projects

**SKILLS**

- Photoshop
- Figma
- After Effects
- UI/Layout Design
- Animation
- Asset Creation

**OBJECTIVE**

Seeking long-term opportunities in mobile game development with a GameDev company."
53973,"# Game UI/UX Designer

Creative Game UI/UX Designer with UI Art and animation expertise since 2019, built on a foundation in web design since 2015. Combines comprehensive project lifecycle knowledge with technical understanding of HTML, CSS, and JavaScript. Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Core Competencies

- Developing intuitive UX flows aligned with overall game design
- Creating UI screens and elements with production-ready assets for programmer handoff
- Communicating UX vision and design concepts to team members
- Collaborating cross-functionally to implement designs in-game

## Leadership & Mentorship

- Establishing and implementing design processes
- Conducting mentoring and staff skill development
- Independently acquiring new clients
- Design Instructor, IT Academy, Lviv

## Additional Experience

- Official website updates
- Logo redesign for sites and applications

## About Me

Committed to continuous learning with interest in languages. Active lifestyle including basketball, Brazilian jiu-jitsu, and yoga.

## Ideal Work Environment

A friendly, collaborative team focused on delivering valuable product outcomes, working with flexibility and mutual respect."
53974,"# GAME UI/UX DESIGNER & ARTIST

## Professional Summary

Game UI/UX Designer and Artist with shipped mobile casual game experience. Specializing in end-to-end UI visual design, Unity sprite optimization, and cross-functional collaboration with designers, managers, 2D and 3D artists, and programmers.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and develop user interfaces for casual mobile games from initial concept to final rendering
- Prepare optimized sprites for Unity implementation
- Research game interfaces and functional solutions to create intuitive, visually compelling, and distinctive designs
- Create comprehensive interface assets including logos, icons, buttons, pop-ups, and unique game mechanics
- Oversee interface layout implementation in game engines
- Maintain current knowledge of UI/UX design trends and techniques
- Collaborate within multidisciplinary teams

**Shipped Title:** Mobile casual game (released)

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Seeking

Challenging and varied projects offering opportunities to apply my skills while contributing to and learning from a strong, collaborative team."
53975,"# UI/UX GAME DESIGNER

**4 Years Commercial Design Experience | 2 Years GameDev Experience | 248+ Successfully Completed Projects**

## PROFESSIONAL SUMMARY

UI/UX Game Designer specializing in mobile and PC game development across diverse genres including mobile shooters, educational games, tactical MOBAs, and multiplayer casual games. Dedicated professional who plays shipped titles and stays current with industry developments.

## CORE COMPETENCIES

- Full-cycle UI/UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation
- Unity3D implementation (independent and collaborative)
- Game testing
- Game graphics creation using graphics tablet

## TOOLS

Figma (UI, vector graphics, animation) | Photoshop (raster graphics) | Unity3D | Jira | Confluence | Plastic SCM

## KEY ACHIEVEMENTS

- Led full UI development for educational mobile game for kids achieving 100,000+ downloads
- Contributed to AAA PC MOBA development
- Delivered complete design overhaul and mobile platform migration for PC esports simulator on schedule
- Coordinated simultaneous print material production for two exhibitions across different cities
- Developed new employee onboarding welcome-box

## EDUCATION & TRAINING

- Web Design – Graduated with honors; supervised final group project
- English Language – Completed with honors (2022)"
53976,"# PROFESSIONAL RESUME

## Core Strengths
- Rapid learner with exceptional knowledge acquisition abilities
- Strong collaborative team member
- Demonstrated teaching and leadership capabilities

## Skills

**UI & Design**
- Game UI Art
- UI Design
- Creative Design

**3D Art**
- 3D Modeling
- Sculpting
- Texturing

**Concept Art & Illustration**
- Character Concept Art
- Environment Concept Art
- Character Design
- Illustration

**Additional**
- Fluent in English

## Software Proficiency
- Adobe Photoshop
- Blender
- ZBrush
- Substance Painter
- Substance Designer
- Daz Studio"
53977,"# Motion Design Lead

## Professional Experience

**Motion Design & Team Leadership**

Led cross-functional team of 7+ onboard and outsourced professionals spanning design, graphics, motion, animation, sound, and development.

- Directed motion design for worldwide poker and casino product portfolio
- Designed UX/UI for poker application
- Developed gaming motion and animations for poker and casino games, including slots, betting platforms, and blackjack
- Produced motion graphics for live online events
- Contributed to rebranding initiatives for poker brands
- Architected clean, scalable After Effects project structures
- Streamlined design and animation export pipelines across multiple projects
- Created, organized, and distributed project style guides, design systems, and asset libraries
- Contributed to establishment and organization of gaming design team
- Strengthened design and animation consistency by collaborating with development team to implement new workflow technologies
- Elevated visual and gaming experience across products
- Authored comprehensive briefs and specifications, guiding design, graphic, motion, and sound artists alongside developers through final deliverables
- Developed design concepts and storyboards for promotional videos

## Professional Objectives

- Leverage gaming industry experience while expanding expertise alongside leading industry specialists
- Deliver high-quality products
- Distill complex tasks into clear direction and take ownership of results
- Inspire teams to create exceptional products"
53978,"# UI/UX Designer

Skilled UI/UX Designer with proven prototyping expertise dedicated to enhancing user interfaces and game experiences. Consistently delivers projects ahead of schedule while maintaining high client satisfaction.

## Core Competencies

User Flow Development | Wireframing & Prototyping | UI Design & Layout | 9-Slice Scaling | Typography Selection | Figma to Unity Integration

## Platform Experience

PC | Console | Mobile

## Experience Highlights

- Designed and built user interfaces from concept to completion, developing comprehensive user flows and wireframes
- Simplified UI layouts for enhanced user experience
- Implemented features that improved performance and streamlined development processes
- Imported finished interfaces from Figma directly into Unity

## Collaboration

Partnered effectively with UI/UX developers, game designers, artists, and programmers to deliver cohesive product experiences."
53979,"**UX/UI Designer** (2020–2022)

- Developed indie game interface informed by self-conducted UX research
- Created low-fidelity and high-fidelity wireframes, progressing through interactive visual designs and prototypes
- Designed user testing surveys and exercises to deepen understanding of gameplay
- Collaborated with developers and game designers to deliver cohesive user experiences
- Applied user-centered design methodology to develop UX/UI solutions
- Built site maps, information architecture, and customer journey maps to support product vision
- Translated core user needs into designs delivering unexpected value
- Illustrated design ideas using storyboards and process flows
- Developed adaptive and responsive wireframes for web-based applications
- Addressed negative paths and ensured designs covered complete customer journeys

---

**Visual and Graphic Designer** (2019–2022)

- Created logos, brand identities, banners, posters, and advertisements
- Generated creative concepts and visual styles while monitoring design trends
- Presented and defended design concepts to clients
- Collaborated with team members to deliver high-quality products
- Maintained strong attention to detail and organized deliverables"
53981,"**UI/UX DESIGNER | UI ARTIST**

---

**PROFESSIONAL SUMMARY**

UI/UX Designer and UI Artist specializing in game development since 2020. Combines deep analytical thinking with refined aesthetic sensibility to deliver comprehensive graphic solutions across diverse media and platforms.

---

**EXPERIENCE**

**Game Insight** | **101XP** | **Playrix** | **WhaleApp**

UI/UX Designer | UI Artist

---

**SKILLS & EXPERTISE**

- Full-cycle graphic design and redesign
- Pixel-perfect website and application design
- Branding and visual identity development
- Print and production design with technical specification adherence
- 2D animation
- Cross-platform design implementation

---

**WHAT I'M LOOKING FOR**

- Engaging, creative projects
- Strong leadership and qualified management
- Well-organized, collaborative work environment"
54796,"# PROFESSIONAL GRAPHIC & UI/UX DESIGNER

**Kharkiv, Ukraine | 10+ Years of Experience**

---

## PROFILE

Seasoned graphic and UI/UX designer with over a decade of professional experience spanning advertising agencies, marketing firms, and printing houses. Specialized in creating brand identities for leading Ukrainian real estate companies, with work prominently displayed across Kyiv, Kharkiv, and cities throughout Ukraine and Europe.

---

## CORE COMPETENCIES

**UI/UX Design**
Landing pages | Website design | UX research | Website development (Tilda)

**Brand Identity**
Logo creation | Corporate style development | Social media design

**Print & Advertising**
Printed materials & layouts | Outdoor advertising | Transport branding | Presentations

---

## PROFESSIONAL EXPERIENCE

**Graphic & UI/UX Designer** | 10+ Years

Delivered design solutions across diverse industry settings:
- Created brand identities for leading Ukrainian real estate companies with visibility across multiple cities
- Partnered with advertising and marketing agencies on client campaigns
- Produced print-ready materials and layouts for printing houses
- Collaborated with European clients on international projects
- Provided freelance design services across all specializations

---

## STRENGTHS

- Excellent organizational and planning skills
- Strong team collaboration
- Commitment to user-friendly design principles
- Dedicated to continuous professional growth in UX/UI design

---

## PORTFOLIO

Logos, brand identities, and outdoor advertising featured throughout Ukraine and Europe — available upon request."
