,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
30845,"**UI/UX Designer**

**Professional Summary**

Junior UI/UX designer specializing in seamless, visually compelling user experiences. Proficient in Figma, Photoshop, and Illustrator with a strong foundation in user-centered design methodologies. Experienced in developing interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative team player committed to continuous learning and evolving design strategies to meet user needs.

**Core Competencies**

- Figma, Photoshop, Illustrator
- User-Centered Design Methodologies
- Interactive Prototypes, Wireframes & Mockups
- Competitive Analysis
- User Personas & Customer Journey Mapping
- User Flow Documentation
- UI Kit Development
- Responsive Design
- HTML/CSS

**Project Experience**

**Real Estate Website Redesign**
Led complete website redesign for a real estate company. Conducted competitive analysis and synthesized customer feedback to identify pain points including outdated aesthetics, poor usability, and missing critical information. Developed 3 user personas and customer journey map to guide a modern, user-friendly design solution.

**Travel Web Service**
Designed end-to-end web service enabling users to discover and book excursions, tours, and entertainment globally. Delivered competitive market analysis, user journey documentation, user flow mapping, wireframes, UI Kit, and adaptive responsive design. Key features: advanced search with filters, category browsing, multi-platform registration, secure payment processing, and guide announcement tools.

**Mobile Restaurant Booking Application**
Designed mobile application for restaurant table reservations.

**Education & Training**

UI/UX Design Course (6 months)
HTML/CSS Training

**Career Objective**

Seeking a full-time position with a product company focused on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Professional Experience

**Current Role**

• Led a team of 4 designers to create visually appealing, functional products that resonate with users and meet business objectives

• Improved onboarding process for a financial institution app by 35%, enhancing user experience and driving business outcomes

• Created wireframes, mockups, and prototypes to establish user interface design and architecture

• Applied Agile planning principles to deliver tailored solutions aligned with customer requirements

**Previous Role**

• Improved audience management system for a SaaS tool by 25%, delivering solutions that are both aesthetically pleasing and drive measurable business results"
46443,"# SENIOR DESIGN & DEVELOPMENT SPECIALIST

Over 10 years of commercial experience in design and development of web solutions.

---

## Core Expertise

- Large-scale CRM and SaaS projects
- Mobile and desktop applications
- Design system creation and maintenance to accelerate product development
- Full-cycle design system implementation from design to React and Storybook

---

## Technical Proficiencies

**Design:** Figma, Sketch, Adobe Creative Suite  
**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

---

## Professional Experience

- Advanced from Graphic Designer to Product Designer
- Led product development from concept to release in 3–4 week cycles
- Designed and developed 50+ landing pages and promotional pages
- Designed and developed 10+ user account dashboards and interfaces
- Implemented diverse functionalities including dashboards, smart timer systems, and photo editing tools

---

## Ideal Opportunities

Seeking positions with organizations focused on:

- High-quality user experience and product development
- UI/UX design, branding, and corporate identity
- Design system creation and maintenance
- Product leadership and strategic influence
- High-engagement, professional teams"
46506,"**SOFTWARE DEVELOPER**

**Technical Skills**

**Languages & Frameworks:** JavaScript, React | **Frontend Development:** JSX, HTML, CSS | **UI Libraries:** Material-UI, Bootstrap, Materialize | **Animation:** Framer Motion | **Design Tools:** Figma, Adobe Photoshop

**Professional Experience**

**Software Developer | Small IT Company**

- Developed responsive web applications using React, JSX, HTML, and CSS to deliver seamless user experiences across devices
- Engineered interactive animations with Framer Motion to enhance user engagement and interface fluidity
- Built reusable UI component systems leveraging Material-UI, Bootstrap, and Materialize frameworks
- Translated visual designs from Figma and Adobe Photoshop into functional, pixel-perfect frontend implementations
- Collaborated with team members on JavaScript-based projects throughout the development lifecycle"
50300,"# RESUME

**PROFESSIONAL ACHIEVEMENT**

Designed and deployed a customer engagement suite for a major e-commerce business from the ground up. Leveraged innovative technologies and processes to maximize customer acquisition, satisfaction, and retention while driving incremental revenue. Delivered on time and under budget with positive feedback from users and clients, demonstrating strong technical expertise and meticulous project management.

**TECHNICAL SKILLS**

**Frontend Development:** React, Vue, Flutter  
**Backend Development:** Node.js  
**Additional Competencies:** API integration, custom plugin development, website and application development

**PROFESSIONAL EXPERIENCE**

- Develop frontend interfaces to client specifications with emphasis on usability and industry-standard user experience
- Collaborate with development teams and work independently as needed
- Debug issues, perform performance assessments, and optimize code
- Participate in project planning and architect information flows between backend databases and user interface components

**PROFESSIONAL DEVELOPMENT**

Committed to expanding technical expertise through continuous learning of emerging technologies and frameworks. Seek opportunities to deepen understanding of software architecture design through collaboration with experienced engineers. Dedicated to building reliability and expertise for sustained success in software development."
51419,"# RESUME

**PROFESSIONAL SUMMARY**

UI/UX Designer with a programming background, delivering user-centered solutions across freelance and corporate environments. Proven ability to solve complex design challenges while leveraging technical expertise to bridge design and development.

**PROFESSIONAL EXPERIENCE**

**UI/UX Developer**
IT Company | Out-staff Position | 1 year
- Designed and developed user interface and user experience solutions
- Leveraged combined design and technical expertise to solve complex problems

**Freelance Designer**
Self-Employed | Multiple Years
- Delivered diverse design projects for multiple clients
- Evolved practice from programming foundation to specialized design focus

**CORE COMPETENCIES**

- UI/UX Design
- User-Centered Problem Solving
- Technical Fluency (Programming Background)
- Independent Project Management
- Cross-Functional Collaboration

**WORK PREFERENCES**

Full-time remote position"
53971,"**PROFESSIONAL SUMMARY**

Game UI/UX Designer with 3 years in the gaming industry and 5 years of professional graphic design expertise. Specialized in creating intuitive game interfaces with a strong foundation in visual design principles.

**PROFESSIONAL EXPERIENCE**

**Game UI/UX Designer**
*Major Game Development Company | 1.5 Years*

- Design and implement game user interfaces
- Apply visual design principles to create intuitive player experiences
- Leverage graphic design background to strengthen interface aesthetics

**Graphic Designer**
*5 Years*

- Developed expertise in visual design and user-facing creative work
- Built foundational skills that translate directly to game interface design

**Indie Game Developer**
*2019 – Present*

- Contribute to various indie game projects across multiple disciplines
- Create 3D models, textures, and animations for game assets
- Design game interfaces combining technical skills with graphic design expertise

**SKILLS**

- Game UI/UX Design
- Visual Design & Graphic Design
- 3D Modeling & Texturing
- 3D Animation
- Interface Prototyping & Implementation

**CAREER FOCUS**

Committed to advancing within the game development industry, creating player-centered interfaces that enhance gameplay experiences."
53972,"**PROFESSIONAL EXPERIENCE**

**Game Development Designer** | 1 Year
- Designed promotional offers, decorations, and banners for mobile games
- Created layouts integrating provided graphics with original artwork
- Developed navigation elements and decorative assets to enhance player experience

**UI/UX Designer** | 2+ Years
- Designed websites, banners, and email templates across multiple platforms
- Created layouts and visual assets ensuring consistent brand presentation

**CORE SKILLS**

UI/UX Design · Web Design · Email Design · Game Asset Design · Layout Design · Banner & Decoration Creation · Adobe Photoshop · Figma · Animation (After Effects, Figma)

**PROFESSIONAL INTERESTS**

Seeking long-term opportunities in mobile game development with a forward-thinking GameDev company."
53973,"# Game UI/UX Designer

## Professional Summary
Game UI/UX Designer with UI Artist and animation expertise since 2019, building on a Web Design foundation established in 2015. Skilled across the full project lifecycle with technical proficiency in HTML, CSS, and JavaScript. Dedicated to continuous professional growth and driving collaborative team success.

## Core Competencies
**Design & Development**
- UX/UI Design & Wireframing
- Game UI Development
- Web Design
- UI Animation
- Asset Preparation

**Technical Skills**
- HTML, CSS, JavaScript
- Figma, Adobe Photoshop
- Unreal Engine 4, Unity

## Professional Experience

**Game UI/UX Designer** (2019–Present)
- Develop intuitive UX flows aligned with overall game design vision
- Design UI screens and elements, preparing production-ready assets for programmer implementation
- Communicate UX concepts and design rationale to cross-functional team members
- Collaborate with developers to implement and refine designs in-game
- Contribute additional technical skills to support broader game development needs

**Design Process & Team Development**
- Established and refined design processes and workflows
- Mentored team members and facilitated staff skill development
- Independently identified opportunities and secured new clients
- Executed website updates and delivered logo redesigns for sites and applications

## Teaching & Community
Design Instructor, IT Academy (Lviv)

## Personal Interests
Basketball, Brazilian Jiu-Jitsu, Yoga, Language Learning"
53974,"**GAME UI/UX DESIGNER & ARTIST**

**Ukrainian Game Company**

• Designed and created UI visuals for casual games from concept to final rendering
• Prepared production-ready sprites for Unity development
• Researched game interfaces to develop functional, user-centered solutions
• Developed visually attractive, unique interface designs optimized for usability
• Created comprehensive game interface materials including logos, icons, buttons, pop-ups, and unique gameplay mechanics
• Monitored interface layout implementation in game engines to ensure design integrity
• Maintained expertise in current UI/UX design trends and techniques
• Collaborated with cross-functional teams including designers, managers, 2D/3D artists, and programmers
• Contributed to the successful development and release of a mobile casual game

**EDUCATION**

**Kyiv National University of Construction and Architecture**
Bachelor's Degree in Artist-Performer

**PROFESSIONAL INTERESTS**

Seeking challenging opportunities to apply UI/UX design expertise, collaborate with talented teams, and continue developing skills through knowledge exchange with experienced professionals."
53975,"# UI/UX Game Designer

## Professional Experience
4+ years of commercial experience in Design and 2+ years of commercial experience in GameDev with 248+ successfully completed projects across diverse project types including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.

## Key Achievements
- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Contributed to the development of a AAA PC MOBA
- Redesigned and migrated a PC esports simulator to mobile platform, delivering on schedule
- Designed a welcome box for new employee onboarding
- Coordinated simultaneous print production for two exhibitions across different cities
- Supervised final group project for Web Design courses

## Core Competencies
- Full-cycle UI/UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, asset implementation, and playtesting
- Figma (UI design, vector graphics, animation)
- Photoshop (raster graphics)
- Unity3D
- Digital illustration using graphics tablet
- Jira, Confluence, Plastic SCM
- Quick learner with adaptability to new technologies

## Education
- Web Design courses, graduated with honors
- English language courses, completed with honors (2022)

## Professional Attributes
Engaged professional who stays current with industry trends and actively plays shipped titles to maintain deep understanding of player experience."
53976,"# RESUME

## CORE COMPETENCIES

- Rapid Knowledge Acquisition
- Team Collaboration
- Teaching and Leadership
- Creative Problem-Solving

## TECHNICAL SKILLS

**Art & Design**

Game UI Art | UI Design | 3D Modeling & Sculpting | Texturing | Character Concept Art | Environment Concept Art | Illustration | Character Design | Creative Design

**Software Proficiency**

Photoshop | Daz Studio | Blender | Substance Painter | Substance Designer | ZBrush

## LANGUAGES

English (Fluent)"
53977,"# RESUME

**Motion Design Leader & Gaming Industry Specialist**

Accomplished professional combining motion design expertise with strategic team leadership to deliver exceptional poker and casino products for global audiences.

---

## PROFESSIONAL EXPERIENCE

**Motion Design & Team Lead**

**Leadership & Team Management**
- Managed cross-functional team of 7+ onboard and outsourced professionals spanning design, graphics, motion, animation, sound, and development
- Contributed to creation and organization of Gaming Design team
- Designed comprehensive briefs and specifications, coordinating with design, graphic, motion, sound, and development teams through final delivery
- Motivated teams to deliver top-tier products

**Motion Design & Animation**
- Created exceptional motion design for worldwide poker and casino products
- Designed gaming motion and animations for poker and casino games including slots, betting, and blackjack
- Created motion graphics for live online events
- Built clean and scalable After Effects project architecture

**UX/UI & Brand Development**
- Executed UX/UI design for poker applications
- Participated in rebranding poker brands
- Created design and storyboards for promotional videos

**Process & Systems Optimization**
- Improved design and animation export pipeline across multiple projects
- Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries
- Improved accordance of design and animations across applications in collaboration with development team
- Introduced new technologies to workflow
- Enhanced visual and gaming experience of products

---

## KEY STRENGTHS

- Leveraging gaming industry experience to drive product excellence
- Taking responsibility for tangible, high-quality results
- Organizing complex tasks and team efforts"
53978,"# UI/UX Designer

Experienced UI/UX Designer with proven prototyping expertise and a track record of delivering high-quality user experiences. Adept at implementing features that enhance performance, accelerate development timelines, and create intuitive interfaces. Known for completing projects ahead of schedule while maintaining exceptional customer satisfaction.

## Core Competencies

- Prototyping & Interface Design
- User Flow Development & Wireframing
- End-to-End UI Development
- 9-Slice Scaling Techniques
- Design-to-Development Integration (Figma to Unity)
- Typography & Visual Design
- Cross-Platform Development (PC, Consoles, Mobile)
- Multidisciplinary Team Collaboration

## Key Achievements

- Implemented features that improved performance and streamlined UI layout processes
- Accelerated development timelines through optimized design workflows
- Delivered projects ahead of schedule while achieving high customer satisfaction
- Partnered with UI/UX developers, game designers, artists, and programmers to drive successful outcomes across multidisciplinary teams

## Technical Skills

- Figma
- Unity
- User Interface Design
- Wireframing
- Typography & Font Selection"
53979,"# UX/UI Designer (2020–2022)

## Second Half of Year
- Designed indie game interface informed by independent UX research
- Created low- and high-fidelity wireframes
- Collaborated cross-functionally with developers and game designers
- Designed and conducted user surveys and testing to develop deep understanding of player experience

## First Half of Year
- Developed UX/UI solutions using user-centered design methodology
- Conceptualized designs from low-fidelity wireframes through interactive prototypes
- Built site maps and information architecture
- Demonstrated how design builds from core user needs to deliver unexpected value
- Communicated design ideas through storyboards, process flows, and site maps
- Developed adaptive and responsive wireframes for web-based applications
- Designed for complete customer journeys, including negative paths and edge cases
- Created customer journey maps and guides to support product vision

---

# Visual and Graphic Designer (2019–2022)

- Designed logos, brand identities, banners, posters, and advertisements
- Generated original design concepts while monitoring industry trends
- Presented and defended design rationale to clients
- Collaborated with cross-functional teams to integrate design into products
- Maintained high attention to detail and organized deliverables"
53981,"**UI/UX Designer & UI Artist**

**Professional Summary**

Creative and detail-oriented UI/UX Designer with strong analytical and critical thinking skills. Skilled in comprehensive graphic design and visual development across multiple disciplines, with expertise spanning the complete graphic development cycle from concept to execution.

**Experience**

**UI/UX Designer | UI Artist in Game Development**
2020 – Present

- Game Insight
- 101XP
- Playrix
- WhaleApp

**Core Competencies**

- UI/UX Design
- Graphic Design
- Website Design
- Application Interface Design
- Branding
- Polygraphic Design
- 2D Animation
- Layout Design
- Technical Requirements Management
- Print Material Production
- Web and Application Layout Development

**Key Strengths**

- Deep analytical approach and critical thinking in design problem-solving
- Strong visual taste and refined aesthetic sensibility
- Complete graphic development cycle expertise
- Proficiency in technical requirements for printed materials
- Highly organized with disciplined creative execution"
54796,"# Graphic & UI/UX Designer | Kharkiv

## Professional Summary

Designer with over 10 years of experience in graphic design, UI/UX, advertising, marketing, and print production. Proven track record creating brand identities for leading Ukrainian real estate companies and European clients. Skilled in translating business needs into user-centered design solutions.

## Core Competencies

**Design Services:**
- Logo and brand identity creation
- UI/UX design and research
- Website design (Tilda platform)
- Social media design
- Print material layouts
- Presentations
- Outdoor advertising
- Transport branding

**Professional Strengths:**
- Organizational and planning skills
- Team collaboration
- User-focused design approach
- European client experience

## Experience Highlights

**Freelance Designer & Agency Work**
- Created logos and visual identities for major Ukrainian real estate companies
- Designed outdoor advertising and branding featured in Kyiv, Kharkiv, and other Ukrainian and European cities
- Collaborated with European clients on design projects
- Developed websites using Tilda platform
- Partnered with advertising agencies, marketing agencies, and printing houses

## Professional Motivation

Committed to continuous growth as a UX/UI designer, delivering user-friendly, functional design solutions."
