,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
29788,"**PROFESSIONAL SUMMARY**

Self-taught Digital 2D Artist & UI/UX Designer from Kyiv with advanced knowledge of Adobe Photoshop, Adobe Illustrator, Figma, and Procreate. Award-winning designer with strong technical understanding and expertise in current design and technology trends. Effective communicator with upper-intermediate English proficiency and proven time management skills.

**EXPERIENCE**

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 - Present

- Design comprehensive user interfaces and user experiences across multiple platforms
- Create custom digital illustrations and graphic design assets
- Deliver full-spectrum design solutions from concept to implementation

**UI/UX Designer / Illustrator**
November 2019 - August 2021

- Developed user interface designs and interactive prototypes
- Produced digital illustrations for various client projects
- Collaborated with cross-functional teams to deliver design solutions

**Freelance Web Designer**
December 2018 - November 2019

- Designed responsive websites for diverse clients
- Managed multiple projects independently with strong time management
- Communicated directly with clients to understand and execute design requirements

**SKILLS**

- UI/UX Design
- Adaptive Design
- Digital Illustration (Raster/Vector)
- Banner Design
- Logo Design
- English: Upper-Intermediate

**TOOLS**

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate
- Midjourney

**AWARDS**

RED DOT Award / Brands & Communication Design, August 2022"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

Results-driven Digital Designer with extensive marketing experience, creating visually compelling designs that drive brand growth and audience engagement. Expert in Adobe Photoshop, Illustrator, Figma, and Webflow with a track record of delivering award-winning campaigns. Proven success in both freelance and in-house management roles, collaborating with international teams and clients across 5+ companies spanning multiple countries. Seeking long-term partnership with growth opportunities in product-focused environments.

## CORE COMPETENCIES

**Design Expertise**
Color Theory & Composition | Branding & Advertising | Illustration | Digital Design & Digital Imagery | UI/UX Design

**Digital Marketing**
Web Ads & Social Media Ads | E-blast Design & Campaigns | Digital Analytics

**Technical Proficiencies**
Adobe Photoshop (Extensive Experience) | Adobe Illustrator (Extensive Experience) | Figma (Advanced User) | Webflow (Animation, CMS) | HTML/CSS

**Professional Skills**
Cross-Functional Collaboration | Creative Problem Solving | Client Relations & Direct Communication | Independent & Team-Based Work | Project Management

## PROFESSIONAL EXPERIENCE

**Freelance Designer**
- Designed websites and e-blast campaigns for American company, delivering custom solutions tailored to client objectives
- Collaborated directly with clients to translate business requirements into compelling design solutions
- Managed complete project lifecycle from initial concept through final execution and delivery

**In-House Manager**
- Led cross-functional design projects within collaborative team environments across multiple departments
- Coordinated design initiatives with 5+ international companies spanning multiple countries
- Directed design operations, workflow processes, and team resource allocation

## EDUCATION & CERTIFICATIONS

**Product Design** — Dare IT

**Basic Web Design** — Hillel IT School

**Graphic Design: Composition (91)** — Cases Media

**Figma (90)** — Cases Media"
30606,"**PROFESSIONAL EXPERIENCE**

**Figma Designer**
- Developed comprehensive design systems and UI kits for scalable product development
- Created responsive, adaptive interface components using Auto Layout
- Built interactive components and high-fidelity prototypes to demonstrate user flows
- Enhanced workflow efficiency through strategic use of Figma plugins

**UX/UI Designer | Beetroot Academy – Mentorship Projects**
- Conducted UX research and competitive analysis to inform design decisions
- Created sketches and prototypes throughout iterative design processes
- Applied composition, typography, and color theory principles to visual design
- Implemented current design principles and industry trends across projects
- Collaborated in cross-functional team environments on multiple projects
- Delivered project presentations to stakeholders
- Managed project documentation using Google Documents and created surveys via Google Forms

**SKILLS**

**Design Tools:** Figma (UI Kits, Design Systems, Auto Layout, Interactive Components, Prototyping, Plugins)

**Design Expertise:** UX Research, Competitive Analysis, Sketching, Prototyping, Composition, Typography, Color Theory, Design Principles, Design Trends

**Collaboration:** Google Workspace (Documents, Forms), Team Collaboration, Presentation Skills"
30845,"# UI/UX Designer

Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

## Skills

**Design Tools & Technologies**
- Figma, Photoshop, Illustrator
- HTML/CSS

**UX/UI Capabilities**
- Interactive prototypes, wireframes, and mockups
- User-centered design methodologies
- Responsive/adaptive design
- UI Kit creation
- User flow development

**Research & Strategy**
- Competitor analysis and market research
- User personas and customer journey mapping
- Jobs-to-be-Done framework

## Professional Experience

### Travel Booking Web Service
Designed comprehensive web service enabling users to find and book excursions, tours, entrance tickets, and entertainment worldwide, while allowing travel agents and companies to post offerings.

**Key Contributions:**
- Designed excursion search functionality with filtering capabilities
- Created category-based browsing with filter options
- Developed registration flow via email, Google, and Facebook
- Designed excursion booking interface with card payment integration
- Created announcement creation form for guides

**Design Process:**
- Analyzed competitive market landscape
- Developed Jobs-to-be-Done framework
- Created customer journey map
- Designed user flow
- Produced wireframes
- Developed UI Kit
- Created adaptive design

### Real Estate Website Redesign | Destin, Florida
Redesigned website for real estate company, transforming an outdated interface into a modern, user-friendly platform.

**Key Contributions:**
- Modernized design to attract potential customers
- Improved usability and navigation
- Enhanced visual quality and incorporated essential customer information including user-friendly feedback and property valuation features

**Design Process:**
- Conducted competitor research and analysis to identify successful design solutions
- Analyzed social media and customer feedback
- Developed 3 user personas and customer journey map

### Restaurant Table Booking Mobile Application
Designed mobile application for restaurant table reservations.

## Education & Training

**UI/UX Design Course** | 6-month program
- Successfully defended and presented 3 comprehensive projects
- Studied HTML/CSS

## Career Objectives

Seeking a full-time position in a product company focused on creating digital products for everyday life and business. Quick learner, responsible, and ready to perform complex tasks."
32072,"**UI/UX Designer**

**Current Role**

• Enhanced financial institution app onboarding process, achieving 35% improvement in user experience

• Lead cross-functional design team of 4 in delivering visually compelling and functional products that align with user needs and business objectives

• Utilize Agile methodologies to deliver customer-focused solutions tailored to specific requirements

• Create wireframes, mockups, and prototypes to define user interface design and information architecture

**Previous Role**

• Optimized SaaS platform audience management system, delivering 25% improvement through aesthetically refined solutions that drive measurable business results"
46443,"# Product Designer | Design Systems Specialist

Over 10 years of commercial experience in design and development of web solutions, specializing in large-scale CRM and SaaS projects, mobile and desktop applications.

## Core Expertise

- Design System creation and maintenance for scalable product development
- End-to-end Design System development from design through React and Storybook implementation
- Product design leadership with career progression from Graphic Designer to Product Designer
- Rapid product development delivering multiple 0-to-launch projects in 3-4 weeks
- Bridging design and development with hands-on technical implementation

## Professional Experience

**Product Design & Delivery**
- 50+ landing pages and promotional pages
- 10+ user dashboard interfaces
- Analytics dashboards, smart timer systems, and photo editing tools
- Complex functionality design including analytics, automation, and editing interfaces

**Design Systems**
- Full-cycle Design System development from concept to implementation
- Maintenance and evolution of Design Systems for enterprise-scale products
- Cross-functional collaboration between design and development teams

## Technical Skills

**Design Tools:** Figma, Sketch, Adobe Creative Cloud Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Key Strengths

- 10+ years designing web solutions for CRM and SaaS platforms
- Mobile and desktop application design expertise
- High-volume delivery capability without compromising quality
- Technical proficiency to implement designs in production environments
- Strategic approach to creating scalable design systems and processes"
46506,"**PROFESSIONAL EXPERIENCE**

**Software Developer**
Small IT Company

- Developed responsive web applications using JavaScript and React
- Built mobile-first web interfaces with JSX, HTML, and CSS
- Implemented animations to improve user experience using Framer Motion
- Integrated Material-UI (MUI) component library for efficient UI development
- Utilized Bootstrap and Materialize frameworks for front-end development
- Collaborated with design team to create precise interfaces from Figma and Adobe Photoshop designs"
50300,"# Professional Summary

Results-driven software developer specializing in high-impact customer engagement solutions for e-commerce platforms. Delivered comprehensive customer engagement suite from concept to deployment, completing project on time and under budget with exceptional user and client reviews. Expert in implementing innovative technologies to enhance customer acquisition, satisfaction, and retention while driving revenue growth.

# Technical Skills

**Frontend Development:** React, Vue, Flutter
**Backend Development:** Node.js
**Core Competencies:** Interface design, API integration, custom plugin development, website and application development, code optimization, performance testing, debugging, project planning

# Professional Experience

**Frontend Developer**

- Develop frontend interfaces aligned with client specifications while maintaining optimal system usability
- Deliver application user experiences that meet top industry standards
- Collaborate effectively with development teams and execute independent projects
- Debug applications and conduct comprehensive performance assessments
- Optimize code to enhance application efficiency
- Strategize information flows between backend databases and user interface components during project planning
- Design and deploy customer engagement solutions for e-commerce businesses
- Implement innovative technologies and processes that maximize customer acquisition, satisfaction, and retention
- Develop interfaces with integrated APIs and custom plugins using React, Vue, and Flutter
- Build scalable websites and applications leveraging Node.js for backend development
- Continuously acquire expertise in emerging technologies and frameworks to maintain industry relevance
- Expand knowledge of software architecture through collaboration with experienced engineers"
51419,"# UI/UX Designer

## Professional Summary
UI/UX Designer with programming background delivering user-centered solutions for complex design challenges across freelance and corporate projects. Combine technical expertise with design thinking to create effective, implementable interfaces that bridge user needs and business objectives.

## Professional Experience

**UI/UX Designer**
IT Company (Out-staff basis)
1 year

- Design and develop comprehensive UI/UX solutions for client projects across multiple industries
- Bridge technical and design requirements by leveraging programming knowledge to ensure feasibility and optimal implementation
- Deliver user-centered designs that solve complex problems and improve user experience
- Collaborate with development teams to ensure design integrity throughout implementation

**Freelance Designer**
Multiple years

- Execute diverse design projects for various clients, adapting to different brand identities and user requirements
- Manage complete project lifecycle from initial concept and research through final delivery
- Maintain client relationships and deliver solutions that meet project goals and deadlines

## Skills

**Design:** UI/UX Design, User-Centered Design, Interface Design, Design Systems

**Technical:** Programming, Design Implementation, Technical Problem-Solving

**Process:** Project Lifecycle Management, Client Collaboration, Design-Development Bridge

## Objective
Seeking full-time remote UI/UX Designer position to apply technical design expertise in creating intuitive, effective user experiences."
53971,"# Game UI/UX Designer

**Career Objective**
Seeking new opportunities within game development to leverage UI/UX design expertise.

---

**Professional Experience**

**Game UI/UX Designer** | Major Game Development Company | 1.5 years (Current)
- Design user interfaces for large-scale game development studio
- Create intuitive player experiences through thoughtful UI/UX implementation

**Game UI/UX Designer** | Various Indie Game Teams | 3 years (2019-Present)
- Deliver comprehensive UI/UX design, 3D modeling, texturing, and 3D animation across multiple indie game projects
- Translate graphic design expertise into engaging game interface solutions

**Senior Graphic Designer** | 5 years
- Developed advanced graphic design skills forming strong foundation for game UI specialization

---

**Core Competencies**
- Game UI/UX Design
- Interface Design
- Player Experience Design
- 3D Modeling & Animation
- Texturing
- Graphic Design"
53972,"# GRAPHIC DESIGNER

## PROFESSIONAL EXPERIENCE

**Graphic Designer | GameDev Industry**
1 year
• Designed promotional offers, decorations, and banners for mobile games
• Created visual assets tailored for mobile game environments
• Developed layout designs using artist-provided graphics
• Created custom navigation elements and decorative assets

**Graphic Designer | Digital Media**
2+ years
• Designed websites, banners, and email campaigns
• Developed visual content across multiple digital platforms
• Produced engaging designs for diverse digital touchpoints

## SKILLS & EXPERTISE

**Design Tools**
• Adobe Photoshop
• Adobe After Effects
• Figma

**Core Competencies**
• Promotional and marketing asset design
• Layout design and composition
• Custom navigation and UI element creation
• Cross-platform visual content development
• Animation and motion graphics
• Adaptable workflow management

## PROFESSIONAL OBJECTIVES

Seeking long-term collaboration with a GameDev company focused on mobile games development. Committed to continuous professional growth and delivering high-quality design work."
53973,"# Game UI/UX Designer

Game UI/UX Designer with UI Artist and animation knowledge since 2019. Web designer since 2015.

## Skills & Expertise

- Full project lifecycle experience with technical understanding of HTML, CSS, and JavaScript
- Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity
- Design process development and implementation
- Client acquisition and relationship management
- Team mentoring and staff skill development

## Professional Experience

**Game UI/UX Designer**

- Develop intuitive UX flows aligned with overall game design
- Create UI screens and UI elements, and prepare assets for programmers
- Communicate UX vision and design ideas to team members and collaborate to implement designs in-game
- Support game development with additional skills as needed
- Participate in official website updates and logo redesign for sites and applications

**Instructor** | IT Academy, Lviv

- Teach design principles and methodologies

## Interests

Continuous learning and language acquisition | Basketball, Brazilian jiu-jitsu, yoga | Healthy and active lifestyle"
53974,"# UI/UX Designer & Artist

## Professional Summary

UI/UX Designer and Artist specializing in casual mobile games with expertise in creating comprehensive game interfaces from concept to implementation. Experienced in cross-functional collaboration and delivering user-centered design solutions for Unity-based mobile games.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Designed and developed UI visuals for casual mobile games from initial concept through final rendering
- Created comprehensive game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
- Prepared sprites and assets for implementation in Unity game engine
- Oversaw interface implementation and layout within game engines
- Conducted research on game interfaces and functional solutions to inform design decisions
- Collaborated with cross-functional teams including designers, managers, 2D/3D artists, and programmers
- Maintained current knowledge of UI/UX design trends and techniques
- Contributed to a released mobile casual game

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Skills

**Design Expertise**
- UI/UX Design for Casual Games
- Logo, Icon & Button Design
- Concept Development to Final Rendering
- Interface Research & Functional Solutions

**Technical Proficiency**
- Sprite Preparation for Unity
- Game Engine Interface Implementation

**Professional Competencies**
- Cross-functional Team Collaboration
- UI/UX Design Trends & Techniques"
53975,"**UI/UX GAME DESIGNER**

4 years of commercial experience in Design | 2 years of commercial experience in GameDev

**PROFESSIONAL SUMMARY**

UI/UX game designer with extensive experience across mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Expertise in full-cycle UI/UX creation from information architecture through implementation in Unity3D. Passionate about gaming and committed to staying current with industry developments.

**CORE COMPETENCIES**

• Information Architecture & Player Flows
• UI Research & Wireframing
• Style Research & Prototyping
• Resource Implementation in Unity3D
• Game Testing & Quality Assurance
• Figma (UI, vector graphics, animation)
• Photoshop (raster graphics)
• Unity3D, Jira, Confluence, Plastic SCM
• Game Graphics Creation on Graphics Tablet

**PROFESSIONAL EXPERIENCE**

• Led complete UI development for educational mobile game for kids achieving over 100,000 downloads
• Contributed to development of AAA PC MOBA
• Redesigned and successfully migrated PC simulator for cybersportsmen to mobile platform, delivering on schedule
• Completed 248+ projects
• Supervised final group project as Web Design course leader
• Developed welcome-box for new employees
• Coordinated printing materials for two exhibitions in different cities simultaneously

**EDUCATION**

• Web Design Courses – Graduated with Honors
• English Language Courses (2022) – Completed with Honors

**ADDITIONAL STRENGTHS**

Dedicated professional who remains actively engaged during challenging times. Plays developed games during spare time to maintain quality perspective and stay updated with industry changes. Eager to learn new technologies and participate in innovative projects of varying complexity."
53976,"# Professional Summary

Fast learner with strong teamwork, teaching, and leadership abilities

# Skills

**Art & Design**
- Game UI Art & UI Design
- Character Design & Concept Art
- Environment Concept Art
- Illustration
- Creative Design

**3D & Technical**
- 3D Modeling
- Sculpting
- Texturing

**Language**
- English (Proficient)

# Software

Adobe Photoshop | DAZ Studio | Blender | Substance Painter | Substance Designer | ZBrush"
53977,"# MOTION DESIGN LEAD

## PROFESSIONAL SUMMARY

Self-motivated motion design professional with extensive experience in gaming industry. Proven track record managing cross-functional teams and delivering high-quality design solutions for worldwide poker and casino products.

## CORE COMPETENCIES

• Motion Design & Animation
• UX/UI Design
• Team Management & Leadership
• Design Systems & Style Guides
• Pipeline Optimization
• Cross-functional Collaboration
• Project Architecture
• Brand Development
• Live Event Production
• Workflow & Technology Implementation

## PROFESSIONAL EXPERIENCE

**Motion Design Lead**

• Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development

• Delivered motion design for worldwide poker and casino products including slots, betting platforms, and blackjack

• Optimized design and animation export pipeline across multiple projects, enhancing workflow efficiency and output quality

• Led rebranding initiatives for poker brands, establishing cohesive visual identity

• Designed UX/UI for poker application with focus on user experience and visual appeal

• Developed and maintained comprehensive project style guides, design systems, and asset libraries ensuring brand consistency

• Architected scalable After Effects projects, establishing reusable templates and efficient workflows

• Produced motion graphics for live online events, delivering real-time visual content

• Contributed to formation and organization of gaming design team structure

• Collaborated with development team to enhance design and animation quality through implementation of new workflow technologies

• Created comprehensive briefs and specifications, managing design, graphic, motion, and sound artists from concept through final delivery

• Developed design concepts and storyboards for promotional videos

## PROFESSIONAL OBJECTIVES

Leverage gaming industry experience while learning from leading industry specialists to create premium products of the highest quality. Effectively prioritize tasks, maintain accountability for results, and motivate teams to deliver top-tier products."
