,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
29788,"# DIGITAL 2D ARTIST & UI/UX DESIGNER

Kyiv, Ukraine

## SUMMARY

Award-winning Digital 2D Artist and UI/UX Designer with over six years of professional experience. Red Dot Award recipient for Brands & Communication Design. Expertise in Adobe Photoshop, Adobe Illustrator, Figma, and Procreate. Strong technical foundation in design principles with knowledge of current design and technology trends. Effective verbal and written communication skills combined with proven time and self-management abilities.

## EXPERIENCE

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
Apr 2021 - Present

**UI/UX Designer / Illustrator**
Nov 2019 - Aug 2021

**Freelance Web Designer**
Dec 2018 - Nov 2019

## AWARDS

**Red Dot Award** — Brands & Communication Design, Aug 2022

## SKILLS

- UI/UX Design
- Adaptive Design
- Illustration (Raster/Vector)
- Banner Design
- Logo Design

## TOOLS

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate
- Midjourney

## LANGUAGES

English — Upper-Intermediate"
29835,"# DIGITAL DESIGNER

## Summary

Digital designer with extensive experience in marketing, creating visually compelling designs that drive brand growth. Proficient in Photoshop, Illustrator, and Figma. Proven success in freelance and in-house environments, collaborating with international teams. Committed to long-term partnerships and product design that elevates the customer experience.

## Skills

**Design:** Color Theory & Composition | Branding & Advertising | Illustration | UI/UX Design

**Digital:** Web & Social Media Advertising | Digital Design & Imagery | Digital Analytics | E-blast Campaigns

**Technical:** Figma (Advanced) | Adobe Photoshop | Adobe Illustrator | HTML/CSS | Webflow (Animation, CMS)

**Professional:** Independent & Collaborative Work | Creative Problem-Solving | Direct Client Communication

## Experience

**Freelance Digital Designer**

Partnered with an American company to develop websites, e-blasts, and digital campaigns. Collaborated with international teams serving 5+ companies across multiple countries.

## Education & Certifications

**Product Design** — Dare IT

**Basic Web Design** — Hillel IT School

**Figma** — Cases Media (90)

**Graphic Design: Composition** — Cases Media (91)"
30606,"# UI/UX Designer

## Skills

**Design Tools**
- Figma: Design systems, UI kit development, Auto Layout, interactive components, prototyping, plugin utilization

**Design Expertise**
- UX Research & Competitor Analysis
- Sketching & Prototyping
- Composition, Typography & Color Theory
- Design Principles & Current Trends

**Collaboration & Tools**
- Google Workspace (Docs, Forms)
- Cross-functional Team Collaboration
- Project Presentations

## Experience

**Beetroot Academy** — Mentorship Program Participant

- Conducted comprehensive UX research and competitor analysis to drive informed, user-centered design decisions
- Created sketches and interactive prototypes that visualized user flows and interface concepts
- Partnered with cross-functional team members to refine designs throughout the product development lifecycle
- Delivered compelling project presentations to stakeholders, communicating design rationale and recommendations"
30845,"# JUNIOR UI/UX DESIGNER

Passionate UI/UX designer committed to crafting seamless, visually engaging user experiences. Proficient in Figma, Photoshop, and Illustrator with a strong foundation in user-centered design methodologies. Skilled in creating interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative professional dedicated to continuous growth and evolving design strategies to meet user needs.

---

## OBJECTIVE

Seeking a full-time position with a product company focused on creating digital products for everyday life and business.

---

## SKILLS

**Design Tools:** Figma, Photoshop, Illustrator

**Technical:** HTML/CSS, Responsive & Adaptive Design

**UX Methods:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping, Jobs to Be Done Framework, User Flow Design

**Deliverables:** Wireframing, Prototyping, UI Kit Development

---

## PORTFOLIO PROJECTS

**Travel Booking Web Service**
Designed end-to-end web service for discovering and booking excursions, tours, and entertainment worldwide, including a dedicated portal for guides and travel companies.
- Performed market and competitor analysis
- Developed Jobs to Be Done framework, Customer Journey Map, and User Flows
- Delivered wireframes, UI Kit, and fully adaptive design

**Real Estate Website Redesign** | Destin, Florida
Transformed an outdated real estate website into a modern, user-friendly experience featuring improved imagery and enhanced customer tools for feedback submission and property valuation.
- Conducted comprehensive competitor research and analysis
- Developed 3 user personas through social media and customer feedback analysis
- Created detailed customer journey map

**Restaurant Table Booking Mobile Application**
Designed mobile application enabling users to discover and reserve restaurant tables.

---

## EDUCATION

**UI/UX Design Course** | 6-Month Program
- Supplemental training in HTML/CSS"
32072,"# UI/UX Designer

## Professional Experience

**UI/UX Designer** | Current Role

- Lead a team of 4 designers in creating visually appealing, functional products aligned with user needs and business objectives
- Redesigned onboarding process for a financial institution app, achieving a 35% improvement in user completion rates
- Develop wireframes, mockups, and prototypes to establish user interface design and information architecture
- Apply Agile planning principles to deliver tailored solutions that meet customer requirements

**UI/UX Designer** | Previous Role

- Redesigned audience management system for a SaaS platform, driving a 25% improvement in usability while delivering measurable business results"
46443,"# Senior Product Designer

## Summary

Product Designer with over 10 years of commercial experience designing and developing web solutions. Specialist in creating and maintaining Design Systems that simplify and accelerate product development. Proven track record progressing from Graphic Designer to Product Designer.

## Expertise

- Large-scale CRM and SaaS product design
- Mobile and desktop application design
- End-to-end Design Systems, from concept to implementation in React and Storybook
- UI/UX, branding, and corporate identity
- Rapid product development from concept to release in 3–4 weeks

## Technical Skills

Figma, Sketch, Adobe CC, HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Accomplishments

- Built comprehensive design systems end-to-end, owning both design and implementation
- Designed and developed 50+ landing pages and promotional pages
- Created 10+ user dashboards and account interfaces
- Delivered diverse product features including dashboards, smart timer systems, and photo editors
- Led multiple products from initial concept through release

## What I Bring

- Commitment to meaningful products that deliver real value to users
- Collaborative mindset suited to high-performing teams
- Drive to shape product direction and strategy
- Readiness to lead a product or product area"
46506,"# Software Developer

## Technical Skills

**Languages & Technologies:** JavaScript, HTML, CSS, JSX

**Frameworks & Libraries:** React, Framer Motion, MUI, Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop

## Professional Experience

**Software Developer**
IT Company

- Developed dynamic, component-based web applications using React, JavaScript, JSX, HTML, and CSS
- Engineered animations and interactive elements with Framer Motion to enhance user engagement
- Built polished, responsive user interfaces leveraging MUI, Bootstrap, and Materialize CSS frameworks
- Translated design mockups into functional interfaces through collaboration with design teams using Figma and Adobe Photoshop"
50300,"# Professional Summary

Frontend developer with experience delivering software solutions. Skilled in designing and deploying systems that meet project timelines and budget requirements.

# Key Accomplishments

**Customer Engagement Suite | E-Commerce Business**

Designed and deployed a customer engagement suite supporting customer acquisition, satisfaction, and retention. Delivered on time and under budget.

# Technical Skills

- **Frontend:** React, Vue, Flutter
- **Backend:** Node.js
- **Additional:** API Integration, Custom Plugin Development

# Professional Experience

**Frontend Developer**

- Develop frontend interfaces to client specifications while ensuring system usability
- Deliver application user experiences aligned with industry standards
- Collaborate with development teams and work independently as needed
- Debug issues, perform application testing, and optimize code
- Participate in project planning and strategize information flows between backend databases and user interface components
- Build websites, applications, interfaces, and custom plugins

# Professional Development Goals

- Expand technical skillset through continuous learning of emerging technologies and frameworks
- Deepen understanding of software architecture through collaboration with experienced engineers
- Continue developing expertise in the software industry"
51419,"# UI/UX Designer

## Summary

Design professional with a programming foundation, bringing technical depth and problem-solving precision to UI/UX work. Proven ability to deliver client-focused design solutions across freelance and corporate environments. Skilled in complex design challenges that demand specialized expertise and cross-functional thinking.

## Experience

**UI/UX Developer**
IT Company | Out-staff Basis | 1 Year

- Delivered UI/UX solutions for client projects, bridging design vision with technical feasibility
- Applied programming knowledge to create informed, implementation-ready design decisions
- Collaborated with development teams to ensure seamless design-to-code handoff

**Freelance Designer**
Self-Employed | Multiple Years

- Executed diverse design projects across multiple clients and industries
- Managed full project lifecycle independently, from client consultation through final deliverables
- Built lasting client relationships through clear communication and reliable delivery

## Skills & Background

- Programming experience with strong foundation in logic, systems thinking, and developer collaboration
- Self-directed career transition to design, demonstrating adaptability and commitment to craft
- Technical fluency enabling effective cross-functional communication

## Availability

Full-time | Remote preferred"
53971,"# SENIOR GAME UI/UX DESIGNER

---

## Professional Summary

Game UI/UX Designer with 8+ years of combined experience spanning graphic design and interactive entertainment. Delivers compelling game interfaces built on a foundation of visual design expertise and hands-on indie development experience in 3D modeling, texturing, and animation.

---

## Experience

**Game UI/UX Designer**  
Major Game Development Studio | 1.5 Years | Current

- Design game interfaces leveraging extensive graphic design background
- Collaborate with cross-functional teams to deliver polished UI/UX solutions

**Game UI/UX Designer**  
Indie Game Development | 3 Years

- Contributed to multiple indie teams across 3D modeling, texturing, and animation
- Specialized in game interface design for diverse project requirements

**Senior Graphic Designer**  
5 Years

- Built comprehensive visual design expertise applicable to game UI systems
- Developed proficiency in visual design systems and brand consistency

---

## Core Competencies

Game Interface Design | UI/UX Design | Visual Design Systems | 3D Modeling & Texturing | 3D Animation | Cross-Functional Collaboration

---"
53972,"**PROFESSIONAL SUMMARY**

Creative designer with 3+ years of experience in digital design, including 1 year specializing in mobile game development. Skilled in creating engaging visual assets, from UI layouts to promotional materials. Seeking long-term opportunities in game development.

**SKILLS**

Photoshop | Figma | After Effects | UI/UX Layout Design | Animation | Banner & Promotional Design

**EXPERIENCE**

**Game Designer** | 1 Year

- Designed promotional offers, banners, and decorative elements for mobile games
- Developed custom navigation elements and decorative assets aligned with project requirements
- Created polished layouts integrating artist-provided graphics

**Digital Designer** | 2+ Years

- Designed websites, digital banners, and email marketing materials
- Produced animations using After Effects and Figma

**CORE COMPETENCIES**

Mobile Game Visual Design | UI/UX Layout Development | Digital Marketing Collateral | Motion Graphics & Animation | Cross-Platform Asset Creation"
53973,"# Game UI/UX Designer

Creative Game UI/UX Designer combining UI artistry and animation expertise since 2019 with web design foundations dating to 2015. Delivers full-cycle project execution with strong technical fluency in HTML, CSS, and JavaScript. Skilled in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Core Competencies

- Intuitive UX Flow Development — Aligning user experience architecture with overall game design vision
- UI Design & Asset Production — Creating screens, elements, and production-ready assets for seamless programmer handoff
- Design Communication — Articulating UX vision and design rationale to cross-functional team members
- Collaborative Implementation — Partnering across disciplines to bring designs to life in-game
- Versatile Contribution — Supporting broader game development needs with adaptable skill application

## Leadership & Achievements

- Established and refined design processes to improve team efficiency
- Mentored team members and facilitated ongoing staff skill development
- Independently acquired new clients through proactive outreach
- Led official website updates and logo redesigns for sites and applications
- Design Instructor, IT Academy, Lviv

## Technical Skills

Figma | Adobe Photoshop | Unreal Engine 4 | Unity | HTML | CSS | JavaScript

## Professional Interests

Seeking a collaborative team committed to delivering meaningful product results within a culture of flexibility and mutual respect.

## Personal

Committed to continuous learning, including language studies. Active lifestyle encompassing basketball, Brazilian jiu-jitsu, and yoga."
53974,"# Game UI/UX Designer & Artist

## Career Objective

Creative UI/UX designer seeking opportunities with challenging, diverse projects to apply expertise in game interface design while collaborating with and learning from a strong creative team.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and develop UI visuals for casual mobile games from concept through final rendering
- Create comprehensive interface assets including logos, icons, buttons, pop-ups, and unique gameplay mechanics
- Research game interfaces and functional solutions to deliver intuitive, visually compelling, and distinctive user experiences
- Prepare optimized sprites for Unity implementation and oversee interface layout integration
- Collaborate cross-functionally with designers, managers, 2D/3D artists, and programmers
- Maintain current knowledge of emerging UI/UX design trends and techniques

**Shipped Title:** Casual mobile game (released)

## Skills

- UI/UX Design
- Visual Asset Creation
- Unity Integration
- Interface Research & Analysis
- Cross-Functional Collaboration

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture"
53975,"# UI/UX Game Designer

**4 years in Design | 2 years in GameDev | 248+ projects delivered**

## Professional Summary

UI/UX Game Designer specializing in mobile shooters, educational games, tactical MOBAs, and multiplayer casual experiences. Dedicated to playing the games I develop and staying current with industry trends.

## Core Competencies

**Full UI/UX Development Cycle**
Information Architecture • Player Flows • UI Research • Wireframing • Style Research • Prototyping • Resource Implementation (Unity3D) • Game Testing

**Tools**
Figma (UI, Vector Graphics, Animation) • Photoshop • Unity3D • Jira • Confluence • Plastic SCM • Graphics Tablet

## Key Achievements

- Led complete UI development for an educational mobile game achieving 100,000+ downloads
- Contributed to AAA PC MOBA development
- Delivered full design overhaul and PC-to-mobile platform migration for an esports simulator on schedule
- Supervised final group project for Web Design courses
- Coordinated simultaneous print production for dual-city exhibition launch
- Designed new employee welcome-box onboarding experience

## Education

Web Design Courses – Graduated with Honors
English Language Courses – Completed with Honors (2022)

## Seeking

Innovative projects of varying complexity within a quality-focused team, offering continuous learning and opportunities for meaningful contribution."
53976,"# PROFESSIONAL RESUME

## Core Strengths
- Rapid skill acquisition
- Strong team collaboration
- Teaching and leadership abilities

---

## Skills

**Art & Design**
- Game UI Art & Design
- Character Design & Concept Art
- Environment Concept Art
- Illustration
- Creative Design

**3D Art**
- 3D Modeling
- Sculpting
- Texturing

---

## Software Proficiency
- Adobe Photoshop
- Blender
- ZBrush
- Daz Studio
- Substance Painter
- Substance Designer

---

## Languages
- English (Fluent)"
53977,"**MOTION DESIGNER & TEAM LEAD**

---

**SUMMARY**

Self-driven motion design specialist with gaming industry expertise, leading teams of 7+ professionals to deliver high-quality visual experiences for worldwide poker and casino products. Skilled in workflow optimization, cross-functional collaboration, and scalable production systems.

---

**EXPERIENCE**

**Team Leadership**
- Led team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development disciplines
- Created detailed briefs and specifications, guiding multidisciplinary artists and developers from concept to final delivery
- Contributed to building and organizing the gaming design team structure

**Motion Design & Animation**
- Developed motion design for worldwide poker and casino products, including slots, betting, and blackjack platforms
- Produced gaming animations and motion graphics for live online events
- Architected clean, scalable After Effects project systems

**UX/UI Design**
- Designed UX/UI for poker application
- Contributed to rebranding initiatives for poker brands
- Created design concepts and storyboards for promotional videos

**Process & Pipeline Optimization**
- Streamlined design and animation export pipeline across multiple projects
- Developed and maintained project style guides, design systems, and asset libraries
- Partnered with development team to implement workflow technologies that enhanced design and animation consistency

**Results**
- Elevated visual quality and gaming experience across products"
53978,"# UI/UX Designer

Dedicated UI/UX Designer specializing in user interface and game experience design. Proven track record of implementing features that enhance performance, accelerate development processes, and streamline UI layouts. Consistently delivers projects ahead of schedule with high client satisfaction.

## Skills & Expertise

- Cross-platform design (PC, console, mobile)
- End-to-end UI creation
- Figma to Unity interface integration
- User flow and wireframe development
- Interface prototyping
- 9-slice scaling implementation
- Typography selection

## Collaboration

Experienced partner to UI/UX developers, game designers, artists, and programmers, delivering cohesive design solutions across multidisciplinary teams."
53979,"**UX/UI DESIGNER** (2020–2022)

- Conducted UX research to inform indie game interface designs
- Developed low-fidelity and high-fidelity wireframes, interactive prototypes, and visual designs
- Built site maps, information architecture, and customer journey maps—including complete journey loops with negative paths
- Designed adaptive and responsive wireframes for web-based applications
- Illustrated design concepts through storyboards and process flows
- Created surveys and user testing exercises to understand gameplay mechanics and core user needs
- Collaborated with developers, game designers, and cross-functional teams to deliver user-centered solutions

---

**VISUAL AND GRAPHIC DESIGNER** (2019–2022)

- Designed logos, identity systems, banners, posters, and advertisements aligned with current design trends
- Developed and presented creative concepts to clients
- Delivered organized, detail-oriented work in collaboration with cross-functional teams"
53981,"**UI/UX DESIGNER | UI ARTIST**

---

**PROFESSIONAL SUMMARY**

UI/UX Designer and UI Artist with game development experience since 2020. Combines deep analytical thinking with strong aesthetic sensibility to create compelling graphic works across multiple disciplines.

---

**EXPERIENCE**

**UI/UX Designer | UI Artist** | 2020 – Present

Game Insight | 101XP | Playrix | WhaleApp

- Lead full graphic development cycle from concept to completion
- Design websites and applications with production-ready layouts for web and mobile
- Develop branding and visual identity systems
- Execute redesign and brand refresh projects
- Create print and publication designs with adherence to technical requirements
- Produce 2D animation

---

**SKILLS**

UI/UX Design | Graphic Design | Visual Identity | Branding | 2D Animation | Web Design | Mobile Application Design | Print Design | Production-Ready Layouts

---

**PROFESSIONAL INTERESTS**

Seeking challenging projects within a collaborative environment offering strong organizational structure and skilled leadership."
