,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5
29788,"**PROFESSIONAL SUMMARY**

Self-taught Digital 2D Artist & UI/UX Designer from Kyiv with advanced knowledge of Adobe Photoshop Beta, Illustrator, Figma, and Procreate App. Strong technical understanding with expertise in current design and technology trends. Effective communicator with upper-intermediate English proficiency and proven time management skills.

**EXPERIENCE**

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 - Present

**UI/UX Designer / Illustrator**
November 2019 - August 2021

**Freelance Web Designer**
December 2018 - November 2019

**SKILLS**

- UI/UX Design
- Adaptive Design
- Illustration (Raster/Vector)
- Banner Design
- Logo Design
- English: Upper-Intermediate

**TOOLS**

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate App
- Midjourney

**AWARDS**

RED DOT / Brands & Communication Design, August 2022"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

Digital designer with extensive experience in marketing, specializing in visually stunning designs that help brands grow and engage their target markets. Advanced user of Photoshop, Illustrator, Figma, and Webflow with proven ability to deliver award-winning campaigns. Experienced working both as a freelance designer and in-house manager, collaborating with international teams and clients. Seeking long-term partnership with opportunity to grow and implement knowledge in product-focused environments.

## SKILLS

**Design Expertise**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- Digital Design & Digital Imagery
- UI/UX Design

**Digital Marketing**
- Web Ads & Social Media Ads
- E-blast Design
- Digital Analytics

**Technical Proficiencies**
- Photoshop (Extensive Experience)
- Illustrator (Extensive Experience)
- Figma (Advanced User)
- Webflow (Animation, CMS)
- HTML/CSS

**Soft Skills**
- Independent and Team Collaboration
- Creative Problem Solving
- Direct Client Communication

## PROFESSIONAL EXPERIENCE

**Freelance Designer**
- Designed for American company
- Created websites and e-blast campaigns
- Collaborated directly with customers

**In-House Manager**
- Worked in team environment
- Cooperated with 5+ companies from different countries
- Managed cross-functional design projects

## EDUCATION & TRAINING

**Dare IT** - Product Design

**Hillel IT School** - Basic Web Design

**Cases Media** - Graphic Design: Composition (91)

**Cases Media** - Figma (90)"
30606,"**PROFESSIONAL EXPERIENCE**

**Figma Designer**
- Developed comprehensive design system and UI kit for scalable product development
- Leveraged Auto Layout to create responsive, adaptive interface components
- Built interactive components and high-fidelity prototypes to demonstrate user flows
- Utilized Figma plugins to enhance workflow efficiency

**Beetroot Academy – Mentorship Projects**
- Conducted UX research and competitive analysis to inform design decisions
- Created sketches and prototypes throughout iterative design process
- Applied composition, typography, and color theory principles to visual design
- Implemented current design principles and industry trends across projects
- Collaborated in cross-functional team environment on multiple projects
- Delivered project presentations to stakeholders
- Managed project documentation using Google Documents and created surveys via Google Forms

**SKILLS**

Design Tools: Figma (UI Kits, Design Systems, Auto Layout, Interactive Components, Prototyping, Plugins)

Design Expertise: UX Research, Competitive Analysis, Sketching, Prototyping, Composition, Typography, Color Theory, Design Principles, Design Trends

Collaboration: Google Workspace (Documents, Forms), Team Collaboration, Presentation Skills"
30845,"# UI/UX Designer

Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

## Education & Training

**UI/UX Design Course** | 6-month program
- Successfully defended and presented 3 comprehensive projects
- Studied HTML/CSS

## Skills

- Figma, Photoshop, Illustrator
- Interactive prototypes, wireframes, and mockups
- User-centered design methodologies
- Competitor analysis and market research
- User personas and customer journey mapping
- User flow development
- UI Kit creation
- Responsive/adaptive design
- HTML/CSS

## Projects

### Real Estate Website Redesign
Redesigned website for a real estate company located in Destin, Florida, transforming an outdated interface into a modern, user-friendly platform.

**Objectives:**
- Modernize design to attract potential customers
- Improve usability and navigation
- Enhance visual quality and incorporate essential customer information including user-friendly feedback and property valuation features

**Process:**
- Conducted competitor research and analysis to identify successful design solutions
- Analyzed social media and customer feedback
- Developed 3 user personas and customer journey map

### Travel Booking Web Service
Created a web service enabling users to find and book excursions, tours, entrance tickets, and entertainment worldwide, while allowing travel agents and companies to post offerings.

**Key Features:**
- Excursion search functionality with filtering capabilities
- Category-based browsing with filter options
- Registration via email, Google, or Facebook
- Excursion booking and card payment integration
- Announcement creation form for guides

**Process:**
- Analyzed competitive market landscape
- Developed Jobs-to-be-Done framework
- Created customer journey map
- Designed user flow
- Produced wireframes
- Developed UI Kit
- Created adaptive design

### Restaurant Table Booking Mobile Application
Designed mobile application for restaurant table reservations.

## Career Objectives

Seeking a full-time position in a product company focused on creating digital products for everyday life and business. Quick learner, responsible, and ready to perform complex tasks."
32072,"**UI/UX Designer**

**Current Role**

• Improved the onboarding process of a financial institution app by 35%

• Led a team of 4 designers in creating visually appealing and functional products that resonate with users and meet business objectives

• Applied Agile planning principles to deliver tailored solutions that met customer requirements

• Developed wireframes, mockups, and prototypes to establish user interface design and architecture

**Previous Role**

• Improved the audience management system of a SaaS tool by 25%, designing solutions that are aesthetically pleasing and drive business results"
46443,"# Product Designer | Design Systems Specialist

Over 10 years of commercial experience in design and development of web solutions, specializing in large-scale CRM and SaaS projects, mobile and desktop applications.

## Core Expertise

- Design System creation and maintenance to streamline product development processes
- End-to-end Design System development from design through implementation in React and Storybook
- Product design leadership across the full spectrum from Graphic Designer to Product Designer
- Rapid product development: multiple 0-to-launch deliveries in 3-4 weeks without initial specifications

## Project Experience

- 50+ landing pages and promotional pages
- 10+ user dashboard interfaces
- Diverse functionality implementation including analytics dashboards, smart timer systems, and photo editing tools

## Technical Skills

**Design:** Figma, Sketch, Adobe Creative Cloud Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## What I'm Looking For

A company or development team with:

- Bold vision to make meaningful impact
- High standards for quality and results
- Commitment to exceptional user experience
- Need for comprehensive UI/UX, branding, and corporate identity expertise
- Requirement for Design System creation or maintenance

## Ideal Role Characteristics

- Working on interesting and useful products for people
- High team engagement and professionalism
- Opportunity to influence product development with proper management structure
- Potential to lead product or product segments"
46506,"**PROFESSIONAL EXPERIENCE**

**Software Developer**
Small IT Company

- Developed web applications using JavaScript and React framework
- Created responsive web pages utilizing JSX, HTML, and CSS
- Implemented animations using Framer Motion library
- Integrated Material-UI (MUI) components into project interfaces
- Worked with Bootstrap and Materialize frameworks for front-end development
- Collaborated on design implementation using Figma and Adobe Photoshop"
50300,"# Professional Summary

Accomplished software developer with proven expertise in delivering high-impact customer engagement solutions for major e-commerce businesses. Successfully designed and deployed a comprehensive customer engagement suite from the ground up, completing the project on time and under budget while achieving excellent reviews from users and clients. Skilled in leveraging innovative technologies and processes to maximize customer acquisition, satisfaction, and retention to drive incremental revenue.

# Technical Skills

**Frontend Development:** React, Vue, Flutter
**Backend Development:** Node.js
**Core Competencies:** Interface design, API integration, custom plugin development, website and application development, code optimization, performance testing, debugging

# Professional Experience

**Frontend Developer**

- Develop frontend interfaces according to client specifications while ensuring strong system usability
- Ensure application user experience meets top industry standards
- Work independently and collaboratively with development teams
- Debug issues and conduct performance checks on applications
- Optimize code where necessary
- Participate in project planning and strategize information flows between backend databases and user interface components

# Key Achievements

- Designed and successfully deployed a groundbreaking customer engagement suite for a major e-commerce business
- Utilized innovative technologies and processes to maximize customer acquisition, customer satisfaction, and customer retention
- Delivered project on time and under budget with rave reviews from users and clients
- Created multiple interfaces, integrated APIs, and developed custom plugins using React, Vue, and Flutter
- Built websites and applications using Node.js for backend development

# Professional Development Goals

- Continuously learning new technologies and frameworks to stay current with latest industry trends
- Deepening understanding of software architecture designs through collaboration with experienced engineers
- Advancing technical skillset to become a reliable professional in the software industry"
51419,"# UI/UX Designer

## Professional Summary
UI/UX Designer with a programming background, currently specializing in UI/UX development. Transitioned from programming to design after discovering a stronger passion for design work. Experienced in solving complex design challenges through both freelance projects and corporate environments.

## Experience

**UI/UX Designer**
IT Company (Out-staff basis)
1 year

- Develop UI/UX solutions for client projects
- Apply technical programming knowledge to design implementation
- Deliver user-centered design for complex problem spaces

**Freelance Designer**
Multiple years

- Completed diverse design projects for various clients
- Managed full project lifecycle from concept to delivery

## Background
- Former Programmer with hands-on development experience
- Transitioned to design to pursue stronger professional interest
- Combine technical and design expertise to solve challenging problems

## Seeking
Full-time position, remote preferred"
53971,"# Game UI/UX Designer

**Professional Experience**

**Game UI/UX Designer** | Major Game Development Company | 1.5 years (Current)
- Designing user interfaces for games at a large-scale game development studio

**Game UI/UX Designer** | Various Indie Game Teams | 3 years total (2019-Present)
- UI/UX design, 3D modeling, texturing, and 3D animation across multiple indie game projects
- Specialized in game interface design leveraging graphic design expertise

**Senior Graphic Designer** | 5 years
- Advanced graphic design experience providing strong foundation for game UI work

---

**Core Competencies**
- Game UI/UX Design
- Interface Design
- 3D Modeling
- 3D Animation
- Texturing
- Graphic Design

**Career Focus**
Open to new opportunities exclusively within game development"
53972,"**GRAPHIC DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Graphic Designer | GameDev Industry**
1 year
• Designed promotional offers, decorations, and banners for mobile games
• Created visual assets tailored for mobile game environments

**Graphic Designer | Digital Media**
2+ years
• Designed websites, banners, and email campaigns
• Developed visual content across multiple digital platforms

**SKILLS & EXPERTISE**

• Layout design using artist-provided graphics
• Custom creation of navigation elements and decorative assets
• Proficient in Adobe Photoshop and Figma
• Animation capabilities in Adobe After Effects and Figma
• Adaptable workflow based on project requirements

**PROFESSIONAL OBJECTIVES**

Seeking long-term collaboration with a GameDev company focused on mobile games development. Committed to continuous professional growth and delivering high-quality design work."
53973,"# Game UI/UX Designer

Game UI/UX Designer with UI Artist and animation knowledge since 2019. Web designer since 2015.

## Skills & Expertise

- Full project lifecycle experience with technical understanding of HTML, CSS, and JavaScript
- Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity
- Design process development and implementation
- Client acquisition and relationship management
- Team mentoring and staff skill development

## Responsibilities

- Develop intuitive UX flows aligned with overall game design
- Create UI screens and UI elements, and prepare assets for programmers
- Communicate UX vision and design ideas to team members and collaborate to implement designs in-game
- Support game development with additional skills as needed
- Participate in official website updates and logo redesign for sites and applications

## Additional Experience

- Instructor, IT Academy (Lviv) - teaching design

## Interests

- Continuous learning and language acquisition
- Sports: basketball, Brazilian jiu-jitsu, yoga
- Healthy and active lifestyle"
53974,"# UI/UX Designer & Artist

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Designed and developed UI visuals for casual mobile games from initial concept through final rendering
- Prepared sprites and assets for implementation in Unity game engine
- Collaborated with cross-functional teams including designers, managers, 2D/3D artists, and programmers
- Conducted research on game interfaces and functional solutions to inform design decisions
- Created comprehensive game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
- Oversaw interface implementation and layout within game engines
- Maintained current knowledge of UI/UX design trends and techniques
- Contributed to a released mobile casual game

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Skills

- UI/UX Design for Casual Games
- Concept Development to Final Rendering
- Sprite Preparation for Unity
- Interface Research & Functional Solutions
- Logo & Icon Design
- Cross-functional Team Collaboration
- Game Engine Interface Implementation

## Objective

Seeking opportunities with challenging and diverse projects where I can apply my expertise in UI/UX design for games and collaborate with a strong team to exchange knowledge and experience."
53975,"**UI/UX GAME DESIGNER**

4 years of commercial experience in Design | 2 years of commercial experience in GameDev

**PROFESSIONAL SUMMARY**

UI/UX game designer with extensive experience working on diverse projects including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Skilled in full-cycle UI/UX creation from information architecture to implementation. Passionate about gaming and staying current with industry developments.

**CORE COMPETENCIES**

• Information Architecture & Player Flows
• UI Research & Wireframing
• Style Research & Prototyping
• Resource Implementation in Unity3D
• Game Testing & Quality Assurance
• Figma (UI, vector graphics, animation)
• Photoshop (raster graphics)
• Unity3D, Jira, Confluence, Plastic SCM
• Game Graphics Creation on Graphics Tablet

**PROFESSIONAL EXPERIENCE**

• Led full UI development for educational mobile game for kids with over 100,000 downloads
• Participated in development of AAA PC MOBA
• Completely updated design and transferred PC simulator for cybersportsmen to mobile platform, delivered successfully and on time
• Successfully completed 248+ projects
• Supervised final group project as part of Web Design course leadership
• Developed welcome-box for new employees
• Organized printing of materials for two exhibitions in different cities simultaneously

**EDUCATION & TRAINING**

• Web Design Courses – Graduated with Honors
• English Language Courses (2022) – Completed with Honors

**PROFESSIONAL APPROACH**

Dedicated professional who remains actively engaged in work even during challenging times. Plays games worked on during spare time to maintain quality perspective and stay updated with latest industry changes. Eager to learn new technologies and participate in innovative projects of varying complexity."
53976,"# Professional Summary

Fast learner with strong teamwork, teaching, and leadership abilities

# Skills

**Art & Design**
- Game UI Art
- UI Design
- Character Design
- Creative Design
- Character Concept Art
- Environment Concept Art
- Illustration

**3D & Technical**
- 3D Modeling
- Sculpting
- Texturing

**Language**
- English (Proficient)

# Software

- Photoshop
- DAZ Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"# MOTION DESIGN LEAD

## PROFESSIONAL SUMMARY

Self-motivated motion design professional with extensive experience in gaming industry. Proven track record managing cross-functional teams and delivering high-quality design solutions for worldwide poker and casino products.

## CORE COMPETENCIES

• Motion Design & Animation
• UX/UI Design
• Team Management & Leadership
• Design Systems & Style Guides
• Pipeline Optimization
• Cross-functional Collaboration
• Project Architecture
• Brand Development

## PROFESSIONAL EXPERIENCE

**Motion Design Lead**

• Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development

• Created exceptional motion design for worldwide poker and casino products

• Improved design and animation export pipeline across multiple projects

• Participated in rebranding initiatives for poker brands

• Designed UX/UI for poker application

• Created and organized project style guides, design systems, and asset libraries

• Developed gaming motion and animations for poker and casino games including slots, betting platforms, and blackjack

• Built clean and scalable After Effects project architecture

• Produced motion graphics for live online events

• Contributed to creation and organization of gaming design team

• Enhanced design and animation quality in collaboration with development team by implementing new workflow technologies

• Improved visual and gaming experience of products

• Designed comprehensive briefs and specifications, overseeing design, graphic, motion, and sound artists through to final delivery

• Created design concepts and storyboards for promotional videos

## PROFESSIONAL OBJECTIVES

Leverage gaming industry experience while learning from leading industry specialists. Create premium products of the highest quality. Effectively prioritize tasks and maintain accountability for results. Motivate teams and inspire commitment to creating top-tier products."
53978,"UI/UX DESIGNER

Results-driven UI/UX Designer with proven prototyping skills and expertise in improving user interfaces and game experiences. Demonstrated track record of implementing new features that enhance performance, accelerate development processes, and streamline UI layouts. Consistently deliver projects ahead of schedule with high customer satisfaction.

CORE COMPETENCIES

• UI Design & Development
• User Flow & Wireframe Development
• Prototyping
• 9-Slice Scaling
• Figma to Unity Integration
• Cross-Platform Design (PC, Console, Mobile)
• Typography & Font Selection
• UI Performance Optimization

PROFESSIONAL EXPERIENCE

• Imported finished interfaces from Figma directly into Unity
• Developed comprehensive User Flows and Wireframes
• Created UI designs from scratch
• Selected and implemented fonts for optimal user experience
• Prototyped interfaces for testing and validation
• Implemented 9-Slice Scaling on projects
• Worked on projects across PC, console, and mobile platforms
• Collaborated effectively with UI/UX developers, game designers, artists, and programmers"
53979,"**UX/UI Designer (2020-2022)**

**2nd Half of Year**
- Developed indie game interface based on independent UX research
- Created low-fidelity and high-fidelity wireframes
- Collaborated with developers and game designers
- Conducted surveys and exercises for user testing to gain deep understanding of game functionality

**1st Half of Year**
- Developed UX/UI solutions using user-centered design methodology
- Conceptualized ideas from low-fidelity wireframes through interactive visual designs and prototypes
- Built and designed site maps and information architecture
- Demonstrated how designs build from core user needs to add value beyond initial user expectations
- Illustrated design ideas using storyboards, process flows, and sitemaps
- Developed adaptive and responsive UX/UI wireframes for web-based applications
- Designed for negative paths and ensured full customer loops
- Created customer journey maps and guides to support product vision

___

**Visual and Graphic Designer (2019-2022)**

- Created logos, conceptual identity, banners, posters, and advertisements
- Generated ideas and style concepts while monitoring design trends
- Structured work results with attention to detail
- Presented and defended ideas to clients
- Collaborated with team to implement knowledge and contribute to product quality"
53981,"# UI/UX Designer / UI Artist

**Professional Experience: Game Development since 2020**

Game Insight | 101XP | Playrix | WhaleApp

## Core Competencies

• Deep understanding and critical thinking with refined aesthetic sensibility
• Comprehensive graphic design across all mediums
• Complete graphic development cycle management
• UI/UX design for games and applications

## Skills & Expertise

**Design Services**
• Graphic design from concept to completion
• Brand redesign and development
• Website and application design
• Branding and identity systems
• Polygraphic design
• 2D animation

**Technical Proficiency**
• Expert adherence to technical requirements for printed materials
• Precision layout preparation for websites and applications
• Full understanding of production specifications

## What I Value

• Interesting projects
• Qualified management
• High work organization
• Creative space"
