,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
98319,"**[Your Name]**

**Summary**

UI/UX Designer focused on creating user-friendly designs for web and mobile applications. Dedicated to crafting designs that align with user needs.

**Experience**

*   **UI/UX Designer**

    *   Designed a web travel service interface for ""change of environment,"" a platform where hosts offer apartment stays in exchange for assistance with household chores. Responsibilities included user flows for hosts and tourists, wireframing, and adaptive versions.
    *   Redesigned a Ukrainian school platform, providing school information and contact capabilities. Tasks included wireframing, desktop design, and adaptive versions for tablet and mobile.
    *   Currently working on a commercial Coaches service.

*   **Team Lead**
    *   Led the Travel Service project.

**Projects**

*   **Booking Table Service Application**
    *   Developed a web application enabling users to book tables at restaurants and cafes, including table selection.

**Skills & Attributes**

*   UI/UX design expertise.
*   Collaborative.
*   Committed to excellence.
*   Focused on growth and skills development.
"
98320,"**UI/UX Designer**

Experienced in creating intuitive and visually appealing user interfaces and enhancing user experiences across various platforms, including mobile applications, websites, and software interfaces.

**Skills:**

*   Design Software: Sketch, Figma, Adobe XD
*   Prototyping Tools: InVision, Marvel
*   User Research
*   Usability Testing
*   Wireframing
*   User Flows
*   Visual Design

**Experience:**

*   Designed a Mobile Banking Application.
*   Conducted User Research for a Health App.

**Responsibilities:**

*   Collaborated with stakeholders to understand user needs.
*   Translated user needs into design solutions.
*   Conducted user research, analyzed user feedback, and performed usability testing.
*   Created wireframes, user flows, and visual designs.
*   Focused on usability and accessibility.
*   Maintained awareness of UI/UX design trends and best practices.
"
98321,"**[Your Name]**

**Summary**

UI/UX Designer experienced in all stages of the design process, from problem definition and user research to prototyping and final product delivery. Demonstrated ability to create user-centered designs for web and mobile applications.

**Projects**

*   **Personal Project: Travel Go:** Developed a web service to facilitate affordable or free international stays through volunteer opportunities.
*   **Team Projects:** Contributed to multiple team pet projects.

    *   **ReserveNow (Mobile Application):** Designed an application for restaurant table bookings, enabling users to view floor plans, select tables, and make reservations.

**Responsibilities**

*   Conducted user research, including problem definition, competitive analysis, and target audience identification.
*   Developed Customer Journey Maps (CJMs) and user flows.
*   Created wireframes and prototypes.
*   Designed mobile and tablet adaptations.
*   Established visual styles and ensured user-friendly final products.

**Tools**

*   Figma
*   Adobe Photoshop
*   FigJam
*   Adobe Illustrator

**Approach**

Employs a comprehensive design approach, including task analysis, interface prototyping, and visual style establishment, to deliver user-friendly products.
"
98322,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio URL (optional)]

**Summary**

UI/UX Designer with 1.5 years of web design experience. Creative and detail-oriented, with a passion for user-centered interfaces. Skilled in UI/UX design principles and the creation of wireframes, prototypes, and high-fidelity designs. Experienced in designing responsive and accessible websites and web applications. A collaborative team player committed to delivering high-quality designs.
"
98323,"**[Your Name]**
[Your Contact Information]

**Summary**

Junior UX/UI Designer with experience in Ukraine, skilled in design principles and leading design teams. Proven ability to cultivate collaborative environments, promote innovation, and produce high-quality design projects.

**Experience**

**UX/UI Designer** (2022-2023)
*   Built and managed a design team.
*   Focused on UX research, prototyping, design, knowledge sharing, and teamwork.
*   Developed leadership skills.
*   Ensured consistent delivery of design projects.

**UX/UI Designer** (07.02-30.03, 2023)
*   Developed the entire interface for a medical clinic.
*   Conducted UX research to create a user-friendly and intuitive interface design.
*   Collaborated effectively within a team.
*   [Link to project]

**Freelance Graphic and UX/UI Designer** (03/15/23)
*   Developed websites and posts.
*   Worked independently and within teams.

**Education**

*   Completed a UX/UI design course.

**Skills**

*   UX Research
*   Prototyping
*   UX/UI Design
*   Team Leadership
*   Collaboration
*   Knowledge Sharing
*   Teamwork
"
98324,"**[Your Name]**

**Summary**

UX/UI Designer focused on creating effective digital experiences for web and mobile applications. Demonstrated ability to implement a full cycle design process, from task analysis and prototyping to visual style creation, resulting in intuitive user experiences.

**Skills**

*   UX/UI Design
*   Web Design
*   Mobile Design
*   Full Cycle Design Process
*   Prototyping
*   Visual Design

**Experience**

**UX/UI Designer**

*   Completed an 8-month course in UX/UI design, web design, and mobile design, gaining practical knowledge.
*   Employed a full cycle design approach, including task analysis, prototyping, and visual style development.
*   Applied previous experience in motion design to improve UX/UI design skills.

**Projects**

*   **""Unreal""** - Mobile application for booking tables in unusual restaurants.
    *   Full cycle mobile app design.
    *   Designed a platform for users to book tables in unique restaurants.
    *   Objective: To provide users with a convenient way to reserve tables and enhance their dining experience.

*   **""Wings of Hope""** - Web service for the restoration of social infrastructure facilities in Ukraine.
    *   Full cycle web service design.
    *   Developed a web service interface to connect requests for infrastructure restoration with assistance requests.
    *   Objective: To engage communities, government officials, private organizations, and investors in supporting the restoration of Ukraine's social infrastructure.

*   **Slavsko Ski Resort Website Redesign**
    *   Full cycle website design.
    *   Redesigned the website for the Slavsko ski resort.
    *   Objective: To attract more tourists, both local and foreign.
    *   Completely changed the site structure and developed a new, unique style.

*   **Audi Q3 Test Drive Landing Page**
    *   Full cycle landing page design.
    *   Designed a landing page for advertising Audi, including a test drive order feature.

**Seeking opportunities to collaborate with teams including product managers, developers, and other designers to create comprehensive digital products.**
"
98325,"**Summary**

Results-oriented web designer with a passion for developing user-centered and visually appealing interfaces. Demonstrated ability in website layout development, emphasizing user experience, intuitive navigation, and visual design. Seeking to contribute to a collaborative environment and leverage UI/UX design principles to create outstanding digital experiences.

**Projects**

*   **Museum Website:** Designed and developed a website for museums, optimizing for an engaging and informative user experience.
    *   Employed design tools to craft page layouts aligned with user personas and the museum context.
    *   Prioritized strategic exhibit placement, clear navigation, and visual impact.
    *   Integrated UI/UX design principles to ensure both aesthetic appeal and functional effectiveness.
    *   Performed detailed requirements analysis to guide layout, element positioning, and navigation design.

**Goals**

*   To progress as a UI/UX designer.
*   To acquire experience in team collaboration.
*   To work directly with clients to understand and fulfill their design needs.
*   To pursue continuous learning and integrate new technologies and tools to enhance design capabilities.
*   To create interfaces that deliver exceptional user experiences and support company goals.
"
98326,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented individual with a foundational understanding of web design and a developing skillset in UX design. Demonstrated capacity to produce comprehensive website prototypes and respond to client requirements. Experience in developing marketing assets in a professional setting.

**Skills**

*   Web Design (Beginning)
*   Web Design (Junior)
*   UX Design (In Progress)
*   Wireframing
*   UI Design
*   Mobile-Adaptive Design
*   Adobe Photoshop
*   WordPress

**Experience**

*   **Intern**, Sahu Media (German Design Bureau)
    *   Designed promotional banners for clients utilizing Adobe Photoshop.

**Projects**

*   **Web Design Projects** (Projector Institute)
    *   Engineered detailed prototype redesigns for two clients, encompassing:
        *   Client consultation and needs assessment
        *   Competitive analysis
        *   Ideation and brainstorming
        *   Wireframing
        *   UI design
        *   Mobile-adaptive design
"
98327,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile (Optional)] | [Your Portfolio Link (Optional)]

**Summary**

Motivated individual with a foundational understanding of web design and a commitment to ongoing learning in the IT field. Currently developing skills in Web Design, UI/UX Design, and Mobile Design. Demonstrates strong attention to detail and a proactive approach to skill enhancement.

**Skills**

*   Figma
*   Photoshop
*   Illustrator

**Experience**

*   **Web Design Student** | IT School ""Hillel"" | 2023 – Present
    *   Enrolled in Web Design, UI/UX Design, and Mobile Design courses.
    *   Created landing pages, a website, a website redesign, and a web service.
    *   Adapted web service for mobile application use.
    *   Performed target audience and competitor research.
*   **Web Design Basic Course Completion** | IT School ""Hillel"" | 2022-2023
"
98328,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | LinkedIn Profile URL (Optional)

**Summary**

Organized UX/UI Designer with experience in user-focused research and data-driven design. Proficient in developing user-friendly wireframes and prototypes.

**PROJECT EXPERIENCE**

*   **Landing Page for a Flower Shop**
    *   Designed a landing page to promote the flower shop's new delivery service.
    *   Performed competitor analysis and created a moodboard to define the project's emotional context.
    *   Developed wireframes and a UI kit.

*   **Redesign for the Italian Roastery Website**
    *   Redesigned the ""Il Griso"" website to enhance visual appeal and usability.
    *   Analyzed competitor websites and developed a new website structure.
    *   Created wireframes and a UI kit for select pages, including prototyping and adaptation.

*   **""Mind Map"" Team Project**
    *   Served as Scrum Master.

**Skills**

*   UX/UI Design
*   Wireframing
*   Prototyping
*   User Research
*   Competitive Analysis
*   UI Kit Development

**Objective**

To contribute to an innovative design team and improve user experience, leveraging creativity and problem-solving skills to create high-quality products.
"
98329,"**[Your Name]**
[Your Contact Information]

**Summary**

Web design assistant experienced in developing landing pages, online stores, and various print and digital design assets. Skilled in creating designs for the Western market, including Etsy products and themed event materials. Proficient in UI/UX principles, the Bootstrap grid system, and adaptive design.

**Skills**

*   Figma
*   Adobe Photoshop
*   Adobe Illustrator
*   Adobe XD
*   Canva
*   UI/UX Principles
*   Bootstrap Grid System
*   Adaptive Design

**Experience**

*   **Web Design Assistant**

    *   Developed landing pages and online stores.
    *   Created prototypes and designed banners.
    *   Designed price lists and other printed products.
    *   Created designs for the Western market, including Etsy products.
    *   Designed event materials, including invitations, labels, photo banners, business cards, price lists, and order forms.
    *   Created designs for Pinterest pins and Instagram posts and stories.

**Personal Attributes**

*   Self-Disciplined
*   Responsible
*   Organized
*   Team Player
*   Demonstrated Leadership Qualities
*   Eager to Learn and Improve
"
98330,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (if applicable)]

**Summary**

Motivated individual with website design experience entering the freelance market. Eager to learn and contribute to UI/UX design projects. Possesses a strong work ethic and collaborative skills. Seeking a remote internship.

**Experience**

*   **Freelance Web Designer**
    *   Completed a website project for a dental clinic.

**Skills**

*   Figma (Currently studying)
*   Product Observation
*   UI/UX Design (Interest in learning)
*   Teamwork

**Additional**

*   Actively following design trends.
*   Available immediately.
"
98331,"**[Your Name]**

**Summary**

Results-oriented individual with UI/UX design experience, developed through training projects focused on web and mobile application development. Skilled in wireframing, prototyping, UI kit creation, and user research and analysis.

**Projects**

*   **Balance Spa (Training Project)**
    *   Designed a landing page, including Lo-fi and Hi-fi wireframes, a prototype, and a UI kit. Prepared the project for developer handoff.

*   **Foodly (Training Project)**
    *   Mobile application project for grocery delivery.
    *   Responsibilities:
        *   Client briefing
        *   Hi-fi and Lo-fi wireframes
        *   Target audience definition
        *   UI kit creation
        *   Competitor and heuristic analysis
        *   User testing
        *   Sitemap creation
        *   Adaptive design
        *   User flow creation

*   **JOCCELLUM (Training Project)**
    *   E-commerce jewelry project.
    *   Responsibilities:
        *   Client briefing
        *   Hi-fi and Lo-fi wireframes
        *   Target audience definition
        *   UI kit creation
        *   Competitor and heuristic analysis
        *   User testing
        *   Sitemap creation
        *   Adaptive design
"
98332,"Anastasia
Beginner Web Designer

Summary

Enthusiastic UI/UX designer with a passion for product and game development. Dedicated to ongoing learning and applying design principles. Ready to contribute in a team setting.

Skills

*   Font Theory
*   Image, Illustration, and Icon Design
*   Color Theory
*   UI Kit Development
*   Auto Layout
*   Styles and Components
*   Atomic Design Methodology
*   Website Design Principles
*   Target Audience Research
*   Persona Creation
*   Grid Systems
*   Prototyping
*   Adaptability

Education

Hillel Computer School - UI/UX Design Courses
(Current)
"
98333,"**[Your Name]**

**Summary**

Motivated individual with a basis in graphic design principles and experience in UI/UX design. Seeking opportunities to apply and expand skills in a professional environment.

**Education**

*   **[Name of Art Academy]**
    *   Gained foundational knowledge in graphic design, encompassing typography, composition, and color theory.
*   **CARDIFF SCHOOL OF ART AND DESIGN, CARDIFF METROPOLITAN UNIVERSITY**

**Skills**

*   Photoshop
*   Illustrator
*   Figma

**Projects**

*   **Turkish Airlines App Redesign:** Performed a heuristic analysis and suggested enhancements to the current app design, focusing on the requirements of frequent users, under mentorship.
*   **Richard Bank Project:** Designed a system, a mobile application, and a website as part of ""From Zero to Hero"" courses.

**Exhibitions**

*   ""The Art of Change"" - Ukrainian House
*   ""24.02 Before and After"" - Photo Exhibition
*   CARDIFF SCHOOL OF ART AND DESIGN, CARDIFF METROPOLITAN UNIVERSITY exhibition

**Experience**

*   Engaged in courses and part-time jobs.
"
98334,"**Car Wash Application**

*   Developed a mobile application to locate car washes.
*   Employs geodata to identify car washes in the user's vicinity.
*   Offers users the ability to book appointments, choose services, and process payments online.
*   Oversaw the project team.
*   Performed competitor analysis.
*   Designed user flows, wireframes, and a prototype.
*   Created the application's design.
"
98335,"**[Your Name]**

**Summary**

Experienced designer of user interfaces and user flows for web applications. Demonstrated ability to analyze competitor strategies and create user-friendly and aesthetically pleasing designs. Seeking freelance projects or a junior designer position, available in-office or remote.

**Projects**

*   **CloudyClean Webservice:** Designed the user interface and user flow for a web application for a cleaning service, allowing users to find and order services. Conducted competitor analysis and created prototypes.
*   **Alaska Pete's Website Redesign:** Redesigned the user interface to modernize and improve the website's convenience, comprehensibility, and attractiveness. Analyzed user flow, site blocks, and logic.
*   **Landing Page for a FlowerLover:** Developed a user-friendly and aesthetically pleasing landing page for a flower shop, incorporating analyzed user logic.

**Skills**

*   User Interface Design
*   User Flow Design
*   Competitor Analysis
*   Prototyping
"
98336,"**[Your Name]**

**Summary**

Developed NOVI Luxe's e-commerce website through direct collaboration. Employed user research, design tools, and A/B testing to achieve project success.

**Experience**

*   **E-commerce Website Development - NOVI Luxe**
    *   Performed user research, including surveys and interviews.
    *   Designed wireframes, user flows, and interactive prototypes with Figma for design concept visualization and communication.
    *   Utilized A/B testing to confirm design choices.
    *   Completed the project within the allocated timeframe and budget, and obtained positive client feedback.
"
98337,"**[Your Name]**
[Your Contact Information]

**Summary**

UI/UX design and commerce experience, adept at collaboration. Proficient in design software and UI/UX principles.

**Experience**

*   **UI/UX Design & Commerce**
    *   Collaborated with Looqme, HoReCa show, S-Prof, and Lviv Organ Hall.
    *   1+ year of experience.

**Skills**

*   Adobe Photoshop
*   Adobe Illustrator
*   Figma
*   InVision
*   UI/UX Principles

**Education**

*   LITS - UI/UX Design Courses

**Projects**

*   Developed skills and teamwork through project involvement.
"
98338,"**[Your Name]**
[Your Phone Number] | [Your Email] | [Your LinkedIn Profile (Optional)]

**Experience**

**Comon Agency** | 01/28/2022 – 02/24/2022
*   Supported labor headquarters during the war in Ukraine.
*   Managed individual private projects.

**Projects**

*   **Alexey, ""On the Way"" Product Delivery Project:** Created landing page and corporate identity for website.
*   **Phillip, ""Sammy Icon"" E-commerce:** Redesigned and developed a multi-page online store website, including UX Research, Wireframes, Style Guide & Design.
"
98339,"**[Your Name]**
[Your Contact Information]

**Summary**

UI/UX design professional with foundational knowledge gained through a 3-month course. Demonstrates a grasp of design principles and methodologies, and practical experience in user-focused design creation.

**Skills**

*   UX Design
*   GUI Design
*   Typography
*   Figma
*   Adobe Photoshop
*   Design Thinking
*   Human-Centered Design

**Portfolio**

*   Landing Page Designs
*   E-commerce Design Projects
*   Adaptive Design Projects
"
98340,"**[Your Name]**

**Summary**

UX/UI Designer with a certificate from Beetroot Academy. Demonstrates strong design skills and a passion for creating user-centered experiences. Aims to contribute to a collaborative team and interesting projects.

**Skills**

*   **UX Research:** Mind Mapping, Information Architecture, Brief Analysis, Competitive Analysis, Empathy Mapping, Personas, Customer Journey Mapping (CJM), User Flows, Wireframing
*   **UI Design:** Figma, Adobe Photoshop, Adobe Illustrator, Interactive Prototyping, Adaptive UI Design, Composition, Typography, Color Theory, Grid Systems, Design Patterns
*   **Languages:** Italian (CELI4 C1)

**Projects**

*   Mobile Application for a Family Medicine Clinic
*   Landing Page for a Design Studio
*   Website for a Beauty Salon
*   Icon and Logo Design

**Education**

*   Certificate in UX/UI Design, Beetroot Academy
*   Certificate CELI4 C1 (Italian Language Proficiency)

**Goals**

Seeking a role in a collaborative team that offers professional development and learning opportunities. Dedicated to using and expanding design skills to contribute to company objectives.
"
98341,"**[Your Name]**
[Your Contact Information]

**Summary**

Master of Architecture and Urban Planning graduate (May 2023) with a research focus on ""Modern Approaches to Implementing Information Technologies in Architectural Design."" Demonstrates self-organization, critical thinking, research, and analysis skills. Seeking to contribute to a dynamic environment and gain practical UX/UI design experience.

**Skills**

*   Self-Organization
*   Critical Thinking
*   Research
*   Analysis
*   UX Research (Interviews, Online Surveys, Competitor Analysis)
*   User Personas & Stories
*   User Flows
*   Wireframes
*   Animated Prototypes
*   HTML
*   CSS
*   Responsive and Adaptive Design

**Projects**

*   **FeelFull Website Redesign**: Redesigned website for a food delivery enterprise.
*   **TviyBrend Catalogue Website**: Developed a catalogue website for an accessories retail company.
*   **Colory Mobile App**: Designed a mobile application to colorize black and white photos.

**Experience**

*   Completed educational courses focused on creating mobile applications and websites, mastering design and implementation.
*   Gained UX/UI design experience through project development.
*   Participated in online client meetings.
*   Utilized UX Research methodologies.
*   Developed foundational web development skills.

**Education**

*   Master of Architecture and Urban Planning, [University Name], May 2023
    *   Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""
"
98342,"**[Your Name]**

**Summary**

UI/UX Designer experienced in developing website, web, and mobile application layouts. Demonstrated ability to conduct research, analyze competitors, and create prototypes. Skilled in teamwork and meeting deadlines. Proficient in computer graphics programs and possesses a strong desire for continuous learning and professional growth within a collaborative team environment.

**Skills**

*   Figma
*   Illustrator
*   Photoshop
*   UI/UX Design
*   Website Layout
*   Mobile Application Layout
*   Research
*   Competitor Analysis
*   Prototyping
*   Sitemap Development
*   Teamwork
*   Meeting Deadlines

**Experience**

*   **Team Leader, Search for Lost and Found Animals Project**
    *   Spearheaded the ""Search for Lost and Found Animals"" project.
    *   Contributed to the development of an animal search website.
    *   Performed competitor analysis, developed site maps, and defined site functions.
    *   Optimized the website for user experience.

*   **UI/UX Design, Furniture Landing Page**
    *   Developed a user-friendly landing page for a furniture store.
    *   Conducted competitor analysis.
    *   Selected design references.
    *   Created a prototype and UI page.

**Projects**

*   **Search for Lost and Found Animals**
    *   Focused on the rapid reunification of lost animals with their owners and facilitated adoptions.

*   **Furniture**
    *   Designed a landing page for a furniture store.

**Additional Information**

*   Committed to continuous skill and knowledge enhancement.
*   Seeking opportunities to contribute as a UI/UX designer and further develop skills within a professional team.
"
98343,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)] | [Your Portfolio URL (Optional)]

**Education**

*   **Projector Institute** | UX/UI Design
    *   Skills: Typography, Auto Layout, Wireframing, Prototyping
*   **Coursera** | Foundations of User Experience (UX) Design (Google)
    *   Skills: User Experience, Wireframing, Prototyping, UXD
*   **Projector Institute** | UX Design | *Ongoing*

**Skills**

*   Typography
*   Auto Layout
*   Wireframing
*   Prototyping
*   User Experience (UX)
*   UXD
"
98344,"**[Your Name]**
[Your Phone Number] | [Your Email] | [Your LinkedIn Profile (Optional)]

**Summary**

UI/UX Designer experienced in transforming abstract ideas into design concepts and wireframes. Proficient in developing Minimum Viable Products (MVPs) and contributing to team projects. Skilled in designing interfaces for both websites and mobile applications, with a focus on E-commerce and EdTech projects. Experienced in utilizing Design Systems to optimize the design process and enhance wireframe presentations.

**Skills**

*   UI/UX Design
*   Wireframing
*   MVP Development
*   Team Collaboration
*   Design Systems
*   Interface Design (Web & Mobile)

**Experience**

*   **UI/UX Designer** | GoIT School | February 2023 – August 2023

    *   Designed interfaces for websites and mobile applications, encompassing Landing pages, Web services, and Mobile Apps.
    *   Projects:
        *   **Landing page ""Rainbow""**: Redesigned a kindergarten website, concentrating on improved user experience for appointment booking and curriculum selection.
        *   **Web-service ""CleanHouse""**: Collaborated on a project to develop a service that connects users with cleaning service providers.
        *   **Mobile App ""MY BRAND""**: Participated in a group project to create an e-commerce application with home delivery features.

**Objective**

Seeking a position within a company that values its employees and offers opportunities for professional development, experience gain, and contribution as a valued team member.
"
98345,"**[Your Name]**

*   Developed e-commerce platforms, landing pages, and mobile app interfaces.
*   Collaborated with clients to define requirements and create design solutions.
*   Applied design principles and responsive techniques to build user-friendly interfaces.
*   Prototyped and refined designs using Figma.
*   Maintained a focus on detail to ensure accurate design implementation.
*   Communicated effectively and consistently met project deadlines.
"
98346,"**Summary**

UI/UX Designer | Concept Development | Prototyping | User Flow | Web Design | Analysis & Redesign

**Experience**

*   **UI/UX Design Projects**

    *   UI/UX design concept development for an online perfume store, including:
        *   Prototyping.
        *   User flow creation.
        *   UI visualization of web pages.
        *   Design presentation.
    *   UI/UX redesign of a landing page, including:
        *   Analysis and documentation.
        *   Prototyping.
        *   UI page concept development.
        *   Creation of light/dark and adaptive versions.
"
98347,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented individual with experience in web design, including e-commerce, landing page, and non-profit projects. Demonstrated ability in concept development, prototyping, and presentation. Proficient in user interviews and UI kit creation using Figma. Seeking a role that utilizes web design knowledge, photographic experience, and sociological understanding.

**Skills**

*   Web Design
*   E-commerce Design
*   Landing Page Design
*   UI Kit Creation (Figma)
*   Prototyping
*   User Interviews
*   Concept Development
*   Presentation Skills
*   Photography

**Experience**

*   **Projector School Courses:** Completed two courses, applying skills to real-world projects.
*   **Project Portfolio:** Developed diverse real-world projects including:
    *   E-commerce Design
    *   Landing Page Design
    *   Non-profit Organization Design
        *   Project conceptualization, prototyping, and presentation.
        *   Execution of user interviews.
        *   UI kit creation with Figma.
"
98348,"**[Your Name]**

**Summary**

Results-driven professional with experience in turnkey site creation, design, and development, utilizing assembly processes. Consistently delivered projects resulting in 100% positive customer feedback. Experienced in game development, animation, and design. Proficient in Figma.

**Skills**

*   Turnkey Site Creation
*   Design Development
*   Assembly (Constructor)
*   Game Development
*   Animation
*   Figma
*   Basic Photoshop
*   Basic Illustrator

**Experience**

*   **Turnkey Site Creation & Design**
    *   Developed and assembled turnkey sites.
    *   Designed and developed sites.
    *   Achieved 100% positive customer feedback.

*   **Game Development & Design**
    *   Developed, animated, and designed games.

**Software**

*   Figma
"
98349,"**[Your Name]**

**Summary**

Creative and empathetic individual seeking a UI/UX Designer role. Driven to create user-centered designs that align with business objectives. Possesses a strong ability to analyze user needs and translate them into effective design solutions. Experienced in developing engaging visual content and managing design projects.

**Experience**

**Graphic Designer** | Electro House Company | 2021 – 2023

*   Developed website and mobile application designs.
*   Managed website and online store content.
*   Created commercial offers, presentations, and mailings.
*   Designed packaging, stickers, decals, and instructions.
*   Developed print products: catalogs, booklets, and business cards.
*   Designed and managed social media graphic content.
*   Created website banners, graphic content, and icons.
*   Conducted product photography, photo processing, and retouching.

**Graphic Designer (Project-Based)** | ""Fact"" Publishing House | 2020 – 2022

*   Created book cover layouts (fiction, children's books, and non-fiction).
*   Developed designs for souvenir products.
*   Created layouts for print products.

**Marketer, Designer** | Regional Medical Center | 2020 – 2021

*   Developed outdoor advertising designs: banners, posters, and signs.
*   Created print materials for internal use: gift certificates, fire evacuation plans, presentations, and commercial proposals.

**Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky** | 2016 – 2022

*   Collected data and prepared reports (monthly, quarterly, and annual).
*   Planned and analyzed work, and conducted methodical hours.
*   Managed advertising activities: social media, event posters, graphic poster layouts, invitations, and monthly newspaper layouts.

**Skills**

*   UI/UX Design Fundamentals
*   Interface Design (Web & Mobile)
*   User Journey Mapping
*   Competitor Analysis
*   Persona & Empathy Map Creation
*   Graphic Design
*   Website Design
*   Mobile Application Design
*   Print Design
*   Social Media Content Creation
*   Product Photography
*   Photo Editing
"
98350,"**[Your Name]**

**Summary**

Driven individual with 4 months of UI/UX design study, demonstrating proficiency in core technical skills, organizational ethics, and discipline. Proven ability to create functional and user-friendly designs, with a passion for continuous learning and embracing challenges.

**Skills**

*   UX/UI Design
*   Figma
*   Adobe Photoshop
*   Adobe Illustrator
*   Color Schemes
*   Typography
*   UI Kits
*   Grid Systems
*   Website Design Prototyping
*   Mobile App Development

**Experience**

*   **UI/UX Design Student** GOIT
    *   Currently enrolled in UI/UX design courses, developing skills in mobile and desktop application development and related areas.
    *   Completed one successful team project and two individual projects.
*   **Portfolio Projects**
    *   **Landing Page:** Focused on creating a user-friendly experience, including competitor research, mood board creation, and UX/UI design.
    *   **India Cafe Website Redesign:** Performed website analysis, UX/UI design, and addressed color schemes, responsiveness, typography, and prototyping. Created a UI kit and prepared the project for Behance.
    *   **Pet Finder Web Service:** Analyzed competitor web services, created user personas, and defined the user flow. Focused on design systems, user experience (UX), and incorporated features like pop-ups and a donation feature.

**Key Strengths**

*   Strong understanding of the UX/UI process.
*   Proficient in designing user interfaces for various platforms.
*   Experienced in collaboration and team projects.
*   Committed to professional development and gradual growth.
"
98351,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio URL (Behance)] | [Your Portfolio URL (Dribbble)]

**Summary**

A self-taught UX/UI Designer with three years of dedicated learning. Demonstrated skills through freelance work and personal projects, including the 4ROLL — Dungeons & Dragons Digital Game Companion App, featured on Behance and Dribbble. Eager to contribute to a professional environment and further refine design capabilities.

**Projects**

*   **4ROLL — Dungeons & Dragons Digital Game Companion App**
    *   [Link to Behance Project]
    *   [Link to Dribbble Project]
*   **Freelance Projects**
    *   [Link to Portfolio Section or Project Examples, if applicable]

**Skills**

*   UX Design
*   UI Design
*   [List any specific software or skills, if mentioned in your portfolio]

**Education**

*   Self-Study: UX/UI Design (3 years)
"
98352,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)]

**Summary**

Motivated and committed aspiring designer with a solid understanding of graphic design, web design, and UI/UX principles. Seeking an entry-level position to apply acquired skills and to gain practical experience within a collaborative environment.

**Skills**

*   Graphic Design
*   UI/UX Design
*   Web Design
*   Design Composition

**Education**

*   **Alpaca School** | Web Design + Layout | *Ongoing*
*   **Creative Practice** | Graphic Design Courses
    *   Fundamentals of Design
    *   Graphic Design. Composition
    *   UI/UX. Projecting and design of interfaces
*   **Coursera** | Fundamentals of Graphic Design
*   **Genius Space** | Video Coursework
    *   Profession Graphic Designer
    *   Profession Web Designer
    *   Profession UX/UI Designer

**Experience**

*   **Design Development** | *Ongoing*
    *   Developing design skills in graphic design, web design, and UI/UX design.
    *   Participated in both free and paid courses to broaden knowledge and practical skills.
"
98353,"**[Your Name]**
[Your Contact Information]

**Summary**

Architectural and Construction Engineer transitioning to UI/UX Design. Completed a UI/UX design course at IMT Academy. Skilled in Figma, Adobe Photoshop, and Adobe Illustrator. Includes freelance design experience and a focus on ongoing professional development.

**Skills**

*   Figma
*   Adobe Photoshop
*   Adobe Illustrator

**Experience**

*   **Architectural and Construction Engineer** - [Current Employer/Your Information]

**Education**

*   **UI/UX Design Course** - IMT Academy

**Portfolio**

*   Behance: [Link to your Behance portfolio]
"
98354,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com

**Experience**

**Data Entry Specialist**
Health App Ornament | August 2020 – February 2023

*   Entered user data, including recipes, recommendations, and extracts.
*   Followed instructions from the director.

**Technical Support Consultant**
IT Con Gaming | January 2017 – June 2020

*   Offered technical support to users via phone calls and online correspondence, addressing issues like email processing.
*   Handled payments and created reports.
"
98355,"**[Your Name]**

**Summary**

*   Developed and contributed to four personal projects.

**Projects**

*   **Pet Search Project:** Collaborated on a team project to create a web service for reuniting lost animals with their owners. Responsibilities included competitor analysis, Jobs-to-be-Done (JTBD) analysis, development of a dog walker persona, ad creation, and the design of a services section. The website incorporated geolocation search and filtering, along with sections for finding dog sitters and walkers. The design utilized calming tones with strategic accents.

*   **Dating App:** Designed a dating application powered by artificial intelligence. The app analyzes user behavior through smartphone data to suggest compatible matches, leveraging machine learning algorithms.

*   **Citroen C4 Landing Page:** Designed a landing page to showcase the Citroen C4. The design incorporated the brand's color schemes and highlighted the vehicle's features.

*   **CrossFit CENTRAL Website Redesign:** Redesigned the CrossFit CENTRAL website, focusing on a fresh visual design with harmonious colors. Implemented UX solutions to enhance user navigation.

**Benefits**

*   Focus on results, focus on design and open team
*   Mutual respect and friendly atmospheræ
*   Possibility of partially remote work
*   Corporate training and development within the company
*   Career growth.
"
