,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
10,"Навчився працювати з 3D без використання макетів, розробив продукт з метою допомоги людям, вирішив проблему безпеки та створив помічників для людей на Марсі для полегшення процесу адаптації до колонізації. Використовував продуктові практики для створення додатку та веб-версії, а також дизайн системи. Навчився адаптувати веб-сайти під мобільні пристрої, ознайомився з практиками електронної комерції, розробляв прототипи та використовував варіативні компоненти та autolayouts. Вмію користуватися нейромережами та генерувати графіку з відповідним промтом.

1. robotplus+ - розробка продукту для оренди або купівлі роботів для виконання завдань на Марсі через мобільний додаток та веб-сторінку. Використовував Blender, AI, Figma та Photoshop.
2. beau.flo - розробка електронної комерційної платформи для онлайн продажу одягу. Використовував патерни електронної комерції та інтегрував айдентику бренду у візуальну концепцію за допомогою AI, Figma, Photoshop та Illustrator.
3. velvet underground - редизайн веб-сайту з метою зробити його більш сучасним та актуальним. Використовував Figma, Photoshop та Midjourney для просування гурту та фільму про них, а також для розповіді про учасників гурту та процес створення альбомів.

Мета мого кар'єрного розвитку - стати успішним UX/UI дизайнером, оволодіти бізнес-процесами та використовувати метрики. Маю сильний інтерес до розробки інноваційних інтерфейсів, 3D моделювання, no-code технологій та використання дизайн-методологій для створення ефективних продуктів."
11,"1) Дизайн банерів та головних екранів для різних тематик, включаючи книжковий магазин, магазин взуття, маркетингову конференцію та продаж програм тренування.
2) Створення дизайну для Coinvest Website, компанії, що спеціалізується на інвестиціях.
3) Розробка дизайну для сайту Art Hall Tattoo Studio, мережі тату салонів, з адаптацією під різні пристрої.
4) Редизайн багатосторінкового сайту для відомого бренду велосипедів Specialized bikes та адаптація під мобільні та планшетні версії."
12,"Створення сайтів різної складності від лендінгу до e-commerce. Проходження всіх етапів, починаючи з брифу до передачі макета в розробку.
1. Досвід у створенні сайтів-візитівок, e-commerce, корпоративних сайтів та мобільних адаптацій.
2. Вміння працювати з Figma - від варфрейма до клікабельного прототипування.
3. Використання Adobe Photoshop, Adobe Illustrator та Adobe After Effects у роботі.
4. Основні знання HTML та CSS."
13,"Я займалась машинним навчанням протягом трьох років, уважна до деталей та не боюсь монотонної роботи. Я дуже комунікабельна особа. У 2023 році я успішно пройшла курс Motion Design Basic, отримала навички роботи з програмами Adobe After Effect & Cinema 4D. Мене цікавить розвиток у галузі Motion Design.

2018 - 2019 - Дизайнер інтер'єрів та менеджер з продажу в Tiger
Проектування та дизайн інтер'єрів для житлових та промислових приміщень, консультування клієнтів, робота з документацією.

2020 - 2023 - Інженер з якості даних - SQUAD
Підтримка систем безпеки розумного будинку, робота з даними, машинне навчання.

2023 - Графічний дизайнер - Motto
Розробка графічного дизайну для мережі АЗС ""Motto"" - баннерів, листівок, рекламних матеріалів, дизайн-концепція ""меню супутніх товарів"".

Я шукаю компанію, яка цінує потенціал кожного співробітника, має систему винагород, кар'єрний ріст, цінує творчість та розвиток."
14,"3 роки досвіду як графічний дизайнер на фрілансі, спеціалізувався на зовнішній та внутрішній рекламі, презентаціях та відео для компанії «Житлобуд-1».

Досвід у розробці сайтів на платформі Tilda, завершено 6 проектів, переважно у сфері ремонту та нерухомості. Навички підключення аналітики (Google Analytics, Tag Manager, Search Console).

Основні навички у HTML (emmet), CSS (sass, less), робота з Wordpress, базові знання JavaScript. Розуміння принципів програмування (C++, C#, Java, Python).

Не зацікавлений у роботі з поліграфією будь-якого типу."
15,"Досвід роботи:
- Розробка іконок для Google протягом 4 років, включаючи веб-сайти, банери, постери та графічний дизайн.
- Виконання замовлень на фріланс біржах (Fiverr, Upwork) від компаній з ЄС, США та інших країн.
- Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів.
- Створення макетів, дизайну графіки та інших елементів для веб-сайтів.
- Оптимізація сайтів для SEO та підвищення їх конверсії.
- Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів.

Навички:
- Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та іншими.
- Розуміння основ дизайну та веб-розробки.
- Досвід використання Webflow.
- Володіння англійською мовою на рівні В1.

Особисті якості:
- Креативність та інноваційність у роботі.
- Стресостійкість, готовність до викликів і складних задач.
- Організованість та відповідальність.
- Здатність працювати як у команді, так і індивідуально.
- Ефективне спілкування з клієнтами та колегами.
- Праця на результат.
- Спокійний характер та енергійність в роботі."
16,"Освіта:
- Коледж, спеціальність ""Художня фотографія"", 4 роки
- Університет, спеціальність ""Дизайн"", 2 роки

Досвід роботи:
- Ретушер в компанії ""Про Пост"", де покращила навички роботи з програмою Фотошоп
- Фріланс дизайнер, виготовлення логотипів, банерів, візиток

Навички:
- Малювання, ретуш, графічний дизайн
- Веб-дизайн, UI/UX дизайн
- Робота з програмами: Фотошоп, Figma

Курси:
- Курс UI/UX дизайну від Beetroot академії, де вивчила принципи композиції, типографіки та кольору

Проекти:
- Створення адаптивних веб-сайтів для різних пристроїв
- Досвід роботи з Figma

Це нове резюме, яке відображає вашу освіту, досвід роботи та навички без додавання будь-яких нових фактів."
17,"Freelance Designer
- Mobile app design
- Assisting in maintaining design systems
- Landing page design
- Creating banners

Looking to further develop my skills and expertise as a specialist in utilizing my knowledge and skills."
18,"On 05/21/23 I started my studies at GO IT in the field of UX/UI Design. Currently, I am working on creating a landing page and am eager to join a reputable company where I can contribute as a valuable member of the team. My goal is to further develop my skills as a UX/UI Designer and gain practical experience in the field."
19,"Після завершення курсу ""Основи веб-дизайну"" я створив сайт з зручним інтерфейсом. Маю досвід роботи з Figma та готовий виконувати завдання в узгоджені терміни. Наразі не маю корпоративного досвіду, але маю велике бажання вдосконалювати свої навички. Закінчив вищу освіту у Львівській політехніці за спеціальністю Комп'ютерні науки. Після цього успішно пройшов курс ""Основи веб-дизайну"", де створив сайт для опису мотоциклів зі зручним інтерфейсом та плавною анімацією. Маю великий інтерес до роботи та навчання в цій сфері. Бажаю працювати в сучасній компанії та створювати цікаві та якісні продукти, допомагаючи людям з усього світу втілювати сучасні ідеї."
20,"Courses:
- UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022
- Inclusive Design | Projector Online School, Apr 2021
- Web Design Beginning | Projector Online School, Feb-Apr 2021
- Basics of Web Development | WayUp Online School, 2021
- Introduction to User Experience Design | Georgia Institute of Technology, 2020
University: Doctor of Medicine

If you're looking for a diligent and motivated novice designer, you have already found :-)
Hello! My name is Yuliia. I’m a UI/UX designer with a base knowledge of front-end development. My experience in creating websites is small, but I have a passion for doing this work at the highest level. It is my aim and strong desire to grow as a professional among a great team of like-minded individuals.

Якщо ви розглядаєте до себе в команду старанного міцного та мотивованого дизайнера-початківця, це я :-)
Привіт! Мене звати Юля. Я UI/UX дизайнер з базовими знаннями з фронтенду. Мій досвід у створенні інтерфейсів сайтів невеликий, але я захоплена цією роботою і готова навчатись. Моя мета і сильне бажання будувати свою дизайнерську кар’єру серед чудової команди однодумців.

I am looking for a place where I could be useful with the skills I've already got as well as grow as a UI/UX designer among a great team of like-minded individuals."
21,"Experience: 
- Over 6 months of freelance work with multiple ongoing projects
- Proficient in using tools such as Figma, Photoshop, Google Sheets, and surveys for user flow analysis
- Seeking a position in a reputable company to further develop skills and work in a collaborative team environment
- Interested in expanding knowledge in graphic design in the future."
22,"Junior UI/UX Designer

IT School GOIT
UI/UX Designer Course
February 2023 - Present

Skills:
- Proficient in Figma, Adobe Illustrator, and Adobe Photoshop
- UI skills: visual hierarchy, composition, coloristics, typography, UI Kit
- UX skills: interactive prototype, responsive design, design thinking
- UX research skills: competitor analysis, personas and empathy maps, user flow, prototyping

Projects:
Redesign ""Ola-La""
- Improved aesthetics and user-friendly interface
- Enhanced information organization and professionalism
- Improved customer communication

Team Project ""Be like at home""
- Collaborated on developing an innovative website for housing rentals
- Focused on user convenience, attractive design, and reliable functionality
- Developed teamwork, communication, and project management skills
- Gained additional knowledge and skills in website development and relevant tools and technologies

I am a motivated and open-minded UI/UX designer with a strong understanding of user needs. I am eager to contribute my skills and enthusiasm to a collaborative team environment where colleagues respect and support each other."
23,"Junior UI/UX Designer з понад 6 місяцями досвіду роботи на фрілансі та успішним проходженням курсу ""Основи Web дизайну"" в ІТ школі ""Hillel"". Продовжую працювати на фріланс основі та активно розвиваю свої навички UI/UX Designer. Готова працювати як помічник web дизайнера та UI/UX дизайнера для набуття додаткового досвіду. Шукаю нові цікаві проекти та готова зробити все можливе для досягнення мети стати висококваліфікованим спеціалістом у сфері UI/UX Designer."
24,"Створення Landing Page для продажу оригінального крісла Wassily Chair, включаючи аналіз конкурентів, створення юзер персон та юзер флоу, розробку вайфрейму, дизайн сторінки та інтерактивний прототип.

Розробка мобільного додатку на IOS на тему ""Бронювання готелів, житла"", включаючи аналіз конкурентів, створення юзер персон та юзер флоу, розробку вайрфреймів, дизайн, створення інтерактивного прототипу та оформлення кейсу на Біханс."
25,"Junior UX/UI Designer

Education:
- Currently pursuing a Master's degree in Software Engineering at GO IT, focusing on development and continuously improving my IT knowledge.
- Certified UX/UI designer from GO IT.

Skills:
- Proficient in Figma, Adobe Photoshop, Illustrator, VS Code, and Protopie.
- Experienced in HTML & CSS, wireframing, user interface design, user experience design, creating customer journey maps and user journey maps, creating personas, MVP version, dashboards, prototyping, design systems & UI kit, and adaptive design using media.

Projects:
- Web service for finding pets
- Mobile app for booking tables in restaurants
- Mobile app for renting houses or apartments
- Adaptive website for English lessons
- Adaptive website for a web studio

Looking for a job in a product-based company where I can:
- Develop interface design
- Collaborate with professionals in a friendly environment
- Conduct user experience analytics
- Create wireframes and detailed prototypes
- Work on web services, mobile applications, browsers, social networks, and web resources
- Develop design systems
- Work on adaptive design

I am seeking a role where I can continue to grow and improve my skills in web design, while working with a friendly team of individuals."
26,"I have experience in customer service and consulting in a clothing store, as well as some management experience. I am currently studying UX design and am eager to gain more practical experience in the field. I am motivated to continue developing my skills and grow professionally."
27,"Hard Skills: 
- Figma, 
- Adobe Illustrator, 
- Adobe Photoshop, 
- Adobe After Effects (створення легкої анімації).

Soft Skills: 
- наглядність; 
- робота в команді; 
- виконавчість та націленість на результат; 
- почуття гумору, чесність, стресостійкість, пунктуальність; 
- здатність швидко навчатися; 
- прагнення до розвитку та професійного зростання.

Smartflowlabs
- UX/UI дизайнер: від створення прототипу сайту, вивчення бренду та конкурентів до кінцевого результату створення дизайну сайту (під керівництвом Senior Веб-дизайнера).
- Розробка додатків для магазинів Shopify (під керівництвом Senior Веб-дизайнера).
- Адаптивний дизайн сайту.
(Вересень 2022р. - Січень 2023р.)"
28,"- SMM-фахівчиня в ГО ""КМРУ"" (Конгрес молодіжних рад України) (червень 2022 - дотепер).
- Голова дизайнерського відділу Наукового товариства історичного факультету КНУ ім. Т. Шевченка (жовтень 2022 - дотепер)."
29,"Tepli obiymy
10.07.2023 - 25.07.2023
Розробка айдентики для інстаграм магазина в'язаних речей 
Аналіз конкуренції та цільової аудиторії, виявлення слабких та сильних сторін продукції, розробка концепції, створення логотипу та оформлення бірок для одягу.
Мета - розуміння процесу розробки, а не лише створення красивих інтерфейсів.
Бажання долучитися до внутрішньої команди дизайнерів, навчання від професіоналів та участь у реальних проектах. Планується допомагати у рутинних завданнях, щоб команда могла сконцентруватися на складніших аспектах."
30,"UI/UX Designer | Junfolio (з березня 2023 по тепер)
- Розробка концепції дизайну інтерфейса з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Робота в команді, співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення ui-kit та передача макету в розробку

Пет проєкти
1. Веб-сервіс створення сайтів для замовників
Проєкт, спрямований на підтримку початкових фахівців без досвіду, щоб допомогти їм реалізувати свої навички, працюючи в командах з реальними замовниками. Участь у всіх етапах процесу дизайну, включаючи створення концептуальних вайрфреймів, розробку інтерактивних прототипів та остаточного дизайну. Робота включала створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів, а також визначення оптимальної структури і навігації. Використання компонентного підходу для полегшення повторного використання. Робота в команді за методологією SCRUM з двотижневими спринтами та регулярними дейлі мітингами.

2. Мобільний додаток з резервування столиків
Додаток для швидкого та зручного бронювання столиків в ресторанах. Аналіз цільової аудиторії, побудова мапи сайту та User flow. Розробка вайрфреймів та прототипів для оптимальної структури та навігації додатка. Створення високоякісних макетів з вибором кольорової палітри, шрифтів, графічних елементів та іконок."
31,"На протязі 3-ох місяців пройшов курс для веб-дизайнера в WayUp, де вивчив основні принципи роботи з Figma. В даний момент активно вивчаю Adobe Illustrator.

Маю досвід роботи як адміністратор зі стажуванням в українській компанії протягом 1 місяця.

Протягом 1,5 місяців працював як графічний дизайнер в польській компанії Mindy Teams.

Також маю досвід роботи як менеджер з продажу протягом 1 тижня, але звільнився через непідходящий графік роботи."
32,"Отримала сертифікат про завершення курсу UI/UX (Logos IT Academy) та пройшла безкоштовний марафон від GoIT ""Основи HTML, CSS"". Маю понад 5 років досвіду роботи у сфері освіти, де викладала українську та англійську мову. Під час декретної відпустки продовжувала викладати онлайн та успішно завершила курс по UI/UX. Мої навички включають розробку додатків для доставки їжі (дослідження, User Persona & Story, CJM, Task Flow, IA), а також створення дашбордів та постерів. Готова негайно розпочати роботу як асистент дизайнера або стажер, щоб набратись додаткового досвіду."
33,"Дизайнер у соціальній компанії Steiger International, спеціалізувався на веб-дизайні як Jr. UX/UI. Займався розробкою 4 проєктів, включаючи продукт у сфері доставки та веб-сайт магазину з доставки продуктів. Отримав досвід під час навчання на курсах Projector."
34,"Дві вищі освіти. Закінчила курси з UI/UX-дизайну, маю 7 місяців досвіду роботи. До дизайну 10 років працювала редактором у різних компаніях, зокрема на телебаченні. На всіх місцях роботи проявила себе як відповідальний фахівець.

Вебдизайнерка-світчерка з великим бекграундом у редагуванні:) Закохана в ІТ. Впевнено користуюся програмою Figma та іншими графічними редакторами. 7 місяців працювала контент-дизайнеркою в компанії GOIT, де готувала у Figma, Photoshop, Illustrator весь візуальний матеріал для онлайн-курсів (прототипи, UI, слайди, обгортки до статей і курсів, рекламні банери, таблиці, документи в Notion). Раніше працювала з програмами Adobe InDesign, Coral Draw. Маю досвід роботи на телебаченні та у видавництві.

Рівень англійської – Intermediate.

Рівень знання розробки – можу відкрити код і знайти оригінальні зображення для свого дизайну:)

Шукаю стабільну роботу з офіційним оформленням у надійній компанії. Прагну працювати з дружною командою фахівців, які люблять свою справу. Разом досягнемо нових висот!"
35,"Створення гарного, стриманого та якісного дизайну сайту, робота з кольорами та текстом, швидке навчання та здатність знаходити потрібну інформацію.

Досвід у виконанні проєктів в рамках курсу Web Design Beginning від Projector. Наразі працюю над створенням сайту для пошуку роботи в Україні в рамках курсу UI/UX Design Beginning, планується ще один реальний проєкт.

Мета - розвиток у сфері UI/UX Design, вивчення англійської мови, створення гарних та функціональних інтерфейсів.

Прагнення знайти компанію для старту, де можна професійно зростати."
36,"Професійний Junior UI/UX Designer з досвідом роботи з Figma та Adobe Photoshop. Спеціалізуюсь на оформленні інтернет-магазинів, Landing page та редизайні сайтів. Маю практичний досвід у створенні кейсів на Behance. Володію англійською мовою на рівні B1, але постійно підвищую свій рівень. Комунікабельна та завзята до роботи."
37,"Марія
Сертифікований UX/UI дизайнер з досвідом роботи близько року. Освіта в графічному дизайні, з вмінням працювати в Adobe Photoshop і Adobe Illustrator. Володію базовими принципами веб-дизайну, колористикою та типографікою. Досвід у розробці макетів для лендингів, багатосторінкових сайтів та інтернет-магазинів. Здатність створювати інтерфейси, що оптимізовані під будь-який екран (десктоп, планшет, мобільний). Вмію працювати в Figma."
38,"Junior UI/UX Designer з досвідом роботи у сфері дизайну. Маю досвід роботи над лендінгами, інтернет-магазинами та корпоративними сайтами. Вмію проводити конкурентний аналіз, складати мудборди, працювати з wireframes та композицією. Володію навичками роботи з типографією, кольором та адаптивним дизайном. Вмію працювати з програмами Figma, After Effects, Photoshop та Illustrator.

Маю досвід роботи як завідувач відділу у Центрі позашкільної роботи, де організовувала науково-практичні конференції та круглі столи, модерувала творчі групи та розробляла дизайн презентацій та рекламних матеріалів. Закінчила онлайн-курс в ITSTEP ""UX/UI Designer"", де працювала над розробкою різних проєктів.

Швидко навчаюся новому та завжди готова вдосконалювати свої навички. Мета - розвиватися як UI/UX Designer та зростати від Junior до Middle level."
39,"Курси

- Креативні Практики
- Робота з Figma
- Основи вебдизайну
- Основи дизайну

Навчання у вінницькій IT-академії: напрямок - Веб-дизайнер

Навички

- Володію навичками роботи в Photoshop (обробка фотографій, створення колажів)
- Досвід роботи в Lightroom

Досвід

- Сторінка викладача математики “Дробик”
- Сторінка пам’яті Тюренкову Олексію Валерійовичу
- Сторінка розробників для проектів
- Сторінка спортзалу Gym
- Сторінка компанії ""Надійний захист будівлі""
- Банери для ІТ-академії для рекламування внутрішніх проектів
- Зараз працюю над ""EduHub"" - сайт букінгу коворкінгів."
40,"Валерій

Мета: Стати одним з кращих у галузі UI/UX design, після успішної кар'єри у фотографії.

Освіта:
- Онлайн курси від Creative Practice: ""UX/UI. Проєктування та дизайн інтерфейсів"", ""Робота в Figma"", ""Основи веб-дизайну"".
- Практикум з теми ""Основи фронтенду. HTML та CSS"".

Досвід:
- Досвід у фотографії, де створював історії для клієнтів за допомогою камери.
- Досвід у торгівлі та керуванні персоналом, що допомагає зрозуміти психологію продажів.

Навички:
- Естетичний смак, розвинений у фотографії, застосовується у дизайні.
- Бажання навчатися та розвиватися у галузі UI/UX design.

Місце проживання: Київ.

Готовий навчатися та працювати, щоб стати кращим у своїй галузі."
41,"Junior UI/UX дизайнер зі знанням дизайну від Alpaca School. Відсутній досвід роботи з комерційними проєктами, але володію всіма необхідними навичками. Відповідальна та швидко вчуся."
42,"GiftyFly Mobile App
An educational project
GiftyFly is a remote gift ordering and selection app.
The main goal of the project was to remotely select a gift from recommendations and send a gift or flowers to a person on a specific date/time - just in time for a celebration. This was a team project, where my tasks included developing onboarding, registration screens, some key screens, as well as analyzing competitors and users.

Yours Sports Bar (Redesign)
A landing page educational project
This project was educational. The problem was the outdated look of the website, which was completely unusable and needed a refresh. In this project, I decided to create a landing page. I also made the website responsive for mobile phones.

For both websites, the main tools used were: Figma, Adobe Photoshop, Adobe Illustrator."
43,"Освіта:
- Курс UX/UI design Lemon School Kharkiv
Досвід роботи:
- Графічний дизайн: розробка логотипів, рекламної продукції, вітрин та упаковки
- Архітектор у сфері містобудування: розробка та захист планів населених пунктів, детальних планів територій у містах та архітектурних проектів
Навички:
- Відмінні навички в UX/UI design
- Високий рівень креативності та уваги до деталей
- Вміння працювати над різними проектами та швидко адаптуватись до нових завдань
Мета:
- Розвивати свої навички в дизайні та спробувати себе в різних проектах, зокрема в розробці мобільних додатків."
44,"Досвід навчальних проєктів на курсах по дизайну з важливим акцентом на UX та вайрфрейми. Досвід у e-commerce проєкті, зокрема аналіз цільової аудиторії, конкурентів та створення персон. Бажання розпочати кар'єру у невеликій компанії з можливістю розвитку та вдосконалення навичок. Готовий працювати у команді та вивчати нові технології."
45,"Досвід роботи:

- Хостесс
- Менеджер з продажу
- Адміністратор
- Офіціант

Досвід роботи з основами дизайн-мислення, робота з брифом: mind mapping
Дослідження UX: аналіз конкурентів, карти персон і емпатії, карта шляху клієнта та потік користувачів
Прототипування, тестування
UX дослідження: веб-аналітика, A/B тестування
Основи композиції, теорія кольору, шрифти, типографіка, компоненти
Створення системи дизайну, інтерактивного прототипу в Figma, адаптивного дизайну.

Проект: розробка сайту притулку для тварин, включаючи аналіз конкурентів, персон, карту шляху клієнта, потік користувачів та опитування.

Програми: Figma, Blender, Adobe Photoshop, Adobe Illustrator, Fresco."
