Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
181,"ICan App - мобільний застосунок для благодійності
Мобільний додаток, дизайн повного циклу
ICan - мобільний додаток для благодійного проекту.
Метою було створити простий у використанні додаток для благодійного проекту.
Проект був розроблений і запущений в 3 етапи: загальний користувацький
інтерфейс, платіжний інтерфейс та інтерфейс адміністратора. Також була створена зручна навігація.

Open Doors - веб-сервіс наукової сторінки Юлії Турченко.
Посадкова сторінка, дизайн повного циклу
Цей веб-сервіс був створений для забезпечення персональних наукових публікацій у світовій науковій спільноті.

Веб-сервіс для громадської організації
Веб-сайт, дизайн повного циклу
Сайт неурядової організації, яка об'єднує зусилля для підтримки безлічі проектів по всьому світу. Платформа надає можливість людям, які змінюють світ і створюють зміни, реалізувати своє унікальне призначення.

Веб-сервіс для платформи Crownfinding
Веб-сайт, дизайн повного циклу
Краудфандингова платформа для вирішення соціальних проблем. Платформа об'єднує соціальні проекти на одній сторінці, дозволяючи створювати або підтримувати проекти. Доступний пошук за фільтрами.

Тестування."
182,"I developed landing pages and full-fledged website pages, the last of which is a site for a company engaged in landscape design. After discussing the brief in the project, the task was set to create a simple and stylish site without unnecessary details, which will interest potential customers! The site is in two languages, as the company focuses more on America and Europe. I use the program for creating sites figma, illustrator and photoshop. In figma, I make the site itself, as well as a video to show how the site will work, I also fully think over the functionality so that it is convenient for the user to use (UX). I make mockups in Photoshop to show the finished version to the client. The project also included a phone adaptor, for the user's convenience. The site was presented to the client in two versions and different styles.

I also quite often design banners for stores and street boards, the interest in advertising from the boards was 25% more calls and 3% more purchases. I used Figma and Photoshop. I cooperated with polygraphy so that there were no nuances!"
183,"Work with Figma, Creative Practice Certificate
Description:
Typography, work with figures, work with components, AutoLayouts, work with styles, prototyping (based).

Web - designer 3.0, Genius Space
Description:
Foundations of UX - UI design, stages of design creation, Tilda

Continuously English learning
English course, level A2, Lingva Skills (Certificate)
English for STEM, Prometheus (Certificate)
B1 individual English course with tutor (in process)

Previous work experience was related to sales, which significantly helped develop communication skills, teamwork, and finding approaches to different people. Easily adaptable and work well both in the office and remotely."
184,"- Досвід роботи з CRM системами та дизайном додатків
- Створення дизайн систем на основі принципів атомарного дизайну
- Прототипування, дизайн та переробка веб-сайтів, електронних комерційних сайтів, лендінгів
- Робота з модульною сіткою та атомарним дизайном
- Ведення документації та створення інтерактивних прототипів
- Робота з графічними програмами, такими як Figma, Sketch, Adobe Photoshop, Adobe Illustrator
- Досвід роботи з InVision та Jira
- Прагнення працювати у продукті, з нативними мобільними додатками та у дизайн студії
- Відмова від співпраці з російськими компаніями."
185,"Маю досвід керування командою з трьох дизайнерів: уточнюю вимоги, розподіляю навантаження, контролюю виконання і презентую наші роботи замовнику. Мої навички включають interaction design, wireframing, prototyping та visual design. Я працюю в дружній команді дизайнерів, де менеджмент розуміє особливості роботи дизайн-команди і підтримує відсутність бюрократії та процесів заради процесів. Я маю досвід у роботі над проектами з декількома дизайнерами, де можлива командна робота, а також у спілкуванні з замовником напряму, без посередників."
186,"Курси Projector Humanitarium та Web-Maysternya 2.0
- Композиція та історія дизайну
- Кольорова теорія
- UX/UI марафон GoIT
Проекти:
- Розробка landing page для жіночої білизни та інтернет провайдера
- Розробка landing page для майстер-класу
- Розробка айдентики для ательє ""Carrots studio""
- Розробка логотипу для інтернет магазина X-Auto
Мета: знайти посаду, де можна розкрити свій потенціал та вдосконалити здібності. Відкрита до нового, професійно розвиваюсь та слідкую за тенденціями ринку."
187,"Team Lead в продуктовій компанії з досвідом у створенні та підтримці командного духу. Успішно переорієнтував проект на користувача, покращив інтерфейс та спростив функціонал. Займався усуненням inconsistencies, створенням нової UI та написанням Style guide. Експерт у Lead, User Interface (UI), User Experience (UX), Product design. Володію навичками в Sketch, InVision, Marvelapp, Zeplin, Principle, Abstract, Presentation, Keynote. Досвід роботи в умовах білого заробітку, стартапу та цікавого проекту з дружнім колективом."
188,"LEMON SCHOOL
July 2022 - September 2022
My responsibilities:
- Creating content for social media (posts, stories, reels)
- Developing new company branding

MUSIC CYCLE FESTIVAL (freelance)
May 2015 - February 2022
My responsibilities:
- Developed branding for ""Music Cycle Festival""
- Created landing page
- Designed logo for the festival
- Designed tickets and posters, social media content
- Designed corporate clothing

LOMBARD ""PERШИЙ""
March 2020 - June 2021
My responsibilities:
- Held the position of lead designer at this company
- Developed company brand book, image advertising campaigns
- Created social media content posts
- Designed and prepared layouts for printing

KAPITAL LOMBARD
November 2018 - October 2019
My responsibilities:
- Head designer at this company, developed advertising campaigns, souvenir product design, vehicle branding, design of billboards and banners

PPM (Production of Promo Materials)
March 2018 - September 2018
- Thematic design of trade platforms, window design, various exhibitions, vehicle branding

KLION
June 2017 - February 2018
- Designed packaging, labels
- Designed outdoor advertising and advertising campaigns for brands such as ""Veladis"" and ""Darwin"""
189,"Multidisciplinary designer with 4 years of experience in UX/UI/Visual Design for iOS, Android, and Web applications. Holds a Bachelor of Arts degree in Music from Vasyl Stefanyk Precarpathian National University. Looking to elevate design skills."
190,"Мета моєї діяльності - перетворювати ідеї на реальність через дизайн. Я створюю складні, адаптивні, доступні рішення, засновані на реальних потребах користувачів. Я спеціалізуюсь як у веб-дизайні, так і в дизайні мобільних додатків.

Маю досвід у розробці: B2B, B2C, NFT, Landing Page, Dashboard.

Мої навички: Веб-дизайн, Дизайн мобільних додатків, Дизайн інтерфейсу користувача, Прототипування, Wireframing, UX Research.

Також маю середні знання у Front-End розробці та управлінні проектами. Завдяки великому досвіду та постійному самоосвіті легко розумію більшість процесів веб-розробки.

Поза роботою, я захоплююся фотографією та музикою.

Відкритий для нових контактів та знайомств.

Мрією для мене був світ IT. Працюючи на посаді Project Manager у сфері нерухомості, часто відвідував відділ IT, насолоджуючись атмосферою та нестандартним мисленням спеціалістів. Тому бажаю максимально поглибитись у цю сферу, брати участь в проектах, постійно вчитись новому та реалізовувати свої знання. Під час роздумів над питанням ""Чим я не хочу займатися"", можу з впевненістю сказати, що не хочу стояти на місці, для мене дуже важливий потік інформації та експериментів."
191,"Мої навички:
• типографія
• кольористика
• робота з файрфреймами
• навички роботи в Figma, Adobe Photoshop, Adobe Illustrator;
• структура сайту та сценарій користувача
• можливість створювати мобільний дизайн, веб-дизайн, ілюстрації, мокапи;
• Розстановка пріоритетів та управління часом
• знання англійської мови рівень В1

Досвід роботи:
• Працювала в компанії jefa.io над проєктом jefa.ua за ставкою $20 за годину протягом 1,5 місяців. Після зупинки українського проекту, ми успішно виконали багато роботи для українських жінок.
• Фріланс проект (лендінг, веб-сайт, крео)

Додатково:
• Активно вивчаю front-end (Css, Html) для того, щоб доводити дизайн-проєкти до кінця.

Будь ласка, дайте знати, якщо вам потрібна будь-яка додаткова інформація."
192,"New Tribe Agency - Я та кілька інших дизайнерів працювали одночасно над різними проектами. Основними завданнями були редагування зображень в Photoshop і створення користувацьких інтерфейсів для веб-сайтів і мобільних додатків. Також працювала над створенням CRM системи для менеджерів.

Freelance - Працювала над крос-платформним мобільним додатком, де люди могли шукати роботу, читати новини на конкретну тему і отримувати інші послуги. Працювала у команді з іншим дизайнером. Також, працювала над вебсайтом, метою якого був ринок продуктів краси. Я працювала сама. Завдання полягало у створенні десктопної, планшетної та мобільних адаптацій.

Projector - Під час навчання працювала над двома проектами. Перший, лендінг для компанії, яка займається створенням авторських подорожей по світу. Другий, вебсайт для українського бренду виготовлення сумок та гаманців."
193,"Мета: Отримати першу роботу в сфері UI/UX дизайну для набуття комерційного досвіду та подальшого розвитку.

Навички:
- Ознайомлення з основними поняттями UX, UI, Product design, Web-design
- Вміння працювати з інструментами Figma, Photoshop, Adobe XD, Illustrator
- Досвід у проведенні основних етапів UX досліджень, включаючи User Research, Persona, Journey Map, Empathy Map, Information Architecture
- Вміння візуалізувати прототипи, створювати клікабельні прототипи, робити Sketching, Prototyping, Wireframing та UX Testing
- Знання основних принципів дизайну, включаючи композицію, ритм, акценти, зв'язки, контраст, управління сприйняттям, шрифти, кольорознавство, відступи та форми в дизайні
- Досвід роботи з дизайном мобільних додатків, CRM системами, Landing pages та Material design
- Знання основних методик керування проектами та комунікації з командою
- Навички роботи з програмами Adobe Illustrator, Adobe Photoshop, Figma
- Досвід роботи з Photoshop, включаючи верстку тексту, роботу з кольором, малювання, шарами, векторними формами, фільтрами, ефектами, світлинами та ретуші

Освіта:
- Курси WEB Дизайну (UI/UX) в CASES.Media Creative platform

Мета: Отримати першу роботу в сфері UI/UX дизайну для набуття комерційного досвіду та подальшого розвитку."
194,"OO Dental
- Збільшення на 30% записів

Bizzy
- Отримання 3 офферів до офіційного релізу сервісу від будівельних компаній з урізаним функціоналом

Oblivion
- Проведення 5 івентів протягом 3 сезонів
- Залучення 800+ відвідувачів
- Збір додатково 2к$ для потреб військових

Illustrator у OO Dental (Стоматологія)
- Розробка дизайну візитівок
- Підготовка до друку

Figma у Christina cosmetics (Онлайн магазин косметики)
- Створення макету майбутнього сайту
- Створення UI відповідно до брендбуку компанії
- Адаптація для різних web розширень екранів

Figma та Illustrator у Eco Time (Онлайн продаж квитків)
- Лого проєкту
- Аналіз конкурентів
- Створення макету майбутнього сайту
- Створення UX карти для макету
- UI desktop/mobile версій сайту
- Адаптація відповідно до актуальних розширень екранів
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки

Створення презентацій для продажу послуг студії у Digiway media

Figma та Illustrator у Coinswap.io (Онлайн крипто обмінник)
- Векторизація ескізу лого
- Побудова UX сайту
- Створення UI сайту проєкту
- Створення 3D моделей елементів сайту
- Дизайн та верстка презентації проєкту
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки

Figma та Illustrator у Bizzy (Saas)
- Аналіз ринку
- Сувмісна розробка майндмапи для деталізації розуміння потреб користувачів
- Сувмісна розробка web/mobile прототипу з ідеологом проєкту
- Розробка та створення лого/айдентики проєкту
- Створення UI web/mobile версії проєкту
- Використання гайдлайнів iOS для UI mobile app
- Створення клікабельних та анімованих прототипів web/mobile app
- Створення презентації проєкту для партнерів

Figma, Illustrator та Photoshop у Oblivion (EBM/Disco івенти)
- Розробка лого та айдентики проєкту
- Створення структури та графічних матеріалів для маркетингу (афіши, пости інстаграм)
- Створення дизайну друкованої продукції (постери, стікери)
- Підготовка до друку графічних матеріалів

Figma та Illustrator у Foodistic (Мобільний додаток)
- Редизайн наявного додатку проєкту
- Покращення UX додатку
- Інтеграція та спрощення функцій додатку"
195,"- 12 років у сфері створення вебсайтів (+ останні 7 років паралельно в UI/UX дизайні).
- Сотні створених лендінгів, вебсайтів, та прототипів мобільних додатків і веб-інтерфейсів.
- Тисячі створених рекламних банерів для соціальної, та таргетованої реклами.
- Сотні позитивних відгуків на фріланс біржах.
Portfolio: www.polishchuk.me

Привіт! Мене звати Роман.
Я працюю в галузі UI/UX дизайну вже понад 7 років. Я спеціалізуюсь на створенні макетів для різних інтерфейсів, включаючи складні CRM системи, мобільні додатки, веб-додатки, вебсайти та інше. Також я виконую роботу з графічного дизайну, таку як створення логотипів, рекламних банерів, презентацій, постів у соціальних мережах тощо.
Додатково: Окрім дизайну, я також займаюсь програмуванням та розробкою вебсайтів (вже понад 12 років). Я завжди намагаюся розвиватися в різних галузях ІТ, а також вивчати нові технологічні стеки, але дизайн завжди був моєю основною спеціалізацією, на яку я приділяю найбільше уваги.

Оглядаючи моє резюме, я завжди прагну розуміти потреби моїх клієнтів та повністю поглиблююся в кожен проект. У мене є значний портфоліо, де ви можете оцінити мою роботу.

Мої основні навички та технології:
UI/UX дизайн та графічний дизайн:
Figma, Photoshop, Illustrator, Axure, Sketch, Final Cut Pro, Grids, Icons, Wireframes & Prototyping, Design Mobile App & Web application.

Додаткові навички:
Front-end / Back-end: HTML5 (високий рівень), CSS (високий рівень), Bootstrap (високий рівень), jQuery (середній рівень), PHP (середній рівень), MySQL (середній рівень), JS (базовий рівень), React.js (базовий рівень), Next.js (базовий рівень).

Операційні системи:
Mac OS, Linux (Debian, Ubuntu, Cent OS), Microsoft Windows.

Також я працюю з:
Jira, Trello, GIT/GitLab/GitHub, CLI."
196,"UX/UI дизайнер з досвідом створення та розвитку медіа від 10 підписників до 400 000. Організація та проведення Behance Portfolio Review. Маю навички у Sketch, Proto.io, MockingBot, Principle, Invision. Досвід у мобільному дизайні, UI/UX, прототипуванні та веб-дизайні. Знання Responsive Design, Apple HIG, Material Design та веб-дизайну. Пройшов курси з UX Design, Strategy And Prototyping в Netology."
197,"Я шукаю можливість, яка дозволить мені розвиватися та покращувати свої навички в UI/UX та Web-дизайні. Маю досвід реалізації як індивідуальних, так і командних проєктів. Розгляну всі пропозиції роботи, в тому числі волонтерські.

-Restoplace-
Mobile application for IOS, full cycle design

Restoplace is a mobile application, that combines a convenient search for restaurants, the ability to quickly reserve tables and pre-order meals, which can be paid immediately in the application.

-MedOnline-
Web application, full cycle design

MedOnline is a web application for conducting online calls between a doctor and a patient, which allows not only to conduct online consultations, but also to automatically document the results of the meeting. Responsive versions for tablet and mobile have also been created."
198,"Senior UX/UI designer
з 04.2022 по теп. час
Grivallure, Київ
- створення дизайну для різних цифрових продуктів, включаючи веб-сайти, мобільні та веб додатки;
- проведення досліджень користувачів та юзабіліті-тестування для збору інформації та прийняття рішень;
- наставництво та надання рекомендацій молодшим дизайнерам;
- участь у критиці дизайну та внесок у загальну стратегію дизайну та бачення організації.

UX/UI designer
з 10.2021 по 04.2022
Betasprint, Київ
- створення дизайну для різних цифрових продуктів, включаючи веб-сайти, мобільні та веб додатки;
- проведення досліджень користувачів та юзабіліті-тестування для збору інформації та прийняття рішень;
- розробка дизайну веб-сайтів;
- створення логотипів.

UX/UI, Graphic designer
з 02.2020 по 10.2021
Brain Tank, Київ
- дизайн інтерфейсів;
- розробка дизайну веб-сайтів;
- розробка мобільних додатків;
- створення візуальних концепцій рекламних матеріалів;
- створення логотипів та фірмового стилю."
199,Designer at Diia since 2020 and lecturer at Skvot since 2023. Specializing in crafting high-quality presentations and websites with a focus on style and speed. Experienced in guiding others in these areas. Not interested in logo design or branding.
200,"Навички:
- Розробка та дослідження;
- Створення логотипів та корпоративного стилю;
- UX-карта та скетчі;
- Moodboard;
- Дизайн інтерфейсу та UI Kit;
- Адаптивний дизайн (планшет: 1000px, 768px; мобільний: 480px, 360px; або інші);
- Анімація;
- Знання HTML5/CSS3.

Програмне забезпечення:
- Figma (вільно, використовую в даний час);
- Adobe Photoshop (просунутий, використовую в даний час);
- Adobe Illustrator (просунутий, використовую в даний час);
- Adobe InDesign (просунутий, використовую в даний час);
- Adobe After Effects (середній, використовую в даний час)."
201,Маю досвід у розробці Landing pages та редагуванні дизайну мобільного додатку E-commerce під час роботи в Startup з жовтня 2021 по січень 2022. У рамках стажування в Softengi з липня 2022 по січень 2023 займалася дизайном функціональностей для проектів. У PGM з лютого по квітень 2023 працювала над Landings pages та рекламою сервісу. Мета моєї кар'єри - отримання корпоративного досвіду для подальшого розвитку.
202,"Пройшов міні-курс від WayUp та GoIT, а також курс від Hillel IT School. Наразі активно працюю над створенням портфоліо. Маю намір розвиватися в компанії як Trainee/Junior."
203,"Trainee UI/UX designer з 04.2022 по нині.
- Дизайн веб-сайтів, додатків, ігор (створення нових та робота з вже існуючими проєктами).
- Створення email-банерів для рекламних розсилок.
- Робота у Figma (з компонентами, стилями, варіантами й т.д).
- Прототипування.
- Адаптивний дизайн.
- Робота з растровою та векторною графікою."
204,"UI/UX дизайнер з Києва, Україна з досвідом у дослідженні, розробці, створенні та підтримці дизайн проєктів для різних галузей. Маю досвід у створенні маркетингової продукції, що супроводжує проєкт.

Технічні навички:
- Проєктування і розробка
- Wireframing і прототипування
- Адаптивний веб-дизайн
- GUI для Android і iOS
- Методології UX і CX
- Аналітика досліджень
- Просування та оптимізація
- Композиція, колір, типографія

Особисті якості:
- Естетичний художній смак
- Креативне мислення
- Самостійність
- Адаптованість та гнучкість
- Презентація продукту
- Комунікабельність
- Жага знань

Досвід роботи:
- UI/UX Designer в ""UAZMI"" - агрегатор новин
- UI/UX Designer в ""Barbaricum"" - науково-дослідна лабораторія
- Freelance UI/UX Designer - розробка дизайну для різних проєктів

Займався аналізом конкурентів та ЦА, розробкою архітектурної структури сайту та навігації, створенням ескізів та прототипів, розробкою чистого мінімалістичного дизайну та лого буків. Співпрацював з розробниками для створення адаптивного дизайну.

Будь ласка, врахуйте ці зміни у вашому резюме."
205,"UI/UX Designer, Web Designer
Arifmetica, Marketing agency
Aug 2017 - Jan 2022 - 5 years, Ukraine
- Conducted marketing research and competitor analysis for clients based on collected data.
- Analyzed client input data.
- Understanding user and their goals through client interviews.
- Analyzed user behavior, created User flow.
- Worked with Google Analytics and user touch map.
- Designed based on collected data and functionality.
- Created mood boards.
- Conducted product audits and optimized existing interfaces.
- Conducted interviews with users and clients to evaluate and improve product usefulness. Optimized the website, increased conversion rates, and user retention time. Simplified information retrieval for wholesale clients.
- Collaborated with clients, project defense, and presentation.
- Collaborated with developers and tested the final product.
- Created technical documentation.
- Worked in a team of designers, had experience in setting tasks for the entire team. Acted as a project manager.
- Collaborated with developers and SEO specialists.
- Developed concepts for future projects and selected references for clients.
- Identified ""problem space"" - what hinders task completion, how tasks or processes can be improved.
- Requirements gathering, alternative development, prototyping, and evaluation.
- Brand book development.
- Created identity and web banners.
- Packaging design for the product. From sketching, visualization to printing/assembly for a medical product.
- Worked with the SMM department. Design concept creation.

Digital Marketing
GAF, Kyiv (Telecommunications)
Aug 2015 - Aug 2017 (2 years)
- Company data analytics.
- Marketing and communication analytics.
- Competitor analysis and online representation.
- Report and lead improvement plan creation.
- Establishment of the first line sales department.
- Script writing for the sales department.
- Development of company promotion strategy on social media, forums. Strategy presentation to management.
- Development, testing of advertising strategy.
- Preparation of advertising materials.
- Sales reports, planning.
- Collaboration with the design department.
- Website update work. Data collection on user behavior on the site. Blind spot identification.
- Visual concept development for social media.

Web designer, Freelance
Aug 2015 - Aug 2017 (2 years)
- Created design."
206,"Mobios School - жовт 2021 - бер 2021 
UI/UX Design & Mob

IT Labs - вер 2020 - лист 2020 
Web Design 

Відкритість та бажання освоїти нові знання, комунікабельність, здатність до самоаналізу, вміння вислухати та сприйняти конструктивну критику, швидконавчання 

UI/UX Designer - серп 2021 - по теперішній час 
Мережа Ланет 
Обов’язки: 
UX: аналіз конкурентів, розробка wireframe, розробка навігаційних карт, створення прототипів. 
UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпортивних сайтів. 

Freelancer - січ 2021 - серп 2021 
Обов’язки: 
UX: аналіз конкурентів, часткова аналітика GA, розробка wireframe, розробка навігаційних карт, створення прототипів. 
UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпортивних сайтів. 

UI/UX Дизайнер (Проектна робота) - трав 2021 - лип 2021 
Aventus Group 
Робота над новим проектом, в сфері онлайн кредитування 
Обов’язки: 
UX: аналіз конкурентів, часткова аналітика GA, створення прототипу 
UI: створення UI kit, дизайн мобільного додатку, дизайн онлайн карти, участь у створенні дизайна, фізичної карти 

UI/UX Дизайнер - квіт 2015 - квіт 2016 
Qwert-Media 
Обов’язки: 
UX: аналіз конкурентів, створення wireframe, часткове проектування, вже існуючих сайтів 
UI: створення UI kit, дизайн web сайтів, дизайн адаптивних версій, дизайн та підтримка вже існуючих проектів 
Аналіз та проектування, створення сучасного дизайну, як для Web так і для мобільних додатків, підтримка вже існуючих проектів. Співпраця із командою як дизайнерів, так і розробників. Підготовка макету до верстки."
207,"UI/UX дизайнер: Розробка творчих ідей, концепцій та задумів для веб-сайтів, лендінгів та мобільних додатків. Досвід роботи з Tilda для створення веб-сайтів. Побудова інформаційної архітектури, user flows, wireframes та сценаріїв взаємодії з користувачем. Проектування екранів інтерфейсу та прототипів. 

Графічний дизайнер freelance: Створення логотипів, банерів та ілюстрацій для різних компаній та студій. Володіння програмами Figma, Adobe Photoshop, Adobe Illustrator, Sketch, Miro та InVision.

Мета: Потрапити у команду, де зможу застосовувати свої навички та постійно розвиватись."
208,"UI/UX Designer | Фрілансові проекти:
- Дизайн лендінгів, інтернет магазинів, редизайн, адаптивний дизайн, кастомні сторінки, екрани та графічні елементи;

UI/UX Designer | ITSC.CO:
- Аналіз поведінки користувачів і товару клієнта;
- Створення макетів і прототипів;
- Розробка сайтів, графічних елементів, стилів, робота зі шрифтами, кольорами та розмірами."
209,"- Володію високим рівнем експертизи в UI/UX дизайні, веб-дизайні та адаптивному дизайні.
- Маю успішний досвід співпраці з міжнародними компаніями.
- Ефективно працюю в різних напрямках, не обмежуючись лише дизайном."
210,"- Розробка інтерфейсу каси самообслуговування
- Побудова системи сервісу по найму приватних тренерів на дому в Америці
- Вебсайти, айдентика
- UI
- UX
- IA
- WEBDESIGN"
211,"Участь у розробці ecommerce сервісу для близького сходу в Дубаї, ОАЕ.
Досвід управління командою дизайнерів як засновник регіональної дизайн студії.
Співпраця з замовниками з Швеції, Англії, Швейцарії, Дубаї, Франції.
Навички у UI, UX, мобільному дизайні для Android та IOS додатків.
Графічний та руховий дизайн, ілюстрація, фотографія.
Бажання розвиватися, цікаві проекти, комфортні умови."
212,"UI/UX-дизайнер
з 09.2020 по 12.2022 (2 рік 3 місяці)
Fiverr, Дистанційно (Дизайн)

Розробляв інтерфейси користувачів, макети веб-сайтів та додатків для телефонів, прев'ю відео на YouTube, логотипи, посадочні сторінки.

Я UI/UX дизайнер. Мої навички - знання Adobe Photoshop, Figma, Illustrator, знання технологій друку. Досвід роботи з фотографією та студійним обладнанням. Крім того, я легко вписуюся в будь-яку команду.
Також у мене є досвід у дизайні веб-сайтів та мобільних додатків. Я розумію, де і як можна застосовувати анімацію, і де цього робити не варто, а також знаю, в чому відмінність адаптивного дизайну від респонсивного. Мій досвід у дизайні внутрішніх документів (форми, презентації), матеріалів для розміщення в Інтернет-ресурсах (банери, креативи в соціальних мережах, відеоінфографіка, email-розсилки). Досвід у розробці і розробці інтерфейсів користувачів та досвід користувачів.

Навички:
- дизайн UI/UX;
- веб-дизайн;
- дослідження та збір даних;
- типографіка;
- розуміння принципів дизайну;
- робота над кількома проектами одночасно;
- базове розуміння HTML та фреймворків.

Особисті якості:
- увага до деталей;
- відповідальність;
- уважність;
- стресостійкість та здатність правильно сприймати критику;
- пунктуальність;
- добросовісність;
- бажання вчитися та самовдосконалюватися;
- комунікативні навички та здатність працювати в команді;
- прагнення до вдосконалення у роботі;
- розвинене уявлення та просторове мислення;
- почуття смаку та креативність.

Хобі та інтереси:
- Рок-музика;
- волейбол;
- настільний теніс;
- відпочинок."
213,"UI/UX дизайнер з досвідом у проектуванні та розробці мобільних і веб-інтерфейсів. Володію навичками використання Figma, Adobe Photoshop, Illustrator та CorelDRAW. Досвід у проведенні досліджень та інтерв'ю на внутрішніх проектах, а також у роботі в продуктовій команді. Маю досвід у управлінні продуктовою командою з розробки мобільного додатку, використанні Scrum та роботі з вимогами до задач. Також маю досвід у розробці web-інтерфейсів, включаючи інтернет-магазини та корпоративні сайти, а також у створенні POS-матеріалів."
214,"• UI дизайнер
з 11.2018 по 02.2022 (3 роки 2 місяці)
Група компаній ""РемонтЕкспресс"", дистанційно.
– Розробка адаптивних макетів веб-сторінок відповідно до дизайн-системи компанії
– Підтримка існуючих сторінок
– Створення банерів
– Оформлення інстаграм
– Розробка лого, бренд-буку, каталогів продукції, фірмової документації, буклетів.

• UI дизайнер
з 09.2015 по 11.2018 (3 роки 2 місяці)
ФОП ""Скай"", дистанційно (салони краси, аптеки)
– Створення сторінок для салонів краси, гриль-бару, бюро нерухомості тощо
– Розробка міні-порталу Prokurs
– Розробка веб-додатку для салонів краси ""SalonProf""

• Помічник веб-дизайнера
з 04.2015 по 09.2015 (5 місяців)
Damira Dovlatova, Кривий Ріг (створення веб-сайтів)
– Робота над внутрішніми сторінками сайту на основі домашньої сторінки.

• Дизайнер
з 11.2006 по 11.2011 (5 років)
Aries (поліграфія)
– Розробка макетів різної складності (від візиток до каталогів) та підготовка до друку.

• Вища освіта, спеціалізація ""Графічний дизайн"""
215,"Unilime (з січня 2023) 
Веб-дизайнер, UI/UX designer, бренд-дизайнер.

POZITIFF (жовтень 2019 – січня 2022) 
Графічний дизайнер, веб-дизайнер 
- оформлення рекламних матеріалів 
- створення графіки для сайтів 
- створення концепцій візуальної айдентики 
- створення ілюстрацій

IDEST agency (квітень 2019 – жовтень 2019) 
Графічний дизайнер 
- створення концепцій візуальної айдентики 
- оформлення соцмереж 
- робота з поліграфією та створення рекламних матеріалів

WSwallpaper (грудень 2017 – березень 2019) 
Графічний дизайнер 
- розробка дизайну шпалер 
- верстка каталогів 
- створення рекламних матеріалів

Провела курс ""Основи Photoshop"" для менеджерів та створила методичний посібник для оптимізації роботи у графічних редакторах."
