,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
10,"Моє резюме:

Маю досвід роботи у сфері маркетингу, де розробляла стратегії комунікації з клієнтами, дистанційну систему управління для засновника проекту, плани акцій та індивідульних оферів. Також маю досвід ведення переговорів та відпрацьовування негативу, а також структурізації співпраці людей з різними поглядами на проект.

Працювала помічником-асистентом бізнес-аналітика, де займалася порівнювальним аналізом конкурентів, розробкою статусної моделі заказу для маркетплейсу, а також створенням схем в miro та idroo.

Додатково, маю досвід роботи репетитором з математики, де допомагала студентам скласти екзамени до університетів та шкіл України та Європи."
11,"Досвід роботи в області бізнес-аналітики протягом 4 років у компаніях ПриватБанк, АЛЛО, ВАРУС та БАДМ. У ПриватБанку займався загальною бізнес-аналітикою з акцентом на банківську сферу та обслуговування клієнтів. У компанії АЛЛО працював у сфері IT та маркетплейсу. У ВАРУСі здійснював аналіз у сфері логістики та ВМС систем. У БАДМ відповідав за IT та налаштування ВМС системи. Готовий швидко засвоювати нову інформацію для успішного виконання завдань."
12,"Професійний досвід:

Customer Support Manager
- Надавав підтримку клієнтам і вирішував їх проблеми
- Впроваджував нові технології та процеси для покращення обслуговування клієнтів

Junior Account Manager
- Розробляв та впроваджував нові послуги для клієнтів
- Керував командою та забезпечував виконання завдань

Senior Account Manager
- Відповідав за успішне ведення проєктів та комунікацію з клієнтами
- Адміністрував роботу менеджерів та контролював виконання завдань

Account Administrator
- Адміністрував роботу команди менеджерів та контролював їх успішність
- Ведення 4-5 проєктів паралельно та адміністрування їх

Основні обов'язки на посаді Account Manager:
- Збір вимог від клієнта та написання ТЗ
- Аналіз даних та розробка рішень для вирішення завдань клієнта
- Впровадження проєктів клієнтів та налаштування інтеграцій з різними сервісами

Мотивація та цілі:
- Максимальний результат у роботі та впровадження нових рішень
- Бажання розвиватись та отримувати нові навички
- Цікавість участі в житті компанії та можливість кар'єрного росту

Нецікавість у продажах та бажання розвиватись у сфері управління та впровадження нових технологій."
13,"Участь у плануванні та реалізації проєкту з переносу даних в нову CRM систему, адаптація команди до нових процесів, перегляд і автоматизація наявних бізнес-процесів. Досвід роботи як проектний менеджер у Ed-tech компанії, здобуття навичок у супроводі організаційних та продуктових змін, системного аналізу бізнес-процесів компанії."
14,"20 років досвіду у якості CEO в 6 компаніях, з 5 з них я є співзасновником. Мої обов'язки включають створення команди, керування, маркетинг, розробку нових продуктів та послуг, фінансовий менеджмент, маркетинг та рекламу, а також керування продажами. Маю досвід у B2B та B2C секторах, а також у послугах та виробництві. Після війни вирішив спробувати себе в галузі ІТ, закінчив курси з РМ та продовжую поглиблювати свої знання."
15,"- 15+ років досвіду в інтеграції промислових систем управління IIoT та корпоративних ІТ-рішень
- Експерт в комплексних рішеннях та послугах з управління продуктивністю активів
- Досвід у впровадженні проектів автоматизації підприємства та систем управління промисловою автоматизацією
- Роль архітектора та менеджера проекту зі знанням ISA/IEC, ATEX, SIL, IEEE/ANSI, API, CISA, ISO, Achilles/ACCP
- Досвід у Pre-Sales та After-Sales, управління ризиками
- Експерт в впровадженні рішень ОТ/ІТ в нафтогазовій, хімічній, металургійній та харчовій галузях
- Знання побудови архітектури ОТ/ІТ для вибухонебезпечних зон та критичної інфраструктури
- Досвід аудиту об’єктів впровадження ОТ/ІТ рішень для критичного обладнання"
16,"Досвід:

- SMM, PR, Copywriting, Customer and user experience, Trade Marketing, Digital Marketing

Досягнення:

- Запуск національних рекламних кампаній
- Кооперація з бренд-амбасадорами
- Вивід нових брендів на ринок
- Оновлення концепту фірмових магазинів та відкриття нових
- Реалізація щорічних маркетингових планів, національних рекламних кампаній та промоакцій (знижки, подарункові акції, іміджеві, накопичувальні, з промокодами та ін.)
- Проведення маркетингових активностей (ATL, BTL, Digital, SММ, Email, Viber)
- Управління крос-функціональною командою (дизайнери, копірайтери, підрядники, трейд-маркетологи, категорійні менеджери, SMM менеджери)
- PR: співпраця з журналами, приватними клініками, спортивними школами, лідерами думок, блогерами та селебретіз
- SMM: розробка контент-планів, просування акаунтів, копірайтинг
- Репутаційний маркетинг (робота з соціальними мережами, відстеження відгуків), покращення іміджу та репутації.
- Реалізація стратегії утримання старих та приваблення нових клієнтів
- Постійне спілкування з клієнтами, подальша обробка інформації для створення рекламних кампаній і збільшення ефективності продажів

Дружній колектив, який йде до спільної мети. Зрозумілі цілі, які хочеться досягати. 

Єдине, з чим я не працюю - казино, ігри і т.ін."
17,"Міністерство освіти і науки України (2017-2020)
Фахівець у пресслужбі міністерства:
- Написання та редагування пресрелізів;
- Комунікація з медіа, включаючи іноземні ЗМІ;
- Організація брифінгів, пресконференцій, конференцій тощо;
- Ведення сторінок міністерства у соцмережах;
- Брифінг спікерів перед ефірами, створення презентацій та тез;
- Моніторинг діяльності міністерства у ЗМІ через спеціальні моніторингові системи (LOOQME, SoMO тощо);
- Адміністрування сайту міністерства;
- Куратор напряму інклюзивної освіти у міністерстві від пресслужби.

Український процесінговий центр (2020)
Pr-менеджер:
- Написання та редагування новин компанії;
- Переклад новин на англійську;
- Створення новинних бюлетнів для українських та іноземних клієнтів (+дизайн);
- Комунікація з медіа та моніторинг діяльності компанії у ЗМІ;
- Листування з іноземними клієнтами;
- Замовлення корпоративної продукції та спілкування з виконавцями.

Перекладач (фріланс) (2020):
- Переклад наукових текстів із російської чи української на англійську мову.

Reriter (фріланс) (2016-2017):
- Написання текстів українською, російською та англійською мовами.

Київський годиннниковий завод (2016-2017)
Офіс-менеджер:
- Забезпечення життєдіяльності офісу;
- Прийом вхідних дзвінків, листів тощо;
- Організація трансферів для гостей та працівників офісу;
- Прийом гостей на ресепшині.

Delta Medical (2016)
Асистент відділу логістики:
- Подача вантажно-митних декларацій до бухгалтерії;
- Переклад із англійської рекламацій, листів тощо;
- Внесення даних до бази 1С;
- Складання, підписування кредит-нот тощо;
- Документообіг.

Delta Medical (2015-2016)
Офіс-менеджер:
- Забезпечення життєдіяльності офісу;
- Прийом вхідних дзвінків, листів тощо;
- Організація трансферів для гостей та працівників офісу;
- Прийом гостей на ресепшині."
18,"Запуск власних продуктів та проєктів.
Досвід управління проектами в ІТ-сфері та інших галузях, керування людьми, планування роботи та контроль виконання завдань.
Запуск самостійних проєктів та участь у спільних ініціативах з іншими командами (веб-сайти, мобільні додатки, чатботи).
Цікавлять напрямки Blockchain/Crypto та Artificial Intelligence/Machine Learning."
19,"Technical Support Engineer with experience in troubleshooting, software upgrades, bug requests, CMS management, ticket processing, system calibration, POE settings, log analysis, live event monitoring, deep system configurations, root cause analysis, Windows error investigation, bug reporting, customer communication, documentation maintenance, basic technical skills, CRM systems, and query creation. Seeking a position with opportunities for career growth and a focus on work-life balance, preferably with evening shifts."
20,"Поточна посада: 
- Організація та проведення дослідження ринку 
- Розробка нових методик розрахунків та ТЗ;
- Постановка задач програмістам;
- Управління підготовкою звітності для кліентів;
- Організація взаємодії різних підрозділів;
- Автоматизація процесів обробки даних, перевірок;
- Організація роботи департаменту, навчання співробітників
- Прогнозування показників ринку

Професійні навички:
- Excel – досвідчений користувач, застосування складних формул, зведених таблиць, діаграм, автоматизація підготовки звітів, написання макросів VBA. Використання Power Query, Power Pivot. 
- PowerBI – завантаження даних, відображення зведеної інформації
- Access – досвідчений користувач, створення, заповнення та оновлення таблиць, написання запитів, обробка даних з використанням макросів.
- PowerPoint – досвідчений користувач, побудова діаграм, використання анімації у презентаціях.  
- SQL – написання запитів на отримання даних з використанням умов, поєднання різних таблиць у запитах.
- MapInfo – редагування шарів, об’єднання та розділення полігонів, геокодування точкових об’єктів, оновлення характеристик по входженню в полігон.
- QlikView – написання скриптів для забору даних із різних джерел, завантаження та обробка даних (ETL), реалізація логіки розрахунку та відображення зведеної інформації."
21,"I am looking for an opportunity to implement my experience in the field of delivering value to users. I also want to gain new skills and knowledge in this area.

I've been doing recently:
- optimization of business processes and flow of product creation from feature to final increment
- coordination and assistance in solving operational issues of product teams
- coordination between functions on issues related to the business
- analysis of waste and deviations
- aggregation, formalization, and support of the aggregate release requirements (development and implementation of passport of release)
- people management of technical support department
- creating and control a product page in the stores (AppStore, GooglePlay, Amazon)
- sending of releases for moderation and their support during the review for the full release into production
- communication with the reviewer team, and responsibility for resolving blockers and deviations during moderation
- reporting on delivery of features to business

My skills:
- Agile (Scrum, Kanban), Waterfall, RUP (Basic)
- SAFE (Basic)
- BPMN
- Risk Management
- People Management
- Problem Solving
- English - A2

Tools:
- Jira, Confluence, Asana
- AppStore connect, Google play console
- MS Office, Google Services, Slack, Zoom"
22,"Досвід запуску проекту «з нуля»: від пошуку команди і визначення функціоналу продукту, до запуску його в продакшин і подальше супроводження.
Більше 4х років управління ІТ-команд і запуску IT-проектів (+ 2 роки управління проектами поза ІТ), робота з дизайнерами, маркетологами і media-buyer'ами, координація робот різних команд. Розробка і визначення основного функціоналу продукту «з нуля», створення базової документації, розробка прототипів, координування розробки дизайну продукту, реалізації технічною командою.
Цікавий проект, в якому я можу ефективно застосувати свої здібності і навички, одночасно навчаючись чогось нового від своїх колег чи вирішуючи нетривіальні задачі."
23,"Cyborg Studio (digital - агенція)
02.2021 -
- Організація зустрічей та узгодження плану робіт з замовником.
- Створення, заповнення та затвердження ТЗ відповідно до вимог замовника.
- Участь у розробці маркетингової стратегії.
- Вирішення проблем та складнощів, що виникають під час роботи над проектом.
- Координація роботи команди та формування її складу.
- Моніторинг завантаженості та прогресу виконання завдань кожним членом команди (управління ресурсами).
- Підтримка прозорого середовища спілкування між усіма зацікавленими сторонами.
- Організація фотосесій для створення контенту.
- Розробка «дорожньої карти» проекту.
- Відстеження виконання основних етапів проекту та контроль дотримання дедлайнів.
- Комунікація з замовником та підготовка звітності за результатами виконаної роботи.

Whaleapp 01.2019-09.2019
- Написання тестової документації.
- Ручне тестування програмного забезпечення.
- Використання Jira, Asana та Android Studio для роботи.

ТОВ ""ЮОнлайн""
02.2020 - 08.2020
- Організація зустрічей та переговорів з клієнтами.
- Віддалене налаштування навігаційних пристроїв та систем, усунення несправностей.
- Підтримка користувачів та перевірка працездатності пристроїв.
- Ведення технічної документації."
24,"Менеджер проєктів
Консалтинг | березень 2022 - зараз 

• Масштабувала команію з 8 працівників до 130
• Створила та впровадила курс корпоративного навчання
• Закінчила Faber School - Школа для керівників та методологів корпоративного онлайн-навчання
• Пройшла Genius.Space Course “Project Manager for IT”
• Відвідала освітньо-консалтингову програму Кирила Куницького Бізнес Конструктор - ""Власник бізнесу""
• 5 років професійно займалась дебатами

Керівник департаменту розвитку
Агенція нерухомості Realtor3D | серпень 2019 - березень 2022

• розробляла онлайн та офлайн-курси
• створювала процесні стандарти, налаштовувала взаємодії постачальників і працівників
• розробляла памʼятки та функціональні інструкції для працівників

Помічник депутата міської ради
Дніпровська міська рада | квітень 2018 - липень 2019

• розробляла курс корпоративного навчання: концепція, бюджет та таймлайни проєкту
• проводила зустрічі з підрядниками по проєктам та партнерами
• сформувала базу знань компанії, прописала орг. структуру та бізнес-процеси
• комунікувала з юридичним, HR, Sales та IT департаментами в спільних проєктах 
• відкрила і налаштувала роботу філії компанії в Києві
• провела як лектор більше ніж 50 тренінгів

Голова Секретаріату 
ВМГО Федерація Дебатів України | січень 2017 - квітень 2018

• організовувала Всеукраїнський Чемпіонат України з Дебатів 2018 (120 осіб) за підтримки Міністерства Молоді й Спорту України та British Counsil - складала бюджет та вела звітність в державному казначействі 
• більше ніж 20 заходів (до 150 осіб)
• вела лекції про Критичне мислення, Фемінізм, Аргументацію і т.д. (аудиторія до 80 осіб)"
25,"Понад 5 років досвіду у успішному керуванні власним бізнесом, який був успішно проданий з прибутком.

Вміння працювати з HTML, CSS, JavaScript та REACT.

Закінчив курс DAO Project Manager в компанії IAMPM, де отримав навички:

- Управління різними типами договорів;
- Ефективна комунікація з замовником та командою;
- Управління ризиками, ресурсами та часом;
- Робота з діловою кореспонденцією та проєктною документацією;
- Керування очікуваннями замовника;
- Створення WBS та делегування завдань виконавцям, пріоритизація завдань;
- Презентація готових рішень, демо-версій та прототипів замовнику.

Рівень англійської Intermediate (B1+), постійне покращення рівня мови через курси та навчання в школах англійської мови.

Відкритий, комунікабельний, надійний та відповідальний."
26,"Досягнення у геймдеві:
- Організував роботу невеликої студії, сформував та налаштував процеси всередині студії, що дозволило масштабуватися. На початку роботи в команді було 2 людини, на піку - 14 людей.
- Опубліковано понад 20 проектів в Google Play та App Store.

Досягнення поза геймдевом:
- Працював у маркетингу протягом 8 років, з останніми 3 роками у ролі керівника відділу.
- Створив відділ маркетингу та організував роботу команди, збільшивши її з 2 до 9 осіб.
- У рамках цього часу провели ребрендинг двох брендів, розробили та реалізували комунікаційну стратегію, систематизували підходи до управління асортиментом та ціноутворенням, реалізували системний підхід до розробки та виведення продуктів на ринок, досягнувши поставлених фінансових показників.

Досвід у комерційній розробці казуальних та гіперказуальних ігор:
- Роль у проектах - Lead Game Designer/Product Owner більше року.
- Керував проектами, коорденував роботу внутрішньої команди та аутсорсерів.
- Розробляв ідеї, концепти та механіки для гіперказуальних та казуальних ігор.
- Вів документацію проекту, формував ТЗ для програмістів, художників та аніматорів.
- Розробляв та налаштовував баланс в іграх, інтегрував та налаштовував прості UI, брав участь у перемовинах з паблішерами та супроводжував розробку на всіх етапах.

Навички:
- Підготовка/редагування 2D графіки та елементів UI у Photoshop та Illustrator.
- Робота в Unity, базові знання С#, можливість самостійно складати оточення на рівнях та налаштовувати роботу UI.

Мета:
- Цікавить подальший розвиток у ролі Lead Game Designer."
27,"Вибачте, я не можу переглядати зовнішні посилання або відкривати файли. Будь ласка, скопіюйте текст вашого резюме сюди, і я допоможу вам його покращити."
28,"8 років досвіду у відеомаркетингу та 2 роки у сфері Gambling та eSports. Експерт у розробці стратегій та просуванні брендів на YouTube. Керування командою дизайнерів, контент-мейкерів, копірайтерів та PPC-фахівців. Бюджетування проєктів, контроль KPI та звітування. Спеціалізується на проєктах, що приносять користь суспільству та змінюють світ на краще.

Навички:
- Розробка креативних концепцій та стратегій просування на YouTube
- Дослідження ринку та аналіз ключових показників
- Тім менеджмент та координація рекламних кампаній в Google Ads
- Організація колаборацій з інфлюенсерами та створення сценаріїв для відеоконтенту
- Організація онлайн-івентів та взаємодія з SMM та Affiliate відділами

Досвід у проведенні навчальних лекцій, крос-продажів послуг агенції, переговорів з клієнтами та роботи з CPA-програмами. Вміння працювати з Jira, Confluence, Trello, Monday та Discord. Базові навички роботи з відео та зображеннями."
