,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
67,"11.2017 – 05.2018
LLC ""Allo"", Sales Manager

06.2018- 01.2019
LLC ""Allo"", Depute Store Manager

02.2019- 02.2021
LLC ""Allo"", Store Manager
Responsibility:
- Management and coordination of personnel (up to 5 people)
- Work with team indicators and development
- Work with internal and external clients
- Achieving KPI goals
- Monitoring company procedures in the store

02.2021- Till now
PLC ""ASBIS Ukraine"", Apple Sales Consultant

I have experience in sales, understanding the needs of customers. Experience can be very useful in e-commerce projects. My design experience is currently limited to educational projects, but I am willing to complete a test task."
68,"Досвід у дизайні фізичних речей, включаючи деталі для подушок Emoji та корпус комп'ютера в стилі Apple. Розробка web-сайту для бюро дизайну інтер'єрів у стилі мінімалізму. Робота над айдентикою для студентської ради університету. Вміння працювати з графічними редакторами та застосування AI інструментів. Основи ООП та можливість розібрати нескладний код. Досвід роботи з JS, CSS 3 та HTML 5. Використання інструментів Figma, Affinity Photo та Affinity Designer у проєкті розробки web-сайту. Бажання отримати стійкий рівень володіння UI інструментами та розвиватися в області UX дизайну. Цікавість у дослідженні бізнесу та цільової аудиторії. Бажання працювати з перспективними інструментами та технологіями для отримання досвіду та стати висококваліфікованим спеціалістом у майбутньому."
69,"Маю досвід у фрілансі з розробки та дизайну. Закінчила курси з Front-end (basic), де вивчала HTML5/CSS, верстку макетів з нуля, флекси, базовий JavaScript, роботу з GIT-ом та SCSS. Також пройшла курси з Web-design, UI/UX Pro, де вивчала аналіз конкурентів та цільової аудиторії, проводила глибинні інтерв'ю та розробляла персони. Маю досвід у CJM та методах пріоретизації, прототипуванні у Figma та розробці інтерфейсів."
70,"Менеджер по роботі з клієнтами – 07.2020 по нині
ТОВ «Українська універсальна біржа» (майданчик публічних закупівель)
Обов'язки:
- Консультування клієнтів
- Фіксація даних в CRM та Slack
- Вивчення нової інформації у сфері державних закупівель
- Реагування на зміни у законодавстві та на майданчику організації"
71,"Мене звати Влад. Я дизайнер на фрілансі, який зараз шукає постійну роботу. Мене зацікавила ваша вакансія і я хотів би приєднатися до вашої команди. Мої навички та обов'язки включають:
- Створення креативів та картинок для соціальних мереж та веб-сайтів
- Розробка логотипів
- Дизайн веб-сайтів та лендінгів
- Володіння навичками CSS та HTML
Я готовий ближче познайомитися та відповісти на ваші питання."
72,"Мій шлях в веб-дизайні розпочався з проходження курсу в Projector University з курсу Web-design. Після цього курсу я пройшов стажування в студії A4 Collective. Проте через початок повномасштабного вторгнення Росії, моє стажування завершилося. Після цього я спробував себе у фрілансі. Після декількох місяців пошуку, мене прийняли на посаду Junior UX/UI Designer в Skykillers. Наразі моя головна мета - набуття додаткового досвіду та нових навичок."
73,"Знання англійської мови на рівні С1 та французької мови на рівні В2. Досвід роботи в міжнародній японській школі з вивчення англійської мови та філологічна освіта. Пройдений курс веб-дизайну. Навички викладання для різних вікових груп. Комунікативна методика та розуміння міжособистісної та міжкультурної комунікації. Досвід у написанні іншомовних текстів різних напрямів та тематики. Бажання працювати в айті сфері за новим напрямом для розширення навичок та потенціалу. Вміння працювати з текстами, людьми та дизайном."
74,"Маю досвід участі в навчальних та реальних проектах з UI/UX дизайну після проходження курсів UI/UX Design from Scratch у Beetroot Academy та UX Design Beginning у Projector Institute. Володію навичками проведення якісних і кількісних досліджень, аналізу потреб користувачів, прототипування та дизайну інтерфейсів, розробки UI-kit. Маю досвід роботи в фріланс проектах та спілкування з реальними замовниками. Вмію працювати з Figma, Sketch, Miro, Adobe XD та Adobe Photoshop. Досвід роботи в команді з іншими дизайнерами."
75,"Розробка лендінгів та багатосторінкових сайтів, вивчення айдентики та психології кольору. Знання процесу розробки сайту, включаючи побудову сітки, поведінку користувача, підбір кольорів та гарнітур, створення інтуїтивно-зрозумілого дизайну для користувача. Навчання в Академії ШАГ за напрямком ""Комп'ютерна графіка та дизайн"", проходження курсів по UI/UX дизайну від WayUp та Alpaca School. Досвід у розробці лендінгу для туристичного агентства та багатосторінкового сайту для аптечного сервісу з пошуку ліків. Мета - розвиток у колективі, який пристрасно відноситься до своєї справи, навчання від досвідчених колег та кар'єрний зріст в компанії."
76,"Курси англійською від Google з основ UX Дизайну та від Університету Міннесоти з основ UI дизайну.
Навчальні проекти та фріланс. Основні завдання: дизайн сайтів, мобільних додатків, банерів для соціальних мереж, редизайн каталогу продукції, розробка презентацій. Для цього проводилися дослідження конкурентів, вивчення цільової аудиторії, побудова інформаційної архітектури, створення персони, складання прототипів."
77,"Після успішного завершення курсу ""Основи Web дизайну"" я отримала перше замовлення та створила логотип. Зараз завершую курси ""UI/UX Design"", де вже вмію проектувати цікавий, привабливий і зручний інтерфейс. Мої обов'язки включають складання персон, дослідження конкурентів та вимог користувачів, створення прототипів і їх тестування."
78,"Професійний досвід включає роботу в компанії, що спеціалізується на розробці мобільних ігор. Обов'язки включають аналіз конкурентів, співпрацю з розробниками, створення макетів гри за технічним завданням, анімацію екранів та персонажів, відслідковування нових тенденцій та дизайн презентацій для Apple Store. Також є досвід роботи помічником дизайнера, включаючи редизайн сайтів, заміну елементів у новому дизайні та створення додаткових екранів у вказаній стилістиці."
79,"Під час навчання в IT школі покращила свої навички у дизайні та створила роботи в портфоліо, отримавши позитивні відгуки від куратора. Швидко навчаюсь і маю потенціал досягти високого рівня у сфері дизайну. Маю бажання розвиватися та навчатися новому, відвідуючи вебінари з веб та графічного дизайну. Закінчила навчання в українській IT школі та готова до викликів у цій галузі. Шукаю можливість навчитися новому та набути досвіду у дизайні в дружньому колективі. Вірю, що головне - це бажання та любов до своєї справи, і готова вкластися в роботу, незважаючи на відсутність досвіду у роботі в компанії."
80,"Завершив курси з UI/UX дизайну в IT Step academy на відмінно. Розробив дизайн для мобільного додатку E-Profi від Міністерства Освіти України, включаючи екрани користувача, компанії та навчального закладу. Розробив логотип для програми, що відображав тематику та привертав увагу користувачів."
81,"Під час навчання в IT Generation було розроблено Landing Page, Mobile App та E-commerce з початкового дослідження ринку, конкурентів, ЦА (user-інтерв'ю, прото-персона, CJM, user-cases), User flow та інформаційної архітектури сторінки. Маю велику наполегливість та бажання розвиватися в сфері дизайну, сподіваюсь працювати з крутими креативними людьми та створювати класні продукти для поліпшення світу."
82,"Мої досягнення включають III місце на всеукраїнській універсіаді КіМу 2018. Під час кар'єри у сфері UI/UX дизайну я пройшов ряд програм і курсів, щоб поглибити свої знання і навички. Мої учителі та ментори надихнули мене і поділилися цінною інформацією, яка стала фундаментом для мене. Особливо важливим досвідом для мене було спілкування з підприємцем, у якого була власна студія по дизайну. Його досвід дав мені розуміння цінності дизайну у бізнесі та важливості забезпечення задовільного досвіду для користувача.

Мої очікування від роботи у сфері UI/UX дизайну дуже високі. Я готовий узяти на себе виклики, які можуть виникнути, і активно розвивати свої навички та знання в цій області. Мені важливо мати можливість проявляти свою творчу натуру через дизайн та внести свій вклад у проекти та компанію, для якої працюватиму. Я готовий до викликів та дотримання термінів, а також до професійного зростання в динамічному середовищі."
83,"Після успішного вивчення UI/UX та участі у декількох фріланс-проектах, я набула досвіду у дизайні систем, проведенні досліджень, створенні презентацій та вайрфреймів. Пройшла курс, де оволоділа основними принципами дизайну, прототипуванням, інклюзивним дизайном, дизайн-мисленням та атомарним дизайном. Мої основні інструменти - Фігма та Adobe. У рамках курсу розробляла мобільний додаток для реального замовлення. Маю досвід роботи з людьми та в команді.

У пошуку роботи, я шукаю дружній колектив, лояльне керівництво, чітку постанову завдань та порозуміння між керівництвом та працівниками. Інші критерії включають продуктову компанію, можливість кар'єрного росту, доступ до різноманітних тренінгів, включаючи англійську мову, та інші ресурси для особистого розвитку. Готова приєднатися як до великого проекту, так і до невеликої команди."
84,"Після проходження курсів розробила pet-project - сайт для музикальної школи:
- Створювала wireframes та робила прототипування
- Маю досвід розробки UI-Kit та дизайн системи
- Вмію робити адаптивний дизайн

Зараз у пошуку роботи, де зможу застосувати наявні навички та розвинути нові."
85,"Професійний веб-дизайнер з понад річним досвідом роботи. Успішно реалізував багато проектів, які отримали високу оцінку від клієнтів. Маю досвід у створенні сайтів, мобільних адаптивів, додатків, userflow та wireframes."
86,"Працювала над двома мобільними додатками:
1. Ініціативна ідея для МінЦифр України.
2. Мобільний додаток для обліку фінансів.

Обидва проекти були розроблені самостійно. Перша ідея виникла ще в університеті і була реалізована на основі дизайну ""ДІЯ"". Важливо зауважити, що цей проект не був реалізований міністерством, але був виключно моєю ідеєю. Другий проект був створений для портфоліо та включав лендінг для англійської школи.

Усі роботи проводилися на платформі Figma. На жаль, досвіду роботи в команді не маю."
87,"Здобула навички UX research під час роботи над фінальним проєктом на курсах, де проводила дослідження ринку, інтерв'ю, створювала опитувальники та аналізувала болі користувачів. Після цього розробила wireframe, провела тестування та на основі отриманого фідбеку підготувала фінальний прототип. Найбільшим досягненням вважаю навчання процесу розробки від ідеї до реалізації через етапи тестування та валідації.

Один з останніх проєктів включав розробку дизайн-макетів для меню закладу. Метою було створити структуру, що дозволяла вміщати різну кількість позицій. Я адаптувала макети таким чином, щоб замовник міг самостійно вносити корективи, а дизайн автоматично підлаштовувався під контент. Це дозволило оптимізувати процес оновлення меню, зекономивши час та ресурси.

Почала кар'єру у дизайні, опанувавши базові навички в Figma для власних потреб. Поступово почала допомагати друзям та знайомим з дизайном макетів і згодом приймати невеликі замовлення на фрілансі, переважно у галузі дизайну поліграфії. Розуміючи, що мені не вистачає знань, вирішила пройти курси UI/UX Design в Beetroot Academy, де покращила свої навички продуктового дизайну та вдосконалила роботу з Figma."
88,"Професійний досвід:

Графічний дизайнер
- Працювала у галузі графічного дизайну протягом багатьох років
- Досвід роботи в поліграфії протягом 3 років
- Робота в галузі геймінг дизайну протягом 1 року, включаючи роботу від друку до створення веб-сайтів
- Останній досвід роботи в рекламній агенції, де займалася створенням інтернет-банерів, презентацій, роботою в соціальних мережах, участю в тендерах та розробкою каталогів для діджитал та друкованих тиражів від 200-500 тисяч примірників
- В даний час займаюсь фрілансом, зосереджуючись на рекламі для соціальних мереж та розробці веб-сайтів

Освіта та навички:
- Художня освіта
- Проходження різноманітних курсів для покращення навичок у графічному дизайні
- Бажання розвиватися та зростати у сфері UI/UX дизайну

Мета:
Шукаю можливість розвитку у сфері UI/UX дизайну у компанії з крутим колективом, де цінують результати та сприяють особистому та професійному росту."
89,"Маю досвід роботи з Android Studio та Figma. Закінчив декілька ПЕТ проектів та отримав сертифікат від Cisco. Володію англійською мовою на рівні Upper-Intermediate. Навчаюся на 4 курсі за спеціальністю ""Кубербезпека"" у національному університеті ""Одеська Юридична Академія""."
90,"Збільшила прибуток компанії на 5% після юзабіліті тестування логіки сайту.
Працювала Junior UI/UX Дизайнеров в Nustay (Київ) в команді зі старшим дизайнером. Розробляла мудборди, мок-апи, вайрфрейми, редизайн єлементів сторінок, оновлювала гайдлайни. Також є досвід роботи QA і тестування UI/UX сторін веб-сайтів. Працювала UX дизайнером в TemplateMonster, розробляла вайр-фрейми для різноманітних сфер бізнесу."
91,"Привіт, нещодавно закінчила курси від Projector з Mobile Apps Design. Маю досвід у проведенні аналізу, розробці user flow, навігації, прототипів та дизайну. Працювала з фрілансерами, а також створювала креативи для соціальних мереж та банерів для YouTube для однієї церкви. Готова до постійного самовдосконалення та розвитку. Буду рада новим можливостям співпраці."
92,"Мануальний QA з 3,5-річним досвідом роботи на e-commerce проектах, зосереджена на функціональному тестуванні та написанні документації для розробників та клієнтів. Зараз проходжу курси Google UX Design та веб-дизайну в школі Alpaca, щоб розвинути навички роботи в фігмі, створення персон та User journey, а також вдосконалити спілкування з клієнтом. Попередній досвід у тестуванні допоміг розвинути надійність та ефективність у роботі."
93,"Курси ""Web design basic"" та ""UI/UX Design Pro"" у айті-школі Hillel (оцінка ""Exellent"", перше місце в рейтингу учнів). Захист дипломних проектів після кожного курсу. Грант на навчання за програмою ""IT Generation"". Курс ""Web design"" від школи ""A-Level"". Досвід роботи у школі англійської мови: проведення індивідуальних занять для дітей від 6 до 15 років, складання навчальних планів та домашніх завдань, звіти щодо відвідування та оплати занять."
94,Досвід розробки сайтів та мобільних додатків.
95,"Редизайн веб-сайту ""Alaska""
Розробка інтуїтивного дизайну для веб-сайту ""BuildHive""
Впровадження ефективної системи сповіщень та оголошень на веб-сайті ""JourneyJet""

Привіт! Мене звати Влада. Я творча та відповідальна людина, яка шукає дружню та веселу команду для спільної роботи над новими цікавими проектами. Мене цікавить саморозвиток і вдосконалення навичок, а також зростання як дизайнера. Також мені цікаво вивчати нові технології.

Мій досвід включає реалізацію 5 проектів, що охоплюють веб-сайти, веб-сервіси, цільові сторінки та мобільні програми. Декілька з цих проектів особливо привернули мою увагу, зокрема ""JourneyJet"" - це інноваційна онлайн-платформа, а також сайти ""BuildHive"" і ""Alaska"".

Мої амбіції як UI/UX дизайнера націлені на постійний професійний розвиток: продовжую вдосконалювати свої навички в створенні естетичних та привабливих дизайнів, звертаючи особливу увагу на вибір кольорів, композицію та типографіку. Слідкую за останніми трендами та практикую мінімалістичний підхід до дизайну, щоб забезпечити сучасний та актуальний вигляд продуктів.

Мої очікування зосереджені на навчанні та внеску в динамічну команду, одночасно вдосконалюючи свої навички. Я в захваті від можливості працювати над реальними проектами та отримати практичний досвід у цій галузі. Моє прагнення полягає у створенні високоякісних проектів та ефективній співпраці з клієнтами та колегами.

Чекаю з нетерпінням на керівництво та наставництво від досвідчених професіоналів, бо знаю, що постійне навчання є вирішальним для мого професійного зростання. В цілому, мої очікування зосереджені на сприятливому та дружньому середовищі, яке дозволить мені розвивати свій досвід та вносити значний внесок у проекти, що мають справжню цінність."
96,"Hello! My name is Khrystyna, a Junior UI/UX Designer with a background in web design from the ""WayUp"" platform. I have acquired skills in creating creative design, landing pages, e-commerce, adaptive design, and conducting UX research. Over the past year, I have gained knowledge in web design fundamentals, typography, color theory, composition, and mobile application design, including iOS and Android guidelines. Proficient in Figma, I have developed a portfolio showcasing my work. I am eager to continue learning and enhancing my professional skills in the field of web design."
97,"Junior UI/UX designer з 4-річним досвідом навчання в академії та участю у творчих проектах. Володію необхідними навичками та знаннями, постійно розвиваюсь. Досвід у командній роботі, здатність до компромісів для успішного виконання проектів. Шукаю дружній колектив для вивчення нових трендів у сфері UI/UX та їх втілення."
98,"Привіт, я Олеся і я UI/UX designer з 1,5 роками досвіду. З цього часу 6 місяців працювала на фрілансі, де створювала односторінкові лендінги, багатосторінкові сайти та мобільні застосунки. Мої обов'язки включали вайфреймінг, прототипування, UX research, UI design, аналіз конкурентів, створення мудбордів, UI kit та дизайн системи, а також використання human interface guidelines."
99,"Я не маю комерційного досвіду як Junior UX/UI Designer, однак, я працювала над особистими проектами, зробила редизайн більш ніж 20 сайтів в Фігмі та фріланс проекти. Приймала участь у розробці веб апплікейшенів на різні тематики: гейм індустрія, благодійні фонди, маркетплейси, landing page, one page application. Маю досвід у роботі з різними сучасними інструментами, такими як Figma, Adobe та AI tools.

У своїй роботі я спеціалізуюсь на дизайні landing page, one page application, corporate website та online platform. Я також маю досвід у графічному дизайні, зокрема у створенні логотипів та поліграфії, такої як price-list, business card, certificate, stickers та posters.

Моєю метою є розвиток як веб-дизайнер і стати експертом у своїй галузі. Я шукаю можливість працювати на проекті, де зможу вивчати нові технології та тренди у сфері веб-дизайну, працювати над більш складними проектами та покращувати свої навички в області користувальницького інтерфейсу (UI) та користувальницького досвіду (UX). Я також зацікавлена у роботі в команді, щоб обмінюватися знаннями та досвідом з іншими дизайнерами."
100,"- Вдосконалення навичок в області дизайну та відстеження сучасних трендів
- Здатність працювати в команді та бажання професійно розвиватися
- Досвід проведення User Research та розробки User Flow, Wireframes, Prototypes
- Навички роботи з Design System та знання основ дизайну: композиція, колір, типографіка
- Досвід у роботі над реальними проектами, включаючи проектування та створення web- та mobile-інтерфейсів"
101,"Сертифікат учасника встановлення рекорду України (вересень 2017) - ""Найдовше панно з Петриківським розписом на полотні"" на 10-му ювілейному обласному фестивалі-ярмарку ""Петриківський цвіт"", зареєстрований Національним реєстром рекордів України під №170392.
Диплом 1-го ступеня з петриківського розпису (листопад 2016 р.) - переможець Всеукраїнського фестивалю-конкурсу дитячої та юнацької творчості ""Урок казки"", нагороджена Міністерством освіти і науки України.

Проекти:

Florium - інтернет-магазин з продажу квітів:
- Аналіз конкурентів та створення мудборду.
- Розробка карти сайту, підбір типографіки та основних кольорів.
- Створення UI-кіту та вайрфреймів.
- Реалізація дизайну адаптивної версії сайту.

BeeHouse - інстаграм-магазин з продажу медових солодощів:
- Створення логотипу та персонального брендингу.
- Розробка айдентики (візиток, етикеток, постів в Instagram та роликів).
- Розробка дизайну для інстаграм-профілю."
102,"На курсах я була однією з найкращих учениць, мою роботу навіть декілька разів обирали для майбутнього доопрацювання. Протягом року я навчалася на курсах Projector Institute, де виконала більше 7 проектів різноманітних, таких як лендинги, інтернет-магазин, сайт портфоліо та комерційний. Маю досвід роботи як UX, так і UI design, як самостійно, так і у команді. Також, маю досвід у проведенні stakeholder interview та захисті роботи перед замовником. Мені би хотілося спеціалізуватися на дизайні сайтів, wireframing, prototyping, роботі з кольорами та типографікою, оскільки сам процес мене надзвичайно задовольняє."
103,"Професійний фотограф з 15-річним досвідом у зйомці репортажів, портретів та емоцій. Закінчила курси з UI/UX дизайну та володію програмами Фігма, Фотошоп та Ілюстратор. Готова працювати як Trainee або молодший дизайнер для отримання додаткового досвіду. Вмію створювати логотипи, веб-сайти, мобільні версії, банери для соціальних мереж та рекламні банери. Експерт у фотообробці та ретуші. Мета - навчитись новому та працювати в команді для професійного зростання."
104,"Проходжу курс та вивчаю самостійно Ux Ui, навчання та удосконалення роботи у Figma. Створюю портфоліо, маю 1 самостійно завершений, анімований проєкт додатку на телефон. Також, наразі, маю досвід навчання курсів Рекрутера від 0.5 року, а саме проходжу курс рекрутера на курсах Genius Space."
105,"Захист дипломної роботи зі створення веб-сайту.
Навчання у Hillel IT School з практичним відпрацюванням теорії. Досвід у створенні дизайну веб-сайту та прототипуванні. Навички в UX/UI, Landing page, Adaptive, Photoshop, Illustrator, Figma."
106,"Задизайнила близько 15 постерів для зборів під час повномасштабного вторгнення. Пройшла 1 з 7 курсів від Google з ui/ux дизайну. Раніше працювала на фрілансі, але зараз шукаю можливість рости та розвиватися в сфері ui/ux дизайну в компанії. Постійно вдосконалюю свої навички та практикуюсь. Зацікавилася дизайном у 2020 році та паралельно навчалася. Закінчила курси в prog kiev ua та зараз проходжу курси від Google. Маю вищу освіту: ступінь бакалавра, диплом спеціаліста інформаційних технологій (НТУ КПІ, ВПІ), на даний момент вступаю на отримання ступеня магістра. Шукаю можливість працювати в приємному колективі та рости під керівництвом досвідченого дизайнера."
107,"На жаль, я не можу покращити ваше резюме, оскільки ви просите не додавати жодних нових фактів чи приміток. Якщо у вас є конкретні питання або потреба у консультації, будь ласка, звертайтеся."
108,"• Розробка desktop та mobile версій корпоративного сайту.
• Розробка desktop та mobile версій інтернет магазину. Розроблено інтерактивний прототип.
• Розроблено мобільний додаток для мережі друкарень.
• Аналіз вже існуючого інтернет магазину з точки зору Ui\Ux. Розробка сторінок сайту.
• Багаторічний досвід зі створення статичних та динамічних банерів для постів в СММ, для розміщення на різних інтернет ресурсах, електронних листів, вітальних листівок, презентацій тощо.

Навички і технології, які використовую в процесі розробки:
• Використання у роботі всіх отриманих теоретичних та практичних знань та навичок UI/UX, а саме:
 - Проведення досліджень:
        аналіз конкурентів / Analysis of competitors;
        дослідження споживачів / Consumer Research.
 - Проєктування User Flow
 - Робота з модульними сітками Bootstrap
 - Використання у роботі компонентів / components, auto layout
 - Створення wireframe, prototype
 - Розробка інтерактивних прототипів / interactive prototype
 - Розробка Ui Kit
 - Створення адаптивів для різних розширень (mobile, desktop, tablet)
 - Створення анімації та інтерактивних елементів інтерфейсу
 - Створення статичних та динамічних презентацій проєктів

• Використання багаторічного досвіду у сфері графічного дизайну:
• Розробка маркетингових та POS-матеріалів
• Розробка упаковки, етикетки
• Розробка логотипів та гайдлайнів
• Розробка макетів для брендування вітрин, торгових площ та авто
• Дизайн та верстка періодичних видань
• Оформлення макетів для CD-дисків
• Професійна додрукарська підготовка відповідно вимогам того чи іншого способу друку та післядрукарської обробки

• Використання у роботі професійних інструментів:
 Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Adobe Indesign, Adobe Acrobat Pro, QuarkXPress, Sony Vegas Pro (базові навички)."
109,"Освіта:

Коледж мистецтв та дизайну Київського національного університету технологій та дизайну

Анімаційна графіка, середньо-спеціальна
Київ, 2022

- Створення анімації персонажів та коротких анімацій в Adobe After Effects
- Розробка логотипів та ілюстрацій в Adobe Illustrator
- Робота з 3D моделями предметів та анімація в 3D Max та Cinema 4d
- Малювання академічних малюнків
- Освоєння основ дизайну, типографії та теорії кольору 
- Розробка дипломного проекту в TVPaint

Hard skills:

- Принципи UI/UX
- Проведення UX-досліджень
- Знання AutoLayout, компонентів, варіантів, прототипування в Figma
- Розуміння сітки, основ композиції, кольору та типографіки 
- Робота з адаптивним дизайном
- Робота з мобільними додатками
- Інформаційна архітектура
- Usability, Wireframing, User Flow, Mockups 
- UI Kit
- Figma
- Знання пакету Adobe

Soft skills:

- Стресостійкість
- Вміння швидко навчатись, пошук інформації для навчання в Google та інших платформах
- Комунікабельність
- Виконання дедлайнів вчасно
- Робота в колективі
- Навички планування
- Концентрація на діяльності
- Взаємодія з людьми
- Прийняття критики
- Пристосування до нових умов
- Чудова пам'ять
- Критичне мислення

Проекти:

- Розробка E-commerce для магазину парфумів
- Розробка лендінг пейджу для курсу по здоровому харчуванню
- Розробка лендінг пейджу для фотографа
- Розробка мобільного додатку для ветеринарної клініки"
110,"- Досвід у розробці UI/UX дизайну для сайтів, лендінгів, логотипів.
- Виконання редизайну сайтів та розробка key visual (банерів, креативів, поліграфічної продукції).
- Проведення UX досліджень, створення макетів lo/hi-fidelity, userflow, прототипів, адаптивного дизайну та передача файлів для верстання.
- Візуалізація розкладки для інстаграм сторінки.
- Редизайн сайту для проєкту СХЕМА, виконаний за допомогою програм Figma та Adobe Photoshop.
- Постійне вдосконалення дизайнерського бачення через вивчення трендів, участь у вебінарах та читання професійної літератури.
- Інтерес до інтернет-маркетингу, дизайн психології та психології людських емоцій для створення функціонального та привабливого дизайну.
- Активний пошук роботи та бажання розвиватись як UI/UX designer."
111,"Розробка лендінгів, інтернет-магазинів, веб-сайтів, колажів, логотипів, мудбордів, постерів, презентацій, візуалу для соцмереж.
Використання різних сервісів у роботі, володіння англійською мовою на хорошому рівні, досвід співпраці з різними замовниками, включаючи іноземних."
