id,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat
29788,"[Your Name]  
Digital 2D Artist & UI/UX Designer  
Kyiv  

**PROFESSIONAL SUMMARY**  
Self-educated professional with advanced knowledge and experience in digital design, illustration, and UI/UX design. Proficient in Adobe Photoshop, Illustrator, Figma, Procreate, and Midjourney. Strong technical understanding of design principles, current trends, and effective communication skills. Upper-Intermediate English level with proven time and self-management abilities.  

**EXPERIENCE**  
**Freelance Web Designer**  
Dec 2018 – Nov 2019  
- Designed and developed visually appealing and user-friendly websites.  

**UI/UX Designer / Illustrator**  
Nov 2019 – Aug 2021  
- Created intuitive user interfaces and engaging illustrations for various projects.  

**Full Stack Designer (UI/UX Designer / Illustrator / Graphic Designer)**  
Apr 2021 – Present  
- Delivered end-to-end design solutions, including UI/UX design, illustration, and graphic design.  

**SKILLS**  
- UI/UX Design / Adaptive Design  
- Illustration (Raster/Vector)  
- Banner Design  
- Logo Design  
- English (Upper-Intermediate)  

**TOOLS**  
- Adobe Photoshop  
- Adobe Illustrator  
- Procreate App  
- Figma  
- Midjourney  

**AWARDS**  
- RED DOT / Brands & Communication Design (Aug 2022)  

**OBJECTIVE**  
Seeking a position in a successful company with a friendly team where I can contribute my skills, continue to develop, and achieve excellence in design."
29835,"**Digital Designer**  

**Skills:**  
- Color Theory & Composition  
- Branding, Advertising, & Illustration  
- Web & Social Media Ads  
- Digital Design & Imagery  
- Digital Analytics & E-blasts  
- UI/UX Design  
- HTML/CSS  
- Webflow (Animation, CMS, etc.)  

**Soft Skills:**  
- Confident working independently or in a team  
- Creative problem-solving  
- Direct client communication  

**Completed Courses:**  
- Dare IT – Product Design  
- Hillel (IT School) – Basic Web Design  
- Cases Media – Figma (Score: 90)  
- Cases Media – Graphic Design: Composition (Score: 91)  

**Professional Summary:**  
Digital designer with extensive experience in marketing, specializing in Photoshop, Illustrator, Figma, and Webflow. Skilled in creating websites, e-blasts, and digital campaigns. Passionate about crafting visually compelling designs that drive brand growth.  

**Experience:**  
- Freelance & in-house designer, collaborating with teams across 5+ international companies.  
- Freelance designer for an American company, delivering high-quality digital assets.  

**Objective:**  
Seeking a long-term partnership where I can apply my expertise to create user-friendly, impactful designs. Eager to collaborate with clients and teams to develop award-winning campaigns that engage and expand target markets.  

**Contact:**  
[Your Email] | [Your Phone] | [Portfolio/Website]"
30606,"Figma:  
Design system development  
UI kit creation  
Auto layout implementation  
Interactive components design  
Interactive prototyping  
Figma plugin utilization  

Projects on Mentorship at Beetroot Academy:  
UX research  
Competitor analysis  
Sketching and prototyping  
Understanding of composition, typography, and color theory  
Knowledge of design principles and trends  
Experience in group collaboration  
Project presentation experience  
Proficiency in Google Docs and Google Forms creation"
30845,"Dynamic Junior UI/UX Designer  
Passionate about creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.  

**Education & Training**  
- Completed a 6-month UI/UX design course  
- Additionally studied HTML/CSS  

**Projects**  
**Real Estate Site Redesign**  
- Redesigned a website for a real estate company in Destin, Florida, focusing on modernizing the design and improving user experience.  
- Conducted competitor research and analysis to identify successful design solutions.  
- Created 3 user personas and a customer journey map based on social media and customer feedback.  
- Delivered a user-friendly design with updated visuals, improved navigation, and essential features like feedback forms and property valuation tools.  

**Travel Website Creation**  
- Designed a web service for finding and booking tours, excursions, and entertainment worldwide.  
- Enabled users to search, filter, and book excursions, and allowed travel agents to post their offers.  
- Implemented features such as registration via email, Google, or Facebook, and payment by card.  
- Conducted competitor analysis, created user flows, wireframes, and an adaptive UI-Kit.  

**Mobile Application for Restaurant Table Booking**  
- Developed a mobile app for booking tables in restaurants, focusing on intuitive navigation and seamless user experience.  
- Designed interactive prototypes and mockups to enhance usability.  
- Ensured the design met user needs through iterative testing and feedback.  

**Skills**  
- Proficient in Figma, Photoshop, Illustrator  
- Wireframing, prototyping, and mockup creation  
- User research, persona development, and journey mapping  
- Adaptive and responsive design principles  
- HTML/CSS basics  

**Career Objective**  
Seeking a full-time position in a product company focused on creating digital products for everyday life and business. Quick learner, responsible, and ready to tackle complex tasks."
32072,"[Your Name]  
[Your Contact Information]  

**UI/UX Designer**  

**Current Role**  
- Improved the onboarding process of a financial institution app by 35%.  
- Led a team of 4 designers in creating visually appealing and functional products that resonate with users and meet business objectives.  
- Applied Agile planning principles to deliver tailored solutions that met customer requirements.  
- Utilized wireframes, mockups, and prototypes to establish user interface design and architecture.  

**Most Recent Role**  
- Enhanced the audience management system of a SaaS tool by 25%, demonstrating the ability to design solutions that are both aesthetically pleasing and drive business results.  

**Skills**  
- UI/UX Design  
- Agile Planning  
- Wireframing & Prototyping  
- Team Leadership  
- User-Centered Design  

**Education**  
[Your Degree, Institution, Graduation Year]  

**Certifications**  
[Your Certifications, if applicable]  

**Languages**  
[Your Languages, if applicable]  

**Interests**  
[Your Interests, if applicable]"
46443,"Over 10 years of commercial experience in design and development of web solutions.  

Designed large CRM and SaaS projects, mobile and desktop applications.  
Primary focus on creating and maintaining Design Systems to simplify and accelerate product development processes.  
Developed comprehensive design systems from concept to implementation using React and Storybook.  
Held roles ranging from Graphic Designer to Product Designer.  
Managed the creation of products from scratch without specifications to release versions within 3-4 weeks on multiple occasions.  
Designed and developed over 50 landing pages, promo pages, and more than 10 user dashboards.  
Implemented diverse functionalities, including modern dashboards, smart timer systems, and photo editors.  

Proficient in: Figma, Sketch, Adobe CC suite, HTML, CSS, JS, React, Next.js, WordPress, and Storybook.  

Seeking a company or team of developers with bold ambitions to positively impact the world.  
Interested in roles where I can enhance user experience, handle UI/UX, branding, and corporate style, or create and maintain design systems for products.  

Looking for:  
- Interesting and useful products for people.  
- High engagement and professionalism within the team.  
- Opportunities to influence product development and proper management.  
- Leadership opportunities for products or product components."
46506,"[Your Name]  
[Your Contact Information]  

**Professional Experience**  
**Software Developer**  
Small IT Company  
- Developed web applications using JavaScript and the React framework.  
- Designed and implemented web pages using JSX, HTML, and CSS.  
- Integrated animations using Framer Motion and utilized MUI components for UI design.  
- Employed Bootstrap and Materialize for responsive and efficient front-end development.  
- Collaborated with design tools such as Figma and Adobe Photoshop for prototyping and asset creation.  

**Skills**  
- JavaScript, React, JSX, HTML, CSS  
- Framer Motion, MUI, Bootstrap, Materialize  
- Figma, Adobe Photoshop"
50300,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Accomplished software developer with a proven track record of designing and deploying innovative solutions to enhance customer engagement and drive business growth. Skilled in frontend and backend development, with expertise in React, Vue, Flutter, and Node.js. Adept at creating user-centric interfaces, optimizing application performance, and collaborating with cross-functional teams to deliver high-quality projects on time and within budget.  

**Key Achievements**  
- Successfully designed and deployed a groundbreaking customer engagement suite for a major e-commerce business, utilizing innovative technologies to maximize customer acquisition, satisfaction, and retention.  
- Delivered the project on time, under budget, and received exceptional feedback from users and clients.  
- Developed custom plugins, integrated APIs, and created websites and applications using React, Vue, Flutter, and Node.js.  

**Professional Experience**  
**Frontend Developer**  
[Current Company/Organization] | [Dates]  
- Develop frontend interfaces according to client specifications, ensuring strong usability and adherence to industry standards.  
- Collaborate with a team of developers to debug issues, optimize code, and enhance application performance.  
- Participate in project planning and strategize information flows between backend databases and user interface components.  
- Work independently and collaboratively to deliver high-quality solutions that meet client needs.  

**Technical Skills**  
- Frontend Development: React, Vue, Flutter  
- Backend Development: Node.js  
- API Integration  
- Custom Plugin Development  
- Performance Optimization  
- Debugging and Troubleshooting  

**Professional Development**  
- Continuously learning new technologies and frameworks to stay updated on industry trends.  
- Seeking to deepen understanding of software architecture designs by collaborating with experienced engineers.  
- Committed to honing technical skills to become a reliable and proficient professional in the software industry.  

**Education**  
[Degree, if applicable] | [Institution] | [Dates]  

**References**  
Available upon request."
51419,"[Your Name]  
[Your Address] | [Your City, State, ZIP Code]  
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile] | [Your Portfolio Website]  

---

**UI/UX Designer**  
Freelance | [Start Date] – Present  
- Transitioned from programming to design, focusing on UI/UX development.  
- Collaborated with clients to create user-centered designs for various projects.  
- Conducted user research, wireframing, prototyping, and usability testing.  
- Delivered high-quality design solutions tailored to client needs.  

**UI/UX Developer**  
[IT Company Name] | [Start Date] – Present  
- Worked on an out-staff basis, contributing to UI/UX development projects.  
- Designed and implemented user interfaces for web and mobile applications.  
- Collaborated with cross-functional teams to ensure seamless user experiences.  
- Addressed complex design challenges, providing innovative solutions.  

**Skills**  
- UI/UX Design  
- Wireframing & Prototyping  
- User Research & Usability Testing  
- Web & Mobile Design  
- Collaboration & Communication  
- Problem-Solving  

**Education**  
[Degree, e.g., Bachelor of Science in Computer Science]  
[University Name] | [Graduation Year]  

**Certifications**  
[Certification Name, if applicable] | [Issuing Organization] | [Year]  

**Languages**  
[Languages Spoken, if applicable]  

**Interests**  
[Relevant Interests, e.g., User Experience, Design Thinking, Technology Trends]  

**Availability**  
Seeking a full-time position, preferably remote.  

---  

[Optional: References available upon request]"
53971,"**Senior Game UI/UX Designer**  
*5+ Years of Professional Design Experience*  

**Professional Experience**  
**Game UI/UX Designer**  
*Current Role | 1.5 Years*  
- Lead UI/UX design for a major game development company, creating intuitive and visually compelling interfaces.  
- Collaborate with cross-functional teams to align UI/UX with gameplay mechanics and artistic vision.  

**Freelance Game Designer & Artist**  
*2019–Present*  
- Contributed to indie game teams, specializing in UI/UX design, 3D modeling, texturing, and animation.  
- Leveraged graphic design expertise to elevate game interfaces, ensuring usability and aesthetic cohesion.  

**Senior Graphic Designer**  
*5 Years*  
- Delivered high-impact visual solutions for diverse client and project needs.  
- Developed strong foundational skills in layout, typography, and branding applied to game UI/UX.  

**Skills & Tools**  
- UI/UX Design for Games  
- 3D Modeling, Texturing & Animation  
- Graphic Design (Typography, Branding, Layout)  
- Adobe Creative Suite, Figma, Blender  

**Availability**  
Actively pursuing new opportunities in game development."
53972,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Creative and detail-oriented designer with 2+ years of experience in designing websites, banners, and emails, and 1 year of experience in GameDev. Skilled in creating layouts, navigation elements, and decorations for mobile games. Proficient in Photoshop, Figma, and After Effects for animations. Passionate about mobile game development and seeking long-term collaboration with a GameDev company.  

**Professional Experience**  
**Game Designer**  
[Company Name] | [Dates of Employment]  
- Designed offers, decorations, and banners for mobile games.  
- Created layouts based on provided graphics or independently designed navigation elements and decors.  
- Utilized Photoshop and Figma for design tasks.  
- Developed animations using After Effects and Figma.  

**Graphic Designer**  
[Company Name] | [Dates of Employment]  
- Designed websites, banners, and emails for various projects.  
- Collaborated with teams to deliver visually appealing and functional designs.  

**Skills**  
- Proficient in Photoshop, Figma, and After Effects  
- Layout design and decoration creation  
- Animation development  
- Strong attention to detail and creativity  

**Interests**  
- Mobile game development  
- Long-term collaboration with GameDev companies  

**Availability**  
Ready for fruitful work and professional development."
53973,"**Game UI/UX Designer & UI Artist**  
*With animation knowledge and web design experience*  

**Professional Summary**  
Game UI/UX Designer with UI Artist and animation expertise since 2019. Previously worked as a web designer since 2015. Proficient in the full project lifecycle and familiar with code (HTML, CSS, JS). Skilled in Figma, Adobe Photoshop, Unreal Engine 4, and Unity. Passionate about continuous learning, language studies, and maintaining an active, healthy lifestyle through sports (basketball, Brazilian jiu-jitsu) and yoga.  

**Key Responsibilities**  
- Develop intuitive UX flows aligned with game design.  
- Design UI screens, elements, and prepare assets for developers.  
- Communicate UX vision and collaborate with teams to implement designs.  
- Support game development with additional skills as needed.  
- Build and refine design processes, mentor team members, and independently source clients.  
- Contribute to website updates and logo redesigns for sites and applications.  

**Additional Experience**  
- Instructor at IT Academy (Lviv), teaching design.  
- Advocate for teamwork, flexibility, and valuing each team member’s contribution."
53974,"**UI/UX Designer & Artist**  

**Professional Experience**  
**Game UI/UX Designer/Artist**  
*Ukrainian Game Company*  
- Designed UI visuals for casual games from concept to final rendering, preparing sprites for Unity integration.  
- Collaborated with designers, managers, 2D/3D artists, and programmers to deliver cohesive game interfaces.  
- Researched game interfaces and functional solutions to develop intuitive, visually appealing, and unique designs.  
- Created additional UI assets, including logos, icons, buttons, pop-ups, and unique mechanics.  
- Ensured proper implementation of UI layouts in game engines and stayed updated on UI/UX trends.  
- Contributed to a released mobile casual game as part of the development team.  

**Education**  
**Bachelor’s Degree in ""Artist-Performer""**  
*Kyiv National University of Construction and Architecture*  

**Career Objective**  
Seeking a role with engaging and diverse challenges where I can apply my expertise. Eager to join a strong team for mutual growth and knowledge exchange."
53975,"[Your Name]  
UI/UX Game Designer  

**Professional Summary**  
UI/UX Game Designer with 4 years of commercial experience in Design and 2 years in Game Development. Proven expertise in designing and implementing UI/UX for diverse game genres, including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Skilled in full-cycle UI/UX development, from information architecture and wireframing to prototyping and resource implementation. Proficient in Figma, Photoshop, Unity3D, Jira, Confluence, and Plastic SCM.  

**Experience**  
**UI/UX Game Designer**  
- Led full UI development for an educational mobile game for kids with over 100,000 downloads.  
- Participated in the development of a AAA PC MOBA.  
- Successfully updated and transferred the design of a PC simulator for cybersportsmen to a mobile platform.  
- Created game graphics using a graphics tablet.  
- Responsibilities included:  
  - Information architecture and player flows.  
  - UI research, wireframing, and style research.  
  - Prototyping and resource implementation in Unity3D (with/without developer assistance).  
  - Participation in game tests.  

**Key Projects**  
- Developed UI/UX for mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.  
- Completed 248+ projects successfully.  

**Education & Certifications**  
- Graduated with honors from Web Design courses and supervised the final group project.  
- Completed English courses in 2022 with honors.  

**Skills**  
- UI/UX Design: Information architecture, player flows, wireframing, prototyping.  
- Tools: Figma, Photoshop, Unity3D, Jira, Confluence, Plastic SCM.  
- Game Development: Mobile and PC platforms, resource implementation, game testing.  
- Soft Skills: Team collaboration, problem-solving, adaptability, continuous learning.  

**Achievements**  
- Organized the printing of materials for two exhibitions in different cities simultaneously.  
- Developed a welcome-box for new employees.  
- Maintained active work during challenging times.  

**Interests**  
- Passionate about playing and analyzing games to stay updated with industry trends.  
- Interested in innovative projects that require critical thinking and learning new technologies.  

**Ideal Work Environment**  
A company with a friendly team, high-quality projects, and sensitivity to employees. Whether large or small, the organization should feel like a cozy place where innovation and collaboration thrive."
53976,"Skills:  
Game UI Art  
UI Design  
3D Modeling, Sculpting  
Texturing  
Character Concept Art  
Environment Concept Art  
Illustration  
Character Design  
Creative Design  
Proficient in English  
Rapid Knowledge Acquisition  
Strong Team Collaboration  
Effective Teaching and Leadership  

Software Proficiency:  
Photoshop  
Daz Studio  
Blender  
Substance Painter  
Substance Designer  
ZBrush"
