,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
25,"Junior UX/UI Designer

Education:
- Currently pursuing a Master's degree in Software Engineering at GO IT
- Certification in UX/UI Design

Skills:
- Team collaboration
- User experience analytics
- Wireframing and prototyping for web services, mobile applications, browsers, social networks, and web resources
- Proficient in Figma, Adobe Photoshop, Illustrator, VS Code, and Protopie
- Research, HTML/CSS, user interface and experience design
- Customer journey mapping, creating personas, MVP versions, dashboards
- Prototyping, design systems, and adaptive design using media

Experience:
- Conducted user experience analytics
- Created wireframes and prototypes for various digital platforms
- Completed projects: 
  - Web services for pet searching
  - Restaurant table booking app
  - House/apartment rental app
  - Adaptive websites for English lessons and web studios

Objective:
- Seeking a role in a product-based company to further develop interface design skills
- Desire to work in a friendly and supportive environment
- Looking for opportunities for growth and skill enhancement in web design with a collaborative team"
26,"Lilia

Contact Information:
[Your Contact Information]

Objective:
Motivated UX design student with a B2 certificate in Polish, seeking to enhance skills and gain professional experience in the field of design and customer service.

Education:
- UX Design Student
  [Name of College/University, if applicable]

Certifications:
- Polish Language Certificate, Level B2

Professional Experience:
- Customer Service and Consulting Specialist
  24 Colours Clothing Store
  - Provided exceptional customer service and consultation
  - Gained experience in management tasks

Skills:
- Proficient in Polish (B2 level)
- Strong interest in social media trends
- Customer service and consulting
- Basic management skills

Personal Attributes:
- Eager to learn and grow professionally
- Passionate about following and understanding new trends in social media

Languages:
- Polish (B2 level)"
27,"Hard Skills:
- Figma, Adobe Illustrator, Adobe Photoshop, Adobe After Effects (creating light animations).

Soft Skills:
- Attention to detail
- Teamwork
- Executive and results-oriented
- Sense of humor, honesty, stress resistance, punctuality
- Ability to learn quickly
- Desire for development and professional growth

Experience:

Smartflowlabs
- UX/UI Designer: Responsible for creating website prototypes, studying the brand and competitors, and contributing to the final website design under the guidance of a Senior Web Designer.
- Involved in the development of applications for Shopify stores under the guidance of a Senior Web Designer.
- Specialized in adaptive website design.
(September 2022 - January 2023)"
28,"SMM-фахівчиня  
ГО ""КМРУ"" (Конгрес молодіжних рад України)  
Червень 2022 - дотепер  

- Розробка та реалізація стратегій у соціальних мережах  
- Створення контенту для різних платформ  
- Аналіз ефективності кампаній та оптимізація підходів  

Голова дизайнерського відділу  
Наукове товариство історичного факультету КНУ ім. Т. Шевченка  
Жовтень 2022 - дотепер  

- Керівництво командою дизайнерів  
- Розробка візуальних матеріалів для заходів та публікацій  
- Співпраця з іншими відділами для забезпечення цілісності бренду  "
29,"Tepli obiymy  
10.07.2023 - 25.07.2023  
Розробка айдентики для інстаграм-магазина в'язаних речей  

- Проаналізувала конкуренцію та цільову аудиторію  
- Виявила слабкі та сильні сторони продукції  
- Розробила концепцію, створила логотип та оформила бірки для одягу  

Мета: Долучитися до внутрішньої команди дизайнерів, вчитися від професіоналів та брати участь у реальних проектах. Планую допомагати у рутинних завданнях, щоб команда могла зосередитися на складніших аспектах."
30,"UI/UX Designer | Junfolio (з березня 2023 по тепер)

- Розробка концепції дизайну інтерфейсу з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення UI-kit та передача макету в розробку

Проєкти

1. Веб-сервіс створення сайтів для замовників
- Участь у всіх етапах процесу дизайну: створення концептуальних вайрфреймів, розробка інтерактивних прототипів та остаточного дизайну
- Створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів
- Визначення оптимальної структури і навігації
- Використання компонентного підходу для полегшення повторного використання
- Робота в команді за методологією SCRUM з двотижневими спринтами та регулярними дейлі мітингами

2. Мобільний додаток з резервування столиків
- Аналіз цільової аудиторії, побудова мапи сайту та User flow
- Розробка вайрфреймів та прототипів для оптимальної структури та навігації
- Створення високоякісних макетів з вибором кольорової палітри, шрифтів, графічних елементів та іконок"
31,"**[Ваше ім'я]**

**Контактна інформація:**
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль]

---

**Мета:**
Прагну розвиватися у сфері веб-дизайну та графічного дизайну, застосовуючи набуті знання та навички для створення інноваційних та ефективних рішень.

---

**Освіта:**

**Курс веб-дизайну, WayUp**
- Тривалість: 3 місяці
- Основні навички: Основи роботи з Figma

---

**Досвід роботи:**

**Графічний дизайнер, Mindy Teams (Польща)**
- Тривалість: 1,5 місяці
- Основні обов'язки: [Додайте конкретні обов'язки, якщо можливо]

**Адміністратор, [Назва української компанії]**
- Тривалість: 1 місяць (стажування)
- Основні обов'язки: [Додайте конкретні обов'язки, якщо можливо]

**Менеджер з продажу, [Назва компанії]**
- Тривалість: 1 тиждень
- Причина звільнення: Непідходящий графік роботи

---

**Навички:**
- Figma
- Вивчення Adobe Illustrator

---

**Додаткова інформація:**
- Вмотивований до навчання та професійного розвитку
- Здатність швидко адаптуватися до нових умов та вимог

---

**Мови:**
- [Вкажіть мови, якими володієте]"
32,"Сертифікована спеціалістка з UI/UX (Logos IT Academy) з досвідом участі у марафоні ""Основи HTML, CSS"" від GoIT. Понад 5 років досвіду викладання української та англійської мов у сфері освіти. Під час декретної відпустки продовжувала викладати онлайн та успішно завершила курс з UI/UX. Під час навчання розробила додаток для доставки їжі, проводила дослідження, створювала User Persona & Story, CJM, Task Flow, IA, а також створювала дашборди та постери. Готова негайно розпочати роботу як асистент дизайнера або стажер для здобуття додаткового досвіду."
33,"Дизайнер у соціальній компанії Steiger International, спеціалізація — веб-дизайн як Jr. UX/UI. Брав участь у розробці 4 проєктів, включаючи продукт у сфері доставки та веб-сайт магазину з доставки продуктів. Набув досвіду під час навчання на курсах Projector."
34,"Досвідчена вебдизайнерка з багатим досвідом у редагуванні та контент-дизайні. Протягом 7 місяців працювала в компанії GOIT, де успішно виконувала завдання з графічного дизайну, використовуючи Figma, Photoshop та Illustrator. Вмію створювати прототипи, UI, рекламні банери, таблиці та інші візуальні матеріали для онлайн-курсів. Маю досвід роботи на телебаченні та у видавництві. Володію англійською мовою на рівні Intermediate та маю базові знання у розробці. Шукаю стабільну роботу в надійній компанії з дружньою командою професіоналів, готова до нових викликів та досягнень."
35,"Створення якісного та стриманого дизайну сайту, робота з кольорами та текстом, швидке вивчення та здатність знаходити потрібну інформацію. Виконання проєктів в рамках курсу Web Design Beginning від Projector. Наразі працюю над створенням сайту для пошуку роботи в Україні в рамках курсу UI/UX Design Beginning, планується ще один реальний проєкт. Бажання розвиватися в сфері UI/UX Design, вивчення англійської мови, створення функціональних інтерфейсів. Пошук компанії для старту та професійного зростання."
36,"Гайдаш Анастасія  
Junior UI/UX Designer  

Навички:  
- Figma  
- Adobe Photoshop  

Досвід:  
- Оформлення інтернет-магазинів  
- Розробка Landing page  
- Редизайн сайтів  

Інше:  
- Створення кейсів на Behance  
- Рівень англійської: B1 (навчаюсь на підвищення)  
- Комунікабельність та завзятість у роботі.  "
37,"Марія

Сертифікований UX/UI дизайнер з річним досвідом. Пройшла піврічне навчання, маю навички графічного дизайну з використанням Adobe Photoshop та Adobe Illustrator. Володію базовими принципами веб-дизайну, працюю з колористикою та типографікою. Впевнено користуюся Figma, виконую прості завдання в Adobe Photoshop і Adobe Illustrator. Розробляю макети для лендингів, багатосторінкових сайтів та інтернет-магазинів, створюю інтерфейси, оптимізовані для різних екранів (десктоп, планшет, мобільний)."
38,"Junior UI/UX Designer з досвідом роботи у сфері дизайну. Спеціалізуюся на розробці лендінгів, інтернет-магазинів та корпоративних сайтів. Володію Figma, After Effects, Photoshop та Illustrator. Мої навички охоплюють User Experience, User Interface, конкурентний аналіз, складання мудбордів, роботу з сітками та композицією, адаптивний дизайн, роботу з типографією та кольором. Маю досвід у проведенні науково-практичних конференцій, круглих столів, модерації груп, а також у розробці дизайну презентацій, рекламних листівок та буклетів. Швидко навчаюся новому та прагну розвиватися як дизайнер, зростати від Junior до Middle level."
39,"Курси

- Креативні Практики
- Робота з Figma
- Основи вебдизайну
- Основи дизайну

Навчання у вінницькій IT-академії: напрямок - Веб-дизайнер

Навички:

- Робота в Photoshop (обробка фотографій, створення колажів)
- Досвід роботи в Lightroom

Проекти:

- Сторінка викладача математики “Дробик”
- Сторінка пам’яті Тюренкову Олексію Валерійовичу
- Сторінка розробників для проектів
- Сторінка спортзалу Gym
- Сторінка компанії ""Надійний захист будівлі""
- Банери для ІТ-академії для рекламування внутрішніх проектів
- Робота над ""EduHub"" - сайт бронювання коворкінгів"
40,"Валерій

Мета: Досягти високого рівня майстерності в UI/UX дизайні, спираючись на успішний досвід у фотографії.

Освіта:
- Онлайн курси від Creative Practice: ""UX/UI. Проєктування та дизайн інтерфейсів"", ""Робота в Figma"", ""Основи веб-дизайну"".

Досвід:
- Практикум з ""Основи фронтенду. HTML та CSS"".
- Досвід у торгівлі та управлінні персоналом, що сприяє розумінню психології продажів.

Навички:
- Естетичний смак, розвинений завдяки фотографії.
- Сильне бажання навчатися та розвиватися в UI/UX дизайні.

Місце проживання: Київ.

Відкритий до нових викликів та можливостей для розвитку в UI/UX дизайні."
41,"Junior UI/UX дизайнер з освітою в Alpaca School. Володію ключовими навичками для роботи в дизайні. Відповідальна, швидко вчуся, готова до нових викликів. Наразі не маю досвіду з комерційними проєктами."
42,"GiftyFly Mobile App  
An educational project  
GiftyFly is a mobile app for remote gift ordering and selection. The main task of the project was to remotely select a gift from recommendations and send the gift or flowers to a person on a specific date/time - just in time for the celebration. This was a team project, where my tasks included developing onboarding, registration screens, some key screens, as well as analyzing competitors and users.

Yours Sports Bar (Redesign)  
Landing page, educational project  
This project was educational. The problem was the outdated look of the website, which was completely unusable and needed an update. In this project, I decided to create a landing page. I also made a responsive website for mobile phones.

For both websites, the main tools used were: Figma, Adobe Photoshop, Adobe Illustrator."
43,"[Ваше ім'я]

[Контактна інформація]

Професійний досвід

Freelance UX/UI дизайнер
2020 - теперішній час
- Працюю на freelance, шукаючи нові виклики та можливості для розвитку.
- Створюю якісний дизайн для різних проектів, зокрема в розробці мобільних додатків.

Графічний дизайнер
- Розробка логотипів, рекламної продукції, вітрин та упаковки.

Архітектор у сфері містобудування
До жовтня 2019
- Розробка та захист планів населених пунктів, детальних планів територій у містах та архітектурних проектів.

Освіта

Курс UX/UI design
Lemon School Kharkiv, 2020
- Успішно завершила курс UX/UI design.

Навички
- UX/UI дизайн
- Графічний дизайн
- Розробка логотипів та рекламної продукції
- Архітектурне проектування

Цілі
- Створювати якісний дизайн
- Розвиватись у професії
- Спробувати себе в різних проектах, зокрема в розробці мобільних додатків."
44,"Досвід роботи з навчальними проєктами на курсах дизайну, зосереджений на UX та створенні вайрфреймів. Участь у e-commerce проєкті, включаючи аналіз цільової аудиторії, конкурентів та розробку персон. Прагнення розпочати кар'єру в невеликій компанії з перспективою розвитку та вдосконалення навичок. Досвід роботи у великих командах поза сферою IT."
45,"Досвід роботи:

- Хостесс
- Менеджер з продажу
- Адміністратор
- Офіціант

Навички:

- Основи дизайн-мислення, робота з брифом: mind mapping
- Дослідження UX: аналіз конкурентів, карти персон і емпатії, карта шляху клієнта та потік користувачів
- Прототипування, тестування
- UX дослідження: веб-аналітика, A/B тестування
- Основи композиції, теорія кольору, шрифти, типографіка, компоненти
- Створення системи дизайну, інтерактивного прототипу в Figma, адаптивного дизайну

Проект:

- Розробка сайту притулку для тварин: аналіз конкурентів, персон, карта шляху клієнта, потік користувачів та опитування

Програмне забезпечення:

- Figma
- Blender
- Adobe Photoshop
- Adobe Illustrator
- Fresco"
