,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo
29788,"As a self-educated individual, I take pride in my portfolio and the knowledge, skills, and abilities I have acquired, including:

- Advanced proficiency in Adobe Photoshop Beta & Illustrator, Figma, and Procreate App
- Strong technical understanding
- Knowledge of current design and technology trends
- Upper-Intermediate level of English
- Effective verbal and written communication skills
- Time and self-management skills

EXPERIENCE
- Freelance Web-designer (Dec 2018 - Nov 2019)
- UI/UX-Designer / Illustrator (Nov 2019 - Aug 2021)
- Full stack: UI/UX-Designer / Illustrator / Graphic designer (Apr 21 - Now)

SKILLS
- Upper-Intermediate English
- UI/UX Design / Adaptive design
- Illustration (raster/vector)
- Banner design
- Logo design

TOOLS
- Adobe Photoshop
- Adobe Illustrator
- Procreate App
- Figma
- Midjourney

AWARDS
- RED DOT / Brands & Communication Design (Aug 22)

I am a Digital 2D Artist & UI/UX Designer from Kyiv, seeking opportunities for collaboration and growth in a successful company with a friendly team. I am dedicated to continuous development and giving my best effort in all endeavors."
29835,"Skills:
- Color sense, Color Theory, Composition
- Branding, Advertising, Illustration
- Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
- UI/UX design
- HTML/ CSS
- WEBFLOW

Soft skills:
- Confidence to work independently and in a team
- Creative
- Interface directly with customers

Completed courses:
- Dare IT - PRODUCT DESIGN
- HILLEL (IT SCHOOL) - BASIC WEB DESIGN
- CASES MEDIA - FIGMA (90)
- CASES MEDIA - Graphic design. Composition (91)

Experience:
- Extensive experience in Marketing
- Proficient in Photoshop, Illustrator, and Figma
- Advanced user of Figma
- Worked on websites, E-blasts, etc.
- Freelance and in-house manager experience
- Collaborated with more than 5 companies from different countries
- Freelance designer for an American company

Objective:
Passionate digital designer with a focus on creating visually stunning designs to help brands grow. Experienced in collaborating with clients and colleagues to deliver engaging designs. Seeking long-term partnership opportunities to utilize knowledge and experience in making customers' lives easier."
30606,"- Experience with Figma, including design system creation, UI kit development, Auto layout, interactive components, interactive prototypes, and Figma plugins
- Projects at Beetroot Academy focused on UX research, competitors research, sketching and prototyping, understanding of design principles such as composition, typography, and color, experience with group work and project presentations
- Proficient in Google Documents and creating Google Forms."
30845,"Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs. Completed a 6-month UI/UX design course and additionally studied HTML/CSS. Successfully defended and presented 3 works: website redesign projects for a real estate company, created a travel website, and developed a mobile application for booking tables in restaurants. Looking for a full-time position in a product company focusing on creating digital products for everyday life and business. Quick learner, responsible, and ready to perform complex tasks."
32072,"In my current role as a UI/UX designer, I:

1. Improved the onboarding process of a financial institution app by 35%.
2. Led a team of 4 designers in creating visually appealing and functional products that resonate with the users and meet the business objectives.
3. Used Agile planning principles to deliver tailored solutions that met customer requirements.
4. Utilized wireframes, mock ups, and prototypes to establish user interface design and architecture.

In my most recent role, I helped to improve the audience management system of a SaaS tool by 25%."
46443,"Over 10 years of commercial experience in design and development of web solutions. Specializing in large CRM and SaaS projects, mobile and desktop applications. Skilled in creating and maintaining Design Systems to streamline product development. Proficient in Figma, Sketch, Adobe CC suite, HTML, CSS, JS, React, Next.js, Wordpress, and Storybook. Experienced in managing projects from concept to release in short timeframes. Seeking a company or team dedicated to improving user experience and making a positive impact on the world. Available for UI/UX, branding, and corporate style projects."
46506,"Experience:
- Software Developer at a small IT company
- Developed projects using JavaScript technologies and the React framework
- Created web pages using JSX (HTML, CSS)
- Utilized Framer Motion for animations and Mui components
- Worked with Bootstrap, Materialize, Figma, and Adobe Photoshop."
50300,"My greatest accomplishment to date is the successful deployment of a groundbreaking customer engagement suite for a major e-commerce business. I designed the suite from the ground up, utilizing innovative technologies and processes to maximize customer acquisition, customer satisfaction, and customer retention in order to drive incremental revenue. The project was completed on time, under budget, and with rave reviews from both users and clients alike – a true testament to my technical expertise as well as my careful consideration for each step of the project. I'm incredibly proud of what I achieved with this particular project and am always looking for opportunities to build upon my successes.

I have completed various projects and tasks such as creating interfaces, integrating APIs, and developing custom plugins using React, Vue, and Flutter. I have also created websites and applications using Node.js for backend development.

My current role in the team is to develop frontend interfaces according to client specifications while ensuring strong usability of the system. My responsibility includes making sure that the application user experience is top-notch according to industry standards, being able to work independently or collaboratively with a team of developers, being able to debug issues, performance checking application, and optimizing code where necessary. Additionally, I am involved in project planning and strategizing information flows between backend databases and user interface components.

In terms of improvement, I aim to improve my technical skillset by constantly learning new technologies and frameworks in order to stay up-to-date on the latest industry trends. Also, by working with experienced engineers, I want to deepen my understanding of software architecture designs. Furthermore, my goal is to continue honing my skills in order to become a reliable professional for any future employer in the software industry."
51419,"Experience:
- Transitioned from programming to design a few years ago due to personal preference
- Freelance design work with a focus on UI/UX development
- Currently working in an IT company on an out-staff basis
- Skilled in problem-solving and seeking challenging opportunities

Objective:
- Seeking a full-time position, preferably remote, to continue utilizing my design skills and problem-solving abilities."
53971,"- 5 years as Senior Graphic Designer
- 3 years as Game UI/UX Designer
- Experience in 3D modeling, texturing, and animation
- Specialized in creating game interfaces
- 1.5 years as Game UI Designer for a large Gamedev company
- Seeking new opportunities in the Gamedev industry."
53972,"Experience:
- Over 2 years of experience creating websites, banners, and emails
- 1 year of experience in GameDev, specializing in creating offers, decorations, and banners for mobile games
- Skilled in creating layouts based on provided graphics or designing navigation elements and decorations independently
- Proficient in using Photoshop, Figma, After Effects, and other design tools
- Interested in mobile game development and seeking long-term cooperation with a GameDev company

Objective:
- Seeking opportunities for fruitful work and professional development in the field of mobile game development."
53973,"I am a Game UI/UX designer with UI Artist and animation knowledge since 2019. Prior to this, I worked as a web designer starting in 2015. I have a comprehensive understanding of projects and proficiency in coding languages such as html, css, and js. My tools of choice include Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

Responsibilities:
- Develop intuitive UX flows in line with the game's overall design.
- Design UI screens and elements, and prepare assets for programmers.
- Communicate UX vision and design concepts to team members, collaborating to implement designs in-game.
- Provide additional support to game development as needed."
53974,"I am a game UI/UX designer/artist at a Ukrainian game company, responsible for creating UI visuals for casual games from concept to final rendering. I collaborate with a team of designers, managers, 2D and 3D artists, and programmers to research game interfaces, develop visually attractive and unique interfaces, and create additional game interface materials. I graduated from Kyiv National University of Construction and Architecture with a bachelor's degree in ""Artist-performer"" and am now seeking a job with interesting and varied tasks where I can utilize my knowledge and skills."
53975,"UI/UX game designer with 4 years of commercial experience in Design and 2 years of commercial experience in GameDev. Experienced in working on various projects including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Actively plays and stays updated on the latest changes in the industry.

Responsibilities include participating in and supporting the full cycle of creation UI and UX, such as information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation, and participation in game tests. Proficient in Figma, Photoshop, Unity3d, Jira, Confluence, and Plastic SCM.

Led full UI development for an educational mobile game for kids with over 100,000 downloads. Participated in the development of a AAA PC MOBA. Successfully updated the design and transferred a PC simulator for cybersportsmen to the mobile platform on time. Experience creating game graphics on a graphics tablet.

Seeking a company with a friendly team, high-quality projects, and sensitivity to each employee. Interested in participating in both large and small projects of varying complexity, where there is a need to think and learn new things. Dream is to take part in something innovative."
53976,"Skills:
- Proficient in game UI art
- Experienced in UI design
- Skilled in 3D modeling, sculpting, and texturing
- Proficient in character concept art and environment concept art
- Experienced in illustration and character design
- Strong English language skills
- Fast learner
- Excellent team player
- Effective teacher and leader

Software:
- Photoshop
- Daz Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"Self-starter with experience in motion design for worldwide poker and casino products. Improved design and animation export pipeline in multiple projects. Managed team of 7+ professionals in design, graphics, motion, animation, sounds, and development. Took part in rebranding poker brands and created UX/UI design for poker applications. Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries. Developed gaming motion and animations for poker and casino games. Built clean and scalable After Effects project architecture. Created motion graphics for live online events. Improved visual and gaming experience of products. Designed exhaustive briefs and storyboards for promotional videos. Passionate about using gaming industry experience to create high-quality products and motivate teams to achieve top results."
53978,"UI/UX Designer with experience in prototyping to enhance UI and game experience. Implemented new features to improve performance, streamline development process, and simplify UI layout. Completed projects ahead of schedule with positive customer feedback. Skilled in 9-Slice Scaling, importing interfaces from Figma to Unity, developing User Flow and Wireframes, creating UI from scratch, selecting fonts, prototyping interfaces, and collaborating with UI/UX developers, game designers, artists, and programmers for projects on PC, consoles, and mobile devices."
53979,"UX/UI Designer and Visual/Graphic Designer (2019-2022)

UX/UI Designer (2020-2022)
- Developed indie game interfaces based on independent UX research
- Created low- and high-fidelity wireframes
- Collaborated with developers and game designers
- Conducted surveys and user testing exercises

Visual and Graphic Designer (2019-2022)
- Created logos, conceptual identities, banners, posters, and ads
- Generated ideas and styles, staying updated on design trends
- Paid attention to detail and structured work results
- Presented and defended ideas to clients
- Worked effectively in a team to enhance product quality."
53981,"UI/UX Designer/ UI Artist with a deep understanding and critical thinking skills. Experienced in graphic design for Game Insight, 101XP, Playrix, and WhaleApp since 2020. Specializing in graphic design from the ground up, including redesigns, websites, applications, branding, polygraphic design, and 2D animation. Skilled in the complete graphic development cycle, ensuring adherence to all technical requirements for printed materials and creating perfect layouts for websites and applications. Known for interesting projects, qualified management, high work organization, and creative space."
54796,"I am a designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. I have worked in advertising and marketing agencies, as well as printing houses. Before the war, I collaborated with leading Ukrainian real estate companies and worked as a freelancer, specializing in creating company identities. My portfolio includes logos and styles that adorn cities in Ukraine and Europe. I also have experience in website development using the Tilda constructor.

I offer a wide range of design services, including creating landing pages, websites, logos, social media designs, printed materials, presentations, outdoor advertising, and transport branding. My personal qualities include excellent organizational and planning skills, strong teamwork abilities, and a passion for user-friendly design.

I am eager to work with you and learn more about your business. I am committed to continuous growth and development as a UX/UI designer."
54797,"UX/UI Designer - Stress Point Health Ltd [Apr2018 - Nov2020]
Key Responsibilities:
- Led UX/UI design project for a mobile app focused on stress, anxiety, and trauma treatment.
- Designed from concept to full UI implementation.
- Visualized complex metrics in a user-friendly way.
- Created wireframes, user journey flows, and prototypes for testing.
- Conducted usability testing sessions with volunteers to enhance user experience.

UI/UX Designer - ManyRequests [Aug2020 - Nov2020]
Key Responsibilities:
- Reworked UX & UI of an existing product to improve user-friendliness.
- Iterated design based on feedback and user testing.
- Developed on-brand design solutions to achieve business goals.
- Integrated new features based on user needs.

UI/UX and Web Designer - Propeller Digital Company [May2016 - Dec2019]
Key Responsibilities:
- Led design decisions for websites, print materials, and infographics.
- Analyzed briefs and defined user experience strategies.
- Created wireframes, designs, and mockups for B2B and B2C markets.
- Redesigned business presentations, logos, and brand identities.
- Implemented user-centered design and design thinking approaches."
54798,"I spent the last six months as a Creative Intern at Phiture, a mobile growth consultancy and agency. My internship responsibilities included creating illustrations and various design assets for the marketing team, adjusting designs to brand guidelines, print design, photo retouching, creating marketing assets for different clients (Ad Hoc Labs, Tipp24), participating in A/B testing for Adobe, and assisting in Quality Assurance processes. Before that, I completed a Master's degree in design and journalism while working on non-profit projects for a charitable organization, honing my graphic and UI/UX design skills. I have experience working with vector graphics, icons, logos, application prototyping, branding, video editing, and motion graphics. Additionally, I have the ability to work with large amounts of information and text due to my background in multimedia journalism."
54799,"I have been teaching design for three years now. Developed a multi-page website for Softkit IT company. Developed from scratch a corporate identity and made up a website for the coal company Ugtransresurs. Several years of practice in various design programs such as Illustrator, photoshop, indesign, premier pro, after effects, 3d max, maya, 3d coat, figma and etc. Have html and css skills and intermediate level knowledge of English. Around 2 years of freelance, 2 months internship at Peace it, worked with Hipinspire.com, SmartJ and Softkit. Currently working as a design teacher at Itstep academy. Ready to work in office or remotely. I expect interesting and complex projects. The opportunity to realize myself as a designer in a creative young team."
54800,"Mary
Graphic Designer
- Over 3 years of experience in graphic design
- Proficient in Photoshop, Illustrator, XD
- Specializes in logo design, banner design, outdoor advertising, personal/corporate landing page design, and file printing
- Open to trying and designing different things
- Strong portfolio of various projects
- Excellent communication and collaboration skills
- Detail-oriented and creative mindset
- Proven track record of meeting deadlines and exceeding client expectations."
56453,"With twelve years of professional work in design and computer graphics, I have experience in various aspects of the field. I am seeking a company where I can apply, challenge, and advance my creative, technical, and management skills. I aim to continue growing as a versatile specialist who can help his team complete tasks to a high standard."
56528,"Finalist of Hublot Design Prize, 2022
Personal illustrations exhibition in Ukraine, Germany, and France.

Illustrator, 100Roads (USA, remote) 2021-2023
- Concept development
- Sketching
- 2D Digitalization of onboarding backgrounds for the EdTech platform.

Art direction, Kukuruza Video production (Ukraine) 2022-2023
- Concept ideation for videos
- Creation of style mood boards
- Department management
- Collaboration with top retailer companies, IT companies, Government, and Worldwide businesses

Stage designer, Kukuruza Video production (Ukraine) 2021-2022
- Storyboard creation
- Location art direction
- Prop design for videos
- Collaboration with top retailer companies

Printing designer, Picasso Art Wedding (Ukraine) 2017-2020
- Watercolor illustrations
- Calligraphy
- Prepress and printing for invitations, menu, name cards, and envelopes

Graphic designer - contractor, SSN design bureau (Ukraine) 2019
- Branding
- Illustrations
- Logo design
- Packaging design
- Pre-press for FMCG, restaurants, and coffee shops

Freelance contractor (Ukraine, Europe, USA) 2014-now
- Web design
- UI/UX design
- Illustrations
- Brand identity design
- Pre-press
- Social media design (Vogue Ukraine project)
- Collaboration with FMCG, Fashion brands, start-ups, galleries, and Small and medium-sized enterprises

Open to new tasks, projects, and experiences. Team player. Committed to delivering results."
56542,"Ann

Passionate graphic designer with over 4 years of experience creating effective designs for big and small companies. Skilled in brand communication, generating innovative ideas, and working as both an in-house and freelance designer. Experienced in designing press media kits, logos, websites, presentations, print materials, and web marketing assets. Proficient in brand identity, logo design, infographics, layouts, and UI/UX design. Strong collaborator with a focus on creating original, engaging, and functional design solutions. Looking to bring creativity, teamwork, and skills to a new opportunity."
56543,"- Graphic Designer with 3 years of experience
- Proficient in marketing and corporate design
- Skilled in creating and maintaining visual identity
- Knowledgeable in the design thinking process
- Experienced in creating graphics for media and communications
- Proficient in infographics, illustration, animation, and UX/UI
- Proficient in Figma, After Effects, Photoshop, and Illustrator."
56544,"From 2012-2013 I Designed the Lomogram app - a top 5 photography app on the Windows Phone Store with 20M downloads.

Experience as a Graphic and UI/UX designer, with a passion for creating new designs, researching solutions, meeting deadlines, and working with layouts, typography, and illustrations. Strong understanding of color, shape, and composition.

Produced competitive design advertisements and created 2D banners and animations for social media resources at Plarium. At Grls Gang, created branding identity, advertisements, and connections with users. Worked on various social media materials, advertisements, and printing materials for both companies and freelance projects. Dedicated to continuous learning and staying updated on industry trends."
56545,"Experience:

Advertising agency:
- Development of visual communications for the brand

Digital Agency:
- Maintaining brand and influencer pages on social networks

Additional skills:
- Printing design
- Posters design
- Social network design
- Advertising banners
- Web design
- Animation"
56618,"7 years of experience as a graphic designer, with the last 5 years spent at a manufacturing company. Responsible for developing various products including printable and digital materials such as outdoor ads, web banners, and social media posts. In the last 2 years, also provided UI/UX guidance and improved the main e-commerce website. Seeking a position as a UI/UX designer with opportunities for growth and also interested in game development and 3D modeling."
56619,"Liudmila

Graphic Designer

Over 10 years of experience in graphic design, specializing in logo design, corporate identity, design for various social media networks, and web design. Proficient in creating and preparing graphics for digital and print formats. Created over 100 logotypes and new style guides for various businesses.

Professional Skills and Experience:
- Adobe Illustrator, Adobe Photoshop, InDesign, Corel Draw, Google Slides, Canva, Figma
- Logo and corporate identity design
- Social media design creation
- Web-sites and user interfaces design
- Packaging and printing products design
- Presentation design"
56629,"Creating intuitive and visually appealing interfaces that ensure a pleasant user experience with the product. Conducting user research, including observations and analysis of user behavior, to gather insights that contributed to design improvements and enhanced user satisfaction. Participating in a team project where I had a significant role in designing the interface of the service, leveraging my experience in graphic design. Developing a design system for the team project. From 2016 to 2022, I worked as a graphic designer, specializing in the development and execution of visual design projects. I created logos, corporate identities, advertising materials, and other graphic solutions. Half a year of practice in UI/UX design, where I already have experience in creating a landing page, redesign, a team project for a web service, and team project for a mobile app. I am currently actively looking for my first job as a UI/UX designer. Team project ""LifeLandscape"" web service for landscape design. I have worked extensively on the ""LifeLandscape"" web service for landscape design, gaining valuable experience in collaborative teamwork, user-centric design, and responsive design principles. Overall, my experience working on the ""LifeLandscape"" project has equipped me with a solid understanding of UI/UX design principles, a keen eye for aesthetics, and the ability to translate complex requirements into visually appealing and user-friendly designs. The project I worked on as a UI/UX designer involved the redesign of a website for a tattoo studio located in Destin, Florida. My role as a UI/UX designer involved conceptualizing and executing a visually striking and user-centric website redesign. Seeking a job that aligns with my skills and interests in the UI/UX design field. Opportunities to develop and enhance my UI/UX design skills, learn from experienced professionals, and work with modern tools and technologies. Working on interesting and diverse projects where I can apply my creativity and innovative design approaches. Working in a supportive team environment that values collaboration, idea exchange, and collective growth. Having the opportunity to make a significant impact on the end product by ensuring high-quality design and an excellent user experience. Being part of a team of professionals, receiving recognition for my work, and contributing to the success of the company or project. Having the flexibility to work according to a flexible schedule that allows for a balance between work and personal commitments. Considering the possibility of career advancement, taking on new responsibilities, and accessing better opportunities in the future."
56630,"Web / Graphic Designer with over 7 years of experience. Proficient in Figma, Adobe Illustrator, Adobe Photoshop, and Sketch. Worked in two IT companies before transitioning to freelance work. Skilled in creating logos, brand identity, banners, flyers, posters, social media posts, icons, illustrations, and UX/UI website design and redesign."
56631,"iOS and Android app development experience with strong UX skills. Proficient in creating responsive design websites, landing pages, and promotional materials such as banners and POSM. Skilled in logo design, animation, GUI design, and working with product and outsourcing companies. Experienced in using Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Lottie, Sketch, Affinity, Procreate, and Freehand Drawing. Proficient in project management tools such as Slack, Jira, Confluence, Keybase, Trello, and Redmine. Familiar with InVision, Hotjar, and Wordpress. Knowledgeable in HTML, CSS, Python Core, and JavaScript. Possess marketing knowledge and strong visual communication skills. Seeking new challenges and open to relocating or remote work opportunities."
56632,"Demonstrable graphic design skills with a strong portfolio
Strong communication skills and the ability to develop and confidently deliver polished presentations to customers and internal teams
Strong attention to detail and excellent documentation skills
Strong understanding of web design principles, use of typography, color and page layouts, with a great eye for detail
Strong analytical skills, including the ability to do detailed analysis of application performance and trends in order to provide insight and recommendations
Passion for design, a positive attitude, and the ability to be highly creative within an agile development process
Professional-level knowledge of industry standard design software (Photoshop, Illustrator, Adobe XD, Figma, etc.)
Excellent people skills and the ability to communicate well both verbally and written
Creativity, strong logic skills, and the ability to work in a dynamic, challenging, and consultative environment

Experience:
- Graphic Designer and UI/UX Designer for 4 years
- Freelance work creating logos, social media posts, and landing pages
- Worked in typography, preparing designs for printing and creating merch for brands
- Developed brand identities and strategies, including work with branding agency ""onO"" Nova Market
- Design process includes gathering requirements, creating user stories, conducting user research, and developing intuitive and engaging visual designs

Objective:
To utilize my skills and experience in graphic and UI/UX design to create impactful and visually appealing brand identities and websites that resonate with audiences."
56633,"Experience:
- Completed education courses in design
- Created 2 non-commercial design projects

Skills:
- Strong desire to progress and learn
- Pledge maximum productivity and diligence
- Ability to work well in a team
- Eagerness to gain commercial design experience"
56634,"Main responsibilities:
- Designing banners
- Posting on social media
- Creating brand identities
- Managing print production
- Performing photomanipulation
- Creating illustrations and 2D characters
- Developing animations
- Designing websites
- Prototyping websites

Tools:
- Proficient in Figma
- Experienced with Adobe Photoshop, Illustrator, and After Effects."
56635,"Experience in graphic design with various projects, some of which are not compiled into a portfolio. Limited access to previous work due to forced relocation, only able to provide samples saved on phone. Interested in pursuing a career in UI/UX design for mobile applications, open to opportunities in graphic design. Please refer to Google Drive link for examples of work."
56637,"Svitlana

Graphic & Web Designer with 8+ years of experience
Currently working at Libertex group, specializing in online trading and investment

Experience:
- 8+ years in Graphic Design
- 2+ years in UI/UX design

Skills:
- Designing advertising materials (web banners, social media creatives)
- Creating UI interfaces, style guides, icons
- Presentation design (digital, print)
- Design drafts and mock-ups
- Offline exhibition design
- Illustration design
- Educational material design
- Brand books and pitch decks
- Infographic design
- Print design
- Logo design

Tools:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Adobe InDesign
- Sketch
- Principle
- Jira, Trello, Asana

Project areas:
- FinTech
- Trading
- Investing
- Marketing
- Cryptocurrencies
- Blockchain

Passionate about design, ambitious for personal growth, deadline-driven creative. Strong self-management and analytic mindset, good collaboration skills, understanding of users' thoughts & feelings and clients' goals and needs.

Looking for:
Full-time remote position."
56638,"Experienced and dedicated graphic designer | UI/UX designer with 8 years of industry experience. Successfully completed numerous projects with a focus on high-quality, efficient, and unique design. Recognized for strong communication skills and ability to thrive in any work environment. Seeking opportunities to collaborate with a dynamic team on engaging projects to further develop skills and expertise."
