,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
10,"[Ваше ім'я]

[Контактна інформація]

Професійний досвід

Маркетинг та комунікації
- Розробка стратегій комунікації з клієнтами.
- Створення дистанційної системи управління для засновника проекту.
- Планування акцій та індивідуальних оферів.
- Ведення переговорів та відпрацювання негативних відгуків.
- Структуризація співпраці між учасниками проекту з різними поглядами.

Бізнес-аналітика
- Працювала помічником-асистентом бізнес-аналітика протягом півроку.
- Виконання порівнювального аналізу конкурентів.
- Розробка статусної моделі замовлення для маркетплейсу.
- Створення схем у Miro та Idroo.

Освіта
- Вступила до декількох іноземних університетів, планую розпочати навчання у вересні або наступного року.

Додатковий досвід
- Репетитор з математики: допомога студентам у підготовці до екзаменів для вступу до університетів та шкіл України та Європи."
11,"Досвідчений бізнес-аналітик з 4-річним досвідом роботи в провідних компаніях, таких як ПриватБанк, АЛЛО, ВАРУС та БАДМ.

У ПриватБанку спеціалізувався на банківській сфері та обслуговуванні клієнтів, виконуючи загальні обов'язки бізнес-аналітика.

В АЛЛО працював у галузі IT та маркетплейсу, забезпечуючи ефективність бізнес-процесів.

У ВАРУСі зосереджувався на логістиці та управлінні складськими системами (ВМС).

У БАДМ займався IT-проєктами та налаштуванням ВМС системи, забезпечуючи оптимізацію процесів.

Відзначаюсь здатністю знаходити та отримувати необхідну інформацію для успішного виконання завдань."
12,"Більше за все пишаюсь тим, що за роки своєї роботи зміг досягнути результату, коли є чому навчити інших співробітників, коли налаштований функціонал дійсно допомагає замовникам вирішити проблеми, які стояли перед ними. Брав участь в розробці технології впровадження проєктів, налаштовував майже всі процеси, якими користувались мої колеги, пропонував рішення, які оптимізували процеси, впроваджував їх. Все, що нове і може оптимізувати роботу - це для мене.

Протягом шести років займався налаштуванням та впровадженням CRM-системи OneBox. Починав кар'єру в IT з посади Customer Support Manager. За рік роботи показав одні з найкращих результатів в команді, та після створення нової послуги Junior Account Manager, став першопрохідцем в ній. Через півроку роботи була відкрита ще одна послуга Senior Account Manager, де також став першим співробітником в компанії, який впровадив її. Також спробував свої навички в професії Account Administrator, де займався адмініструванням команди менеджерів, яка складалася з шести співробітників. В обов'язки входило адміністрування роботи працівників, контроль за виконанням їх завдань, успішність ведення проектів, комунікація з клієнтами, вирішення їх проблем. На цій посаді працював паралельно, тому вів ще 4-5 проєктів самостійно, які також адміністрував.

Основними обов'язками на посаді Account Manager`а були:
- збір вимог від клієнта
- написання ТЗ, погодження з замовником
- аналіз даних та розробка рішень, які вирішують завдання замовника
- впровадження проєкту клієнта (планування, визначення пріоритетів, написання ТЗ розробникам, контроль виконання завдань, тестування функціоналу, здача проєкту замовнику, налаштування інтеграцій з сайтами, різними сервісами, робота з багатьма CMS, програмами для роботи з API, HTML, CSS, PHP preg match, Google сервіси, при необхідності вивчення нових систем та роботи з ними (якщо це вимагає вирішення задачі замовника) та інше).

В роботі завжди націлений на максимальний результат. Якщо отримую задачу, то вимушений розібратись з нею до кінця, повторно збираю інформацію, спілкуюсь з замовником, виясняю, що потрібно для отримання результату. Якщо всіх влаштовує - налаштовую, якщо ні - шукаю варіанти. Завдань, які не можна вирішити, майже не існує, тому готовий розбиратись і робити все, що потрібно.

Основний мотиватор для мене - це впровадження нових рішень, розробка процесів, максимальна участь в житті компанії, вивчення нового. Не хочу стояти на місці, цікавить розвиток та можливість кар'єрного росту. Точно не хотів би займатись продажами, це не моє."
13,"Участь у плануванні та реалізації проєкту з переносу даних у нову CRM-систему, адаптація команди до нових процесів. Перегляд та автоматизація наявних бізнес-процесів. Останні 2 роки працювала як проєктний менеджер у Ed-tech компанії, отримала досвід супроводу організаційних та продуктових змін, системного аналізу бізнес-процесів компанії."
14,"Досвід роботи: 20 років на посаді CEO.  
Працював у 6 компаніях, з яких у 5 був співзасновником.  
Ключові обов'язки: формування команди, управління, маркетинг, розробка нових продуктів та послуг, фінансовий менеджмент, реклама, управління продажами.  
Досвід у B2B та B2C секторах, у сфері послуг та виробництва.  
Війна вплинула на кар'єру, вирішив перейти в ІТ.  
Закінчив курси з управління проєктами, наразі проходжу додаткові курси. Систематизую свій досвід."
15,"15+ років досвіду:

- Інтеграція промислових систем управління IIoT та корпоративних ІТ-рішень.
- Комплексні рішення та послуги з управління продуктивністю активів.
- Промислові сервісні рішення IoT.
- Впровадження комплексних проектів автоматизації підприємства (IT-Enterprise, EPR, CRM, WMS, система закупівель, рішення Microsoft Azure і Google, Project Software) і системи управління промисловою автоматизацією (DCS, PLC, SCADA/HMI, MES, ICS, SIS, CMS/AMS, APM та УПРАВЛІННЯ АКТИВАМИ).
- Роль архітектора та менеджера проекту (ISA/IEC, ATEX, SIL, IEEE/ANSI, API, CISA, ISO, Achilles/ACCP).
- Pre-Sales та After-Sales, менеджер з підтримки.
- Управління ризиками.

Досвід впровадження рішень ОТ/ІТ в нафтогазовій, хімічній, металургійній та харчовій галузі. Побудова архітектури ОТ/ІТ для вибухонебезпечних зон та критичної інфраструктури. Аудит об’єктів впровадження ОТ/ІТ рішень для критичного обладнання."
16,"Професійний досвід та навички:

Досвід:
- SMM
- PR
- Copywriting
- Customer and user experience
- Trade Marketing
- Digital Marketing

Досягнення:
- Успішний запуск національних рекламних кампаній
- Ефективна кооперація з бренд-амбасадорами
- Виведення нових брендів на ринок
- Оновлення концепту фірмових магазинів та відкриття нових
- Реалізація щорічних маркетингових планів, національних рекламних кампаній та промоакцій
- Проведення маркетингових активностей (ATL, BTL, Digital, SMM, Email, Viber)
- Управління крос-функціональною командою
- PR: співпраця з журналами, приватними клініками, спортивними школами, лідерами думок, блогерами та селебретіз
- SMM: розробка контент-планів, просування акаунтів, копірайтинг
- Репутаційний маркетинг та покращення іміджу
- Реалізація стратегії утримання та приваблення клієнтів
- Спілкування з клієнтами для підвищення ефективності продажів

Професійні цінності:
- Відданість справі та прагнення досягати результатів
- Працюю лише з етичними проектами, виключаючи казино та ігри."
17,"[Ваше ім'я]  
[Ваша адреса]  
[Ваш телефон]  
[Ваш email]  

**Мета**  
[Короткий опис вашої мети або бажаної посади]

**Освіта**  
Філолог  

**Досвід роботи**  

**Міністерство освіти і науки України**  
Фахівець у пресслужбі міністерства (2017-2020)  
- Розробка та редагування пресрелізів.  
- Взаємодія з медіа, включаючи міжнародні.  
- Організація брифінгів, пресконференцій та конференцій.  
- Управління соціальними мережами міністерства.  
- Підготовка спікерів до ефірів, створення презентацій та тез.  
- Моніторинг згадок міністерства у ЗМІ за допомогою систем (LOOQME, SoMO тощо).  
- Адміністрування вебсайту міністерства.  
- Кураторство напряму інклюзивної освіти від пресслужби.  

**Український процесінговий центр**  
PR-менеджер (2020)  
- Розробка та редагування новин компанії.  
- Переклад новин на англійську мову.  
- Створення та дизайн новинних бюлетенів для клієнтів.  
- Взаємодія з медіа та моніторинг згадок компанії у ЗМІ.  
- Листування з іноземними клієнтами.  
- Замовлення корпоративної продукції та координація з постачальниками.  

**Перекладач (фріланс)** (2020)  
- Переклад наукових текстів з російської та української на англійську.  

**Рерайтер (фріланс)** (2016-2017)  
- Створення текстів українською, російською та англійською мовами.  

**Київський годинниковий завод**  
Офіс-менеджер (2016-2017)  
- Забезпечення функціонування офісу.  
- Обробка вхідних дзвінків та кореспонденції.  
- Організація трансферів для гостей та співробітників.  
- Прийом гостей на ресепшені.  

**Delta Medical**  
Асистент відділу логістики (2016)  
- Подача вантажно-митних декларацій до бухгалтерії.  
- Переклад рекламацій та листів з англійської.  
- Внесення даних у базу 1С.  
- Складання та підписування кредит-нот.  
- Управління документообігом.  

Офіс-менеджер (2015-2016)  
- Забезпечення функціонування офісу.  
- Обробка вхідних дзвінків та кореспонденції.  
- Організація трансферів для гостей та співробітників.  
- Прийом гостей на ресепшені."
18,"Запуск власних продуктів та проєктів з акцентом на управління проектами в різних сферах, включаючи ІТ. Досвід керування командами, планування роботи та контролю за виконанням задач. Успішно реалізовував самостійні проєкти та співпрацював з іншими командами над запуском веб-сайтів, мобільних додатків та чатботів. Особливий інтерес до напрямків Blockchain/Crypto та Artificial Intelligence/Machine Learning."
19,"**Резюме**

**Досвід роботи**

**Березень 2020 - Липень 2020**  
Technical Support Advisor в Phillips  
- Усунення базових неполадок  
- Оновлення програмного забезпечення  
- Створення запитів на виправлення помилок  

**Вересень 2020 - Червень 2021**  
T1 Technical Support Engineer в Ciklum  
- Управління CMS  
- Первинна обробка квитків  
- Оновлення та калібрування систем  
- Перевірка налаштувань POE  
- Читання логів та виявлення помилок  
- Перевірка живих подій та графіки  

**Червень 2021 - Вересень 2021**  
T2 Technical Support Engineer в Ciklum  
- Перевірка та активація конфігурацій систем  
- Читання логів та виявлення кореня проблеми  
- Вирішення складних питань  
- Використання Grafana, Postman, Papertrail  
- Дослідження помилок Windows  
- Створення запитів у JIRA/Confluence  

**Листопад 2021 - Березень 2022**  
Technical Support Engineer в Blackthorn Vision (SciChart Project)  
- Комунікація між клієнтами та розробниками  
- Відтворення проблем та створення звітів  
- Інформування клієнтів про статус запитів  
- Щоденна комунікація з розробниками  
- Створення та підтримка документації  
- Використання Github, IDE  
- Робота з CRM-системами (Freshdesk, Zendesk, Jira)  
- Створення запитів у KayakoQL  

**Серпень 2022 - Лютий 2023**  
Thomas Cook Tourism Service Desk  

**Додаткова інформація**  
- Баланс між роботою та особистим життям  
- Кар'єрний ріст у компанії  
- Відсутність нічних змін, прийнятні вечірні зміни  "
20,"Теперішній час (фармацевтичний ринок, більше 10 років)  
- Організація та проведення дослідження ринку  
- Розробка нових методик розрахунків та ТЗ  
- Постановка задач програмістам  
- Управління підготовкою звітності для клієнтів  
- Організація взаємодії різних підрозділів  
- Автоматизація процесів обробки даних, перевірок  
- Організація роботи департаменту, навчання співробітників  
- Прогнозування показників ринку  

Професійні навички  
- Excel: досвідчений користувач, застосування складних формул, зведених таблиць, діаграм, автоматизація підготовки звітів, написання макросів VBA, використання Power Query, Power Pivot  
- PowerBI: завантаження даних, відображення зведеної інформації  
- Access: досвідчений користувач, створення, заповнення та оновлення таблиць, написання запитів, обробка даних з використанням макросів  
- PowerPoint: досвідчений користувач, побудова діаграм, використання анімації у презентаціях  
- SQL: написання запитів на отримання даних з використанням умов, поєднання різних таблиць у запитах  
- MapInfo: редагування шарів, об’єднання та розділення полігонів, геокодування точкових об’єктів, оновлення характеристик по входженню в полігон  
- QlikView: написання скриптів для забору даних із різних джерел, завантаження та обробка даних (ETL), реалізація логіки розрахунку та відображення зведеної інформації"
21,"Самостійне створення з ""0"" відділу підтримки користувачів для продуктової gamedev компанії. Шукаю можливість реалізувати свій досвід delivery та PjM. Також хочу отримати нові навички та знання в цій ґалузі.

Останні досягнення:
- Оптимізація бізнес-процесів та потоку створення продукту від функції до фінального інкременту
- Координація та допомога у вирішенні операційних питань продуктових команд
- Координація між функціями з питань, що стосуються бізнесу
- Аналіз витрат і відхилень
- Агрегація, формалізація та підтримка агрегованих вимог до релізу (розробка та впровадження паспорта релізу)
- Управління людьми в відділі технічної підтримки
- Створення та контроль продуктового сторінки в магазинах (AppStore, GooglePlay, Amazon)
- Надсилання релізів на модерацію та їх підтримка під час перевірки для повного випуску в продукцію
- Комунікація з командою рецензентів, відповідальність за вирішення блокувань і відхилень під час модерації
- Звітність про доставку функцій до бізнесу

Мої навички:
- Agile (Scrum, Kanban), Waterfall, RUP (базовий)
- SAFE (базовий)
- BPMN
- Управління ризиками
- Управління людьми
- Вирішення проблем
- Англійська - A2

Інструменти:
- Jira, Confluence, Asana
- AppStore Connect, Google Play Console
- MS Office, Google Services, Slack, Zoom."
22,"Досвід запуску проекту «з нуля»: від пошуку команди і визначення функціоналу продукту до запуску його в продакшин і подальшого супроводження.

Понад 4 роки управління ІТ-командами і запуску IT-проектів, а також 2 роки управління проектами поза ІТ. Співпраця з дизайнерами, маркетологами і media-buyer'ами, координація роботи різних команд. Розробка і визначення основного функціоналу продукту «з нуля», створення базової документації, розробка прототипів, координування розробки дизайну продукту, реалізація технічною командою.

Шукаю цікавий проект, в якому зможу ефективно застосувати свої здібності і навички, одночасно навчаючись чогось нового від колег чи вирішуючи нетривіальні задачі."
23,"Оптимізація процесу передачі проектів підряднику, що заощадило час команди та виключило непорозуміння між співробітниками. Введення системи звітності для клієнтів, що дозволило презентувати виконану роботу якнайпрозоріше для замовника та ефективніше комунікувати з клієнтами.

Cyborg Studio (digital - агенція)  
02.2021 - теперішній час  
- Проведення зустрічей та узгодження плану робіт із замовником.  
- Формування, заповнення та затвердження ТЗ відповідно до вимог замовника.  
- Участь у формуванні маркетингової стратегії.  
- Вирішення проблем та складнощів, що виникають під час роботи над проектом.  
- Організація роботи команди та її формування.  
- Відстеження завантаженості і прогресу виконання завдання кожного члена команди (управління ресурсами).  
- Допомога в підтриманні прозорого середовища спілкування між усіма зацікавленими сторонами.  
- Організація фотосесій (створення контенту).  
- Формування «дорожньої карти» (Roadmap) проекту.  
- Моніторинг виконання основних етапів проекту.  
- Контроль дотримання дедлайнів.  
- Комунікація з замовником.  
- Формування звітності за результатами виконаної роботи для замовника.  

Whaleapp  
01.2019 - 09.2019  
- Написання тестової документації.  
- Ручне тестування.  
- Робота в Jira, Asana, Android Studio.  

ТОВ ""ЮОнлайн""  
02.2020 - 08.2020  
- Проведення зустрічей, переговорів з клієнтами.  
- Віддалене налаштування навігаційних пристроїв і систем, усунення несправностей.  
- Підтримка користувачів.  
- Перевірка працездатності пристрою.  
- Ведення технічної документації."
