,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
16,"Освіта:
- Коледж: 4 роки навчання за спеціальністю ""Художня фотографія""
- Університет: 2 роки навчання за спеціальністю ""Дизайн""
  - Навички: малювання, ретуш, графічний малюнок, візуальна побудова сайтів

Досвід роботи:
- Компанія ""Про Пост"": ретушер
  - Покращила знання програми Photoshop, володію програмою на відмінно
- Фріланс:
  - Виготовлення логотипів, банерів, візитівок

Додаткова освіта:
- Курс UI/UX дизайну від Beetroot академії
  - Навички: принципи композиції, типографіка, поєднання кольорів
  - Створення адаптивних веб-сайтів для різних пристроїв
  - Робота з Figma, дизайнерське мислення
  - Можу продемонструвати проекти майбутнім роботодавцям"
17,"Freelance

- Дизайн мобільних додатків
- Підтримка дизайн-систем
- Дизайн лендінгів
- Створення банерів

Мета: професійний розвиток та застосування всіх наявних знань і навичок."
18,"Навчання:  
- З 21.05.23 - навчання у GO IT за напрямком UX/UI Design  

Досвід:  
- Створення landing page  

Мета:  
- Приєднатися до компанії, щоб стати частиною команди, розвиватися як UX/UI Designer та здобувати безцінний досвід."
19,"ПІБ: [Ваше ім'я]  
Контактна інформація: [Ваш телефон, електронна пошта]  
Місто: [Ваше місто]  

Мета:  
Прагну працювати в сучасній компанії в сфері дизайну, створюючи цікаві та якісні продукти.

Освіта:  
Львівська політехніка, спеціальність: Комп'ютерні науки, [Рік закінчення]  

Курси:  
""Основи Web-дизайну"", [Рік закінчення]  

Досвід:  
- Розробка сайту для опису мотоциклів з зручним інтерфейсом та плавною анімацією.  
- Досвід роботи з Figma.  

Навички:  
- Швидке освоєння нових технологій.  
- Виконання завдань в узгоджені часові рамки.  
- Інтерес до роботи та навчання в сфері дизайну.  

Портфоліо:  
Можу надати посилання на мою роботу в Behance."
20,"Courses:  
- UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022  
- Inclusive Design | Projector Online School, Apr 2021  
- Web Design Beginning | Projector Online School, Feb-Apr 2021  
- Basics of Web Development | WayUp Online School, 2021  
- Introduction to User Experience Design | Georgia Institute of Technology, 2020  

Education:  
- Doctor of Medicine  

Привіт! Мене звати Юля. Я UI/UX дизайнер з базовими знаннями з фронтенду. Якщо ви шукаєте старанного, мотивованого дизайнера-початківця, це я :-)  
Мій досвід у створенні інтерфейсів сайтів невеликий, але я захоплена цією роботою і готова навчатись. Моя мета — будувати свою дизайнерську кар’єру серед чудової команди однодумців.  

I am looking for a place where I could be useful with the skills I've already got as well as grow as a UI/UX designer among a great team of like-minded individuals."
21,"Досвід роботи: понад 6 місяців фрілансу. Працюю над кількома проектами, використовуючи Figma, Photoshop, Google Sheets та опитування для аналізу потоку користувачів. Шукаю можливість приєднатися до компанії для професійного зростання та набуття досвіду роботи в команді. Планую освоїти графічний дизайн у майбутньому."
22,"Junior UI/UX Designer

Освіта:  
IT School GOIT  
Курс ""UI/UX Designer""  
Період: лютий 2023 – зараз.

Навички:  
- Figma, Adobe Illustrator, Adobe Photoshop

UI частина:  
- Візуальна ієрархія  
- Композиція  
- Колористика  
- Типографіка  
- UI Kit

UX частина:  
- Інтерактивне прототипування  
- Адаптивний дизайн  
- Дизайн-мислення

UX дослідження:  
- Аналіз конкурентів  
- Персони та карти емпатії  
- User flow  
- Прототипування

Професійні якості:  
Я відкритий до нових можливостей, мотивований та готовий до роботи. Маю сильну емпатію та розуміння потреб користувачів. Мої навички та ентузіазм роблять мене цінним доповненням до будь-якої команди.

Проекти:  
Redesign ""Ola-La""  
Результати редизайну косметичного центру:  
- Покращена естетика  
- Зручний інтерфейс  
- Покращена організація інформації  
- Професіоналізм  
- Покращена комунікація з клієнтами

Командний проект ""Be like at home""  
У рамках командного проекту ми розробили інноваційний вебсайт для оренди житла, зосереджуючись на зручності користувачів, привабливому дизайні та надійній функціональності.  
Під час проекту я вдосконалив навички командної роботи, комунікації та співпраці з колегами. Також розвинув навички управління проектами, включаючи роботу з дедлайнами та відповідальність за свою роль у проекті. Працюючи з різними експертами, я здобув додаткові знання та навички у розробці вебсайтів та використанні відповідних інструментів і технологій.

Бажання:  
Прагну працювати у дружньому колективі, де колеги поважають та допомагають один одному."
23,"Успішно завершила курс ""Основи Web дизайну"" в ІТ школі ""Hillel"". Понад 6 місяців досвіду роботи на фрілансі як Junior UI/UX Designer з комерційним досвідом. Продовжую працювати на фріланс основі, вдосконалюючи навички UI/UX дизайну. Маю велике бажання розвиватися в компанії, зосереджуючись на якісній роботі. Готова працювати помічником web дизайнера та UI/UX дизайнера для набуття додаткового досвіду. Очікую нові цікаві проекти та готова до викликів, адже маю ціль стати кваліфікованим спеціалістом у сфері UI/UX дизайну."
24,"**Резюме**

**Досвід роботи**

1. **Landing Page для продажу оригінального крісла Wassily Chair**
   - Проведено аналіз конкурентів у ніші
   - Створено юзер персони та юзер флоу
   - Розроблено вайфрейм, дизайн сторінки та інтерактивний прототип

2. **Розроблення мобільного додатку на iOS ""Бронювання готелів, житла""**
   - Аналіз конкурентів
   - Створення юзер персони та юзер флоу
   - Розробка вайрфреймів та дизайну
   - Створення інтерактивного прототипу
   - Оформлення кейсу на Behance"
25,"[Ваше ім'я]

Контактна інформація:  
[Ваш телефон]  
[Ваш email]  
[Ваш LinkedIn профіль]

Мета:  
Шукаю позицію Junior UX/UI Designer у продуктовій компанії, де зможу розвивати свої навички в дизайні інтерфейсів та співпрацювати з професіоналами в дружньому середовищі.

Освіта:  
- Сертифікат UX/UI Designer, GO IT  
- Магістратура в Software Engineering, GO IT (в процесі навчання)

Досвід:  
- 1 рік досвіду в дизайні, реалізовано 5 проектів:  
  1. Веб-сервіс для пошуку домашніх тварин  
  2. Мобільний додаток для бронювання столиків у ресторані  
  3. Мобільний додаток для оренди будинків або квартир  
  4. Адаптивний веб-сайт для уроків англійської  
  5. Адаптивний веб-сайт для веб-студії

Навички:  
- Дослідження та референси  
- HTML & CSS  
- Вайрфреймінг  
- Дизайн інтерфейсу та користувацького досвіду  
- Створення CJM & UJM  
- Створення персонажів  
- MVP версія  
- Дашборди  
- Прототипування  
- Дизайн-системи та UI kit  
- Адаптивний дизайн з використанням медіа

Інструменти:  
- Figma  
- Adobe Photoshop, Illustrator  
- VS Code  
- Protopie

Професійні цілі:  
- Розвивати дизайн інтерфейсів  
- Проводити аналітику користувацького досвіду  
- Створювати вайрфрейми та детальні прототипи  
- Працювати з веб-сервісами, мобільними додатками, браузерами, соціальними мережами та веб-ресурсами  
- Створювати Customer Journey Map та User Journey Map  
- Розвивати дизайн-системи

Особисті якості:  
- Навички роботи в команді  
- Бажання розвиватися та покращувати свої навички у веб-дизайні  
- Прагнення працювати в дружньому колективі з приємними людьми"
26,"Ліля

Досвід роботи:
- Спеціаліст з обслуговування та консультування клієнтів, магазин одягу ""24 Colours""
- Досвід у менеджменті

Освіта:
- Студентка UX design

Навички:
- Володіння польською мовою (сертифікат B2)
- Знання новітніх трендів у соцмережах
- Мотивація до професійного розвитку та набуття практичного досвіду"
27,"Hard Skills:  
- Figma  
- Adobe Illustrator  
- Adobe Photoshop  
- Adobe After Effects (створення легкої анімації)  

Soft Skills:  
- Наглядність  
- Робота в команді  
- Виконавчість та націленість на результат  
- Почуття гумору, чесність, стресостійкість, пунктуальність  
- Здатність швидко навчатися  
- Прагнення до розвитку та професійного зростання  

Досвід роботи:

Smartflowlabs  
- UX/UI дизайнер: від створення прототипу сайту, вивчення бренду та конкурентів до кінцевого результату створення дизайну сайту під керівництвом Senior Веб-дизайнера  
- Розробка додатків для магазинів Shopify під керівництвом Senior Веб-дизайнера  
- Адаптивний дизайн сайту  
(Вересень 2022 р. - Січень 2023 р.)"
28,"SMM-фахівчиня  
ГО ""КМРУ"" (Конгрес молодіжних рад України)  
Червень 2022 - дотепер  

- Розробка та реалізація стратегій у соціальних мережах  
- Створення контенту для різних платформ  
- Аналіз ефективності кампаній та оптимізація контенту  

Голова дизайнерського відділу  
Наукове товариство історичного факультету КНУ ім. Т. Шевченка  
Жовтень 2022 - дотепер  

- Керівництво командою дизайнерів  
- Розробка візуальних матеріалів для заходів та публікацій  
- Співпраця з іншими відділами для забезпечення цілісності бренду  "
29,"Tepli obiymy  
10.07.2023 - 25.07.2023  

Розробка айдентики для інстаграм-магазина в'язаних речей.  
- Проаналізувала конкуренцію та цільову аудиторію.  
- Виявила слабкі та сильні сторони продукції.  
- Розробила концепцію, створила логотип та оформила бірки для одягу.  

Мета:  
- Розуміти процес розробки, а не лише створювати красиві інтерфейси.  
- Долучитися до внутрішньої команди дизайнерів, вчитися від професіоналів та брати участь у реальних проектах.  
- Допомагати у рутинних завданнях, щоб команда могла сконцентруватися на складніших аспектах."
30,"Я - кваліфікована UI/UX дизайнерка з досвідом роботи в проєкті, спрямованому на підтримку початківців в сфері ІТ, які не мають досвіду. Моя участь у цьому проєкті не тільки дозволила мені вдосконалити свої навички в області UI/UX дизайну, але й надала мені унікальну можливість розвивати навички управління проєктами та здобути практичний досвід у командній роботі.

UI/UX Designer | Junfolio (з березня 2023 по тепер)
- Розробка концепції дизайну інтерфейса з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Робота в команді, співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення ui-kit та передача макету в розробку

Пет проєкти
1. Веб-сервіс створення сайтів для замовників
Проєкт, спрямований на підтримку початкових фахівців без досвіду, щоб допомогти їм реалізувати свої навички, працюючи в командах з реальними замовниками. Я брала активну участь у всіх етапах процесу дизайну, починаючи зі створення концептуальних вайрфреймів, розробки інтерактивних прототипів та остаточного дизайну. Моя робота включала створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів, а також визначення оптимальної структури і навігації. Я також активно використовувала компонентний підхід, створюючи компоненти для кнопок, полів введення, карточок та інших елементів, що полегшувало повторне використання. Робота в команді організована за методологією SCRUM з двотижневими спринтами і регулярними дейлі мітингами, на яких обговорюємо прогрес роботи, обмінюємося ідеями та вирішуємо питання для подальшого розвитку проєкту.

2. Мобільний додаток з резервування столиків
Додаток, який допомагатиме користувачам легко та швидко здійснювати бронювання столиків в улюблених закладах. Можливість шукати та переглядати інформацію про різні ресторани, меню, фотографії та розташування, обирати дату, час та кількість осіб, для яких вони хочуть забронювати столик. Для початку я провела аналіз, який допоміг мені зрозуміти, хто буде цільовою аудиторією, які їх потреби та очікування від додатку, склала мапу сайту, побудувала User flow. Розробила вайрфрейми та прототипи, які допомогли визначити візуальне розміщення елементів, оптимальну структуру та навігацію додатка. Розробила високоякісні макети, включаючи вибір кольорової палітри, шрифтів, графічних елементів та іконок."
31,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Курс веб-дизайну, WayUp (3 місяці)
  - Вивчення основних принципів роботи з Figma
  - Наразі вивчаю Adobe Illustrator

Досвід роботи:

Адміністратор
- Українська компанія (1 місяць, стажування)

Графічний дизайнер
- Mindy Teams, Польща (1,5 місяці)

Менеджер з продажу
- [Назва компанії] (1 тиждень)
  - Звільнилася через невідповідність графіку роботи

Навички:
- Основи роботи з Figma
- Вивчення Adobe Illustrator

[Дата]"
32,"Сертифікована в UI/UX (Logos IT Academy) та пройшла марафон ""Основи HTML, CSS"" від GoIT.

Маю понад 5 років досвіду роботи у сфері освіти, викладала українську та англійську мови. Під час декретної відпустки продовжувала викладати онлайн та освоїла нову професію. Завершила курс з UI/UX, де розробила додаток для доставки їжі, виконуючи дослідження, створення User Persona & Story, CJM, Task Flow, IA, а також створювала дашборди та постери.

Маю бажання працювати асистентом дизайнера або стажуватись для здобуття досвіду."
33,"Дизайнер у соціальній компанії Steiger International, Jr. UX/UI. Розробка веб-сайту, участь у 4 проєктах, включаючи продукт у сфері доставки та веб-сайт магазину з доставки продуктів. Проєкти виконані під час навчання на курсах Projector."
34,"Вебдизайнерка з досвідом у редагуванні та пристрастю до ІТ. Маю дві вищі освіти та закінчені курси з UI/UX-дизайну. Протягом 7 місяців працювала контент-дизайнеркою в компанії GOIT, де створювала візуальний матеріал для онлайн-курсів у Figma, Photoshop та Illustrator. Раніше працювала редактором протягом 10 років, зокрема на телебаченні та у видавництві. Впевнено користуюся Figma та іншими графічними редакторами, маю досвід роботи з Adobe InDesign та Coral Draw. 

Рівень англійської – Intermediate. Маю базові навички роботи з кодом для пошуку оригінальних зображень. 

Шукаю стабільну роботу з офіційним оформленням у надійній компанії, де зможу працювати з командою однодумців."
35,"Досвідчений дизайнер з акцентом на створенні гарного, стриманого та якісного дизайну сайтів. Володію навичками роботи з кольорами та текстом, швидко навчаюсь та ефективно знаходжу необхідну інформацію. Виконала проєкти в рамках курсу Web Design Beginning від Projector. Наразі працюю над створенням сайту для пошуку роботи в Україні в рамках курсу UI/UX Design Beginning, планується ще один реальний проєкт. Маю бажання розвиватися в сфері UI/UX Design, вивчити англійську мову та створювати естетичні та функціональні інтерфейси. Шукаю компанію для старту, де зможу професійно зростати."
