,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2
29788,"PROFESSIONAL SUMMARY  
Self-taught Digital 2D Artist and UI/UX Designer based in Kyiv with advanced knowledge of Adobe Photoshop (Beta), Adobe Illustrator, Figma, and Procreate. Strong technical understanding and awareness of current design and technology trends. Proven communication, time management, and self-management skills.

EXPERIENCE  
Full Stack: UI/UX Designer / Illustrator / Graphic Designer | April 2021 – Present  

UI/UX Designer / Illustrator | November 2019 – August 2021  

Freelance Web Designer | December 2018 – November 2019  

SKILLS  
- UI/UX Design  
- Adaptive Design  
- Illustration (Raster/Vector)  
- Banner Design  
- Logo Design  
- Verbal and Written Communication  
- Time and Self-Management  

TOOLS  
- Adobe Photoshop (Beta)  
- Adobe Illustrator  
- Figma  
- Procreate  
- Midjourney  

LANGUAGE  
English — Upper-Intermediate  

AWARDS  
Red Dot / Brands & Communication Design — August 2022"
29835,"DIGITAL DESIGNER

PROFESSIONAL SUMMARY
Digital designer with extensive experience in marketing, specializing in visually compelling work that supports brand growth. Experienced as both a freelance designer and an in-house manager, collaborating with cross-functional teams across multiple international companies. Advanced proficiency in Figma and extensive experience with Photoshop and Illustrator, with web design and animation expertise in Webflow.

SKILLS
Design
- Color theory & composition
- Branding & advertising
- Illustration
- Digital design & digital imagery
- UI/UX design

Digital Marketing
- Web ads & social media ads
- E-blast design
- Digital analytics

Tools & Technical
- Figma (Advanced)
- Adobe Photoshop (Extensive experience)
- Adobe Illustrator (Extensive experience)
- Webflow (Animation, CMS)
- HTML/CSS

Professional Competencies
- Independent and collaborative work
- Creative problem-solving
- Direct client interface
- Team collaboration

PROFESSIONAL EXPERIENCE
Freelance Designer
- Delivered design solutions for an American company
- Designed websites and e-blast campaigns
- Collaborated directly with clients to develop engaging design outcomes

In-House Manager
- Partnered with cross-functional teams to support design execution
- Collaborated with 5+ companies across different countries
- Managed design projects from concept to completion

EDUCATION & TRAINING
DARE IT — Product Design
HILLEL (IT School) — Basic Web Design
CASES MEDIA — Figma (Score: 90)
CASES MEDIA — Graphic Design: Composition (Score: 91)

CAREER OBJECTIVE
Seeking a long-term partnership with growth opportunities in a product-focused environment where design expertise can enhance customer experience and drive business results."
30606,"PROFESSIONAL SUMMARY  
UX/UI Designer with hands-on experience in design systems, prototyping, and user research through Beetroot Academy mentorship projects. Skilled in developing design solutions from research and analysis through prototyping and final presentation.

SKILLS  
Design Tools & Systems  
- Figma (UI kit development, Auto Layout, interactive components, interactive prototypes, plugins)  
- Design system creation and implementation  
- Sketching and prototyping  

UX & Research  
- UX research methodologies  
- Competitor research and analysis  
- User-centered design approach  

Design Principles  
- Composition, typography, and color theory  
- Current design principles and trends  
- Design system standards  

Collaboration & Documentation  
- Google Docs and Google Forms  
- Group project collaboration  
- Project presentation and communication  

EXPERIENCE  
Beetroot Academy — Mentorship Projects  
UX/UI Designer (Project-Based)  
- Conducted UX research and competitor analysis to inform design direction  
- Created sketches and prototypes to explore and validate solutions  
- Applied composition, typography, and color principles across UI designs  
- Collaborated with teammates in group project settings  
- Presented project outcomes and communicated design decisions  
- Produced project documentation using Google Docs and Google Forms"
30845,"UI/UX DESIGNER

PROFESSIONAL SUMMARY
Junior UI/UX designer focused on creating seamless, visually engaging user experiences. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator, with a solid foundation in design principles and user-centered methodologies. Experienced in producing wireframes, mockups, UI kits, and interactive prototypes to improve usability and engagement. Collaborative team player committed to continuous learning and adapting design solutions to evolving user needs.

EDUCATION & TRAINING
UI/UX Design Course (6-month program)
Additional studies in HTML/CSS

PROJECTS
Real Estate Website Redesign (Destin, Florida)
Redesigned a real estate company website to modernize an outdated interface and improve user experience.
- Conducted competitor research and analysis to identify effective design patterns and solutions
- Analyzed social media and customer feedback to inform design decisions
- Developed 3 user personas and a customer journey map
- Created a modern, user-friendly design aimed at attracting potential customers
- Addressed key user needs, including streamlined feedback functionality and property valuation features
- Improved photo quality and overall usability

Travel Booking Web Service
Designed a web platform for users to discover and book excursions, tours, entrance tickets, and entertainment worldwide; enabled guides and travel companies to post offerings.
Key features delivered:
- Search functionality with customizable filters
- Category-based excursion browsing with filtering options
- User registration via email, Google, and Facebook
- Booking flow with card payment capability
- Excursion listing form for guides and travel agents
Design process:
- Analyzed the competitive market landscape
- Created a Jobs-to-be-Done (JTBD) framework
- Developed a customer journey map (CJM)
- Designed user flows
- Built wireframes and a UI kit
- Delivered responsive, adaptive design

Mobile Application for Restaurant Table Booking
Designed a mobile application to streamline the restaurant table reservation process.

SKILLS
Design Tools: Figma, Adobe Photoshop, Adobe Illustrator
Web Technologies: HTML, CSS
UX Methods: User Research, Competitor Analysis, Persona Development, Jobs-to-be-Done (JTBD), Customer Journey Mapping, User Flows, Wireframing, Prototyping
UI Design: Mockups, UI Kits, Responsive Design, Adaptive Design

PROFESSIONAL ATTRIBUTES
Quick learner • Responsible • Capable of handling complex tasks

CAREER OBJECTIVE
Seeking a full-time UI/UX Designer position in a product company focused on creating digital products for everyday life and business."
32072,"UI/UX Designer

CURRENT ROLE
- Improved the onboarding process of a financial institution app by 35%.
- Led a team of 4 designers in creating visually appealing, functional products that resonate with users and meet business objectives.
- Applied Agile planning principles to deliver tailored solutions that met customer requirements.
- Developed wireframes, mockups, and prototypes to define user interface design and architecture.

PREVIOUS ROLE
- Improved the audience management system of a SaaS tool by 25%, delivering solutions that are aesthetically pleasing and drive business results."
46443,"PRODUCT DESIGNER

Over 10+ years of commercial experience in designing and developing web solutions.

EXPERTISE
- Design of large CRM and SaaS products
- Mobile and desktop application design
- Design System creation and maintenance to simplify and accelerate product development

KEY ACHIEVEMENTS
- Created large Design Systems from design through implementation in React and Storybook
- Managed product creation from scratch to release version in 3–4 weeks
- Designed and developed 50+ landing and promo pages
- Designed 10+ user cabinets
- Implemented functionality including dashboards, smart timer systems, and photo editors

CAREER PROGRESSION
- Progressed through roles from Graphic Designer to Product Designer

TECHNICAL SKILLS
Design
- Figma, Sketch, Adobe Creative Cloud

Development
- HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

WHAT I’M SEEKING
A company or team committed to meaningful impact, high quality standards, and continuous improvement of user experience.

IDEAL OPPORTUNITY INCLUDES
- Interesting and useful products for people
- A highly engaged, professional team
- Opportunity to influence product development and proper management
- Opportunity to lead a product or a part of it

WHAT I BRING
Comprehensive capabilities in UI/UX, branding, corporate style, and Design System creation and maintenance."
46506,"PROFESSIONAL EXPERIENCE

Software Developer  
Small IT Company  
- Developed web applications using JavaScript and React.  
- Built responsive web pages with JSX, HTML, and CSS.  
- Implemented animations using Framer Motion.  
- Integrated Material-UI components into web applications.  
- Worked with Bootstrap and Materialize frameworks.  
- Collaborated on design elements using Figma and Adobe Photoshop.

TECHNICAL SKILLS

Languages & Frameworks: JavaScript, React, JSX, HTML, CSS  
Libraries & Tools: Framer Motion, Material-UI, Bootstrap, Materialize  
Design Software: Figma, Adobe Photoshop"
50300,"PROFESSIONAL SUMMARY  
Results-driven software developer with expertise in frontend development and full-stack technologies. Designed and deployed a customer engagement suite for a major e-commerce business from the ground up, delivering on time and under budget with strong feedback from users and clients. Skilled in building and optimizing user-focused interfaces, integrating APIs, and developing solutions that support customer acquisition, satisfaction, and retention.

TECHNICAL SKILLS  
Frontend: React, Vue, Flutter  
Backend: Node.js  
Core: Interface design, API integration, custom plugin development, web and application development, code optimization, performance analysis, debugging

PROFESSIONAL EXPERIENCE  
Frontend Developer  
- Design and develop frontend interfaces based on client specifications, prioritizing usability  
- Ensure application user experience aligns with industry standards  
- Debug issues, run performance checks, and optimize code for reliability and speed  
- Plan projects and define information flow between backend databases and UI components  
- Collaborate with development teams and work independently as needed  
- Build interfaces, integrate APIs, and develop custom plugins using React, Vue, and Flutter  
- Develop websites and applications with Node.js for backend development

KEY ACHIEVEMENTS  
- Designed and deployed a customer engagement suite for a major e-commerce business from the ground up  
- Applied technologies and processes to support customer acquisition, satisfaction, and retention  
- Completed delivery on time and under budget  
- Earned excellent reviews from users and clients

PROFESSIONAL DEVELOPMENT  
- Continuously learn new technologies and frameworks to stay current with industry trends  
- Deepen understanding of software architecture through collaboration with experienced engineers  
- Maintain commitment to ongoing skill development as a reliable software professional"
51419,"# UI/UX Designer

## Professional Summary
UI/UX Designer with a programming background, currently working at an IT company specializing in UI/UX development on an out-staff basis. Transitioned from programming to design, applying technical expertise to user-centered design solutions. Seeking a challenging full-time remote role.

## Experience

**UI/UX Designer**  
IT Company (Out-staff basis)  
*1 year*  
- Delivered UI/UX design and UI/UX development work  
- Implemented design solutions in collaboration with development teams  
- Leveraged programming background to support cross-functional work and design implementation  

**Freelance Designer**  
*Several years*  
- Completed various design projects as an independent contractor  

## Skills
- UI/UX Design  
- UI/UX Development  
- Programming background  
- Problem-solving for complex design challenges  

## Work Preferences
- Full-time  
- Remote preferred  
- Interested in challenging problems that benefit from a combination of design and programming experience"
53971,"PROFESSIONAL SUMMARY  
Game UI/UX Designer with 3 years of specialized experience and 5 years’ experience as a Senior Graphic Designer. Currently designing game UI/UX at a large game development company, applying strong visual design expertise to game interface development. Experienced in indie game development since 2019, with hands-on skills in 3D modeling, texturing, and 3D animation.

PROFESSIONAL EXPERIENCE  
Game UI/UX Designer | Large Game Development Company | Current | 1.5 years  
- Game UI/UX design  
- Game interface development  

Game UI/UX Designer | Various Indie Teams | 2019–Present  
- Game interface design  
- 3D modeling  
- Texturing  
- 3D animation  

Senior Graphic Designer | 5 years  

CORE SKILLS  
- Game UI/UX Design  
- Game Interface Design & Development  
- Graphic Design  
- 3D Modeling  
- Texturing  
- 3D Animation  

CAREER FOCUS  
Seeking new opportunities exclusively within game development."
53972,"GRAPHIC DESIGNER

PROFESSIONAL EXPERIENCE

Graphic Designer | GameDev Industry | 1 year
- Designed promotional offers, decorations, and banners for mobile games
- Created visual assets tailored for mobile gaming platforms

Graphic Designer | Digital Marketing | 2+ years
- Designed websites, promotional banners, and email campaigns
- Delivered visual content across multiple digital channels

SKILLS

Design Tools
- Adobe Photoshop
- Figma
- Adobe After Effects

Core Competencies
- Layout design and implementation
- UI navigation elements and decorative graphics
- Animation creation
- Adapting layouts from artist-provided graphics
- Original asset creation

CAREER OBJECTIVE
Seeking long-term cooperation with a GameDev company, with particular interest in mobile game development. Committed to professional growth and contributing to innovative projects."
53973,"GAME UI/UX DESIGNER

PROFESSIONAL SUMMARY
Game UI/UX Designer with UI art and animation knowledge (since 2019) and prior web design experience (since 2015). Experienced across the full project lifecycle with an understanding of front-end code (HTML, CSS, JavaScript). Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

CORE STRENGTHS
- UI/UX design for games: UX flows, UI screens, UI elements, asset preparation for implementation
- Cross-functional collaboration: communicate UX vision and design ideas to team members
- Process building: established design processes to support project workflows
- Mentoring and skill development: supported staff growth and development programs
- Client management: independently acquired and managed client relationships
- Web and brand support: contributed to official website updates and logo redesign for sites and applications

PROFESSIONAL EXPERIENCE
Game UI/UX Designer | 2019–Present
- Develop intuitive UX flows aligned with overall game design
- Create UI screens and UI elements; prepare assets for programmers
- Communicate UX vision and design ideas to team members
- Collaborate with cross-functional teams to implement designs in-game
- Support game development with additional skills as needed
Selected achievements:
- Built and established design processes for project workflows
- Conducted mentoring and staff skill development programs

Web Designer | 2015–2019
- Independently acquired and managed client relationships
- Contributed to official website updates
- Contributed to logo redesign for sites and applications

TEACHING EXPERIENCE
Design Instructor | IT Academy | Lviv

TECHNICAL SKILLS
Design Tools: Figma, Adobe Photoshop
Game Engines: Unreal Engine 4, Unity
Code Knowledge: HTML, CSS, JavaScript

PERSONAL INTERESTS
Continuous learning and professional development; interest in languages. Active lifestyle: basketball, Brazilian jiu-jitsu, yoga.

WORK STYLE
Collaborative, team-oriented approach focused on delivering useful product results with flexible working practices that value each team member."
53974,"UI/UX Designer & Artist

PROFESSIONAL EXPERIENCE
UI/UX Designer / Artist
Ukrainian Game Company
- Designed and created UI visuals for casual mobile games from initial concept through final rendering
- Produced interface assets and prepared sprites for Unity implementation
- Collaborated with cross-functional teams (designers, managers, 2D/3D artists, programmers) to align UI with game requirements
- Researched game interfaces and functional solutions to guide design decisions
- Developed convenient, visually attractive, and distinctive interfaces for mobile casual games
- Created full UI packages including logos, icons, buttons, pop-ups, and assets for unique mechanics
- Monitored and supported UI implementation in game engines
- Stayed current with UI/UX trends and techniques
- Contributed to the development of a released mobile casual game

EDUCATION
Bachelor’s Degree — Artist-Performer
Kyiv National University of Construction and Architecture

PROFESSIONAL OBJECTIVE
Seeking opportunities to work on interesting and varied projects where I can apply my skills and knowledge while collaborating with a strong team for mutual professional growth and exchange of experience."
53975,"UI/UX GAME DESIGNER

4 years commercial experience in Design | 2 years commercial experience in GameDev

PROFESSIONAL SUMMARY
UI/UX game designer with experience across multiple genres, including mobile shooters, educational kids’ games, tactical MOBAs, and multiplayer casual games. Skilled in the full UI/UX production cycle—from information architecture and player flows to prototyping and UI resource implementation in Unity3d.

EXPERIENCE & ACHIEVEMENTS
- 248+ successfully completed projects
- 3+ years of experience
- Led end-to-end UI development for an educational mobile game for kids (100,000+ downloads)
- Participated in development of an AAA PC MOBA
- Fully updated design and transferred a PC simulator for cybersportsmen to mobile, delivered successfully and on time
- Organized printing of materials for two exhibitions in different cities simultaneously
- Developed a welcome box for new company employees
- Maintain consistent productivity and engagement during challenging periods

CORE COMPETENCIES
- Information architecture
- Player flows and UI research
- Wireframing and prototyping
- Style research
- UI resource implementation in Unity3d (with or without developer support)
- Participation in game testing
- Game graphics creation on a graphics tablet

TOOLS & TECHNICAL SKILLS
- Figma (UI, vector graphics, animation)
- Adobe Photoshop (raster graphics)
- Unity3d
- Jira, Confluence
- Plastic SCM
- Ready to learn new technologies

EDUCATION & TRAINING
- Graduated with honors from Web Design courses; supervised the final group project
- Completed English courses in 2022 with honors

PROFESSIONAL APPROACH
Dedicated to staying current with industry developments and regularly engaging with the games worked on during spare time. Seeking opportunities to contribute to innovative projects of varying complexity within collaborative team environments."
53976,"PROFESSIONAL SUMMARY
Fast learner with strong team collaboration abilities and experience in teaching and leadership roles.

SKILLS
Art & Design
- Game UI Art
- UI Design
- Character Design
- Character Concept Art
- Environment Concept Art
- Creative Design
- Illustration

3D & Technical
- 3D Modeling
- Sculpting
- Texturing

Language
- English (Fluent)

SOFTWARE
- Adobe Photoshop
- Blender
- ZBrush
- Substance Painter
- Substance Designer
- Daz Studio"
53977,"PROFESSIONAL SUMMARY  
Self-starter motion designer specializing in worldwide poker and casino products. Experienced in leading and coordinating 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development. Proven ability to improve design and animation export pipelines across multiple projects while enhancing product visual and gameplay experience.

CORE SKILLS  
Motion Design & Animation • UX/UI Design (Poker Applications) • Rebranding Support • After Effects Project Architecture • Motion Graphics for Live Online Events • Style Guides & Design Systems • Asset Library Organization • Cross-Functional Collaboration (Design/Dev) • Workflow Improvement & New Technologies • Creative Briefs & Specifications • Storyboarding & Promo Video Design

PROFESSIONAL EXPERIENCE  
Motion Design / UX/UI / Gaming Design (Poker & Casino Products)  
• Participated in rebranding poker brands  
• Created UX/UI design for a poker application  
• Created gaming motion and animations for poker and casino games (Slots, Bettings, BlackJack)  
• Produced motion graphics for live online events  
• Built clean and scalable After Effects project architecture  
• Contributed to the creation, organization, and distribution of project style guides, design systems, and asset libraries  
• Contributed to the creation and organization of a gaming design team  
• Improved accordance of design and animations of the application in collaboration with the development team, introducing new technologies into the workflow  
• Enhanced the visual and gaming experience of the product  
• Designed exhaustive briefs (specs) and supported design, graphic, motion, sound artists, and developers through delivery  
• Created design concepts and storyboards for promotional videos

STRENGTHS  
• Create products of the highest quality  
• Disentangle tasks and take responsibility for results  
• Motivate teams and share the desire to create top products  
• Leverage experience in the gaming industry"
