,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
10,"Я вступила в декілька іноземних університетів та скоріш за все розпочну своє навчання у вересні або вже наступного року. Я маю досвід роботи у сфері маркетингу: розробляла стратегії комунікації з клієнтами, дистанційну систему управління для засновника проекту, плани акцій та індивідуальних оферів. Маю досвід ведення переговорів та відпрацьовування негативу. Набула досвід структурізації співпраці людей з різними поглядами на проект. Я працювала помічником-асистентом бізнес-аналітика півроку: робила порівнювальний аналіз конкурентів, розробляла статусну модель замовлення для маркетплейсу, створювала схеми в Miro та Idroo тощо. Додатково: працювала репетитором з математики, допомагала студентам скласти екзамени до університетів та шкіл України та Європи."
11,"4 роки досвіду роботи у ролі BA. Працював у таких компаніях як: ПриватБанк, АЛЛО, ВАРУС, БАДМ.

В ПриватБанку займався загальною роботою BA з ухилом у банківську сферу та сферу обслуговування клієнтів.

В АЛЛО працював у сфері IT та маркетплейсу.

В ВАРУСі основна частина роботи була пов'язана з логістикою та ВМС системою.

В БАДМ основна частина роботи була пов'язана з IT та налаштуванням ВМС системи.

Якщо я не знаю якусь інформацію для роботи, я обов'язково її знайду та отримаю."
12,"Більше за все пишаюсь тим, що за роки своєї роботи зміг досягнути результату, коли є чому навчити інших співробітників, коли налаштований функціонал дійсно допомагає замовникам вирішити проблеми, які стояли перед ними. Брав участь в розробці технології впровадження проєктів, налаштовував майже всі процеси, якими користувались мої колеги, пропонував рішення, які оптимізували процеси, впроваджував їх. Все, що нове і може оптимізувати роботу - це для мене.

Протягом шести років займався налаштуванням та впровадженням CRM-системи OneBox. Починав кар'єру в IT з посади Customer Support Manager. За рік роботи показав одні з найкращих результатів в команді, та після створення нової послуги Junior Account Manager, став першопрохідцем в ній. Через півроку роботи була відкрита ще одна послуга Senior Account Manager, де також став першим співробітником в компанії, який впровадив її. Також спробував свої навички в професії Account Administrator, де займався адмініструванням команди менеджерів, яка складалася з шести співробітників. В обов'язки входило адміністрування роботи працівників, контроль за виконанням їх завдань, успішність ведення проектів, комунікація з клієнтами, вирішення їх проблем. На цій посаді працював паралельно, тому вів ще 4-5 проєктів самостійно, які також адміністрував.

Основними обов'язками на посаді Account Manager`а були:
- збір вимог від клієнта
- написання ТЗ, погодження з замовником
- аналіз даних та розробка рішень, які вирішують завдання замовника
- впровадження проєкту клієнта (планування, визначення пріоритетів, написання ТЗ розробникам, контроль виконання завдань, тестування функціоналу, здача проєкту замовнику, налаштування інтеграцій з сайтами, різними сервісами, робота з багатьма CMS, програмами для роботи з API, HTML, CSS, PHP preg match, Google сервіси, при необхідності вивчення нових систем та роботи з ними (якщо це вимагає вирішення задачі замовника) та інше).

В роботі завжди націлений на максимальний результат. Якщо отримую задачу, то вимушений розібратись з нею до кінця, повторно збираю інформацію, спілкуюсь з замовником, виясняю, що потрібно для отримання результату. Якщо всіх влаштовує - налаштовую, якщо ні - шукаю варіанти. Завдань, які не можна вирішити, майже не існує, тому готовий розбиратись і робити все, що потрібно.

Основний мотиватор для мене - це впровадження нових рішень, розробка процесів, максимальна участь в житті компанії, вивчення нового. Не хочу стояти на місці, цікавить розвиток та можливість кар'єрного росту. Точно не хотів би займатись продажами, це не моє."
13,"Участь у плануванні і реалізації проєкту з переносу даних в нову CRM систему, адаптація команди до нових процесів. Перегляд і автоматизація наявних бізнес-процесів. Останні 2 роки працювала як проектний менеджер у Ed-tech компанії, отримала досвід супроводу організаційних і продуктових змін, системного аналізу бізнес-процесів компанії."
14,"20 років роботи CEO.  
Працював в 6 компаніях.  
В 5 співзасновник.  
Основні задачі: створення команди, керування, маркетинг, створення нових продуктів та послуг, фінансовий менеджмент, маркетинг та реклама, керування продажами.  
B2B та B2C, послуги та виробництво.  
Війна внесла корективи. Вирішив спробувати в ІТ.  
Закінчив курси з РМ. Зараз проходжу ще одні. Систематизую досвід.  "
15,"15+ років досвіду:  
- Інтеграція промислових систем управління IIoT та корпоративних ІТ-рішень.  
- Комплексні рішення та послуги з управління продуктивністю активів.  
- Промислові сервісні рішення IoT.  
- Впровадження комплексних проектів автоматизації підприємства (IT-Enterprise, EPR, CRM, WMS, система закупівель, рішення Microsoft Azure і Google, Project Software) і системи управління промисловою автоматизацією (DCS, PLC, SCADA/HMI, MES, ICS, SIS, CMS/AMS, APM та УПРАВЛІННЯ АКТИВАМИ).  
- Роль архітектора та менеджера проекту (ISA/IEC, ATEX, SIL, IEEE/ANSI, API, CISA, ISO, Achilles/ACCP).  
- Pre-Sales та After-Sales, менеджер з підтримки.  
- Управління ризиками.  

Маю досвід впровадження рішень ОТ/ІТ в нафтогазовій, хімічній, металургійній та харчовій галузі. Побудова архітектури ОТ/ІТ для вибухонебезпечних зон та критичної інфраструктури. Аудит об’єктів впровадження ОТ/ІТ рішень для критичного обладнання."
16,"Працюю та вкладаю у це всю душу, знання, досвід, уміння та навички. Як результат, бачу результат.

Кожен проект, над яким було проведено роботу, захоплює.

Досвід:
- SMM
- PR
- Copywriting
- Customer and user experience
- Trade Marketing
- Digital Marketing 

Досягнення:
- Запуск національних рекламних кампаній
- Кооперація з бренд-амбасадорами
- Вивід нових брендів на ринок
- Оновлення концепту фірмових магазинів та відкриття нових
- Реалізація щорічних маркетингових планів, національних рекламних кампаній та промоакцій (знижки, подарункові акції, іміджеві, накопичувальні, з промокодами та ін.)
- Проведення маркетингових активностей (ATL, BTL, Digital, SMM, Email, Viber)
- Управління крос-функціональною командою (дизайнери, копірайтери, підрядники, трейд-маркетологи, категорійні менеджери, SMM менеджери)
- PR: співпраця з журналами, приватними клініками, спортивними школами, лідерами думок, блогерами та селебретіз
- SMM: розробка контент-планів, просування акаунтів, копірайтинг
- Репутаційний маркетинг (робота з соціальними мережами, відстеження відгуків), покращення іміджу та репутації
- Реалізація стратегії утримання старих та приваблення нових клієнтів
- Постійне спілкування з клієнтами, подальша обробка інформації для створення рекламних кампаній і збільшення ефективності продажів

Дружній колектив, який йде до спільної мети. Зрозумілі цілі, які хочеться досягати.

Єдине, з чим я не працюю - казино, ігри і т.ін."
17,"[Ваше ім'я]  
[Ваша адреса]  
[Ваш телефон]  
[Ваш email]  

**Мета**  
[Короткий опис вашої мети або бажаної посади]

**Освіта**  
Філолог  

**Досвід роботи**  

**Міністерство освіти і науки України**  
Фахівець у пресслужбі міністерства (2017-2020)  
- Написання та редагування пресрелізів.  
- Комунікація з медіа, зокрема, іноземними.  
- Організація брифінгів, пресконференцій, конференцій тощо.  
- Ведення сторінок міністерства у соцмережах.  
- Брифінг спікерів перед ефірами, створення презентацій та тез.  
- Моніторинг діяльності міністерства у ЗМІ через спеціальні моніторингові системи (LOOQME, SoMO тощо).  
- Адміністрування сайту міністерства.  
- Куратор напряму інклюзивної освіти у міністерстві від пресслужби.  

**Український процесінговий центр**  
Pr-менеджер (2020)  
- Написання та редагування новин компанії.  
- Переклад новин на англійську.  
- Створення новинних бюлетнів для українських та іноземних клієнтів (+дизайн).  
- Комунікації з медіа та моніторинг діяльності компанії у ЗМІ.  
- Листування з іноземними клієнтами.  
- Замовлення корпоративної продукції та спілкування з виконавцями.  

**Перекладач (фріланс)** (2020)  
- Переклад наукових текстів із російської чи української на англійську мову.  

**Рерайтер (фріланс)** (2016-2017)  
- Написання текстів українською, російською та англійською мовами.  

**Київський годинниковий завод**  
Офіс-менеджер (2016-2017)  
- Забезпечення життєдіяльності офісу.  
- Прийом вхідних дзвінків, листів тощо.  
- Організація трансферів для гостей та працівників офісу.  
- Прийом гостей на ресепшині.  

**Delta Medical**  
Асистент відділу логістики (2016)  
- Подача вантажно-митних декларацій до бухгалтерії.  
- Переклад із англійської рекламацій, листів тощо.  
- Внесення даних до бази 1С.  
- Складання, підписування кредит-нот тощо.  
- Документообіг.  

Офіс-менеджер (2015-2016)  
- Забезпечення життєдіяльності офісу.  
- Прийом вхідних дзвінків, листів тощо.  
- Організація трансферів для гостей та працівників офісу.  
- Прийом гостей на ресепшині.  "
18,"Запуск власних продуктів та проєктів. Маю великий досвід управління проектами (як в ІТ-сфері, так і в інших), керування людьми, плануванням роботи, контролем за виконанням задач тощо.

Як запускав самостійні проєкти, так і брав участь в запуску спільно з іншими командами (веб-сайти, мобільні додатки, чатботи тощо). Найбільше цікавлять напрямки Blockchain/Crypto та Artificial Intelligence/Machine Learning, проте не принципово."
19,"**Резюме**

**Досвід роботи**

**March 2020 - July 2020**  
Technical Support Advisor в Phillips  
- Базове усунення неполадок  
- Оновлення програмного забезпечення  
- Робота над створенням запитів на виправлення помилок  

**September 2020 - June 2021**  
T1 Technical Support Engineer в Ciklum  
- Управління CMS  
- Первинна обробка квитків  
- Оновлення та калібрування систем  
- Перевірка налаштувань POE  
- Базове читання логів та виявлення помилок  
- Первинна перевірка живих подій та графіки  

**June 2021 - September 2021**  
T2 Technical Support Engineer в Ciklum  
- Глибока перевірка/активація конфігурацій систем  
- Розширене читання логів та виявлення кореня проблеми  
- Швидке розуміння способів вирішення складних питань  
- Grafana/Postman/Papertrail  
- Дослідження помилок Windows та їх вплив на системи  
- Створення запитів на виправлення помилок у JIRA/Confluence  

**November 2021 - March 2022**  
Technical Support Engineer в Blackthorn Vision (SciChart Project)  
- Встановлення ефективного каналу комунікації між клієнтами та командою розробників  
- Відтворення повідомлених проблем та створення звітів про помилки  
- Повідомлення клієнтів про статус їх запитів  
- Щоденна комунікація з командою розробників  
- Допомога у створенні та підтримці документації  
- Розуміння продукту та базові технічні навички (Github, базові навички IDE тощо)  
- Робота з CRM-системами (Freshdesk, Zendesk, Jira)  
- Створення базових запитів у KayakoQL для статистики квитків  

**Aug 2022 - Feb 2023**  
Thomas Cook Tourism Service Desk  

**Додаткова інформація**  
- Баланс між роботою та особистим життям  
- Кар'єрний технічний ріст у компанії  
- Відсутність нічних змін, вечірні зміни прийнятні  "
20,"Теперішній час (фармацевтичний ринок, більше 10 років)  
- Організація та проведення дослідження ринку  
- Розробка нових методик розрахунків та ТЗ  
- Постановка задач програмістам  
- Управління підготовкою звітності для клієнтів  
- Організація взаємодії різних підрозділів  
- Автоматизація процесів обробки даних, перевірок  
- Організація роботи департаменту, навчання співробітників  
- Прогнозування показників ринку  

Професійні навички  
Excel – досвідчений користувач, застосування складних формул, зведених таблиць, діаграм, автоматизація підготовки звітів, написання макросів VBA. Використання Power Query, Power Pivot.  
PowerBI – завантаження даних, відображення зведеної інформації  
Access – досвідчений користувач, створення, заповнення та оновлення таблиць, написання запитів, обробка даних з використанням макросів.  
PowerPoint – досвідчений користувач, побудова діаграм, використання анімації у презентаціях.  
SQL – написання запитів на отримання даних з використанням умов, поєднання різних таблиць у запитах.  
MapInfo – редагування шарів, об’єднання та розділення полігонів, геокодування точкових об’єктів, оновлення характеристик по входженню в полігон.  
QlikView – написання скриптів для забору даних із різних джерел, завантаження та обробка даних (ETL), реалізація логіки розрахунку та відображення зведеної інформації."
21,"Самостійне створення з ""0"" відділу підтримки користувачів для продуктової gamedev компанії. Шукаю можливість реалізувати свій досвід delivery та PjM. Також хочу отримати нові навички та знання в цій ґалузі.

Останні досягнення:
- оптимізація бізнес-процесів та потоку створення продукту від функції до фінального інкременту
- координація та допомога у вирішенні операційних питань продуктових команд
- координація між функціями з питань, що стосуються бізнесу
- аналіз витрат і відхилень
- агрегація, формалізація та підтримка агрегованих вимог до релізу (розробка та впровадження паспорта релізу)
- управління людьми в відділі технічної підтримки
- створення та контроль продуктового сторінки в магазинах (AppStore, GooglePlay, Amazon)
- надсилання релізів на модерацію та їх підтримка під час перевірки для повного випуску в продукцію
- комунікація з командою рецензентів, відповідальність за вирішення блокувань і відхилень під час модерації
- звітність про доставку функцій до бізнесу

Мої навички:
- Agile (Scrum, Kanban), Waterfall, RUP (базовий)
- SAFE (базовий)
- BPMN
- Управління ризиками
- Управління людьми
- Вирішення проблем
- Англійська - A2

Інструменти:
- Jira, Confluence, Asana
- AppStore Connect, Google Play Console
- MS Office, Google Services, Slack, Zoom"
22,"Досвід запуску проекту «з нуля»: від пошуку команди і визначення функціоналу продукту до запуску його в продакшин і подальшого супроводження. 

Більше 4 років управління ІТ-командами і запуску IT-проектів (+ 2 роки управління проектами поза ІТ), робота з дизайнерами, маркетологами і media-buyer'ами, координація роботи різних команд. Розробка і визначення основного функціоналу продукту «з нуля», створення базової документації, розробка прототипів, координування розробки дизайну продукту, реалізація технічною командою. 

Цікавий проект, в якому можу ефективно застосувати свої здібності і навички, одночасно навчаючись чогось нового від своїх колег чи вирішуючи нетривіальні задачі."
23,"- Оптимізація процесу передачі проектів підряднику, що заощадило час команди та виключило непорозуміння між співробітниками.
- Введення системи звітності для клієнтів, що дозволило презентувати виконану роботу якнайпрозоріше для замовника та ефективніше комунікувати з клієнтами.

Cyborg Studio (digital - агенція)  
02.2021 - теперішній час  
- Проведення зустрічей та узгодження плану робіт із замовником.  
- Формування, заповнення та затвердження ТЗ відповідно до вимог замовника.  
- Участь у формуванні маркетингової стратегії.  
- Вирішення проблем та складнощів, що виникають під час роботи над проектом.  
- Організація роботи команди та її формування.  
- Відстеження завантаженості і прогресу виконання завдання кожного члена команди (управління ресурсами).  
- Допомога в підтриманні прозорого середовища спілкування між усіма зацікавленими сторонами.  
- Організація фотосесій (створення контенту).  
- Формування «дорожньої карти» (Roadmap) проекту.  
- Моніторинг виконання основних етапів проекту.  
- Контроль дотримання дедлайнів.  
- Комунікація з замовником.  
- Формування звітності за результатами виконаної роботи для замовника.  

Whaleapp  
01.2019 - 09.2019  
- Написання тестової документації.  
- Ручне тестування.  
- Робота в Jira, Asana, Android Studio.  

ТОВ ""ЮОнлайн""  
02.2020 - 08.2020  
- Проведення зустрічей, переговорів з клієнтами.  
- Віддалене налаштування навігаційних пристроїв і систем, усунення несправностей.  
- Підтримка користувачів.  
- Перевірка працездатності пристрою.  
- Ведення технічної документації.  "
