,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
29788,"**PROFESSIONAL SUMMARY**

Self-taught Digital 2D Artist & UI/UX Designer from Kyiv with advanced expertise in Adobe Photoshop Beta, Adobe Illustrator, Figma, and Procreate App. Strong technical acumen with deep knowledge of current design and technology trends. Demonstrated excellence in communication, time management, and self-direction.

**EXPERIENCE**

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 - Present

**UI/UX Designer / Illustrator**
November 2019 - August 2021

**Freelance Web Designer**
December 2018 - November 2019

**CORE COMPETENCIES**

- UI/UX Design
- Adaptive Design
- Illustration (Raster/Vector)
- Banner Design
- Logo Design
- Verbal and Written Communication
- Time and Self-Management

**TECHNICAL PROFICIENCIES**

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate App
- Midjourney

**LANGUAGE**

English - Upper-Intermediate

**RECOGNITION**

RED DOT Award - Brands & Communication Design, August 2022"
29835,"# Digital Designer

## Professional Summary
Digital designer with extensive experience in marketing, specializing in creating visually stunning designs that help brands grow. Proven track record working as both freelance designer and in-house manager, collaborating with teams across multiple international companies. Advanced proficiency in Photoshop, Illustrator, and Figma, with expertise in web design and animation through Webflow.

## Skills

**Design Expertise**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- Digital Design & Digital Imagery
- UI/UX Design

**Digital Marketing**
- Web Ads & Social Media Ads
- E-blast Design
- Digital Analytics

**Technical Proficiency**
- Figma (Advanced)
- Photoshop (Extensive Experience)
- Illustrator (Extensive Experience)
- Webflow (Animation, CMS)
- HTML/CSS

**Professional Competencies**
- Independent and collaborative work
- Creative problem-solving
- Direct client interface
- Team collaboration

## Professional Experience

**In-House Manager**
- Collaborated with 5+ international companies across multiple countries
- Managed design projects from concept to completion
- Worked with cross-functional teams to deliver cohesive brand solutions

**Freelance Designer**
- Delivered comprehensive design solutions for American company
- Created websites and e-blast campaigns
- Collaborated directly with clients to develop engaging designs aligned with business objectives

## Education & Training

**DARE IT** – Product Design

**HILLEL (IT School)** – Basic Web Design

**CASES MEDIA** – Figma (Score: 90)

**CASES MEDIA** – Graphic Design: Composition (Score: 91)

## Career Objectives
Seeking long-term partnership with growth opportunities in product-focused environment where design expertise can enhance customer experience and drive business results."
30606,"# Professional Summary
UX/UI Designer with hands-on experience in design systems, prototyping, and user research through Beetroot Academy mentorship projects. Proficient in creating comprehensive design solutions from research through final presentation.

## Skills

**Design Tools & Systems**
- Figma (UI kit development, Auto Layout, interactive components, interactive prototypes, plugins)
- Design system creation and implementation
- Sketching and prototyping

**UX & Research**
- UX research methodologies
- Competitor research and analysis
- User-centered design approach

**Design Principles**
- Composition, typography, and color theory
- Current design principles and trends
- Design system standards

**Collaboration & Documentation**
- Google Documents and Google Forms
- Group project collaboration
- Project presentation and communication

## Experience

**UX/UI Designer**
Beetroot Academy Mentorship Projects

- Conducted UX research and competitor analysis to inform design decisions
- Developed sketches and prototypes for project solutions
- Applied composition, typography, and color principles to create cohesive designs
- Collaborated with team members on group design projects
- Presented project outcomes and design rationale to stakeholders
- Created project documentation using Google Documents and Forms"
30845,"# UI/UX DESIGNER

**PROFESSIONAL SUMMARY**

Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

---

**EDUCATION**

**UI/UX Design Course** | 6-month program  
**Additional Studies:** HTML/CSS

---

**PROFESSIONAL EXPERIENCE**

**Real Estate Website Redesign**  
Redesigned website for real estate company in Destin, Florida to modernize interface and improve user experience

- Conducted competitor research and analysis to identify successful design solutions
- Analyzed social media and customer feedback to inform design decisions
- Developed 3 user personas and customer journey map
- Created modern, user-friendly design addressing streamlined feedback functionality and property valuation features
- Improved photo quality and overall site usability

**Travel Booking Web Service**  
Developed comprehensive web platform enabling users to discover and book excursions, tours, entrance tickets, and entertainment worldwide, while allowing guides and travel companies to post offerings

- Designed search functionality with customizable filters and category-based browsing
- Created user registration system via email, Google, and Facebook
- Developed integrated booking system with card payment capability
- Designed excursion listing form for guides and travel agents
- Analyzed competitive market landscape and created Jobs-to-be-Done framework
- Developed customer journey map, user flows, wireframes, and UI kit
- Delivered responsive, adaptive design

**Mobile Application for Restaurant Table Booking**  
Designed mobile application streamlining restaurant table reservation process

---

**TECHNICAL SKILLS**

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator  
**Web Technologies:** HTML, CSS  
**UX Methods:** User Research, Persona Development, Customer Journey Mapping, User Flows, Wireframing, Prototyping  
**UI Development:** UI Kits, Responsive Design, Adaptive Design

---

**PROFESSIONAL ATTRIBUTES**

Quick learner | Responsible | Capable of handling complex tasks

---

**CAREER OBJECTIVE**

Seeking full-time UI/UX Designer position in a product company focused on creating digital products for everyday life and business"
32072,"**UI/UX Designer**

**Current Role**

• Enhanced financial institution app onboarding process, achieving 35% improvement in user experience metrics

• Manage and mentor team of 4 designers to deliver user-centered products that align with business objectives and drive engagement

• Leverage Agile methodologies to iteratively develop and refine design solutions based on customer requirements

• Create wireframes, mockups, and prototypes to define and communicate user interface design and information architecture

**Previous Role**

• Redesigned SaaS tool audience management system, resulting in 25% improvement while balancing aesthetic excellence with business impact"
46443,"# PRODUCT DESIGNER

Product Designer with over 10 years of commercial experience in design and development of web solutions. Proven track record in creating comprehensive design systems, managing rapid product development cycles, and delivering high-quality user interfaces across CRM, SaaS, and web applications.

## CORE COMPETENCIES

• Design Systems Architecture & Implementation
• CRM & SaaS Product Design
• Mobile & Desktop Application Design
• UI/UX Design & User Research
• Brand Identity & Corporate Style Development
• Cross-functional Team Collaboration

## PROFESSIONAL EXPERIENCE

**Career Progression: Graphic Designer → Product Designer**

### Key Projects & Achievements

**Design Systems Leadership**
• Architected and implemented large-scale design systems from concept through React and Storybook integration
• Established reusable component libraries to accelerate product development workflows

**Product Development**
• Led end-to-end product creation from initial concept to market-ready release within 3-4 week timeframes
• Designed and delivered 50+ landing pages and promotional websites
• Created 10+ user dashboards and administrative interfaces

**Feature Implementation**
• Designed complex functionalities including interactive dashboards, intelligent timer systems, and photo editing tools
• Delivered scalable solutions for diverse product requirements

## TECHNICAL PROFICIENCIES

**Design Tools:** Figma, Sketch, Adobe Creative Cloud

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## PROFESSIONAL OBJECTIVES

Seeking opportunities with purpose-driven organizations committed to delivering exceptional user experiences and meaningful impact. Ideal environment values design excellence, strategic product thinking, and user-centered innovation.

### Looking For

• Products that solve real user problems and improve daily experiences
• Collaborative teams with high professional standards and engagement
• Strategic influence on product direction and development decisions
• Leadership opportunities in product design or specialized product areas"
46506,"**PROFESSIONAL EXPERIENCE**

**Software Developer**
Small IT Company

Engineered responsive web applications using JavaScript and React framework, delivering dynamic user interfaces through JSX, HTML, and CSS. Enhanced user experience by implementing sophisticated animations with Framer Motion and integrating Material-UI components. Leveraged Bootstrap and Materialize frameworks to ensure cross-platform compatibility and mobile responsiveness. Collaborated with design teams using Figma and Adobe Photoshop to transform visual concepts into functional web experiences.

**TECHNICAL SKILLS**

**Languages & Frameworks:** JavaScript, React, JSX, HTML, CSS

**Libraries & Tools:** Framer Motion, Material-UI, Bootstrap, Materialize

**Design Software:** Figma, Adobe Photoshop"
50300,"# PROFESSIONAL SUMMARY

Results-driven software developer with proven expertise in frontend development and full-stack technologies. Successfully deployed a groundbreaking customer engagement suite for a major e-commerce business, completing the project on time and under budget with exceptional reviews from users and clients. Demonstrated technical expertise in designing and implementing solutions that maximize customer acquisition, satisfaction, and retention to drive incremental revenue.

# TECHNICAL SKILLS

**Frontend Development:** React, Vue, Flutter
**Backend Development:** Node.js
**Core Competencies:** Interface design, API integration, custom plugin development, website and application development, code optimization, performance analysis, debugging, project planning

# PROFESSIONAL EXPERIENCE

**Frontend Developer**

- Design and develop frontend interfaces according to client specifications with strong system usability
- Create seamless user experiences that meet industry standards
- Debug issues, conduct performance checks, and optimize code for maximum efficiency
- Plan projects and strategize information flows between backend databases and user interface components
- Collaborate effectively with development teams while maintaining ability to work independently
- Develop custom plugins and integrate APIs using React, Vue, and Flutter
- Build full-stack websites and applications leveraging Node.js for backend development

# KEY ACHIEVEMENTS

- Designed and deployed a groundbreaking customer engagement suite for a major e-commerce business from the ground up
- Implemented innovative technologies and processes to maximize customer acquisition, satisfaction, and retention
- Delivered project on time and under budget
- Received exceptional reviews from both users and clients

# PROFESSIONAL DEVELOPMENT

- Continuously learning new technologies and frameworks to stay current with industry trends
- Deepening expertise in software architecture designs through collaboration with experienced engineers
- Committed to ongoing skill development as a reliable software industry professional"
51419,"# UI/UX Designer

## Professional Summary
UI/UX designer with programming background specializing in user-centered design solutions that bridge technical implementation and user experience. Proven ability to collaborate with development teams and deliver design systems from concept to implementation. Seeking challenging full-time remote opportunities.

## Professional Experience

**UI/UX Designer**  
IT Company (Out-staff basis)  
*1 year*
- Designed and developed UI/UX solutions for client projects
- Collaborated with cross-functional development teams, leveraging programming expertise to ensure seamless design implementation
- Delivered user-centered design solutions informed by technical feasibility

**Freelance Designer**  
*Several years*
- Executed diverse design projects for independent clients
- Managed full project lifecycle from client consultation through final delivery

## Core Competencies
- UI/UX Design & Development
- User-Centered Design
- Technical Design Implementation
- Cross-Functional Collaboration
- Complex Problem-Solving

## Professional Objectives
Seeking full-time remote position offering complex design challenges that leverage unique combination of design expertise and programming background."
53971,"# PROFESSIONAL SUMMARY

Game UI/UX Designer with 3 years of specialized experience in game interface development and 5 years as Senior Graphic Designer. Currently employed at a major game development company, delivering comprehensive visual design solutions for game interfaces. Proficient in 3D modeling, texturing, and 3D animation through extensive indie game development work since 2019.

---

# PROFESSIONAL EXPERIENCE

**Game UI/UX Designer**
Large Game Development Company | 1.5 years (Current)

**Game UI/UX Designer**
Various Indie Teams | Since 2019
- Designed game interfaces and user experiences
- Created 3D models for game assets
- Developed textures for game environments and characters
- Produced 3D animations for interactive elements

**Senior Graphic Designer**
5 years

---

# CORE COMPETENCIES

- Game UI/UX Design
- Game Interface Development
- 3D Modeling & Animation
- Texturing & Asset Creation
- Visual Design
- Graphic Design

---

# CAREER OBJECTIVE

Seeking new opportunities in game development."
53972,"**GRAPHIC DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Graphic Designer | GameDev Industry**
1 year
- Designed promotional offers, decorations, and banners for mobile games
- Created visual assets tailored for mobile gaming platforms

**Graphic Designer | Digital Marketing**
2+ years
- Designed websites, promotional banners, and email campaigns
- Delivered visual content across multiple digital channels

**SKILLS & EXPERTISE**

**Design Tools:**
- Adobe Photoshop
- Adobe After Effects
- Figma

**Core Competencies:**
- Layout design and implementation
- UI navigation elements and decorative graphics
- Original asset creation
- Adapting layouts from artist-provided graphics
- Animation creation

**CAREER OBJECTIVES**

Seeking long-term cooperation with a GameDev company in mobile game development. Committed to professional growth and contributing to innovative projects."
53973,"# Game UI/UX Designer

## Professional Summary

Game UI/UX Designer with UI Artist and animation knowledge since 2019. Web designer experience since 2015. Experienced in full project lifecycle with code understanding (HTML, CSS, JavaScript). Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Professional Experience

**Key Achievements:**
- Built and established design processes for project workflows
- Conducted mentoring and staff skill development programs
- Independently acquired and managed client relationships
- Contributed to official website updates and logo redesign for sites and applications

**Core Responsibilities:**
- Develop intuitive UX flows aligned with overall game design
- Create UI screens and UI elements, and prepare assets for programmers
- Communicate UX vision and design ideas to team members
- Collaborate with cross-functional teams to implement designs in-game
- Support game development with additional skills as needed

## Technical Skills

**Design Tools:** Figma, Adobe Photoshop
**Game Engines:** Unreal Engine 4, Unity
**Code Knowledge:** HTML, CSS, JavaScript

## Teaching Experience

Design Instructor, IT Academy, Lviv

## Personal Interests

Continuous learning and professional development with interests in languages. Basketball, Brazilian jiu-jitsu, and yoga.

## Work Style

Thrive in friendly, collaborative team environments focused on delivering useful products with flexible working approaches that value each team member."
53974,"# UI/UX Designer & Artist

## Professional Summary

UI/UX Designer and Artist specializing in casual mobile game interfaces with experience delivering visually compelling, user-friendly designs from concept to implementation. Skilled in cross-functional collaboration and preparing assets for Unity integration.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and create UI visuals for casual mobile games from initial concept through final rendering
- Develop convenient, visually attractive, and unique interfaces optimized for mobile platforms
- Create comprehensive game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
- Prepare sprites and assets for implementation in Unity
- Monitor and oversee interface implementation in game engines to ensure design integrity
- Research game interfaces and functional solutions to inform design decisions
- Collaborate with cross-functional teams including designers, managers, 2D/3D artists, and programmers
- Stay current with latest UI/UX design trends and techniques
- Contributed to development of released mobile casual game

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Core Competencies

- UI/UX Design for Mobile Games
- Visual Design & Interface Development
- Unity Asset Preparation
- Cross-Functional Collaboration
- User-Centered Design
- Casual Game Interface Design"
53975,"**UI/UX Game Designer**

4 years of commercial experience in Design | 2 years of commercial experience in GameDev

**Professional Summary**

UI/UX game designer with expertise across multiple game genres including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Skilled in managing the complete UI/UX creation cycle from information architecture and player flows through prototyping and resource implementation in Unity3d.

**Professional Experience**

**UI/UX Game Designer**

*Key Achievements:*
- Delivered 248+ successfully completed projects across 3+ years
- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Participated in the development of AAA PC MOBA
- Redesigned and migrated PC simulator for cybersportsmen to mobile platform, delivered on schedule
- Organized materials printing for two simultaneous exhibitions in different cities
- Developed welcome-box for new company employees

**Core Competencies**

- Information Architecture & Player Flow Design
- UI Research & Wireframing
- Prototyping & Style Research
- Resource Implementation in Unity3d (with/without developer support)
- Game Testing & QA Participation
- Game Graphics Creation (Graphics Tablet)

**Technical Skills**

- Figma (UI, vector graphics, animation)
- Adobe Photoshop (raster graphics)
- Unity3d
- Jira & Confluence
- Plastic SCM
- Adaptable to new technologies

**Education & Professional Development**

- Web Design Courses, Graduated with Honors | Supervised final group project
- English Language Courses, Completed with Honors | 2022

**Professional Approach**

Committed to staying current with industry developments through continuous engagement with gaming projects. Seeking opportunities to contribute to innovative projects of varying complexity within collaborative team environments."
53976,"# PROFESSIONAL SUMMARY

Accomplished artist and designer with proven expertise in game UI art, character design, and 3D modeling. Fast learner with strong team collaboration abilities and demonstrated success in teaching and leadership roles.

# TECHNICAL SKILLS

**Art & Design**
- Game UI Art & UI Design
- Character Design & Concept Art
- Environment Concept Art
- Creative Design & Illustration

**3D Production**
- 3D Modeling & Sculpting
- Texturing

**Software Proficiency**
- Adobe Photoshop
- Blender
- ZBrush
- Substance Painter & Substance Designer
- Daz Studio

**Languages**
- English (Fluent)

# CORE COMPETENCIES

- Game Asset Creation
- Visual Design & Conceptualization
- 3D Character & Environment Production
- Cross-Functional Team Collaboration
- Teaching & Leadership"
53977,"# PROFESSIONAL SUMMARY

Self-starter with proven expertise in motion design for worldwide poker and casino products. Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development. Improved design and animation export pipeline across multiple projects.

# EXPERIENCE

**Motion Design & Team Leadership**
- Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development
- Contributed to creation and organization of gaming design team
- Designed exhaustive briefs and accompanied design, graphic, motion, sound artists, and developers to final result

**Product Design & Branding**
- Participated in rebranding poker brands
- Created UX/UI design for poker application
- Enhanced visual and gaming experience of product

**Animation & Motion Graphics**
- Created gaming motion and animations for poker and casino games (Slots, Bettings, BlackJack)
- Built clean and scalable AE projects architecture
- Produced motion graphics for live online events
- Created design and storyboards for promotional videos

**Process Improvement & Collaboration**
- Improved design and animation export pipeline across multiple projects
- Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries
- Improved accordance of design and animations of application in collaboration with development team and provided new technologies in workflow

# STRENGTHS

- Create products of the highest quality
- Disentangle tasks and take responsibility for results
- Motivate teams and share desire to create top products
- Leverage experience in gaming industry"
