Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini
2555,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dedicated professional with over 5 years of experience in sales and customer support within the chemical raw materials distribution and EdTech industries. Proven track record in account management and project leadership, with a focus on delivering exceptional service to clients in Western markets.

**Experience**  

**Sales Assistant**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Supported sales operations in international companies specializing in chemical raw materials distribution.  
- Assisted in managing client relationships and ensuring customer satisfaction.  

**Customer Support/Account Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Provided customer support and account management services in an EdTech company targeting Western markets, including Western Europe and the USA.  
- Promoted to Support Team Lead, overseeing a team and enhancing service delivery.  

**EdTech Project Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Managed projects focused on lead generation, outbound sales, and customer support within the secondary and higher education sectors in Western markets.  

**Skills**  
- Advanced user of IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, and Canva.  
- General knowledge of programming concepts, particularly in Java.  

**Professional Goals**  
- Seeking stability of income, opportunities for growth, and a healthy work atmosphere.  "
2556,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Experience**  

**Account Manager**  
[Company Name] - [Location]  
[Month, Year] – Present  
- Managed client communications through email and phone, including both cold and warm calling.  
- Engaged in product demonstrations and application testing to enhance client understanding.  
- Developed and maintained company profiles and application content.  
- Addressed client inquiries related to the application effectively.  
- Formulated strategies to improve client engagement and product usage.  
- Regularly produced website content, including blogs and tutorials to support client education.  

**Sales Support Agent**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Conducted comprehensive market research focused on the Ukrainian and Russian markets.  
- Supported a British company in its efforts to penetrate the Eastern European market.  
- Engaged with business owners and representatives to facilitate B2B sales.  
- Managed reporting and documentation tasks efficiently.  

**Customer Support Agent**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Resolved a high volume of customer service issues through effective communication with customers in the USA, Canada, and Great Britain via phone and email.  
- Provided solutions to customer inquiries and made necessary adjustments to customer profiles and subscriptions.  
- Processed refunds as required and ensured high levels of customer satisfaction.  
- Utilized CRM systems and performed quality assurance by analyzing calls from the outsourced company.  
- Identified and corrected system errors, following up with customers to confirm satisfaction.  
- Completed all required reporting and documentation accurately.  

---

**Skills**  
- Client Communication  
- Market Research  
- B2B Sales  
- Customer Service  
- CRM Proficiency  
- Content Creation  
- Quality Assurance  
- Reporting and Documentation  

---

**Education**  
[Your Degree]  
[Your University] - [Location]  
[Month, Year]  

---  

**References**  
Available upon request.  "
2577,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven professional with extensive experience in project coordination, e-commerce management, and talent acquisition. Proven ability to optimize workflows, enhance operational efficiency, and deliver high-quality customer service.

---

**Experience**  

**Project Coordinator**  
Upwork Premium Services Team  
[Month, Year] – Present  
- Measured the efficiency of services provided by the team through contrastive analysis and reporting.  
- Delivered overall administrative support for the program.  
- Imported and maintained lead data in Salesforce.  
- Monitored and reported team activity on overdue tasks and tickets.  
- Handled high-value escalations sent by internal teams.  
- Revised current processes and implemented improvements and amendments.  

---

**Online Store Project Manager (Remote)**  
[Company Name]  
[Month, Year] – [Month, Year]  
- Optimized workflow by delivering high-quality customer service and managing a high volume of time-sensitive tasks.  
- Managed backend admin panel and worked with hosting infrastructure, including dedicated servers and first-line support.  
- Oversaw dispatch management and resolved support tickets.  

---

**Talent Agent Admin & Talent Specialist**  
[Company Name]  
[Month, Year] – [Month, Year]  
- Sourced high-caliber talent for Upwork internal teams and clients.  
- Conducted video interviews with Upwork freelancers from the Americas, Europe, and Asia.  
- Created and managed Jira tickets.  
- Optimized operations to improve both efficiency and quality of the program.  
- Created, maintained, and improved SOP documentation.  

---

**Magento E-Commerce Project Manager**  
[Company Name]  
[Month, Year] – [Month, Year]  
- Created and assigned tasks to the development team, focusing on UI optimization.  
- Collaborated with SEO and marketing teams.  
- Conducted performance review meetings.  
- Established cooperation with manufacturers and suppliers worldwide, setting them up as vendors.  
- Managed stock, configured payment and shipping methods, and set shipping rates in Magento.  
- Handled orders, dispatch, and refunds, while addressing customer inquiries and resolving complaints.  

---

**Skills**  
- Workflow Optimization  
- Salesforce Administration  
- E-commerce Management  
- Customer Service Excellence  
- Data Analysis and Reporting  
- Team Coordination  
- Process Improvement  
- Talent Acquisition  

---  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

**Certifications**  
[Relevant Certification]  
[Issuing Organization]  
[Year]  "
2582,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Education**  
PhD in Economics (Candidate of Economic Sciences), 2018  

**Key Achievements**  
Kyiv-Mohyla Business School [kmbs]  
- Suggested improvements to the logic of the medium-term program, enabling participants to implement changes in their businesses more effectively and enhancing their understanding of the content.  
- Selected for the team focused on the implementation of a new CRM system, responsible for testing, bug reporting, and designing the interface based on departmental processes and needs.  
- Appointed to the commission evaluating participants’ graduation projects in the medium-term program.  

**Certifications**  
- IELTS Academic test: Scored 7.0 (2011, 2014)  
- Completed 6 online courses on Coursera:  
  - An Introduction to Marketing  
  - Critical Perspectives on Management  
  - Critical Thinking in Global Challenges  
  - A Beginner's Guide to Irrational Behavior  
  - Games without Chance: Combinatorial Game Theory  
  - Fundamentals of Global Energy Business  

**Professional Experience**  

**Project Manager**  
Ukrainian Social Academy  
Jul 2019 – Mar 2020  
- Conducted competitor analysis, focusing on products and promotion strategies.  
- Formulated logic and questions for depth interviews, conducted interviews, and analyzed results.  
- Outlined client profiles, segments, characteristics, behaviors, needs, and value creation.  
- Developed the concept for an educational program, including structure, objectives, topics, expected outcomes, and expert involvement.  
- Produced requirements for lecturers, analyzed proposals, and negotiated program updates.  
- Created and coordinated the promotion plan for the product.  
- Drafted texts and messages for Facebook posts.  
- Developed a provisional budget for the product.  
- Communicated with clients to define and analyze their needs.  
- Tested the new company website.  

**Project Manager**  
EdEra  
Apr 2019 - May 2019  

**Account & Project Manager**  
Kyiv Mohyla Business School [kmbs]  
May 2016 - Jul 2018  
- Managed Executive Development Programs at all stages, from scheduling and promotion to retrospective analysis and development of suggestions.  
- Oversaw multiple projects simultaneously.  
- Identified key expectations, needs, and goals of clients, providing advisory support.  
- Managed client relationships, ensuring excellent service and support.  
- Coordinated with Marketing and Finance departments.  
- Developed marketing plans for the programs.  
- Represented the school at external events to support business development and communication with prospective clients.  
- Collected client feedback for product improvement and advisory purposes.  
- Suggested program improvements and provided senior staff with retrospectives on program results.  
- Coached new team members and familiarized them with processes.  
- Coordinated and prepared texts and concepts for promotional materials and mailings.  
- Administered the company website.  
- Worked with CRM and analytics, contributing to the development of the CRM system.  
- Engaged with the Learning Management System (LMS).  

**Internship**  
Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv)  
Nov 2014 - Jul 2015  

**Objective**  
I aspire to be part of a company with a meaningful mission that creates new opportunities for life. I am passionate about ideas and solutions that positively impact both social and business processes.  "
2583,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Account and digital marketing professional with over 4 years of experience in B2B/B2C, specializing in AdTech and Crypto products. Proficient in email marketing, communications, and digital marketing project management. Motivated by fast-paced environments, strong teams, and challenging tasks. Committed to advancing in user retention and product development.

---

**Professional Experience**  

**Genesis - Sendios.io**  
*Account Project Manager*  
- Rebuilt the account flow for managing clients' tasks for the entire team.  

**Coreteka**  
*Product Manager*  
- Launched the updated version of the company website.  

**BitMedia**  
*Sales and Account Manager*  
- Achieved a 20% growth in advertiser costs across the network.  
- Set up the Pipedrive CRM system.  

**MGID**  
*User Acquisition Manager*  
- Closed twice as many clients for three consecutive months compared to colleagues.  
- Conducted team education through presentations and training sessions.  

---

**Skills**  
- Email Marketing  
- Digital Marketing Project Management  
- Communications  
- User Retention Strategies  
- Product Development  

---

**Career Objective**  
Seeking to continue my journey as a Project Manager or Retention Manager."
2584,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Proactive self-starter with a proven track record in project management and digital marketing. Adept at managing multiple projects simultaneously, with hands-on experience in various project management tools. Skilled in building and maintaining client relationships, ensuring project goals are met within scope and budget.

---

**Core Competencies**  
- Project Management  
- Budget Management  
- Digital Marketing Campaigns  
- Client Relationship Management  
- Market Research and Analysis  
- Team Leadership and Mentoring  

---

**Professional Experience**  

**Lead Account Executive**  
[Company Name] | [Location] | [Dates]  
- Established, developed, and led strong partnerships and collaborations by influencing and advocating for company strategic priorities.  
- Created techniques to attract prospective customers while maintaining relationships with current clients.  
- Conducted market research and analysis to develop detailed business plans on sales opportunities.  

**Middle Project Manager**  
[Company Name] | [Location] | [Dates]  
- Coordinated and managed multi-functional project teams of 10-15 people to ensure the success of marketing campaigns.  
- Oversaw strategic goals and tactical decisions through weekly cross-functional meetings.  
- Mentored junior project managers, contributing to their professional development.  

---

**Key Achievements**  
- Successfully completed 143 projects with a total managed budget of $310,000.  
- Managed up to 56 projects simultaneously, demonstrating strong multi-tasking abilities.  
- Created and conducted training on negotiation techniques and troubleshooting for company employees.  
- Mentored three junior project managers, successfully elevating one to a middle-level position.  

---

**Technical Skills**  
- Project Management Tools: Teamwork, Asana, Notion  
- Digital Marketing Platforms  
- Data Analysis Tools  

---

**Education**  
[Your Degree]  
[Your Major]  
[Your University] | [Location] | [Graduation Year]  

---  

**Certifications**  
[List any relevant certifications]  

---  

**References**  
Available upon request.  "
2585,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Results-oriented Project Manager with a proven track record in marketing and sales, adept at managing successful projects and driving revenue growth in competitive markets. Experienced in business process expertise across Marketing, Sales, and IT, with a strong background in collaborating within Agile/Scrum environments and working with international teams.

**Education**  
Bachelor's Degree, [Your Major]  
[University Name], Germany  
[Year of Graduation]  

Master's Degree, [Your Major]  
[University Name], Germany  
[Year of Graduation]  
- International Master's Degree with a ""very good"" grade  
- Multilingual Certification: German/English  

**Professional Experience**  

**Head of Business Development Department**  
[Company Name], [Location]  
[Month, Year] – Present  
- Lead a team of sales and account managers.  
- Achieved a 50% increase in revenue growth in the respective market.  
- Manage a large integration project with a third-party software supplier (Top European ECM Software Solution).  

**Skills**  
- Business Process Expertise: Marketing, Sales, IT  
- Project Management: Agile, Scrum, Lean Project Management  
- Technical Background: Continuous development through workshops and courses in Online Marketing, Scrum, Agile Project Management, and Lean Project Management  
- Team Collaboration: Proven experience in international team environments  

**Career Objectives**  
- Aim to contribute to a reputable company that values employee pride.  
- Seek opportunities for career advancement within the organization.  
- Appreciate competent, congenial coworkers who are effective team players.  
- Interested in travel opportunities and skill enhancement.  "
2586,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Summary**  
Results-driven professional with 7 years of experience in client service and project management, specializing in media strategy, account management, and team leadership.

---

**Experience**  

**Account Project Manager**  
Media Agency Vizeum (Dentsu)  
[Month, Year] – [Month, Year] (1.6 years)  
- Organized and coordinated interaction between the Agency and the Client during the development, approval, and implementation of projects/products.  
- Maintained daily communication and provided client service for local and global client and customer teams.  
- Managed complex client relationships in media, including planning media strategies across various platforms: TV, OOH, Radio, and Digital.  

**Senior Account Manager**  
Marketing Services Agency Adsapience  
[Month, Year] – [Month, Year] (3.1 years)  
- Developed concepts for brand and product promotion, structured operational processes, and provided daily customer support while processing customer requests and preparing project budgets.  
- Coordinated a web development team for website and app development, and supervised national teleconferences.  
- Engaged in operations management through continuous communication with 4-5 teams in product development, creative, digital, production, legal, and logistics.  
- Led mass BTL, B2B, and B2C events, managed partner integrations, and coordinated a team of over 20 people, including training and quality control of middle managers.  
- Provided customer support by coordinating service implementation, addressing issues, and delivering effective solutions.  

**Account Manager**  
Marketing Agency TMA Ukraine  
[Month, Year] – [Month, Year] (1.9 years)  
- Developed and integrated marketing promotions for a shopping and entertainment center in Kyiv, managing 318 projects with daily attendance of up to 55,000 people.  
- Coordinated various trade-marketing projects, overseeing full-cycle management of all processes.  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Skills**  
- Client Service  
- Project Management  
- Media Strategy  
- Team Leadership  
- Operations Management  
- Budget Preparation  
- Problem Solving  
- Communication Skills  "
2587,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dedicated account and project manager with experience in the SAAS industry, specializing in supply chain solutions. Proven ability to advise international clients, manage projects, and ensure client satisfaction.

**Experience**  

**Account and Project Manager**  
[Company Name], [Location]  
[Month, Year] – Present  
- Manage accounts and projects for a Dutch SAAS company that develops software for supply chain mapping and risk assessment.  
- Target market includes Europe, with supply management on a worldwide scale.  
- Utilize software tools including in-house applications, Teamleader, MS Office, and Tableau to enhance project outcomes.  
- Advise international clients on software solutions and market developments to meet their needs.  
- Prepare budgets and manage ongoing projects while coordinating with the IT team.  
- Serve as the main contact point for client inquiries and issues, ensuring high levels of client satisfaction.  

**Skills**  
- Account Management  
- Project Management  
- Client Relations  
- Budget Preparation  
- Software Proficiency: Teamleader, MS Office, Tableau  
- Supply Chain Management  

**Education**  
[Your Degree]  
[Your University], [Location]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Languages**  
[List any languages you speak]  "
2588,"Account Manager  
ProfiAds (Advertising & Event Agency)  
June 2015 – Present  

Key Qualifications & Responsibilities:  
- Launched large-scale projects in various shopping centers across Ukraine, collaborating with brands such as Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo.  
- Led documentation processes, including client negotiations, contract management, customer communication, and correspondence with shopping centers.  
- Managed budget planning and allocation for projects, ensuring financial efficiency.  
- Conducted on-site meetings to discuss placement agreements and supervised project launches in multiple cities.  
- Coordinated teamwork by facilitating communication with designers to create layouts and secure client approvals.  
- Developed advertising placements, including printed layouts, contractor sourcing, installation management, and resolution of organizational issues such as import/export of equipment.  
- Secured necessary permissions and oversaw the installation and dismantling processes for advertising projects.  "
