Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
2555,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and results-driven professional with over 11 years of experience in sales, customer support, and project management. Proven track record in the chemical raw materials distribution industry and EdTech sector, with a focus on the Western Market. Adept at leading teams, managing accounts, and driving growth through strategic initiatives.

**Experience**  

**Sales Assistant**  
International Companies in Chemical Raw Materials Distribution  
[Year] - [Year]  
- Accumulated 5 years of experience in sales assistance within the chemical raw materials distribution industry.
- Contributed to international sales operations, enhancing customer satisfaction and supporting business growth.

**Customer Support/Account Manager & Support Team Lead**  
EdTech Company  
[Year] - [Year]  
- Served as a Customer Support/Account Manager for 5 years, providing exceptional service to clients in Western Europe and the USA.
- Promoted to Support Team Lead, overseeing a team and ensuring high-quality support services.

**EdTech Project Manager**  
[Year] - [Year]  
- Managed lead generation, outbound sales, and support within the secondary and higher education sectors on the Western Market.
- Successfully executed projects that aligned with company goals and client needs.

**Skills**  
- Advanced proficiency in IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, and Canva.
- General knowledge of programming concepts, particularly in Java.

**Career Objectives**  
- Seek stability of income, opportunities for growth, and a healthy work atmosphere."
2556,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in account management, sales support, and customer service. Proven ability to communicate effectively with clients, conduct market research, and resolve customer issues. Skilled in content creation, CRM management, and quality assurance.

---

**Professional Experience**

**Account Manager**  
- Communicated with clients via emails and calls, both cold and warm.  
- Participated in product demos and tested applications.  
- Created and updated company profiles within the application.  
- Assisted clients with inquiries and maximized their product engagement.  
- Developed website content, including blogs and tutorials, on a regular basis.  

**Sales Support Agent**  
- Conducted market research for Ukrainian and Russian markets.  
- Assisted a British company in expanding into the Eastern European market.  
- Engaged in B2B sales and communicated with business owners and representatives.  
- Completed all necessary reporting.  

**Customer Support Agent**  
- Resolved numerous customer service issues for clients in the USA, Canada, and Great Britain.  
- Communicated with customers via telephone and email.  
- Made adjustments to customer profiles and subscriptions, processed refunds, and ensured customer satisfaction.  
- Utilized CRM systems and conducted quality assurance by analyzing calls from outsourced companies.  
- Corrected system errors and followed up with customers to ensure satisfaction.  
- Completed all necessary reporting.  

---

**Skills**  
- Client Communication  
- Market Research  
- B2B Sales  
- Content Creation  
- Customer Service  
- CRM Management  
- Quality Assurance  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**References**  
Available upon request."
2577,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced project coordinator and manager with a strong background in optimizing workflows and standard operating procedures. Proven track record in managing teams, maintaining databases, and running e-commerce businesses. Skilled in Salesforce administration, customer service, and talent acquisition.

---

**Professional Experience**

**Project Coordinator**  
*Upwork Premium Services Team*  
- Measured service efficiency through contrastive analysis and reporting.
- Provided comprehensive administrative support for the program.
- Imported and maintained lead data in Salesforce.
- Monitored and reported on team activity regarding overdue tasks and tickets.
- Handled high-value escalations from internal teams.
- Revised and improved current processes.

**Online Store Project Manager (Remote)**  
- Optimized workflow by delivering high-quality customer service.
- Managed backend admin panel and hosting infrastructure.
- Provided first-line support and dispatch management.
- Resolved support tickets efficiently.

**Talent Agent Admin & Talent Specialist**  
- Sourced high-caliber talent for Upwork internal teams and clients.
- Conducted video interviews with freelancers across Americas, Europe, and Asia.
- Created and managed Jira tickets.
- Optimized operations to enhance program efficiency and quality.
- Developed and maintained SOP documentation.

**Magento E-Commerce Project Manager**  
- Assigned tasks to the development team and improved UI optimization.
- Collaborated with SEO and marketing teams.
- Conducted performance review meetings.
- Established vendor relationships with manufacturers and suppliers worldwide.
- Managed stock, payment configurations, and shipping methods in Magento.
- Oversaw order management, dispatch, and customer service.

---

**Skills**  
- Workflow Optimization  
- Salesforce Administration  
- E-commerce Management  
- Customer Service  
- Talent Acquisition  
- Process Improvement  
- Jira Ticket Management  
- SOP Documentation  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**Languages**  
[List any languages you speak]  

---

**References**  
Available upon request."
2582,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Education**  
**PhD in Economics (Candidate of Economic Sciences)**  
[University Name], 2018  

---

**Professional Experience**  

**Project Manager**  
Ukrainian Social Academy  
July 2019 – March 2020  

- Conducted comprehensive competitor analysis, including product and promotional strategies.
- Developed and executed in-depth interviews, analyzed results, and interpreted findings.
- Defined client profiles, segments, characteristics, behaviors, needs, and value propositions.
- Designed educational program concepts, including structure, objectives, and expert involvement.
- Drafted and negotiated program updates with lecturers to align with objectives.
- Developed and coordinated promotional plans, including drafting content for social media.
- Prepared provisional budgets and managed client communications to assess needs.
- Tested and provided feedback on the new company website.

**Project Manager**  
EdEra  
April 2019 - May 2019  

- [Responsibilities and achievements specific to this role, if any]

**Account & Project Manager**  
Kyiv-Mohyla Business School [kmbs]  
May 2016 - July 2018  

- Managed Executive Development Programs from inception to completion, including scheduling, promotion, and retrospective analysis.
- Handled multiple projects simultaneously, ensuring client satisfaction and program success.
- Identified and advised on client expectations, needs, and business goals.
- Coordinated with Marketing and Finance departments to develop marketing plans.
- Represented the school at external events to foster business development and client relations.
- Collected client feedback for product improvement and advised on program enhancements.
- Coached new team members and managed CRM and LMS systems.

**Intern**  
Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv)  
November 2014 - July 2015  

- [Responsibilities and achievements specific to this role, if any]

---

**Key Achievements**  

- Suggested improvements to the medium-term program at Kyiv-Mohyla Business School, enhancing participant engagement and understanding.
- Selected for the team implementing a new CRM system, responsible for testing, bug reporting, and interface design.
- Appointed to the commission evaluating graduation projects for the medium-term program.

---

**Certifications and Additional Training**  

- IELTS Academic Test: Scored 7.0 (2011, 2014)
- Completed 6 online courses on Coursera, including ""An Introduction to Marketing"" and ""Critical Thinking in Global Challenges.""

---

**Professional Interests**  

I am passionate about contributing to organizations with meaningful missions that create new opportunities and have a positive impact on social and business processes.  

---"
2583,"Genesis - Sendios.io  
- Rebuilt the account flow for managing clients' tasks for the entire team.  

Coreteka  
- Launched the updated version of the company's website as a Product Manager.  

BitMedia - Sales and Account Manager  
- Increased advertiser costs across the network by 20%.  
- Implemented the Pipedrive CRM system.  

MGID - User Acquisition Manager  
- Consistently closed twice as many clients for three consecutive months compared to colleagues.  
- Conducted team education through presentations and training sessions.  

I am an experienced account and digital marketing professional with over four years of experience in B2B/B2C, working with AdTech and Crypto products. Skilled in email marketing, communications, and digital marketing project management. I thrive in fast-paced environments, alongside strong teams of professionals, and enjoy tackling challenging tasks. I am eager to advance in user retention and product development.  

Currently, I work at Genesis on the Sendios.io project as an Account Project Manager.  

I aspire to continue my career as a Project Manager or Retention Manager."
2584,"Multi-tasker with the ability to manage multiple projects simultaneously (56 at once). Experienced in using project management tools such as Teamwork, Asana, and Notion. Successfully completed 143 projects with a total managed budget of $310,000. Developed and delivered training on negotiation techniques and troubleshooting for company employees. Mentored three junior project managers, advancing one to a middle-level project manager.

Proactive self-starter with a comprehensive understanding of business operations. Possess a strong track record in project management and extensive experience in building, maintaining, and executing digital marketing campaigns. Skilled in all aspects of project management, including planning, budget management, and coordinating project components. Experienced in client relations to ensure project goals are met within scope and budget.

**Lead Account Executive Responsibilities:**

- Establish, develop, and lead strong partnerships and collaborations by advocating for company strategic priorities.
- Develop techniques to attract prospective customers and retain existing ones.
- Conduct market research and analysis to create detailed business plans for sales opportunities.

**Middle Project Manager Responsibilities:**

- Coordinate and manage multi-functional project teams (10-15 members) to ensure the success of marketing campaigns.
- Oversee strategic goals and tactical decisions through weekly cross-functional meetings.
- Mentor junior project managers."
2585,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Result-oriented project manager and business development professional with extensive experience in marketing, sales, and IT. Proven track record of managing successful projects and driving revenue growth in competitive markets. Skilled in leading international teams and collaborating in Agile/Scrum environments. Committed to continuous learning and development in new information technologies.

---

**Education**  
**International Master’s Degree**  
- Graduated with a ""very good"" grade  
- Multilingual certification in German/English  
- Completed bachelor and master studies in Germany  

---

**Professional Experience**  

**Head of Business Development**  
[Company Name], [Location]  
[Month, Year] – Present  

- Lead a team of sales and account managers, driving business development initiatives.  
- Achieved a 50% increase in revenue growth within the respective market.  
- Managed a significant integration project with a top European ECM software solution provider.  

---

**Skills**  
- Business process expertise in Marketing, Sales, and IT  
- Agile/Scrum project management  
- Strong leadership and team management  
- Multilingual: German/English  
- Continuous learning in online marketing, Scrum, Agile, and Lean project management  

---

**Professional Development**  
- Attended workshops and courses on Online Marketing, Scrum, Agile Project Management, and Lean Project Management  

---

**Career Objectives**  
- Work for a reputable company that instills pride in its employees  
- Seek opportunities for career advancement and skill enhancement  
- Collaborate with competent, congenial, and team-oriented coworkers  
- Engage in roles that offer travel opportunities and skill improvement  

---

**References**  
Available upon request."
2586,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced client service and project management professional with 7 years of expertise in account management, media strategy, and operations management. Proven track record in leading teams, developing marketing strategies, and enhancing client relationships.

---

**Professional Experience**

**Account Project Manager**  
Media Agency Vizeum (Dentsu)  
[Month, Year] – [Month, Year] (1.6 years)

- Organized and coordinated interactions between the agency and clients during project development, approval, and implementation.
- Managed daily communication and client service for both local and global client teams.
- Developed media strategies across various platforms including TV, OOH, Radio, and Digital.

**Senior Account Manager**  
Marketing Services Agency Adsapience  
[Month, Year] – [Month, Year] (3.1 years)

- Developed concepts for brand/product promotion and structured operational processes.
- Coordinated IT projects, including web and app development, and supervised national teleconferences.
- Managed operations by liaising with teams in product development, creative, digital, production, legal, and logistics.
- Led mass BTL, B2B, and B2C events, coordinated partner integrations, and managed a team of over 20 people.
- Provided customer support by coordinating service implementation and resolving issues.

**Account Manager**  
Marketing Agency TMA Ukraine  
[Month, Year] – [Month, Year] (1.9 years)

- Developed and integrated marketing promotions for a shopping and entertainment center in Kyiv, managing 318 projects with daily attendance of up to 55,000 people.
- Coordinated various trade-marketing projects and managed all processes from start to finish.

---

**Education**  
[Your Degree]  
[Your University/College Name]  
[Year of Graduation]

---

**Skills**  
- Client Service  
- Project Management  
- Media Strategy  
- Team Leadership  
- Operations Management  
- IT Project Coordination  

---

**References**  
Available upon request."
2587,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced account and project manager with a focus on supply chain software solutions. Skilled in advising international clients, managing projects, and ensuring client satisfaction. Proficient in using various software tools to enhance project efficiency and data analysis.

---

**Professional Experience**  

**Account and Project Manager**  
[Company Name], Dutch SAAS Company  
[Month, Year] – Present  

- Manage accounts and projects for a company specializing in software that maps supply chains and provides verified risk data.
- Advise international clients on solutions and market developments, ensuring alignment with their needs and objectives.
- Prepare budgets and manage ongoing projects, coordinating with the IT team to ensure timely delivery and quality.
- Serve as the main contact point for client inquiries and problem resolution, maintaining high levels of client satisfaction.
- Target market focus: Europe; Supply management: Worldwide.
- Utilize software tools including Teamleader, MS Office, and Tableau to support project management and data analysis.

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Month, Year] – [Month, Year]

---

**Skills**  
- Project Management  
- Client Advisory  
- Budget Preparation  
- IT Team Coordination  
- Client Satisfaction  
- Software Proficiency: Teamleader, MS Office, Tableau  

---

**Languages**  
- [Language 1]  
- [Language 2]  

---

**Certifications**  
- [Certification Name]  
- [Certification Name]  

---

**References**  
Available upon request."
2588,"[Your Name]
[Your Address]
[City, State, ZIP Code]
[Your Phone Number]
[Your Email Address]

---

**Professional Experience**

**Account Manager**  
ProfiAds (Advertising & Event Agency)  
June 2015 – Present

- Spearheaded large-scale project launches across various shopping centers in Ukraine, collaborating with brands such as Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo.
- Managed comprehensive documentation processes, including client negotiations, contract signings, and customer communications, while liaising with shopping centers and overseeing budgeting.
- Conducted on-site meetings to finalize placement agreements and supervised project launches in multiple cities.
- Coordinated cross-functional teams, facilitating communication with designers to develop layouts and securing client approvals.
- Executed advertising placements by overseeing layout printing, sourcing contractors, managing installations, and resolving organizational challenges, including import/export logistics and obtaining necessary permissions.

---

**Education**

[Your Degree]  
[Your University/College Name]  
[Year of Graduation]

---

**Skills**

- Project Management
- Client Relations
- Team Coordination
- Problem Solving
- Communication

---

**References**

Available upon request."
2589,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Result-oriented Account Manager/Project Manager with over 5 years of experience in product and outsource companies. Proven track record of managing 19 commercially launched projects. Highly organized and diligent, with strong written, oral, and interpersonal communication skills. Demonstrates resilience under pressure and excels in managing multiple projects simultaneously.

**Core Competencies**  
- Scrum Facilitation  
- Project Communication Management  
- Staffing Process Control  
- Financial and Invoicing Documentation Management  
- Internal Delivery Team Management  
- Software Implementation Estimation  
- Software Development Planning and Execution  
- People Management and Team Building  

**Professional Experience**  

**Account Manager/Project Manager**  
[Company Name], [Location]  
[Month, Year] – Present  

- Facilitate Scrum events across various teams to ensure agile project management.  
- Plan and manage both internal and external project communications effectively.  
- Oversee staffing processes to align with project needs and timelines.  
- Manage project, financial, and invoicing documentation to ensure accuracy and compliance.  
- Lead internal delivery teams to achieve successful project delivery.  
- Estimate software implementation requests, evaluating goals, costs, scope, and efficiency.  
- Plan and control the execution of software development processes.  
- Build and nurture effective and collaborative project teams, promoting individual and team performance.  

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Location]  
[Year of Graduation]  

**Professional Development**  
[List any relevant certifications, courses, or workshops]  

**Personal Attributes**  
Positive and open-minded team player with a keen interest in project success and personal growth. Seeking a company with a strong team spirit to further enhance my experience and skills.  

**References**  
Available upon request.  

---"
2590,"Sales Account Manager

Professional Summary:
Dedicated Sales Account Manager with over 4 years of experience in building and maintaining strong customer relationships. Skilled in understanding customer needs, negotiating deals, and managing accounts from initiation to completion. Adept at bridging communication between customers and development teams, with a focus on delivering tailored solutions and ensuring customer satisfaction.

Experience:
Sales Account Manager
[Company Name], [Location]  
[Month, Year] – Present

- Process verified leads and develop a deep understanding of customer needs to provide effective solutions.
- Gather project requirements and prepare detailed project quotes.
- Negotiate and close deals, ensuring mutually beneficial agreements.
- Manage accounts from project initiation, maintaining ongoing communication and support.
- Facilitate business meetings with prospects, customers, and internal teams to ensure alignment and progress.
- Issue invoices and manage financial transactions related to accounts.

Skills:
- Strong communication and interpersonal skills
- Effective negotiation and deal-closing abilities
- Proficient in project requirement gathering and quoting
- Experienced in account management and customer relationship building
- Skilled in moderating meetings and facilitating team collaboration

Career Goals:
Aspire to further develop expertise in Account and Project Management, with a focus on enhancing team collaboration and customer satisfaction.

Values:
- Informal and friendly team spirit
- Well-established business processes
- Access to mentorship and guidance during initial stages of projects"
2591,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dedicated and detail-oriented Account/Project Manager with 1.5 years of experience. Strong communication skills facilitate effective collaboration with teams and clients. Proficient in contract negotiation, budget preparation, and website testing. Skilled in task prioritization and efficient execution. Committed to delivering high-quality work and continuously improving processes through evaluation and analysis.

---

**Professional Experience**  

**Account/Project Manager**  
[Company Name]  
[Location]  
[Month, Year] – Present  

- Managed multiple projects simultaneously with accuracy and responsibility.
- Developed and maintained strong relationships with team members and clients through effective communication.
- Negotiated contracts and agreements, ensuring mutual satisfaction and compliance.
- Prepared client budgets, optimizing resource allocation and cost efficiency.
- Conducted website testing to ensure functionality and user experience.
- Prioritized tasks to enhance productivity and meet project deadlines.
- Evaluated project outcomes and analyzed challenges to implement improvements.

---

**Skills**  

- Strong communication and interpersonal skills
- Contract negotiation and agreement management
- Budget preparation and financial planning
- Website testing and quality assurance
- Task prioritization and time management
- Process evaluation and problem-solving

---

**Education**  

[Your Degree]  
[Your University/College]  
[Location]  
[Year of Graduation]  

---

**References**  

Available upon request."
