Unnamed: 0,Modifiedgpt4o-onmini
2555,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Results-driven professional with over 5 years of experience in sales and customer support across the chemical raw materials distribution and EdTech sectors. Expertise in account management and project leadership, with a commitment to providing exceptional service to clients in Western markets.

**Experience**  

**Sales Assistant**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Facilitated sales operations in global companies focusing on chemical raw materials distribution.  
- Contributed to maintaining client relationships and improving customer satisfaction.  

**Customer Support/Account Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Delivered customer support and managed accounts in an EdTech company serving Western Europe and the USA.  
- Promoted to Support Team Lead, responsible for guiding a team and optimizing service delivery.  

**EdTech Project Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Directed projects on lead generation, outbound sales, and customer support, focusing on the secondary and higher education sectors in Western markets.  

**Skills**  
- Proficient in IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, and Canva.  
- Familiar with programming concepts, especially in Java.  

**Professional Goals**  
- Aiming for income stability, professional growth, and a positive work environment."
2556,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Experience**  

**Account Manager**  
[Company Name] - [Location]  
[Month, Year] – Present  
- Managed client communications via email and phone, initiating both cold and warm calls.  
- Facilitated product demonstrations and executed application testing.  
- Developed and maintained company profiles and application content.  
- Supported clients with application-related inquiries, enhancing user experience.  
- Strategized to optimize client engagement and product usage.  
- Generated regular website content, including blogs and tutorials.  

**Sales Support Agent**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Executed market research focused on the Ukrainian and Russian markets.  
- Enabled a British company's expansion into the Eastern European market.  
- Engaged with business owners and representatives for B2B sales efforts.  
- Managed necessary reporting and documentation processes.  

**Customer Support Agent**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Successfully resolved extensive customer service issues for clients in the USA, Canada, and Great Britain via phone and email communication.  
- Delivered solutions for customer inquiries, analyzing and adjusting customer profiles and subscriptions.  
- Processed refunds when required, ensuring high levels of customer satisfaction.  
- Utilized CRM systems and conducted quality assurance by evaluating calls from outsourcing partners.  
- Identified and corrected system errors, followed up with customers to ensure resolution satisfaction.  
- Completed essential reporting and documentation accurately.  

---

**Skills**  
- Client Communication  
- Market Research  
- B2B Sales  
- Customer Service Excellence  
- CRM System Expertise  
- Content Development  
- Quality Assurance  
- Reporting and Documentation  

---

**Education**  
[Your Degree]  
[Your University] - [Location]  
[Month, Year]  

---  

**References**  
Available upon request.  "
2577,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven professional with deep expertise in project coordination, e-commerce management, and talent acquisition. Demonstrated success in optimizing workflows, enhancing operational efficiency, and delivering superior customer service.

---

**Experience**  

**Project Coordinator**  
Upwork Premium Services Team  
[Month, Year] – Present  
- Conducted contrastive analysis to measure service efficiency, enhancing team reporting.  
- Provided comprehensive administrative support to the program.  
- Managed lead data within Salesforce.  
- Monitored team activity for overdue tasks and tickets, improving accountability.  
- Addressed high-value escalations from internal teams.  
- Revised and improved current processes for increased efficiency.  

---

**Online Store Project Manager (Remote)**  
[Company Name]  
[Month, Year] – [Month, Year]  
- Enhanced workflow management by providing high-quality customer service on time-sensitive tasks.  
- Managed backend admin panel and collaborated with hosting infrastructure, including dedicated servers and first-line support.  
- Led dispatch management and resolved support tickets proficiently.  

---

**Talent Agent Admin & Talent Specialist**  
[Company Name]  
[Month, Year] – [Month, Year]  
- Sourced premium talent for Upwork internal teams and clientele globally.  
- Conducted video interviews with freelancers across Americas, Europe, and Asia.  
- Developed and managed Jira tickets effectively.  
- Improved operations, enhancing both efficiency and quality.  
- Authored and refined SOP documentation for operational excellence.  

---

**Magento E-Commerce Project Manager**  
[Company Name]  
[Month, Year] – [Month, Year]  
- Coordinated with the development team on UI optimization tasks.  
- Partnered with SEO and marketing departments.  
- Facilitated performance review meetings for continual improvement.  
- Established vendor partnerships with global manufacturers and suppliers.  
- Managed stock, configured payment and shipping methods, set Magento shipping rates.  
- Overlooked orders, dispatch, refunds, and resolved customer inquiries and complaints.  

---

**Skills**  
- Workflow Optimization  
- Salesforce Administration  
- E-commerce Management  
- Customer Service Excellence  
- Data Analysis and Reporting  
- Team Coordination  
- Process Improvement  
- Talent Acquisition  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Certifications**  
[Relevant Certification]  
[Issuing Organization]  
[Year]"
2582,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Objective**  
I aspire to be part of a company with a meaningful mission that creates new opportunities for life. I am passionate about ideas and solutions that positively impact both social and business processes.  

**Education**  
PhD in Economics (Candidate of Economic Sciences), 2018  

**Key Achievements**  
Kyiv-Mohyla Business School [kmbs]  
- Proposed enhancements to the medium-term program's logic, facilitating better participant implementation in their businesses and a deeper understanding of the material.  
- Contributed to the new CRM system team, focusing on testing, bug reporting, and interface design tailored to departmental needs.  
- Served on the commission evaluating graduation projects for the medium-term program.  

**Certifications**  
- IELTS Academic test: Scored 7.0 (2011, 2014)  
- Completed 6 online courses on Coursera:  
  - An Introduction to Marketing  
  - Critical Perspectives on Management  
  - Critical Thinking in Global Challenges  
  - A Beginner's Guide to Irrational Behavior  
  - Games without Chance: Combinatorial Game Theory  
  - Fundamentals of Global Energy Business  

**Professional Experience**  

**Project Manager**  
Ukrainian Social Academy  
Jul 2019 – Mar 2020  
- Conducted in-depth competitor analysis on products and promotional strategies.  
- Developed logic and questions for depth interviews, conducted interviews, and analyzed results for insights.  
- Defined client profiles and segments, understanding their characteristics, behaviors, needs, and value creation opportunities.  
- Designed an educational program's concept, including its structure, objectives, topics, and expert engagement.  
- Established requirements for lecturers, assessed proposals, and coordinated program updates.  
- Strategized and executed the promotion plan for the product.  
- Composed content for Facebook posts, enhancing engagement.  
- Prepared a provisional budget for the product.  
- Engaged with clients to understand and analyze their needs effectively.  
- Participated in testing the new company website.  

**Project Manager**  
EdEra  
Apr 2019 - May 2019  

**Account & Project Manager**  
Kyiv Mohyla Business School [kmbs]  
May 2016 - Jul 2018  
- Managed the complete lifecycle of Executive Development Programs, from scheduling to post-implementation analysis.  
- Simultaneously directed multiple projects to success.  
- Identified clients' key expectations and goals, offering comprehensive advisory support.  
- Maintained robust client relationships, delivering exceptional service.  
- Collaborated with Marketing and Finance departments to align objectives.  
- Crafted and implemented marketing strategies for programs.  
- Represented the institution at external events to boost business development and client communication.  
- Gathered and utilized client feedback to refine and enhance offerings.  
- Provided program improvement suggestions and shared retrospectives with senior staff.  
- Coached and mentored new team members to familiarize them with internal processes.  
- Developed and coordinated promotional materials and mailings.  
- Administered the company website, improving user experience.  
- Leveraged CRM and analytics in the development of system enhancements.  
- Engaged effectively with Learning Management Systems (LMS).  

**Internship**  
Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv)  
Nov 2014 - Jul 2015  "
2583,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic account and digital marketing professional with over 4 years of experience in B2B/B2C sectors, focusing on AdTech and Crypto products. Expert in email marketing, communications, and digital marketing project management. Thrive in fast-paced environments with strong teams and challenging tasks, with a keen interest in advancing user retention and product development.

---

**Professional Experience**  

**Genesis - Sendios.io**  
*Account Project Manager*  
- Optimized client task management flow for the team, enhancing efficiency.  

**Coreteka**  
*Product Manager*  
- Successfully launched the revamped company website, improving user experience.  

**BitMedia**  
*Sales and Account Manager*  
- Secured a 20% increase in advertiser spending across the network.  
- Implemented and managed the Pipedrive CRM system.  

**MGID**  
*User Acquisition Manager*  
- Doubled the client acquisition rate for three consecutive months compared to peers.  
- Led team education through impactful presentations and training sessions.  

---

**Skills**  
- Email Marketing  
- Digital Marketing Project Management  
- Communications  
- User Retention Strategies  
- Product Development  

---

**Career Objective**  
Aspiring to enhance expertise as a Project Manager or Retention Manager, driving growth and innovation."
2584,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and proactive professional with expertise in project management and digital marketing. Proven ability to manage multiple projects effectively, utilizing comprehensive project management tools. Skilled at fostering and maintaining strong client relationships to achieve project goals within scope and budget.

---

**Core Competencies**  
- Project Management  
- Budget Management  
- Digital Marketing Campaigns  
- Client Relationship Management  
- Market Research and Analysis  
- Team Leadership and Mentoring  

---

**Professional Experience**  

**Lead Account Executive**  
[Company Name] | [Location] | [Dates]  
- Cultivated and advanced strategic partnerships aligning with company priorities.  
- Implemented strategies to engage potential customers and sustain current client relationships.  
- Conducted in-depth market research and analysis to formulate comprehensive business plans.  

**Middle Project Manager**  
[Company Name] | [Location] | [Dates]  
- Led diverse project teams of 10-15 members to drive successful marketing campaigns.  
- Facilitated strategic goal alignment through regular cross-functional meetings.  
- Provided mentorship to junior project managers, supporting their growth and development.  

---

**Key Achievements**  
- Delivered 143 projects with a cumulative budget of $310,000.  
- Successfully juggled up to 56 projects simultaneously, demonstrating exceptional multi-tasking skills.  
- Developed and facilitated company training on negotiation and troubleshooting techniques.  
- Guided three junior managers, resulting in the promotion of one to a middle-level role.  

---

**Technical Skills**  
- Project Management Tools: Teamwork, Asana, Notion  
- Digital Marketing Platforms  
- Data Analysis Tools  

---

**Education**  
[Your Degree]  
[Your Major]  
[Your University] | [Location] | [Graduation Year]  

---  

**Certifications**  
[List any relevant certifications]  

---  

**References**  
Available upon request.  "
2585,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and results-oriented Project Manager with extensive expertise in marketing and sales. Recognized for managing successful projects and driving revenue growth in competitive markets. Skilled in business processes related to Marketing, Sales, and IT, with a proven track record in Agile/Scrum environments and international team collaboration.

**Education**  
Bachelor's Degree, [Your Major]  
[University Name], Germany  
[Year of Graduation]  

Master's Degree, [Your Major]  
[University Name], Germany  
[Year of Graduation]  
- Achieved a ""very good"" grade in an International Master's program  
- Certified in German and English languages  

**Professional Experience**  

**Head of Business Development**  
[Company Name], [Location]  
[Month, Year] – Present  
- Lead a team of sales and account managers to achieve business objectives  
- Successfully increased market revenue by 50%  
- Directed a major integration project with a top European ECM software supplier  

**Skills**  
- Marketing, Sales, IT Business Process Expertise  
- Agile, Scrum, Lean Project Management  
- Continuous learning in Online Marketing, Scrum, Agile Project Management, and Lean Project Management  
- Proficient in collaborating with international teams  

**Career Objectives**  
- Aspiring to contribute to a reputable company that fosters pride among its employees  
- Seeking opportunities for career growth within an organization  
- Value working with competent and cooperative colleagues  
- Interested in roles that offer travel and skill enhancement opportunities  "
2586,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Summary**  
Accomplished professional with 7 years of expertise in client service and project management, specializing in media strategy, account management, and team leadership.

---

**Experience**  

**Account Project Manager**  
Media Agency Vizeum (Dentsu)  
[Month, Year] – [Month, Year] (1.6 years)  
- Facilitated the collaboration between the Agency and the Client for project development, approval, and execution.  
- Delivered consistent client service and communication for both local and global client teams.  
- Strategized media planning across platforms including TV, OOH, Radio, and Digital, managing intricate client relationships.  

**Senior Account Manager**  
Marketing Services Agency Adsapience  
[Month, Year] – [Month, Year] (3.1 years)  
- Crafted brand and product promotion concepts, structured operations, and managed customer requests and budget preparation.  
- Led a web development team for digital projects and supervised national teleconferences.  
- Oversaw operations management, liaising with 4-5 teams across product development, creative, digital, production, legal, and logistics.  
- Directed large-scale BTL, B2B, and B2C events, managed partner integrations, and coordinated a team of over 20 members, providing training and oversight.  
- Ensured effective service implementation and resolved client issues promptly.  

**Account Manager**  
Marketing Agency TMA Ukraine  
[Month, Year] – [Month, Year] (1.9 years)  
- Spearheaded marketing promotions for a major shopping and entertainment center in Kyiv, managing 318 projects with high daily footfall.  
- Managed and executed various trade-marketing projects, ensuring comprehensive process management.  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Skills**  
- Client Service  
- Project Management  
- Media Strategy  
- Team Leadership  
- Operations Management  
- Budget Preparation  
- Problem Solving  
- Communication Skills  "
2587,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven account and project manager with expertise in the SAAS industry, focusing on supply chain solutions. Skilled in advising international clients and managing projects to ensure customer satisfaction.

**Experience**  

**Account and Project Manager**  
[Company Name], [Location]  
[Month, Year] – Present  
- Oversee accounts and projects for a Dutch SAAS company specializing in supply chain mapping and risk assessment software.  
- Engage with a European target market and manage supply chains on a global scale.  
- Leverage tools such as in-house applications, Teamleader, MS Office, and Tableau to drive project success.  
- Consult international clients on software solutions and emerging market trends.  
- Develop budgets and oversee project implementation while collaborating closely with the IT team.  
- Act as the primary contact for client queries, ensuring a high standard of client satisfaction.  

**Skills**  
- Account Management  
- Project Management  
- Client Relations  
- Budget Planning  
- Software Proficiency: Teamleader, MS Office, Tableau  
- Supply Chain Management  

**Education**  
[Your Degree]  
[Your University], [Location]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Languages**  
[List any languages you speak]  "
2588,"Account Manager  
ProfiAds (Advertising & Event Agency)  
June 2015 – Present  

Key Qualifications & Responsibilities:  
- Spearheaded major project launches in shopping centers across Ukraine, collaborating with brands such as Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo.  
- Directed documentation efforts: client negotiations, contract management, and communication with customers and shopping centers.  
- Oversaw budget planning and allocation for diverse projects.  
- Led on-site meetings to finalize placement agreements and supervised project launches across various cities.  
- Facilitated collaboration by coordinating with designers for layout creation and securing client approvals.  
- Managed advertising placement development, from printed layouts to contractor sourcing and installation management, tackling organizational challenges like equipment import/export.  
- Obtained essential permissions and managed installation and dismantling phases."
2589,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Detail-oriented Account Manager and Project Manager with over 5 years of experience in product and outsource companies. Highly organized and diligent, offering exceptional written, oral, and interpersonal communication skills. Resilient to stress and proficient at managing multiple projects concurrently.

**Experience**  

**Account Manager/Project Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Spearheaded Scrum events to foster team collaboration and enhance productivity.  
- Devised and managed internal and external communication strategies to ensure alignment and transparency.  
- Oversaw staffing processes to drive team performance and resource efficiency.  
- Directed project, financial, and invoicing documentation and procedures to uphold accuracy and compliance.  
- Coordinated internal delivery teams to facilitate successful project completion and ensure client satisfaction.  
- Estimated software implementation requests, evaluating goals, costs, scope, and efficiency.  
- Orchestrated the software development process, tracking the progress of development plans.  
- Crafted effective and collaborative project teams to boost individual and team performance.

**Key Achievements**  
- Successfully launched 19 commercial projects, driving business growth and client satisfaction.

**Skills**  
- Project Management  
- Scrum Methodology  
- Communication  
- Team Leadership  
- Financial Management  
- Software Development Planning  
- People Management  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Professional Development**  
[Relevant Certifications or Training]  

**References**  
Available upon request."
