,Modified_gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelgpt-4o
29788,"Digital 2D Artist & UI/UX Designer

Location: Kyiv

PROFILE
Self-educated digital artist and designer with a strong portfolio demonstrating a wide range of creative abilities and technical skills. Committed to continuous learning and excellence in all projects, seeking opportunities for collaboration and growth within a successful company.

SKILLS
- Advanced proficiency in Adobe Photoshop, Adobe Illustrator, Figma, and Procreate
- Strong technical understanding of design tools and current design and technology trends
- Upper-Intermediate level of English
- Excellent verbal and written communication skills
- Proven time and self-management abilities
- UI/UX design and adaptive design expertise
- Illustration (raster and vector), banner design, and logo design

TOOLS
- Adobe Photoshop
- Adobe Illustrator
- Procreate
- Figma
- Midjourney

EXPERIENCE
Full Stack Creative Professional: UI/UX Designer / Illustrator / Graphic Designer
Apr 2021 - Present
- Deliver comprehensive design solutions, integrating UI/UX design, illustration, and graphic design principles to meet diverse client needs

UI/UX Designer / Illustrator
Nov 2019 - Aug 2021
- Created intuitive and visually appealing designs, enhancing user interfaces and experiences for various projects
- Produced high-quality illustrations for digital and print media

Freelance Web Designer
Dec 2018 - Nov 2019
- Developed custom web designs with a focus on user experience and responsiveness for freelance clients

AWARDS
RED DOT / Brands & Communication Design (Aug 2022)

I am eager to contribute my creativity and skills to a dynamic team and thrive in a collaborative work environment."
29835,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Objective:**  
Passionate digital designer focused on creating visually stunning designs to help brands grow. Experienced in collaborating with clients and colleagues to deliver engaging designs. Seeking long-term partnership opportunities to utilize knowledge and experience in making customers' lives easier.

---

**Skills:**  
- **Design Proficiency:** Color Sense, Color Theory, Composition, Branding, Advertising, Illustration  
- **Digital Design:** Web Ads, Social Media Ads, Digital Design, Digital Imagery, Digital Analytics, E-blast  
- **UI/UX Design:** Expertise in Interface Aesthetics and User Experience  
- **Web Development:** HTML, CSS, WEBFLOW  

**Soft Skills:**  
- Ability to work independently and collaboratively in a team  
- Creative problem solver  
- Excellent customer interfacing  

---

**Experience:**  
- **Marketing Expertise:** Extensive experience in marketing strategies and implementation  
- **Design Tools:** Proficient in Photoshop, Illustrator, and Figma  
- **Figma:** Advanced user with comprehensive knowledge  
- **Project Experience:** Worked on websites, E-blasts, and various digital projects  
- **Professional Versatility:** Experience as both freelance and in-house manager  
- **Collaboration:** Successfully collaborated with over 5 companies from different countries  
- **Freelance Specialist:** Designer for an American company  

---

**Completed Courses:**  
- **Dare IT:** Product Design  
- **HILLEL (IT SCHOOL):** Basic Web Design  
- **CASES MEDIA:** Figma (Score: 90), Graphic Design - Composition (Score: 91)  

---

**Education:**  
[List any formal education here if applicable]

---

**References:**  
Available upon request."
30606,"Experience

- Expertise in Figma: Skilled in design system creation, UI kit development, Auto layout, interactive components, interactive prototypes, and utilization of Figma plugins.

- Beetroot Academy Projects: Engaged in UX research, competition analysis, sketching, and prototyping. Strong understanding of design principles, including composition, typography, and color. Demonstrated ability to work effectively in groups and deliver project presentations.

Skills

- Proficient in Google Documents and Google Forms creation."
30845,"Dynamic Junior UI/UX Designer with a passion for crafting seamless and visually captivating user experiences. Proficient in Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player committed to continuous learning and adapting design strategies to meet evolving user needs. Completed a 6-month UI/UX design program and studied HTML/CSS. Successfully presented three projects: a website redesign for a real estate company, a travel website creation, and a mobile application for restaurant table booking. Seeking a full-time role in a product company focused on developing digital products for everyday life and business. Quick learner, responsible, and ready to tackle complex tasks."
32072,"UI/UX Designer

Professional Experience

Current Role:
- Enhanced the onboarding process of a financial institution app by 35%.
- Led a team of four designers in developing visually appealing and functional products aligned with user needs and business goals.
- Applied Agile planning principles to deliver customized solutions that fulfilled customer requirements.
- Employed wireframes, mock-ups, and prototypes to define user interface design and architecture.

Previous Role:
- Contributed to a 25% improvement in the audience management system of a SaaS tool, demonstrating expertise in creating designs that are both aesthetically pleasing and effective in driving business results."
46443,"**[Your Name]**

**[Your Address]**  
**[City, State, ZIP Code]**  
**[Phone Number]**  
**[Email Address]**  
**[LinkedIn Profile]**

---

### Professional Summary

With over 10 years of commercial experience, I excel in the design and development of web solutions. My expertise lies in large CRM and SaaS projects, as well as mobile and desktop applications. I specialize in creating and maintaining Design Systems that enhance product development efficiency. Proficient in various tools and technologies, I am committed to delivering high-quality work that elevates user experience and drives impactful results.

### Core Competencies

- **Design Systems**: Expert in creating and maintaining systems to streamline development processes.
- **Web & Application Development**: Focused on large CRM, SaaS, mobile, and desktop applications.
- **User Experience**: Passionate about elevating user interactions and interfaces.
- **Project Management**: Experienced in overseeing projects from concept through to release.

### Technical Skills

- **Design Tools**: Figma, Sketch, Adobe Creative Cloud Suite
- **Web Technologies**: HTML, CSS, JavaScript, React, Next.js
- **Content Management Systems**: WordPress
- **Development Tools**: Storybook

### Professional Experience

**[Your Most Recent Position]**  
**[Company Name] — [City, State]**  
**[Month, Year] – Present**  
- [Responsibility/Task #1]
- [Responsibility/Task #2]
- [Accomplishment #1]

**[Previous Position]**  
**[Company Name] — [City, State]**  
**[Month, Year] – [Month, Year]**  
- [Responsibility/Task #1]
- [Responsibility/Task #2]
- [Accomplishment #1]

### Education

**[Your Degree]**  
**[Your Major]**  
**[Institution Name]**, [City, State]  
**[Year of Graduation]**

### Certifications

- [Certification #1]
- [Certification #2]

### Professional Affiliations

- [Affiliation/Organization Name #1]
- [Affiliation/Organization Name #2]

### Personal Projects

- **UI/UX Projects**: Available for projects focusing on UI/UX, branding, and corporate style enhancements.

---

**Seeking**: A company or team devoted to improving user experience and making a positive impact globally."
46506,"Experience:

Software Developer  
Small IT Company

- Developed software projects using JavaScript technologies and the React framework.
- Created dynamic and responsive web pages with JSX, integrating HTML and CSS.
- Implemented animations using Framer Motion and designed interactive components with MUI.
- Leveraged Bootstrap and Materialize to enhance UI design and functionality.
- Collaborated with design teams using Figma and Adobe Photoshop for visual asset creation."
50300,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  

Accomplished software developer with proven expertise in designing and deploying innovative customer engagement solutions. Successfully launched a groundbreaking customer engagement suite for a leading e-commerce business, leveraging cutting-edge technologies to enhance customer acquisition, satisfaction, and retention, resulting in significant revenue growth. Known for delivering projects on time and under budget while exceeding client expectations.

---

**Technical Skills**  

- Frontend Development: React, Vue, Flutter  
- Backend Development: Node.js  
- API Integration and Custom Plugin Development  
- Interface Design and User Experience Optimization  
- Code Debugging and Performance Optimization  
- Project Planning and Information Flow Strategy  

---

**Professional Experience**  

**[Your Current Job Title]**  
[Your Current Company] – [City, State]  
[Month, Year] – Present  

- Develop frontend interfaces in alignment with client specifications, ensuring high usability and adherence to industry standards.
- Collaborate effectively with cross-functional teams to enhance application user experience and interface functionality.
- Conduct thorough debugging and performance assessments to optimize code efficiency.
- Engage in project planning and optimize information flow between backend databases and user interface components.

---

**Key Achievements**  

- Spearheaded the design and successful deployment of a comprehensive customer engagement suite for a major e-commerce client, recognized for its innovative approach and exceptional performance outcomes.
- Developed interfaces, integrated APIs, and created custom plugins using React, Vue, and Flutter, significantly enhancing project versatility and functionality.
- Designed and implemented websites and applications using Node.js, contributing to robust and scalable backend solutions.

---

**Professional Development**  

- Committed to continuous learning and skill enhancement by exploring new technologies and frameworks.
- Actively seeks mentorship and collaboration with experienced engineers to deepen understanding of advanced software architecture design.
- Dedicated to evolving as a reliable and proficient professional in the software industry.

---

**Education**  

[Your Degree] in [Your Field of Study]  
[Your University/College Name] – [City, State]  
[Month, Year]  

---

**Certifications**  

[List any relevant certifications]  

---

**References**  

Available upon request."
51419,"[Your Name]  
[Your Address]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile] (Optional)

---

**Objective**  
Aspiring to secure a full-time, ideally remote position that leverages my design expertise and problem-solving skills to drive impactful user experiences.

---

**Experience**  

**Freelance Designer**  
- Specialized in UI/UX development, delivering intuitive and engaging digital experiences.
- Emphasized strong design principles and user-centric design processes.

**IT Company**  
- Contracted on an out-staff basis to deliver high-quality design solutions.
- Collaborated with cross-functional teams to enhance user interactions and engagement.

---

**Skills**  
- Proficient in creating design strategies focused on user experience and interface design.
- Strong problem-solving skills, consistently seeking challenging and rewarding assignments.

---

Note: Please replace placeholder text like “[Your Name]” and “[Your Email Address]” with your actual information."
53971,"**[Your Name]**

**Contact Information:**  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

---

**Professional Summary:**  
Dynamic and creative professional with over 9 years of experience in graphic design and game UI/UX design. Specialized in creating engaging and immersive game interfaces, with in-depth expertise in 3D modeling, texturing, and animation. Proven ability to deliver high-quality designs that enhance user experience and elevate brand reputation within the gamedev industry. Currently seeking new opportunities to contribute to pioneering projects in the gamedev sector.

---

**Professional Experience:**

**Senior Graphic Designer**  
[Company Name]  
[City, State]  
[Dates Employed: Start Date – End Date]  
- Led design projects and collaborated with cross-functional teams to produce engaging visuals.
- Developed comprehensive brand visuals for digital platforms, achieving improved user engagement.
- Managed a team of junior designers, providing mentorship and guidance in design best practices.

**Game UI/UX Designer**  
[Company Name]  
[City, State]  
[Dates Employed: Start Date – End Date]  
- Designed intuitive and visually compelling game interfaces, enhancing the overall player experience.
- Conducted user research to inform design decisions, resulting in improved game navigation and user satisfaction.
- Collaborated with developers and artists to implement design elements seamlessly into games.

**Game UI Designer**  
Large Gamedev Company  
[City, State]  
[Dates Employed: Start Date – End Date, 1.5 years duration]  
- Worked closely with the game development team to design user-friendly interfaces.
- Applied industry best practices to create visually appealing and functionally sound UI components.
- Participated in iterative design processes, contributing to successful game launches.

---

**Skills:**
- 3D Modeling, Texturing, Animation
- Game Interface Design
- User Experience (UX) Research
- Cross-functional Team Collaboration
- Design Software Proficiency: [List Relevant Software]

---

**Education:**
[Your Degree/Certification]  
[Your Major]  
[University/Institution Name]  
[City, State]  
[Year of Graduation]  

---

**References:**  
Available upon request."
53972,"**Objective:**

Aspiring to leverage skills in web and graphic design to contribute to innovative projects, with a focus on professional growth and meaningful collaboration in mobile game development.

**Experience:**

- Over two years of experience designing websites, banners, and emails, utilizing strong visual and layout design skills.
- One year of specialized experience in Game Development, focusing on crafting offers, decorations, and banners for mobile games.
- Demonstrated ability to create layouts based on provided graphics as well as independently design navigation elements and decorations.
- Proficient in design tools including Photoshop, Figma, and After Effects.
- Passionate about mobile game development with a keen interest in establishing long-term partnerships with Game Development companies."
53973,"[Your Name]
[Your Address]
[City, State, ZIP]
[Your Phone Number]
[Your Email]

### Objective

Passionate Game UI/UX Designer with extensive experience in web design, skilled in creating compelling user experiences and visually appealing game interfaces. Adept at utilizing design tools and collaborating with teams for successful project outcomes.

### Professional Experience

**Game UI/UX Designer**  
*Self-employed, 2019 - Present*

- Developed intuitive UX flows and design elements for games, ensuring alignment with overall game design.
- Crafted UI screens and elements, preparing assets for programming integration.
- Effectively communicated UX vision and design ideas to team members, facilitating seamless in-game design implementation.
- Contributed additional skills and support to game development projects.

**Web Designer**  
*Self-employed, 2015 - 2019*

- Built design processes, performed mentoring, and facilitated skill development for staff.
- Independently sourced clients to expand business opportunities.
- Participated in the redesign of official websites and application logos.
- Utilized expertise in HTML, CSS, and JavaScript for web design projects.

### Teaching Experience

**Design Instructor**  
*IT Academy, Lviv*

- Teaching design principles and applications, guiding students to develop strong design skills.

### Skills

- Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.
- Strong understanding of project lifecycles and code comprehension (HTML, CSS, JS).
- Excellent communication and collaboration abilities.
- Committed to continuous learning and skill enhancement.

### Education

Pending information on educational background.

### Interests

- Dedicated to learning new languages.
- Engaged in sports such as basketball, Brazilian jiu-jitsu, and yoga.
- Committed to maintaining a sporty and healthy lifestyle."
53974,"[Your Name]  
[Your Address]  
[City, Postal Code]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Innovative and dedicated Game UI/UX Designer/Artist with substantial experience in developing engaging user interfaces for casual games. Skilled in transforming concepts into visually compelling game designs, collaborating efficiently with cross-functional teams, and enhancing the overall gaming experience. Seeking a dynamic position that presents diverse challenges and opportunities to advance my creative skills.

---

**Professional Experience**  

**Game UI/UX Designer/Artist**  
[Company Name], Ukraine  
[Month, Year] – Present  
- Develop and render UI visuals for casual games from initial concepts to final design execution.
- Collaborate with designers, managers, 2D and 3D artists, and programmers to research and design unique, visually appealing game interfaces.
- Create additional game interface materials, enhancing user interaction and engagement.

---

**Education**  

**Bachelor of Fine Arts in Artist-Performer**  
Kyiv National University of Construction and Architecture  
[Month, Year] of Graduation

---

**Skills**  
- UI/UX Design  
- Visual Rendering  
- Collaboration with Cross-Functional Teams  
- Game Interface Research  
- Creative Problem Solving  
- Attention to Detail  

---

**Portfolio**  
[Link to Portfolio]

---

**References**  
Available upon request."
53975,"UI/UX Game Designer

Summary:
UI/UX game designer with 4 years of commercial experience in design and 2 years in GameDev. Skilled in establishing engaging user experiences across mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Actively plays and remains updated with industry trends.

Education:
- Graduated with honors from Web Design courses; supervised the final group project.
- Completed English courses with honors in 2022.

Experience:
- Led full UI development for an educational mobile game for kids with over 100,000 downloads.
- Participated in developing a AAA PC MOBA.
- Successfully updated and transitioned a PC simulator for cybersportsmen to a mobile platform on schedule.

Key Responsibilities:
- Managed the full cycle of UI and UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation, and game test participation.
- Proficient in Figma, Photoshop, Unity3d, Jira, Confluence, and Plastic SCM.
- Developed a welcome-box for new employees.
- Organized simultaneous printing of materials for two exhibitions in separate cities.
- Completed over 248 projects successfully.

Skills:
- Proficient in graphic design creation on tablets.
- Strong organizational skills, demonstrated by efficient coordination of parallel tasks.

Professional Goals:
Seeking a company with a collaborative environment and dedication to high-quality projects. Enthusiastic about engaging in innovative projects that require critical thinking and continuous learning."
53976,"Skills:
- Expertise in Game UI Art
- Advanced UI Design Abilities
- Proficiency in 3D Modeling, Sculpting, and Texturing
- Proficient in Character and Environment Concept Art
- Experienced in Illustration and Character Design
- Strong Command of the English Language
- Rapid Learner
- Collaborative Team Player
- Effective Educator and Leader

Software Proficiency:
- Adobe Photoshop
- Daz Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"Self-motivated motion design specialist with a proven track record in the global poker and casino industry. Enhanced design and animation export pipelines across various projects, leading to improved efficiency. Successfully managed a multidisciplinary team of 7+ members in design, graphics, motion, animation, sound, and development. Actively participated in poker brand rebranding efforts and crafted UX/UI designs for poker applications. Played a key role in the development, organization, and distribution of project style guides, design systems, and asset libraries. Created dynamic gaming motions and animations tailored for poker and casino games. Architected clean and scalable projects in After Effects. Developed motion graphics for live online events, enhancing both visual and gaming experiences. Designed comprehensive briefs and storyboards for promotional videos. Dedicated to leveraging gaming industry expertise to develop high-quality products and inspire teams to exceed benchmarks."
53978,"UI/UX Designer with a strong background in prototyping to elevate user interfaces and gaming experiences. Successfully implemented new features to boost performance, optimize development processes, and simplify UI layouts. Known for completing projects ahead of schedule with favorable customer feedback. Proficient in 9-Slice Scaling, importing interfaces from Figma to Unity, developing User Flow and Wireframes, creating UI from scratch, selecting fonts, prototyping interfaces, and collaborating effectively with UI/UX developers, game designers, artists, and programmers on projects for PC, consoles, and mobile devices."
53979,"UX/UI Designer & Visual/Graphic Designer

Experience

UX/UI Designer | 2020-2022
- Independently developed game interfaces using thorough UX research.
- Created comprehensive wireframes, both low- and high-fidelity.
- Collaborated closely with developers and game designers for seamless integration.
- Conducted user testing through surveys and exercises to improve user experience.

Visual and Graphic Designer | 2019-2022
- Designed logos, conceptual identities, banners, posters, and advertising materials.
- Innovated ideas and maintained awareness of current design trends.
- Demonstrated strong attention to detail and delivered structured design projects.
- Effectively presented and justified design ideas to clients.
- Collaborated in a team environment to elevate product quality."
53981,"UI/UX Designer / UI Artist

Profile:
Experienced UI/UX Designer and UI Artist with strong critical thinking skills and a deep understanding of graphic design principles. Specializes in creating and redesigning websites, applications, branding, polygraphic design, and 2D animation. Adept in handling the complete graphic development cycle and ensuring all technical requirements are met for both digital and printed materials. Recognized for delivering innovative projects and maintaining high standards of organization and management within creative spaces.

Professional Experience:
Game Insight, 101XP, Playrix, WhaleApp
2020 – Present
- Developed and redesigned graphic content for multiple platforms, ensuring consistency and quality.
- Executed projects from concept through completion, managing all aspects of design to meet client specifications.
- Produced precise layouts for websites and applications, enhancing user experience.
- Collaborated with cross-functional teams to deliver engaging digital experiences.

Skills:
- Graphic Design
- UI/UX Design
- 2D Animation
- Branding and Identity
- Website and Application Design
- Polygraphic Design
- Project Management
- Technical Requirements Adherence

Accomplishments:
- Successfully delivered a variety of creative projects noted for their innovation and quality.
- Established a high level of work organization that improved overall efficiency and creative workflow."
54796,"Designer with Over 10 Years of Experience in Graphic and UI/UX Design

Location: Kharkiv

Professional Summary:
Experienced designer specializing in graphic and UI/UX design, with a decade-long career working in advertising and marketing agencies, as well as printing houses. Prior to current events, collaborated with top Ukrainian real estate companies and freelanced, focusing on creating company identities. Portfolio showcases logos and styles visible in both Ukrainian and European cities. Proficient in website development using the Tilda constructor.

Design Services:
- Landing pages and websites
- Logos and company identities
- Social media designs
- Printed materials
- Presentations
- Outdoor advertising
- Transport branding

Key Skills:
- Excellent organizational and planning capabilities
- Strong teamwork collaboration
- Passionate about crafting user-friendly designs

Career Objective:
Eager to engage with businesses to understand their needs and offer bespoke design solutions. Committed to ongoing professional development as a UX/UI designer."
