,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
2555,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic professional with over 11 years of experience in sales, customer support, and project management within international and EdTech industries. Proven track record in leading teams, managing accounts, and driving lead generation and sales initiatives. Proficient in various software tools and possessing a foundational understanding of programming concepts.

---

**Professional Experience**

**Sales Assistant**  
*International Companies in the Chemical Raw Materials Distribution Industry*  
*5 Years*  
- Developed and maintained strong relationships with clients, ensuring high levels of customer satisfaction and repeat business.
- Assisted in the coordination and execution of sales strategies to meet company objectives.
- Collaborated with cross-functional teams to streamline operations and improve service delivery.

**Customer Support/Account Manager & Support Team Lead**  
*EdTech Company Serving the Western Market (Western Europe and USA)*  
*5 Years*  
- Managed customer accounts, providing exceptional support and resolving issues efficiently.
- Promoted to Support Team Lead, overseeing a team of support specialists and enhancing team performance.
- Implemented strategies to improve customer engagement and retention.

**Project Manager**  
*EdTech Company*  
*1 Year*  
- Led projects focusing on lead generation, outbound sales, and support within the secondary and higher education sectors.
- Collaborated with sales and marketing teams to develop and execute effective sales campaigns.
- Analyzed market trends to identify opportunities for growth and expansion in the Western Market.

---

**Technical Skills**  
- Proficient in IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, Canva.
- General knowledge of programming concepts in Java.

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**Languages**  
[List any languages you speak]  

---

**References**  
Available upon request."
2556,"**Account Manager**

- Managed client communications through emails, cold calls, and follow-up calls.
- Participated in product demonstrations and conducted application testing.
- Developed and maintained company profiles, updating the application as needed.
- Assisted clients with inquiries and provided guidance on application usage.
- Created engaging content for the website, including blogs and tutorials.
- Identified strategies to increase client interest and optimize product utilization.

**Sales Support Agent**

- Conducted market research and analysis for the Ukrainian and Russian markets.
- Assisted a British company in expanding into the Eastern European market.
- Engaged with business owners and representatives to foster relationships.
- Participated in B2B sales activities and maintained detailed sales reports.

**Customer Support Agent**

- Resolved customer service issues for clients in the USA, Canada, and Great Britain.
- Communicated with customers via phone and email to address concerns.
- Provided effective solutions and made necessary adjustments to customer profiles and subscriptions.
- Processed refunds and ensured customer satisfaction with resolutions.
- Utilized CRM systems for quality assurance and performance tracking.
- Analyzed outsourced call data and implemented corrective measures.
- Conducted follow-ups to ensure ongoing customer satisfaction.
- Compiled and submitted detailed reports."
2577,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced project coordinator and e-commerce manager with a strong background in optimizing workflows, managing databases, and leading teams to success. Skilled in Salesforce administration, e-commerce operations, and talent management, with a proven track record of improving service efficiency and program quality.

---

**Professional Experience**

**Project Coordinator**  
- Optimized workflow and standard operation processes, ensuring successful completion of team tasks.
- Measured service efficiency through contrastive analysis and reporting.
- Provided administrative support for the program.
- Imported and maintained lead data in Salesforce.
- Monitored and reported team activity on overdue tasks and tickets.
- Handled high-value escalations from internal teams.
- Revised processes and implemented improvements.

**Online Store Project Manager (Remote)**  
- Delivered high-quality customer service to optimize workflow.
- Managed backend admin panel and hosting infrastructure.
- Oversaw dispatch management and resolved support tickets.

**Talent Agent Admin & Talent Specialist**  
- Sourced talent for internal teams and clients.
- Conducted video interviews with freelancers.
- Created and handled Jira tickets.
- Optimized operations and improved program efficiency and quality.
- Created, maintained, and improved SOP documentation.

**Magento E-Commerce Project Manager**  
- Created and assigned tasks to the development team, enhancing UI optimization.
- Collaborated with SEO and marketing teams.
- Conducted performance review meetings.
- Established cooperation with manufacturers and suppliers worldwide.
- Managed stock, configured payment and shipping methods, and rates in Magento.
- Managed orders, dispatch, and refunds.
- Addressed customer inquiries and resolved complaints.

---

**Skills**  
- Workflow Optimization  
- Salesforce Administration  
- E-commerce Management  
- Talent Sourcing and Management  
- Customer Service Excellence  
- Process Improvement  
- Data Analysis and Reporting  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
2582,"Education:
PhD in Economics (Candidate of Economic Sciences), 2018

Objective:
Passionate about contributing to a company with a meaningful mission and creating new opportunities for positive impact on social and business processes.

Key Achievements:
- Enhanced the logic of the medium-term program at Kyiv-Mohyla Business School, facilitating easier implementation of changes by participants and improving content comprehension
- Played a key role in the team implementing a new CRM system, focusing on testing, bug reporting, and interface design tailored to departmental processes
- Served on the commission evaluating participants' graduation projects for the medium-term program

Experience:

1. Project Manager at Ukrainian Social Academy, Jul 2019 - Mar 2020
- Conducted competitor analysis and depth interviews, and developed product concepts
- Created promotion plans, managed client relationships, and tested the company website

2. Project Manager at EdEra, Apr 2019 - May 2019

3. Account & Project Manager at Kyiv Mohyla Business School [kmbs], May 2016 - Jul 2018
- Managed Executive Development Programs, identified client needs, and developed marketing plans
- Represented the school at external events, coordinated with Marketing and Finance departments, and collected feedback for product improvement
- Coached new team members, administered the company website, and worked with CRM & analytics

4. Internship at Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv), Nov 2014 - Jul 2015

Additional Qualifications:
- IELTS Academic test score of 7.0 in 2011 and 2014
- Participant in the Internship Program at the Presidential Administration of Ukraine (USAID Rada Program and Interns' League)
- Completed 6 online courses on Coursera in various subjects"
2583,"Genesis - Sendios.io  
- Account Project Manager: Rebuilt the account flow for managing clients' tasks across the entire team.

Coreteka  
- Product Manager: Launched the updated version of the company's website.

BitMedia  
- Sales and Account Manager: Increased advertiser costs across the network by 20%.  
- Implemented the Pipedrive CRM system.

MGID  
- User Acquisition Manager: Achieved double the client closures for three consecutive months compared to colleagues.  
- Delivered team education through presentations and training sessions.

Experienced account and digital marketing professional with over 4 years in B2B/B2C, specializing in AdTech and Crypto products. Proficient in E-mail marketing, Communications, and Digital Marketing Project Management. Thrives in fast-paced environments, collaborating with strong professional teams, and tackling challenging tasks. Seeking opportunities as a Project Manager or Retention Manager."
2584,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and proactive professional with extensive experience in project management and digital marketing. Proven ability to manage multiple projects simultaneously, with a strong track record of completing 143 projects and managing a total budget of $310,000. Skilled in client management, negotiation, and team leadership, with hands-on experience using project management tools such as Teamwork, Asana, and Notion.

---

**Professional Experience**

**Lead Account Executive**  
[Company Name], [Location]  
[Month, Year] – Present  

- Establish and lead partnerships and collaborations to support company strategic priorities.
- Develop and implement techniques to attract and retain customers.
- Conduct market research and analysis to create detailed business plans for sales opportunities.

**Middle Project Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Coordinate and manage multi-functional project teams of 10-15 people for successful marketing campaigns.
- Oversee strategic goals and make tactical decisions through weekly cross-functional meetings.
- Mentor Junior Project Managers, successfully advancing one to a middle-level project manager.

---

**Key Achievements**

- Successfully managed 56 projects simultaneously, demonstrating exceptional multitasking abilities.
- Conducted training on negotiation techniques and troubleshooting, enhancing company employee skills.
- Mentored three Junior Project Managers, contributing to their professional growth.

---

**Skills**

- Project Management: Planning, budget management, coordination of project components.
- Digital Marketing: Building, maintaining, and running campaigns.
- Client Management: Ensuring project goals are met within scope and budget.
- Business Operations: Strong understanding and proactive approach.

---

**Tools**

- Teamwork
- Asana
- Notion

---

**Education**  
[Your Degree]  
[Your University], [Location]  
[Month, Year] – [Month, Year]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
2585,"Education:
- Completed Bachelor and Master studies in Germany
- Earned an International Master degree with a ""very good"" grade
- Achieved multilingual certification in German and English

Professional Experience:
- Led the Business Development Department
- Supervised a team of sales and account managers
- Achieved a 50% increase in market revenue growth
- Oversaw a major integration project with a third-party software supplier

Skills:
- Result-oriented professional in project management, marketing, and sales
- Expertise in business processes within Marketing, Sales, and IT
- Proficient in Agile/Scrum environments and international team collaboration
- Actively enhancing technical skills through workshops and courses in Online Marketing, Scrum, Agile Project Management, Lean Project Management, and more"
2586,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven professional with 7 years of experience in client service and project management. Proven track record in managing complex projects, developing strategic media plans, and leading cross-functional teams to deliver exceptional results.

---

**Professional Experience**

**Account Project Manager**  
*Media Agency Vizeum (Dentsu)*  
[Month, Year] - [Month, Year] (1.6 years)  
- Coordinated interactions between the agency and clients for project development, approval, and implementation.
- Managed daily communication and client service for both local and global client teams.
- Developed media strategies across various platforms including TV, OOH, Radio, and Digital.

**Senior Account Manager**  
*Marketing Services Agency Adsapience*  
[Month, Year] - [Month, Year] (3.1 years)  
- Led account management by developing brand/product promotion concepts and structuring operational processes.
- Coordinated IT projects, overseeing web development teams for websites and app development.
- Managed operations through continuous communication with cross-functional teams including product development, creative, digital, and logistics.
- Directed team activities for mass BTL, B2B, and B2C events, and ensured quality control of middle managers.
- Provided customer support by coordinating service implementation and resolving issues effectively.

**Account Manager**  
*Marketing Agency TMA Ukraine*  
[Month, Year] - [Month, Year] (1.9 years)  
- Developed and integrated marketing promotions for a major shopping and entertainment center in Kyiv, managing 318 projects with high daily attendance.
- Coordinated trade-marketing projects, overseeing full-cycle management of all processes.

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]

---

**Skills**  
- Project Management  
- Client Relationship Management  
- Strategic Planning  
- Team Leadership  
- Media Strategy Development  
- Problem Solving  

---

**References**  
Available upon request."
2587,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced account and project manager with a focus on supply chain mapping software for the European market. Skilled in advising international clients, budget preparation, project management, IT team coordination, and ensuring client satisfaction. Proficient in Teamleader, MS Office, Tableau, and proprietary software.

---

**Professional Experience**  

**Account and Project Manager**  
Dutch SAAS Company  
[Month, Year] – Present  

- Manage accounts and projects for a leading SAAS company specializing in supply chain mapping software.
- Advise international clients on software solutions to enhance their supply chain operations.
- Prepare and manage budgets to ensure financial efficiency and project success.
- Coordinate with the IT team to deliver high-quality software solutions and services.
- Ensure client satisfaction through effective communication and problem-solving.

---

**Technical Skills**  

- Teamleader
- Microsoft Office Suite
- Tableau
- In-house software

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Languages**  
[Languages Spoken]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
2588,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced Account Manager with a strong track record in launching large-scale projects across various shopping centers in Ukraine. Proven ability to manage client relationships, coordinate complex projects, and lead cross-functional teams to achieve successful outcomes.

---

**Professional Experience**  

**Account Manager**  
ProfiAds (Advertising & Event Agency)  
June 2015 – Present  

- Spearheaded the launch of major projects for high-profile clients such as Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo across multiple shopping centers in Ukraine.
- Managed all project documentation, including client negotiations, contract signing, and customer communications, ensuring seamless interactions with shopping centers and adherence to budgets.
- Conducted on-site meetings to finalize placement agreements and supervised project launches in various cities, ensuring timely and successful execution.
- Coordinated team efforts by liaising with designers to create and approve layouts, ensuring client satisfaction and alignment with project goals.
- Oversaw the entire advertising placement process, from printing layouts and sourcing contractors to managing installation and dismantling. Addressed organizational challenges such as import/export of equipment and secured necessary permissions to facilitate smooth operations.

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Skills**  
- Project Management  
- Client Relationship Management  
- Team Coordination  
- Budget Management  
- Problem Solving  
- Communication  

---

**References**  
Available upon request."
2589,"Account Manager/Project Manager

Profile:
Result-oriented professional with over 5 years of experience in product and outsource companies, successfully managing 19 commercially launched projects. Skilled in facilitating Scrum events, planning and managing project communications, and overseeing internal delivery teams. Proficient in controlling staffing processes, managing project documentation and processes, estimating software implementation requests, and planning software development processes. Strong written, oral, and interpersonal communication skills. Capable of working under pressure and managing multiple projects simultaneously. Committed to personal growth and contributing to project success.

Experience:
- Facilitated Scrum events to enhance team collaboration and project efficiency.
- Planned and managed project communications to ensure clear and effective information flow.
- Controlled staffing processes to align resources with project needs.
- Managed project documentation and processes for streamlined operations.
- Oversaw internal delivery teams to ensure timely and quality project delivery.
- Estimated software implementation requests to support project planning and budgeting.
- Planned software development processes to optimize project execution.
- Demonstrated strong people management skills to foster a productive work environment.

Skills:
- Project Management
- Scrum Facilitation
- Communication Management
- Staffing and Resource Allocation
- Documentation and Process Management
- Software Implementation Estimation
- Software Development Planning
- People Management

Attributes:
- Strong written, oral, and interpersonal communication skills
- Ability to work under pressure
- Proficient in managing multiple projects simultaneously
- Dedicated to personal growth and project success"
2590,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Dynamic Sales Account Manager with over 4 years of experience in driving business growth and fostering long-term customer relationships. Proficient in processing verified leads, understanding customer needs, and providing effective solutions. Adept at gathering project requirements, creating project quotes, negotiating and closing deals, and managing accounts. Skilled in moderating business meetings and issuing invoices. Strong communicator with the ability to bridge gaps between customers and development teams. Seeking growth opportunities in Account/Project Management.

---

**Core Competencies**  
- Lead Processing & Verification  
- Customer Needs Assessment  
- Solution Provision  
- Project Requirement Gathering  
- Quote Creation & Negotiation  
- Deal Closure  
- Account Management  
- Business Meeting Moderation  
- Invoice Issuance  
- Communication & Team Collaboration  

---

**Professional Experience**  

**Sales Account Manager**  
[Company Name], [Location]  
[Month, Year] – Present  

- Processed and verified leads to ensure alignment with business objectives.  
- Understood and assessed customer needs to provide tailored solutions.  
- Gathered project requirements and created detailed project quotes.  
- Negotiated and closed deals, contributing to company revenue growth.  
- Managed accounts and maintained long-term customer relationships.  
- Moderated business meetings to facilitate effective communication.  
- Issued invoices and ensured timely payment processing.  
- Bridged communication gaps between customers and development teams.  

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University/College Name], [Location]  
[Year of Graduation]  

---

**Professional Development**  
- [Relevant Certification or Training]  
- [Relevant Certification or Training]  

---

**Additional Information**  
- Values informal and friendly team spirit.  
- Appreciates well-established business processes.  
- Seeks guidance and mentorship during initial stages of projects.  

---

**References**  
Available upon request.  "
2591,"Work Experience:

- Account/Project Manager with 1.5 years of experience
- Excellent communication skills, adept at building rapport with team members and clients
- Proficient in contract creation, agreement negotiation, budget preparation, and website testing
- Strong organizational skills with the ability to prioritize tasks effectively
- Experienced in managing multiple projects concurrently
- Detail-oriented, responsible, and committed to evaluating outcomes and analyzing challenges to enhance future processes
- Dedicated to delivering high-quality results"
2592,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven Key Account Manager with extensive experience in managing strategic partnerships, optimizing business performance, and driving sales growth. Proven track record in developing and maintaining strong client relationships, executing successful marketing campaigns, and leading cross-functional teams. Adept at analyzing key performance indicators and implementing strategies for continuous improvement.

---

**Professional Experience**

**Key Account Manager**  
*Glovo*  
[Month, Year] – Present  

- Spearheaded the sale of in-app instruments and promotional campaigns, generating an additional €4,000 monthly in GMV and CPO.
- Cultivated and managed partner relationships across all accounts, ensuring strategic alignment and operational excellence.
- Led end-to-end strategic partner relationships, including P&L tracking, product integration, co-marketing initiatives, and performance optimization.
- Executed, optimized, and analyzed multi-client campaigns, driving measurable growth and performance improvements.
- Analyzed partner KPIs to ensure month-over-month growth, providing detailed performance metrics and reports.
- Facilitated feedback loops between partners and internal teams to enhance product, marketing, and operational strategies.
- Acted as the primary point of contact between Glovo and partners, ensuring seamless communication and collaboration.

**Project Coordinator/Founder**  
[Project Name]  
[Month, Year] – [Month, Year]  

- Launched a project aimed at educating students in business fundamentals, facilitating access to top universities with significant discounts.
- Managed inbound and outbound lead generation, enhancing project visibility and participation.
- Conducted training sessions for coordinators in Bishkek and surrounding regions, fostering team development and project success.
- Mentored and prepared teams for project participation, ensuring readiness and alignment with project goals.
- Oversaw technical and administrative teams of 60, driving project execution and strategic vision.

**Key Customer Manager**  
[Company Name], Dubai  
[Month, Year] – [Month, Year]  

- Promoted vendor products, significantly increasing sales through strategic planning and relationship management.
- Designed and implemented a comprehensive sales strategy, enhancing customer engagement and satisfaction.
- Served as the primary contact for customer account matters, building and maintaining enduring client relationships.
- Tested hypotheses to refine customer relationship strategies, improving contract negotiations and agreement closures.
- Onboarded new customers, conducting initial meetings and training sessions to ensure smooth integration.
- Developed vendor showcases on the website's backend panel, enhancing product visibility and customer engagement.

**Assets Sales Manager**  
[Company Name]  
[Month, Year] – [Month, Year]  

- Achieved over $20,000 in asset sales within three months, demonstrating strong sales acumen and market understanding.
- Ensured sales materials were current and tailored for presentations, conferences, and opportunities.
- Prepared franchises for sale, providing comprehensive financial reporting and analysis.

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Skills**  
- Strategic Sales Planning  
- Relationship Management  
- Campaign Execution and Optimization  
- Performance Analysis and Reporting  
- Cross-Functional Team Leadership  
- Product and Market Integration  

---

**Languages**  
[List any languages you speak]  

---

**References**  
Available upon request."
